508710501150319, CERETEC, CERETEC, NOT FOUND, 0.5 MG PO LIOF INJ IV CX 5 FA VD INC X 10ML, FAS
508708002118116, CLORIDRATO DE PAROXETINA, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20 MG COM REV CT FR PLAS OPC X 30, FAS
508710501150319, CERETEC, CERETEC, NOT FOUND, 0.5 MG PO LIOF INJ IV CX 5 FA VD INC X 10ML, FAS
508707902166119, CETOCONAZOL + DIPROPIONATO DE BETAMETASONA, CETOCONAZOL DIPROPIONATO BETAMETASONA, NOT FOUND, 20 MG/G + 0.5 MG/G CREM DERM CT BG AL X 30 G, FAS
508707901161113, CETOCONAZOL + DIPROPIONATO DE BETAMETASONA, CETOCONAZOL DIPROPIONATO BETAMETASONA, NOT FOUND, 20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30 G, FAS
508708901163114, CETOCONAZOL+DIPROPIONATO DE BETAMETASONA+SULFATO DE NEOMICINA, CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT BG AL X 30 G, FAS
508708902161115, CETOCONAZOL+DIPROPIONATO DE BETAMETASONA+SULFATO DE NEOMICINA, CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G POM DERM CT BG AL X 30 G, FAS
508710602119417, CIRCADEX, CIRCADEX, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 10, FAS
508710603115415, CIRCADEX, CIRCADEX, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 20, FAS
508710601112419, CIRCADEX, CIRCADEX, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 7, FAS
508708001111118, CLORIDRATO DE PAROXETINA, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20 MG COM REV CT BL PLAS INC X 20, FAS
508708002118116, CLORIDRATO DE PAROXETINA, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20 MG COM REV CT FR PLAS OPC X 30, FAS
508708001111118, CLORIDRATO DE PAROXETINA, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20 MG COM REV CT BL PLAS INC X 20, FAS
508707902166119, CETOCONAZOL + DIPROPIONATO DE BETAMETASONA, CETOCONAZOL DIPROPIONATO BETAMETASONA, NOT FOUND, 20 MG/G + 0.5 MG/G CREM DERM CT BG AL X 30 G, FAS
508707901161113, CETOCONAZOL + DIPROPIONATO DE BETAMETASONA, CETOCONAZOL DIPROPIONATO BETAMETASONA, NOT FOUND, 20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30 G, FAS
508710501150319, CERETEC, CERETEC, NOT FOUND, 0.5 MG PO LIOF INJ IV CX 5 FA VD INC X 10ML, FAS
508710602119417, CIRCADEX, CIRCADEX, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 10, FAS
508710603115415, CIRCADEX, CIRCADEX, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 20, FAS
508710601112419, CIRCADEX, CIRCADEX, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 7, FAS
508708901163114, CETOCONAZOL+DIPROPIONATO DE BETAMETASONA+SULFATO DE NEOMICINA, CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT BG AL X 30 G, FAS
508708902161115, CETOCONAZOL+DIPROPIONATO DE BETAMETASONA+SULFATO DE NEOMICINA, CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G POM DERM CT BG AL X 30 G, FAS
508708001111118, CLORIDRATO DE PAROXETINA, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20 MG COM REV CT BL PLAS INC X 20, FAS
508707902166119, CETOCONAZOL + DIPROPIONATO DE BETAMETASONA, CETOCONAZOL DIPROPIONATO BETAMETASONA, NOT FOUND, 20 MG/G + 0.5 MG/G CREM DERM CT BG AL X 30 G, FAS
508707901161113, CETOCONAZOL + DIPROPIONATO DE BETAMETASONA, CETOCONAZOL DIPROPIONATO BETAMETASONA, NOT FOUND, 20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30 G, FAS
508710501150319, CERETEC, CERETEC, NOT FOUND, 0.5 MG PO LIOF INJ IV CX 5 FA VD INC X 10ML, FAS
508710602119417, CIRCADEX, CIRCADEX, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 10, FAS
508710603115415, CIRCADEX, CIRCADEX, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 20, FAS
508710601112419, CIRCADEX, CIRCADEX, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 7, FAS
508708901163114, CETOCONAZOL+DIPROPIONATO DE BETAMETASONA+SULFATO DE NEOMICINA, CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT BG AL X 30 G, FAS
508708902161115, CETOCONAZOL+DIPROPIONATO DE BETAMETASONA+SULFATO DE NEOMICINA, CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G POM DERM CT BG AL X 30 G, FAS
