508701601113416, DEFATIG, DEFATIG, NOT FOUND, 200 MG + 200 MG + 25 MG + 2 MG + 10 MG DRG CT 2 STR X 10 , FAS
508701601113416, DEFATIG, DEFATIG, NOT FOUND, 200 MG + 200 MG + 25 MG + 2 MG + 10 MG DRG CT 2 STR X 10 , FAS
508710701133418, DESCON RINUS, DESCON RINUS, NOT FOUND, 2.0 MG/ML + 2.5 MG/ML SOL ORAL CT FR PLAS OPC GOT X 20 ML, FAS
508709303111119, DIMETICONA, DIMETICONA, DIMETICONA, 150 MG COM CT TB PLAS X 12, FAS
508709301119112, DIMETICONA, DIMETICONA, DIMETICONA, 40 MG COM CT BL AL PLAS INC X 10, FAS
508709302115110, DIMETICONA, DIMETICONA, DIMETICONA, 40 MG COM CT BL AL PLAS INC X 20, FAS
508709904131114, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 50 MG/ML SOL OR CT FR VD AMB X 100 ML, FAS
508709905111117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 100 (EMB MULT), FAS
508709906118115, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 20, FAS
508709907114113, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 200 (EMB MULT), FAS
508709908110111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 4, FAS
508709909117111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 40, FAS
508709910115117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 8, FAS
508709901132111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, FAS
508709902139118, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML, FAS
508709903135116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, FAS
508701601113416, DEFATIG, DEFATIG, NOT FOUND, 200 MG + 200 MG + 25 MG + 2 MG + 10 MG DRG CT 2 STR X 10 , FAS
508710701133418, DESCON RINUS, DESCON RINUS, NOT FOUND, 2.0 MG/ML + 2.5 MG/ML SOL ORAL CT FR PLAS OPC GOT X 20 ML, FAS
508709303111119, DIMETICONA, DIMETICONA, DIMETICONA, 150 MG COM CT TB PLAS X 12, FAS
508709301119112, DIMETICONA, DIMETICONA, DIMETICONA, 40 MG COM CT BL AL PLAS INC X 10, FAS
508709302115110, DIMETICONA, DIMETICONA, DIMETICONA, 40 MG COM CT BL AL PLAS INC X 20, FAS
508709904131114, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 50 MG/ML SOL OR CT FR VD AMB X 100 ML, FAS
508709905111117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 100 (EMB MULT), FAS
508709906118115, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 20, FAS
508709907114113, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 200 (EMB MULT), FAS
508709908110111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 4, FAS
508709909117111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 40, FAS
508709910115117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 8, FAS
508709901132111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, FAS
508709902139118, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML, FAS
508709903135116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, FAS
508701601113416, DEFATIG, DEFATIG, NOT FOUND, 200 MG + 200 MG + 25 MG + 2 MG + 10 MG DRG CT 2 STR X 10 , FAS
508710701133418, DESCON RINUS, DESCON RINUS, NOT FOUND, 2.0 MG/ML + 2.5 MG/ML SOL ORAL CT FR PLAS OPC GOT X 20 ML, FAS
508709303111119, DIMETICONA, DIMETICONA, DIMETICONA, 150 MG COM CT TB PLAS X 12, FAS
508709301119112, DIMETICONA, DIMETICONA, DIMETICONA, 40 MG COM CT BL AL PLAS INC X 10, FAS
508709302115110, DIMETICONA, DIMETICONA, DIMETICONA, 40 MG COM CT BL AL PLAS INC X 20, FAS
508709904131114, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 50 MG/ML SOL OR CT FR VD AMB X 100 ML, FAS
508709905111117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 100 (EMB MULT), FAS
508709906118115, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 20, FAS
508709907114113, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 200 (EMB MULT), FAS
508709908110111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 4, FAS
508709909117111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 40, FAS
508709910115117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 8, FAS
508709901132111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, FAS
508709902139118, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML, FAS
508709903135116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, FAS
508701601113416, DEFATIG, DEFATIG, NOT FOUND, 200 MG + 200 MG + 25 MG + 2 MG + 10 MG DRG CT 2 STR X 10 , FAS
508710701133418, DESCON RINUS, DESCON RINUS, NOT FOUND, 2.0 MG/ML + 2.5 MG/ML SOL ORAL CT FR PLAS OPC GOT X 20 ML, FAS
508709303111119, DIMETICONA, DIMETICONA, DIMETICONA, 150 MG COM CT TB PLAS X 12, FAS
508709301119112, DIMETICONA, DIMETICONA, DIMETICONA, 40 MG COM CT BL AL PLAS INC X 10, FAS
508709302115110, DIMETICONA, DIMETICONA, DIMETICONA, 40 MG COM CT BL AL PLAS INC X 20, FAS
508709904131114, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 50 MG/ML SOL OR CT FR VD AMB X 100 ML, FAS
508709905111117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 100 (EMB MULT), FAS
508709906118115, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 20, FAS
508709907114113, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 200 (EMB MULT), FAS
508709908110111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 4, FAS
508709909117111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 40, FAS
508709910115117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 8, FAS
508709901132111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, FAS
508709902139118, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML, FAS
508709903135116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, FAS
508701601113416, DEFATIG, DEFATIG, NOT FOUND, 200 MG + 200 MG + 25 MG + 2 MG + 10 MG DRG CT 2 STR X 10 , FAS
508710701133418, DESCON RINUS, DESCON RINUS, NOT FOUND, 2.0 MG/ML + 2.5 MG/ML SOL ORAL CT FR PLAS OPC GOT X 20 ML, FAS
508709303111119, DIMETICONA, DIMETICONA, DIMETICONA, 150 MG COM CT TB PLAS X 12, FAS
508709301119112, DIMETICONA, DIMETICONA, DIMETICONA, 40 MG COM CT BL AL PLAS INC X 10, FAS
508709302115110, DIMETICONA, DIMETICONA, DIMETICONA, 40 MG COM CT BL AL PLAS INC X 20, FAS
508709904131114, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 50 MG/ML SOL OR CT FR VD AMB X 100 ML, FAS
508709905111117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 100 (EMB MULT), FAS
508709906118115, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 20, FAS
508709907114113, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 200 (EMB MULT), FAS
508709908110111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 4, FAS
508709909117111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 40, FAS
508709910115117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 8, FAS
508709901132111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, FAS
508709902139118, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML, FAS
508709903135116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, FAS
508701601113416, DEFATIG, DEFATIG, NOT FOUND, 200 MG + 200 MG + 25 MG + 2 MG + 10 MG DRG CT 2 STR X 10 , FAS
508710701133418, DESCON RINUS, DESCON RINUS, NOT FOUND, 2.0 MG/ML + 2.5 MG/ML SOL ORAL CT FR PLAS OPC GOT X 20 ML, FAS
508709303111119, DIMETICONA, DIMETICONA, DIMETICONA, 150 MG COM CT TB PLAS X 12, FAS
508709301119112, DIMETICONA, DIMETICONA, DIMETICONA, 40 MG COM CT BL AL PLAS INC X 10, FAS
508709302115110, DIMETICONA, DIMETICONA, DIMETICONA, 40 MG COM CT BL AL PLAS INC X 20, FAS
508709904131114, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 50 MG/ML SOL OR CT FR VD AMB X 100 ML, FAS
508709905111117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 100 (EMB MULT), FAS
508709906118115, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 20, FAS
508709907114113, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 200 (EMB MULT), FAS
508709908110111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 4, FAS
508709909117111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 40, FAS
508709910115117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 8, FAS
508709901132111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, FAS
508709902139118, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML, FAS
508709903135116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, FAS
508701601113416, DEFATIG, DEFATIG, NOT FOUND, 200 MG + 200 MG + 25 MG + 2 MG + 10 MG DRG CT 2 STR X 10 , FAS
508710701133418, DESCON RINUS, DESCON RINUS, NOT FOUND, 2.0 MG/ML + 2.5 MG/ML SOL ORAL CT FR PLAS OPC GOT X 20 ML, FAS
508709303111119, DIMETICONA, DIMETICONA, DIMETICONA, 150 MG COM CT TB PLAS X 12, FAS
508709301119112, DIMETICONA, DIMETICONA, DIMETICONA, 40 MG COM CT BL AL PLAS INC X 10, FAS
508709302115110, DIMETICONA, DIMETICONA, DIMETICONA, 40 MG COM CT BL AL PLAS INC X 20, FAS
508709904131114, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 50 MG/ML SOL OR CT FR VD AMB X 100 ML, FAS
508709905111117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 100 (EMB MULT), FAS
508709906118115, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 20, FAS
508709907114113, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 200 (EMB MULT), FAS
508709908110111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 4, FAS
508709909117111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 40, FAS
508709910115117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 8, FAS
508709901132111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, FAS
508709902139118, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML, FAS
508709903135116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, FAS
508701601113416, DEFATIG, DEFATIG, NOT FOUND, 200 MG + 200 MG + 25 MG + 2 MG + 10 MG DRG CT 2 STR X 10 , FAS
508710701133418, DESCON RINUS, DESCON RINUS, NOT FOUND, 2.0 MG/ML + 2.5 MG/ML SOL ORAL CT FR PLAS OPC GOT X 20 ML, FAS
508709303111119, DIMETICONA, DIMETICONA, DIMETICONA, 150 MG COM CT TB PLAS X 12, FAS
508709301119112, DIMETICONA, DIMETICONA, DIMETICONA, 40 MG COM CT BL AL PLAS INC X 10, FAS
508709302115110, DIMETICONA, DIMETICONA, DIMETICONA, 40 MG COM CT BL AL PLAS INC X 20, FAS
508709904131114, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 50 MG/ML SOL OR CT FR VD AMB X 100 ML, FAS
508709905111117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 100 (EMB MULT), FAS
508709906118115, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 20, FAS
508709907114113, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 200 (EMB MULT), FAS
508709908110111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 4, FAS
508709909117111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 40, FAS
508709910115117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 8, FAS
508709901132111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, FAS
508709902139118, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML, FAS
508709903135116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, FAS
508701601113416, DEFATIG, DEFATIG, NOT FOUND, 200 MG + 200 MG + 25 MG + 2 MG + 10 MG DRG CT STR X 20, FAS
508710701133418, DESCON RINUS, DESCON RINUS, NOT FOUND, 2.0 MG/ML + 2.5 MG/ML SOL ORAL CT FR PLAS OPC GOT X 20 ML, FAS
508709303111119, DIMETICONA, DIMETICONA, DIMETICONA, 150 MG COM CT TB PLAS X 12, FAS
508709301119112, DIMETICONA, DIMETICONA, DIMETICONA, 40 MG COM CT BL AL PLAS INC X 10, FAS
508709302115110, DIMETICONA, DIMETICONA, DIMETICONA, 40 MG COM CT BL AL PLAS INC X 20, FAS
508709904131114, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 50 MG/ML SOL OR CT FR VD AMB X 100 ML, FAS
508709905111117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 100 (EMB MULT), FAS
508709906118115, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 20, FAS
508709907114113, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 200 (EMB MULT), FAS
508709908110111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 4, FAS
508709909117111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 40, FAS
508709910115117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 8, FAS
508709901132111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, FAS
508709902139118, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML, FAS
508709903135116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, FAS
508701601113416, DEFATIG, DEFATIG, NOT FOUND, 200 MG + 200 MG + 25 MG + 2 MG + 10 MG DRG CT STR X 20, FAS
508710701133418, DESCON RINUS, DESCON RINUS, NOT FOUND, 2.0 MG/ML + 2.5 MG/ML SOL ORAL CT FR PLAS OPC GOT X 20 ML, FAS
508709303111119, DIMETICONA, DIMETICONA, DIMETICONA, 150 MG COM CT TB PLAS X 12, FAS
508709301119112, DIMETICONA, DIMETICONA, DIMETICONA, 40 MG COM CT BL AL PLAS INC X 10, FAS
508709302115110, DIMETICONA, DIMETICONA, DIMETICONA, 40 MG COM CT BL AL PLAS INC X 20, FAS
508709904131114, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 50 MG/ML SOL OR CT FR VD AMB X 100 ML, FAS
508709905111117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 100 (EMB MULT), FAS
508709906118115, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 20, FAS
508709907114113, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 200 (EMB MULT), FAS
508709908110111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 4, FAS
508709909117111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 40, FAS
508709910115117, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 8, FAS
508709901132111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, FAS
508709902139118, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML, FAS
508709903135116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, FAS
