511207001178413; GLICERINA 12%; GLICERINA 12; NOT FOUND; 120 MG/ML SOL CX 20 BOLS PE TRANS X 500 ML + 20 APLIC; H_I
511206701151412; GLICOSE 75%; GLICOSE 75; NOT FOUND; 750 MG/ML SOL INJ IV CX 100 AMP VD INC X 5 ML; H_I
511206704159414; GLICOSE 75%; GLICOSE 75; NOT FOUND; 750 MG/ ML SOL INJ IV CX 200 AMP PLAS TRANS X 5 ML; H_I
511214090025603; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 100MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 1000 ML; H_I
511214090025703; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 100MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 1000 ML; H_I
511214090025203; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 100MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 250 ML; H_I
511214090025303; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 100MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 250 ML; H_I
511214090025403; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 100MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 500 ML; H_I
511214090025503; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 100MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 500 ML; H_I
511212080023103; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV CX 80 BOLS PP TRANS SIST FECH X 100 ML (EMB HOSP); H_I
511212080023203; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV CX 80 BOLS PVC TRANS SIST FECH X 100 ML (EMB HOSP); H_I
511212080023303; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV CX 80 BOLS PE TRANS SIST FECH X 100 ML (EMB HOSP); H_I
511214090025803; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 100 ML; H_I
511214090025903; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 100 ML; H_I
511214090026003; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 100 ML; H_I
511214090026703; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 1000 ML; H_I
511214090026803; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 1000 ML; H_I
511214090026903; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 1000 ML; H_I
511214090026103; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 250 ML ; H_I
511214090026203; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 250 ML; H_I
511214090026303; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 250 ML; H_I
511214090026403; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 500 ML; H_I
511214090026503; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 500 ML; H_I
511214090026603; GLICOSE  HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 500 ML; H_I
