511205401152113, CEFALOTINA SÓDICA, CEFALOTINA SODICA, CEFALOTINA SODICA, 1 G PO P/ SOL INJ CT 10 FA VD INC + 10 BOLS PP TRANS SIST FECH X 100 ML + CONECTOR (EMB HOSP), H_I
511205503151418, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV CX 10 BOLS PE TRANS SIST FECH X 1000 ML  , H_I
511205506159411, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV CX 10 BOLS PP TRANS SIST FECH X 1000 ML, H_I
511214090028403, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 1000 ML , H_I
511214090028503, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 1000 ML , H_I
511214090028603, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ BOLS PVC TRANS SIST FECH X 1000 ML , H_I
511205502153417, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV CX 06 BOLS PE TRANS SIST FECH X 2000 ML  , H_I
511201103157416, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV CX 40 BOLS PVC TRANS SIST FECH X 250 ML, H_I
511205505152411, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV CX 40 BOLS PE TRANS SIST FECH X 250 ML  , H_I
511205508151416, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV CX 40 BOLS PP TRANS SIST FECH X 250 ML, H_I
511214090027803, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH 250 ML, H_I
511214090027903, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 250 ML, H_I
511214090028003, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 250 ML, H_I
511201105151415, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV CX 72 BOLS PVC TRANS SIST FECH X 50 ML, H_I
511201104153414, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV CX 20 BOLS PVC TRANS SIST FECH X 500 ML, H_I
511205504156413, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV CX 20 BOLS PE TRANS SIST FECH X 500 ML  , H_I
511205507155418, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV CX 20 BOLS PP TRANS SIST FECH X 500 ML, H_I
511214090028103, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 500 ML, H_I
511214090028203, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 500 ML , H_I
511214090028303, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 500 ML  , H_I
511213100023806, CLORIDRATO DE LIDOCAINA, CLORIDRATO LIDOCAINA, CLORIDRATO LIDOCAINA, 10 MG / ML SOL INJ CX 200 AMP PLAS TRANS X 5 ML (EMB HOSP), H_I
511213100023706, CLORIDRATO DE LIDOCAINA, CLORIDRATO LIDOCAINA, CLORIDRATO LIDOCAINA, 20 MG / ML SOL INJ CT 100 FA VD TRANS X 20 ML (EMB HOSP), H_I
511206301151113, CLORIDRATO DE ONDANSETRONA, CLORIDRATO ONDANSETRONA, CLORIDRATO ONDANSETRONA, 2 MG/ML SOL INJ CT 01 AMP VD AMB X 2 ML, H_I
511206302158111, CLORIDRATO DE ONDANSETRONA, CLORIDRATO ONDANSETRONA, CLORIDRATO ONDANSETRONA, 2 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP), H_I
511206303154111, CLORIDRATO DE ONDANSETRONA, CLORIDRATO ONDANSETRONA, CLORIDRATO ONDANSETRONA, 2 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP), H_I
511206304150118, CLORIDRATO DE ONDANSETRONA, CLORIDRATO ONDANSETRONA, CLORIDRATO ONDANSETRONA, 2 MG/ML SOL INJ CT 1 AMP VD AMB X 4 ML, H_I
511206305157116, CLORIDRATO DE ONDANSETRONA, CLORIDRATO ONDANSETRONA, CLORIDRATO ONDANSETRONA, 2 MG/ML SOL INJ CX 50 AMP VD AMB X 4 ML (EMB HOSP), H_I
511206306153114, CLORIDRATO DE ONDANSETRONA, CLORIDRATO ONDANSETRONA, CLORIDRATO ONDANSETRONA, 2 MG/ML SOL INJ CX 100 AMP VD AMB X 4 ML (EMB HOSP), H_I
511213110024006, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 50 MG/ML SOL INJ CX 100 AMP VD TRANS X 1 ML, H_I
511213110024106, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 50 MG/ML SOL INJ CX 100 AMP VD TRANS X 2 ML , H_I
511212080023003, CYMEVIR, CYMEVIR, NOT FOUND, 1.0 MG/ML SOL INJ CT 01 BOLS PLAS X 100 ML(PRE DILUIDA EM CLORETO DE SODIO), H_I
511205101159317, CYMEVIR, CYMEVIR, NOT FOUND, 1 MG/ML SOL INJ CT BOLS PLAS X 250 ML(PRE-DIL CLORETO DE SODIO), H_I
511205103151313, CYMEVIR, CYMEVIR, NOT FOUND, 1 MG/ML SOL INJ CT BOLS PLAS X 500 ML(PRE-DIL CLORETO DE SODIO), H_I
