47562, PANTEVIT , PANTEVIT, NOT FOUND, SOLN 150 ML x 1, E3S
60856, POLICLAVUMOXIL BD , POLICLAVUMOXIL BD, NOT FOUND, CPR REVEST 875 MG x 12 (/125), E3S
106115, POMAGLOS AMENDOAS , POMAGLOS AMENDOAS, NOT FOUND, CREME 45 G x 1, E3S
90826, PONDIX , PONDIX, NOT FOUND, CPR REVEST 20 MG x 30, E3S
77281, PRAZY , PRAZY, NOT FOUND, CPR REVEST 40 MG x 28, E3S
77280, PRAZY , PRAZY, NOT FOUND, CPR REVEST 20 MG x 28, E3S
8563, PREDMICIN , PREDMICIN, NOT FOUND, CREME 15 G x 1, E3S
89934, PREDNISOLONA MG , PREDNISOLONA, PREDNISOLONA, CPR 20 MG x 10, E3S
63664, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 5 MG x 20, E3S
63665, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 20 MG x 10, E3S
69967, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 20 MG x 30, E3S
69968, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 5 MG x 60, E3S
64414, PREG-LESS , PREG LESS, NOT FOUND, A.IM RETARD 1 ML x 1, E3S
60722, PREM , PREM, NOT FOUND, CPR REVEST 0.625 MG x 60, E3S
57552, PREMPRO BIFASICO , PREMPRO BIFASICO, NOT FOUND, CPR REVEST x 28, E3S
66549, PREVIDEZ 2 , PREVIDEZ 2, NOT FOUND, CPR 0.75 MG x 2, E3S
60533, PRILCOR , PRILCOR, NOT FOUND, CPR REVEST 10 MG x 30, E3S
60534, PRILCOR , PRILCOR, NOT FOUND, CPR REVEST 20 MG x 30, E3S
60536, PRILCOR , PRILCOR, NOT FOUND, CPR REVEST 5 MG x 30, E3S
63191, PRILCOR , PRILCOR, NOT FOUND, CPR REVEST 30 MG x 20, E3S
62273, PROFLOX , PROFLOX, NOT FOUND, CPR REVEST 500 MG x 14, E3S
53284, PROFLOX , PROFLOX, NOT FOUND, CPR REVEST 500 MG x 10, E3S
53285, PROFLOX , PROFLOX, NOT FOUND, CPR REVEST 750 MG x 10, E3S
53283, PROFLOX , PROFLOX, NOT FOUND, CPR REVEST 250 MG x 10, E3S
62274, PROFLOX , PROFLOX, NOT FOUND, CPR REVEST 250 MG x 14, E3S
66550, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, CREME 0.50 MG 30 G x 1 (/G), E3S
66551, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, POM. 0.50 MG 30 G x 1 (/G), E3S
67742, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, SOLN CAPIL 0.50 MG 50 G x 1 (/G), E3S
51514, PROPRANOLOL , PROPRANOLOL, PROPRANOLOL, CPR 40 MG x 30, E3S
51513, PROPRANOLOL , PROPRANOLOL, PROPRANOLOL, CPR 10 MG x 30, E3S
51515, PROPRANOLOL , PROPRANOLOL, PROPRANOLOL, CPR 80 MG x 30, E3S
47106, PROPRANOLOL , PROPRANOLOL, PROPRANOLOL, AMP. 1 MG 1 ML x 10, E3S
