45456; A.SAUDE DA MULHER ; A SAUDE MULHER; NOT FOUND; SOLN 150 ML x 1; E3S
60833; AMOX-EMS ; AMOX EMS; NOT FOUND; SUSP 500 MG 150 ML x 1 (/5ML); E3S
59935; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; CPR REVEST 500 MG x 12 (/125); E3S
59936; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; CPR REVEST 500 MG x 18 (/125); E3S
69641; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; CPR REVEST 500 MG x 30 (/125); E3S
73129; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; CPR REVEST 875 MG x 12 (/125); E3S
73128; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; CPR REVEST 875 MG x 14 (/125); E3S
59686; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; PO P/SUSP 125 MG 75 ML x 1 (/5M; E3S
59687; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; PO P/SUSP 250 MG 75 ML x 1 (/5M; E3S
73917; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; SUSP ORAL 400 MG 70 ML x 1 (/57; E3S
57001; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 15; E3S
57002; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 21; E3S
70397; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 30; E3S
69639; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 72; E3S
71860; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CPR 500 MG x 21; E3S
71861; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CPR 500 MG x 72; E3S
69640; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CPR BD 875 MG x 30; E3S
64156; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CPR REVEST 875 MG x 14; E3S
57003; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; SUSP 250 MG 150 ML x 1 (/5ML); E3S
62937; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; SUSP 500 MG 150 ML x 1 (/5ML); E3S
62403; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; SUSP ORAL BD 400 MG 100 ML x 1 (/5M; E3S
56088; AMPICILINA MG ; AMPICILINA; AMPICILINA; CPR 500 MG x 12; E3S
56089; AMPICILINA MG ; AMPICILINA; AMPICILINA; CPR 500 MG x 24; E3S
69642; AMPICILINA MG ; AMPICILINA; AMPICILINA; CPR 500 MG x 48; E3S
56087; AMPICILINA MG ; AMPICILINA; AMPICILINA; CPR 500 MG x 6; E3S
56091; AMPICILINA MG ; AMPICILINA; AMPICILINA; SUSP ORAL 250 MG 150 ML x 1 (/5ML); E3S
56090; AMPICILINA MG ; AMPICILINA; AMPICILINA; SUSP ORAL 250 MG 60 ML x 1 (/5ML); E3S
68639; ANAEROCID ; ANAEROCID; NOT FOUND; CAPS 300 MG x 16; E3S
68640; ANAEROCID ; ANAEROCID; NOT FOUND; CAPS 300 MG x 30; E3S
68641; ANAEROCID ; ANAEROCID; NOT FOUND; CR.VAG.3 APL 20 MG 20 G x 1 (/G); E3S
68642; ANAEROCID ; ANAEROCID; NOT FOUND; CR.VAG.7 APL 20 MG 40 G x 1 (/G); E3S
63620; ANLO ; ANLO; NOT FOUND; CPR 10 MG x 30; E3S
63619; ANLO ; ANLO; NOT FOUND; CPR 5 MG x 30; E3S
78196; ANTIVIRAX ; ANTIVIRAX; NOT FOUND; CPR 200 MG x 25; E3S
53203; ANTIVIRAX ; ANTIVIRAX; NOT FOUND; CPR 200 MG x 30; E3S
53204; ANTIVIRAX ; ANTIVIRAX; NOT FOUND; CREME 50 MG 10 G x 1 (/G); E3S
48156; APEVITIN BC ; APEVITIN BC; NOT FOUND; LIQD 240 ML x 1; E3S
104598; AREMAZ ; AREMAZ; NOT FOUND; XAROPE 7 MG 100 ML x 1 (/ML); E3S
63728; ARTEMIDIS 35 ; ARTEMIDIS 35; NOT FOUND; CPR REVEST x 21; E3S
76633; ARTOGLICO ; ARTOGLICO; NOT FOUND; SACHETS 1.50 G x 30; E3S
57011; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 100 MG x 28; E3S
64392; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 100 MG x 30; E3S
69646; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 100 MG x 60; E3S
69903; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 100 MG x 90; E3S
62917; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 25 MG x 30; E3S
64837; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 25 MG x 60; E3S
57010; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 50 MG x 28; E3S
64393; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 50 MG x 30; E3S
69645; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 50 MG x 60; E3S
63691; ATENOLOL+CLORTA.MG ; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 30 (/50); E3S
70740; ATENOLOL+CLORTA.MG ; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 90 (/50); E3S
63692; ATENOLOL+CLORTA.MG ; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 30 (/100); E3S
70741; ATENOLOL+CLORTA.MG ; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 90 (/100); E3S
78270; ATORVASTATINA MG ; ATORVASTATINA; ATORVASTATINA; CPR REVEST 10 MG x 30; E3S
78271; ATORVASTATINA MG ; ATORVASTATINA; ATORVASTATINA; CPR REVEST 10 MG x 60; E3S
78272; ATORVASTATINA MG ; ATORVASTATINA; ATORVASTATINA; CPR REVEST 20 MG x 30; E3S
78273; ATORVASTATINA MG ; ATORVASTATINA; ATORVASTATINA; CPR REVEST 20 MG x 60; E3S
78274; ATORVASTATINA MG ; ATORVASTATINA; ATORVASTATINA; CPR REVEST 40 MG x 30; E3S
78275; ATORVASTATINA MG ; ATORVASTATINA; ATORVASTATINA; CPR REVEST 40 MG x 60; E3S
78276; ATORVASTATINA MG ; ATORVASTATINA; ATORVASTATINA; CPR REVEST 80 MG x 30; E3S
57455; AZELAST ; AZELAST; NOT FOUND; SPRAY NASAL 1 MG 10 ML x 1 (/ML); E3S
56678; AZI ; AZI; NOT FOUND; CPR 1000 MG x 1; E3S
56677; AZI ; AZI; NOT FOUND; CPR 500 MG x 3; E3S
62301; AZI ; AZI; NOT FOUND; CPR 500 MG x 5; E3S
73805; AZI ; AZI; NOT FOUND; CPR REV PUL 500 MG x 9; E3S
67029; AZI ; AZI; NOT FOUND; PO P/SUSP 600 MG 15 ML x 1; E3S
56676; AZI ; AZI; NOT FOUND; SUSP 1.50 G 33.5 ML x 1; E3S
56679; AZI ; AZI; NOT FOUND; SUSP 900 MG 22.5 ML x 1; E3S
62300; AZI ; AZI; NOT FOUND; SUSP SD 1500 MG 37.5 ML x 1; E3S
62299; AZI ; AZI; NOT FOUND; SUSP SD 900 MG 22.5 ML x 1; E3S
57986; AZINOSTIL ; AZINOSTIL; NOT FOUND; CPR 500 MG x 3; E3S
71863; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 1 G x 30; E3S
62930; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 2; E3S
58907; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 3; E3S
71605; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 30; E3S
61428; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; PO P/SUSP 600 MG 15 ML x 1; E3S
61429; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; PO P/SUSP 900 MG 22.5 ML x 1; E3S
