59843; DAFORIN ; DAFORIN; NOT FOUND; CAPS 10 MG x 20; E3S
90998; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; CPR REVEST 5 MG x 30; E3S
77156; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; XAR. 0.50 MG 100 ML x 1 (/ML); E3S
77155; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; XAR. 0.50 MG 60 ML x 1 (/ML); E3S
73287; DESOGES+ETINILE.MG ; DESOGES ETINILE; NOT FOUND; CPR 20 Y x 21 (/150); E3S
73286; DESOGES+ETINILE.MG ; DESOGES ETINILE; NOT FOUND; CPR 30 Y x 21 (/150); E3S
65468; DESONIDA MG ; DESONIDA; DESONIDA; CREME 0.50 MG 30 G x 1 (/G); E3S
67374; DESONIDA MG ; DESONIDA; DESONIDA; LOC. 0.50 MG 60 G x 1 (/G); E3S
68103; DESONIDA MG ; DESONIDA; DESONIDA; LOC. 1 MG 30 G x 1 (/G); E3S
65469; DESONIDA MG ; DESONIDA; DESONIDA; POM. 0.50 MG 30 G x 1 (/G); E3S
76500; DESTADIN ; DESTADIN; NOT FOUND; CPR REVEST 5 MG x 10; E3S
92437; DESTADIN ; DESTADIN; NOT FOUND; CPR REVEST 5 MG x 30; E3S
76781; DESTADIN ; DESTADIN; NOT FOUND; XAR. 0.50 MG 100 ML x 1 (/ML); E3S
76780; DESTADIN ; DESTADIN; NOT FOUND; XAR. 0.50 MG 60 ML x 1 (/ML); E3S
66127; DEXAMETASONA MG ; DEXAMETASONA; DEXAMETASONA; CPR 0.50 MG x 20; E3S
66128; DEXAMETASONA MG ; DEXAMETASONA; DEXAMETASONA; CPR 0.75 MG x 20; E3S
66129; DEXAMETASONA MG ; DEXAMETASONA; DEXAMETASONA; CPR 4 MG x 10; E3S
58708; DEXAMETASONA MG ; DEXAMETASONA; DEXAMETASONA; ELIXIR 0.10 MG 120 ML x 1 (/ML); E3S
29183; DIALUDON ; DIALUDON; NOT FOUND; CPR x 20; E3S
62777; DIAZEFAST ; DIAZEFAST; NOT FOUND; CPR 10 MG x 20; E3S
62776; DIAZEFAST ; DIAZEFAST; NOT FOUND; CPR 5 MG x 20; E3S
59067; DIAZEPAM MG ; DIAZEPAM; DIAZEPAM; CPR 10 MG x 20; E3S
95677; DIAZEPAM MG ; DIAZEPAM; DIAZEPAM; CPR 10 MG x 30; E3S
59066; DIAZEPAM MG ; DIAZEPAM; DIAZEPAM; CPR 5 MG x 20; E3S
48548; DIAZEPAN NQ ; DIAZEPAN NQ; NOT FOUND; AMP. 2 ML x 1; E3S
29126; DIAZEPAN NQ ; DIAZEPAN NQ; NOT FOUND; CPR 10 MG x 20; E3S
3229; DIAZEPAN NQ ; DIAZEPAN NQ; NOT FOUND; CPR 5 MG x 20; E3S
44664; DIAZOL ; DIAZOL; NOT FOUND; CPR 400 MG x 12 (/80); E3S
44665; DIAZOL ; DIAZOL; NOT FOUND; SUSP 240 MG 60 ML x 1 (/5ML); E3S
154143; DICL PRAMIPEXOL MG ; DICL PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; CPR 0.25 MG x 30; E3S
158157; DICL PRAMIPEXOL MG ; DICL PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; CPR 1 MG x 30; E3S
67099; DICLOF.COLESTIR.MG ; DICLOF COLESTIR; NOT FOUND; CAPS 70 MG x 10; E3S
66537; DICLOF.COLESTIR.MG ; DICLOF COLESTIR; NOT FOUND; CAPS 70 MG x 14; E3S
66538; DICLOF.COLESTIR.MG ; DICLOF COLESTIR; NOT FOUND; CAPS 70 MG x 20; E3S
71460; DICLOF.COLESTIR.MG ; DICLOF COLESTIR; NOT FOUND; CAPS 70 MG x 66; E3S
64572; DICLOF.RESINATO MG ; DICLOF RESINATO; NOT FOUND; GOTAS 50 MG 20 ML x 1 (/ML); E3S
68401; DICLOF.SODI.GEL MG ; DICLOF SODI GEL; NOT FOUND; GEL. 10 MG 60 G x 1 (/G); E3S
61966; DICLOFEN.DIETIL.MG ; DICLOFEN DIETIL; DICLOFENACO DIETILAMONIO; GEL. 11.6 MG 60 G x 1 (/G); E3S
58391; DICLOFEN.POTASI MG ; DICLOFEN POTASI; NOT FOUND; CPR 50 MG x 20; E3S
67148; DICLOFEN.POTASI MG ; DICLOFEN POTASI; NOT FOUND; CPR REVEST 50 MG x 10; E3S
69935; DICLOFEN.POTASI MG ; DICLOFEN POTASI; NOT FOUND; CPR REVEST 50 MG x 60; E3S
58114; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; CPR REVEST 100 MG x 10; E3S
76253; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; CPR REVEST 100 MG x 20; E3S
57508; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; CPR REVEST 50 MG x 20; E3S
72183; DICLOSTIR ; DICLOSTIR; NOT FOUND; CAPS 70 MG x 10; E3S
72184; DICLOSTIR ; DICLOSTIR; NOT FOUND; CAPS 70 MG x 14; E3S
72182; DICLOSTIR ; DICLOSTIR; NOT FOUND; CAPS 70 MG x 20; E3S
32180; DIGECAP-ZIMATICO ; DIGECAP ZIMATICO; NOT FOUND; CAPS x 20; E3S
73822; DILTIPRESS ; DILTIPRESS; NOT FOUND; CPR 30 MG x 50; E3S
73821; DILTIPRESS ; DILTIPRESS; NOT FOUND; CPR 60 MG x 50; E3S
64465; DIMET+MET.HOMAT.MG ; DIMET MET HOMAT; NOT FOUND; GOTAS 2.50 MG 20 ML x 1 (/80); E3S
65157; DIMETICONA MG ; DIMETICONA; DIMETICONA; CAPS 125 MG x 10; E3S
63654; DIMETICONA MG ; DIMETICONA; DIMETICONA; CPR 40 MG x 20; E3S
64349; DIMETICONA MG ; DIMETICONA; DIMETICONA; GOTAS 75 MG 15 ML x 1 (/ML); E3S
61520; DIMETILIV ; DIMETILIV; NOT FOUND; CAPS MAX 125 MG x 10; E3S
61521; DIMETILIV ; DIMETILIV; NOT FOUND; CPR 40 MG x 20; E3S
61522; DIMETILIV ; DIMETILIV; NOT FOUND; GOTAS 75 MG 15 ML x 1 (/ML); E3S
76782; DIP SOD+ISO+CAF.MG ; DIP SOD ISO CAF; NOT FOUND; GOTAS 15 ML x 1; E3S
63841; DIP.BET+AC.SALI MG ; DIP BET AC SALI; NOT FOUND; POM. 30 G x 1; E3S
66539; DIP.BET+SUL.GEN.MG ; DIP BET SUL GEN; NOT FOUND; CREME 30 G x 1; E3S
66540; DIP.BET+SUL.GEN.MG ; DIP BET SUL GEN; NOT FOUND; POM. 30 G x 1; E3S
32850; DIPIRONA ; DIPIRONA; DIPIRONA; GOTAS 500 MG 10 ML x 1 (/ML); E3S
58941; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; CPR DISPLAY 500 MG x 240; E3S
56575; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); E3S
56576; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); E3S
69141; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; SOLN ORAL 50 MG 100 ML x 1 (/M; E3S
66541; DIPROP.BETAMETA.MG ; DIPROP BETAMETA; NOT FOUND; CREME DERMAT 0.64 MG 30 G x 1 (; E3S
67461; DIPROP.BETAMETA.MG ; DIPROP BETAMETA; NOT FOUND; POM. 0.64 MG 30 G x 1 (/G); E3S
78658; DOMPERIDONA MG ; DOMPERIDONA; DOMPERIDONA; CPR 10 MG x 30; E3S
78659; DOMPERIDONA MG ; DOMPERIDONA; DOMPERIDONA; CPR 10 MG x 60; E3S
78656; DOMPLIV ; DOMPLIV; NOT FOUND; CPR 10 MG x 30; E3S
78657; DOMPLIV ; DOMPLIV; NOT FOUND; CPR 10 MG x 60; E3S
3523; DORICIN ; DORICIN; NOT FOUND; CPR x 120; E3S
93546; DORICIN ; DORICIN; NOT FOUND; CPR x 240; E3S
3524; DORICIN ; DORICIN; NOT FOUND; GOTAS 10 ML x 1; E3S
78842; DORICIN ; DORICIN; NOT FOUND; GOTAS 20 ML x 1; E3S
49739; DORSPAN ; DORSPAN; NOT FOUND; DRAG x 20; E3S
49740; DORSPAN ; DORSPAN; NOT FOUND; GOTAS 20 ML x 1; E3S
33777; DOXAL ; DOXAL; NOT FOUND; DRAG x 20; E3S
85985; DROSPI+ETINILES MG ; DROSPI ETINILES; NOT FOUND; CPR REVEST 3 MG x 21 (/.03); E3S
