61789, SALVELOX , SALVELOX, NOT FOUND, SPRAY 50 ML x 1, E3S
77935, SOLLEVARE , SOLLEVARE, NOT FOUND, CPR REVEST 100 MG x 2, E3S
77936, SOLLEVARE , SOLLEVARE, NOT FOUND, CPR REVEST 100 MG x 4, E3S
77926, SOLLEVARE , SOLLEVARE, NOT FOUND, CPR REVEST 25 MG x 1, E3S
77927, SOLLEVARE , SOLLEVARE, NOT FOUND, CPR REVEST 25 MG x 2, E3S
77928, SOLLEVARE , SOLLEVARE, NOT FOUND, CPR REVEST 25 MG x 4, E3S
77929, SOLLEVARE , SOLLEVARE, NOT FOUND, CPR REVEST 50 MG x 1, E3S
77933, SOLLEVARE , SOLLEVARE, NOT FOUND, CPR REVEST 50 MG x 12, E3S
77930, SOLLEVARE , SOLLEVARE, NOT FOUND, CPR REVEST 50 MG x 2, E3S
77931, SOLLEVARE , SOLLEVARE, NOT FOUND, CPR REVEST 50 MG x 4, E3S
77932, SOLLEVARE , SOLLEVARE, NOT FOUND, CPR REVEST 50 MG x 8, E3S
52946, SOMALGIN , SOMALGIN, NOT FOUND, CPR 100 MG x 32, E3S
52947, SOMALGIN , SOMALGIN, NOT FOUND, CPR 325 MG x 32, E3S
46478, SOMALGIN , SOMALGIN, NOT FOUND, CPR 500 MG x 20, E3S
51674, SOMALGIN CARDIO , SOMALGIN CARDIO, NOT FOUND, CPR 100 MG x 32, E3S
52777, SOMALGIN CARDIO , SOMALGIN CARDIO, NOT FOUND, CPR 325 MG x 32, E3S
66553, SOMALGIN CARDIO , SOMALGIN CARDIO, NOT FOUND, CPR REVEST 162 MG x 32, E3S
66552, SOMALGIN CARDIO , SOMALGIN CARDIO, NOT FOUND, CPR REVEST 200 MG x 32, E3S
67261, SOMALGIN CARDIO , SOMALGIN CARDIO, NOT FOUND, CPR REVEST 81 MG x 32, E3S
47954, SOMINEX , SOMINEX, NOT FOUND, CPR x 20, E3S
84730, SOMINEX COMPOSTO , SOMINEX COMPOSTO, NOT FOUND, CPR x 20, E3S
9643, SONEBON , SONEBON, NOT FOUND, CPR 5 MG x 20, E3S
60078, STILUX , STILUX, NOT FOUND, GOTAS OFTAL 20 ML x 1, E3S
76266, SU GENT+F D BET MG , SU GENT F D BET, NOT FOUND, GOTAS OFTAL 10 ML x 1, E3S
59345, SUCRAFILM , SUCRAFILM, NOT FOUND, CPR MASC 1 G x 30, E3S
59346, SUCRAFILM , SUCRAFILM, NOT FOUND, FLACONETES 200 MG 10 ML x 20 (/ML), E3S
56650, SULF SALBUTAMOL MG , SULF SALBUTAMOL, NOT FOUND, XAROPE 2 MG 120 ML x 1 (/5ML), E3S
58786, SULF.NEOM+BACIT.MG , SULF NEOM BACIT, NOT FOUND, POM. 15 G x 1, E3S
58785, SULF.NEOM+BACIT.MG , SULF NEOM BACIT, NOT FOUND, POM. 50 G x 1, E3S
71735, SULF.SALB+GUAIF.MG , SULF SALB GUAIF, NOT FOUND, SOLN ORAL 120 ML x 1, E3S
58787, SULFAMET+TRIMET.MG , SULFAMET TRIMET, NOT FOUND, SUSP 240 MG 100 ML x 1 (/5ML), E3S
73527, SULFATO TERBUTA.MG , SULFATO TERBUTA, SULFATO TERBUTALINA, XAROPE 0.30 MG 100 ML x 1 (/ML), E3S
78151, SULGLIC , SULGLIC, NOT FOUND, PO.SACHET 1.50 G x 30, E3S
71680, SUPLASYN , SUPLASYN, NOT FOUND, SER PREENCH 20 MG 2 ML x 1, E3S
82918, SUPLEVIT , SUPLEVIT, NOT FOUND, CPR REV . x 60, E3S
9944, SUPLEVIT , SUPLEVIT, NOT FOUND, DRAG x 20, E3S
9943, SUPLEVIT , SUPLEVIT, NOT FOUND, SOLN 120 ML x 1, E3S
140254, SUPLEVIT C FOR , SUPLEVIT C FOR, NOT FOUND, CPR EFERV x 16, E3S
140257, SUPLEVIT C PRE EFE , SUPLEVIT C PRE EFE, NOT FOUND, CPR EFERV 2 G x 10, E3S
140259, SUPLEVIT C PREVENT , SUPLEVIT C PREVENT, NOT FOUND, CPR EFERV 1 G x 10, E3S
140260, SUPLEVIT C PREVENT , SUPLEVIT C PREVENT, NOT FOUND, GOTAS 200 MG 20 ML x 1 (/ML), E3S
140262, SUPLEVIT C ZINCO , SUPLEVIT C ZINCO, NOT FOUND, CPR EFERV x 10, E3S
140267, SUPLEVIT C ZINCO , SUPLEVIT C ZINCO, NOT FOUND, CPR EFERV x 30, E3S
74924, SUPRICAL D , SUPRICAL D, NOT FOUND, CPR REVEST x 75, E3S
77987, SUVVIA , SUVVIA, NOT FOUND, CPR REVEST 100 MG x 4, E3S
77937, SUVVIA , SUVVIA, NOT FOUND, CPR REVEST 50 MG x 1, E3S
77938, SUVVIA , SUVVIA, NOT FOUND, CPR REVEST 50 MG x 2, E3S
77939, SUVVIA , SUVVIA, NOT FOUND, CPR REVEST 50 MG x 4, E3S
77940, SUVVIA , SUVVIA, NOT FOUND, CPR REVEST 50 MG x 8, E3S
