501602401135312, RETEMIC, RETEMIC, NOT FOUND, 1 MG/ML FRASCO C/ 120 ML XAROPE, APS
501602403111313, RETEMIC, RETEMIC, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 60, APS
501603801110315, RETEMIC UD, RETEMIC UD, NOT FOUND, 10 MG COM LIB CONT CT BL AL PLAS INC X 30 , APS
501602501113418, REUQUINOL, REUQUINOL, NOT FOUND, 400 MG CX C/ 30 COMP REVEST, APS
501602601118411, REUTREXATO, REUTREXATO, NOT FOUND, 2.5 MG CX C/ 24 COMP (8 BL X 3 COMP), APS
501602401135312, RETEMIC, RETEMIC, NOT FOUND, 1 MG/ML XPE CT FR VD AMB X 120 ML, APS
501602404134317, RETEMIC, RETEMIC, NOT FOUND, 1 MG/ML XPE CT FR VD AMB X 240 ML, APS
501602402115315, RETEMIC, RETEMIC, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 30, APS
501602403111313, RETEMIC, RETEMIC, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 60, APS
501603801110315, RETEMIC UD, RETEMIC UD, NOT FOUND, 10 MG COM LIB CONT CT BL AL PLAS INC X 30 , APS
501602501113418, REUQUINOL, REUQUINOL, NOT FOUND, 400 MG CX C/ 30 COMP REVEST, APS
501602601118411, REUTREXATO, REUTREXATO, NOT FOUND, 2.5 MG CX C/ 24 COMP (8 BL X 3 COMP), APS
501602401135312, RETEMIC, RETEMIC, NOT FOUND, 1 MG/ML XPE CT FR VD AMB X 120 ML, APS
501602404134317, RETEMIC, RETEMIC, NOT FOUND, 1 MG/ML XPE CT FR VD AMB X 240 ML, APS
501602402115315, RETEMIC, RETEMIC, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 30, APS
501602403111313, RETEMIC, RETEMIC, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 60, APS
501603801110315, RETEMIC UD, RETEMIC UD, NOT FOUND, 10 MG COM LIB CONT CT BL AL PLAS INC X 30 , APS
501602501113418, REUQUINOL, REUQUINOL, NOT FOUND, 400 MG CX C/ 30 COMP REVEST, APS
501602601118411, REUTREXATO, REUTREXATO, NOT FOUND, 2.5 MG CX C/ 24 COMP (8 BL X 3 COMP), APS
501602401135312, RETEMIC, RETEMIC, NOT FOUND, 1 MG/ML XPE CT FR VD AMB X 120 ML, APS
501602404134317, RETEMIC, RETEMIC, NOT FOUND, 1 MG/ML XPE CT FR VD AMB X 240 ML, APS
501603801110315, RETEMIC UD, RETEMIC UD, NOT FOUND, 10 MG COM LIB CONT CT BL AL PLAS INC X 30 , APS
501602402115315, RETEMIC, RETEMIC, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 30, APS
501602403111313, RETEMIC, RETEMIC, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 60, APS
501602601118411, REUTREXATO, REUTREXATO, NOT FOUND, 2.5 MG CX C/ 24 COMP (8 BL X 3 COMP), APS
501602501113418, REUQUINOL, REUQUINOL, NOT FOUND, 400 MG COM REV CT BL AL PLAS INC X 30, APS
501602401135312, RETEMIC, RETEMIC, NOT FOUND, 1 MG/ML XPE CT FR VD AMB X 120 ML, APS
501602404134317, RETEMIC, RETEMIC, NOT FOUND, 1 MG/ML XPE CT FR VD AMB X 240 ML, APS
501603801110315, RETEMIC UD, RETEMIC UD, NOT FOUND, 10 MG COM LIB CONT CT BL AL PLAS INC X 30 , APS
501602402115315, RETEMIC, RETEMIC, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 30, APS
501602403111313, RETEMIC, RETEMIC, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 60, APS
501602501113418, REUQUINOL, REUQUINOL, NOT FOUND, 400 MG COM REV CT BL AL PLAS INC X 30, APS
