526128901166118; BENZOILMETRONIDAZOL + NISTATINA + CLORETO DE BENZALCONIO; BENZOILMETRONIDAZOL NISTATINA CLORETO BENZALCONIO; NOT FOUND; 62.5MG/G + 25.000 UI/G + 1.25MG/G CREM VAG CT BG AL X 40G + 10 APLIC; GM2
526120101136111; BROMIDRATO DE FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 0.25 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; GM2
526120102132111; BROMIDRATO DE FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 0.5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED   ; GM2
526120103139118; BROMIDRATO DE FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 5 MG/ML SOL OR CT FR VD AMB GOT X 20 ML ; GM2
526120201130115; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 1 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED ; GM2
526120203117116; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 20; GM2
526120202137113; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 4 MG/ML SOL OR CT FR VD AMB X 20 ML + CGT; GM2
526115901138112; BUTILBROMETO DE ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; 10 MG/ML SOL OR CT FR VD AMB GOT X 20ML; GM2
526126401131114; BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA; BUTILBROMETO ESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 6.67 MG/ML + 333.4 MG/ML SOL OR CT FR VD AMB GOT X 20 ML ; GM2
526134501174411; BIANCORT; BIANCORT; NOT FOUND; 3.5 MG/ML + 1.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; GM2
526101301133411; BISMU-JET; BISMU JET; NOT FOUND; 25 MG/ML + 25MG/ML + 15 MG/ML SUS OR FR PLAS OPC GOT X 20 ML; GM2
526101407136422; BROMIL; BROMIL; NOT FOUND; XPE ADU FR X 150ML; GM2
526101408132420; BROMIL; BROMIL; NOT FOUND; XPE INF FR X 150ML; GM2
526101404110422; BROMIL; BROMIL; NOT FOUND; PAST 1STP X 10 LIMAO; GM2
526101405117420; BROMIL; BROMIL; NOT FOUND; PAST 1STP X 10 MENTA; GM2
526100901161418; BALSAMO BENGUE; BALSAMO BENGUE; NOT FOUND; 0.100 G+0.150 G/G GEL CT BG AL X 20 G; GM2
526100902168416; BALSAMO BENGUE; BALSAMO BENGUE; NOT FOUND; 0.250 G+0.250 G/G POM CT BG AL X 20 G; GM2
526100903172417; BALSAMO BENGUE; BALSAMO BENGUE; NOT FOUND; 10.000 MG + 50.000 MG SOL AER TOP CT FILME POLIET TB AL X 60 G; GM2
