526114702115114, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20MG 1BLT C/ 14 COMP, GM2
526121909137111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200MG/ML SOL ORAL GTS 15ML, GM2
526121908130111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 32 MG/ML SUS OR CT FR PLAS TRANS X 60 ML + CP MED, GM2
526121903112115, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM REV CT BL AL PLAS LEIT X 100 (EMB HOSP), GM2
526121904119113, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM REV CT BL AL PLAS LEIT X 200 (EMB HOSP), GM2
526121905115111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM REV CT BL AL PLAS LEIT X 20, GM2
526121906111111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM REV CT BL AL PLAS LEIT X 200 (EMB HOSP), GM2
526128401112116, PARACETAMOL + CAFEÍNA, PARACETAMOL CAFEINA, NOT FOUND, 500 MG + 65 MG COM REV CT BL AL PLAS LEIT X 20 , GM2
526128101119115, PARACETAMOL + CLORIDRATO DE PSEUDOEFEDRINA, PARACETAMOL CLORIDRATO PSEUDOEFEDRINA, NOT FOUND, 500 MG + 30 MG COM REV CT BL AL PLAS OPC X 24, GM2
526113403114118, PENTOXIFILINA, PENTOXIFILINA, PENTOXIFILINA, 400 MG COM REV CT BL AL PLAS INC X 30, GM2
526113401111111, PENTOXIFILINA, PENTOXIFILINA, PENTOXIFILINA, 400MG COM REVES CT BL AL PLAS INC X 20, GM2
526113402118111, PENTOXIFILINA, PENTOXIFILINA, PENTOXIFILINA, 600MG COM REVES CT BL AL PLAS INC X 20, GM2
526109601111419, PENVIR, PENVIR, NOT FOUND, 125MG 1 BL X 10 COMP, GM2
526109602116414, PENVIR, PENVIR, NOT FOUND, 500MG 2 BL X 7 COMP, GM2
526109604161417, PENVIR, PENVIR, NOT FOUND, BINS X 5G LABIA, GM2
526109702137413, PEPSOGEL, PEPSOGEL, NOT FOUND, SUSP FR X 240ML, GM2
526113701115112, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA CT BL AL PLAS INC X 10, GM2
526113702111110, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA CT BL AL PLAS INC X 15, GM2
526113703169112, PIROXICAM, PIROXICAM, PIROXICAM, 5 MG/G GEL CT BG AL X 30 G, GM2
526109901113115, PREDNISONA, PREDNISONA, PREDNISONA, 20MG 1BL X 10 COMP, GM2
526109902111116, PREDNISONA, PREDNISONA, PREDNISONA, 5MG 2BL X 10 COMP, GM2
526110102113411, PREMPRO, PREMPRO, NOT FOUND, 2.5MG 1BL X 28 COMP REV MONOF., GM2
526110101117411, PREMPRO, PREMPRO, NOT FOUND, 5MG 1BL X 28 COMP REV BIF, GM2
526110103111410, PREMPRO, PREMPRO, NOT FOUND, 5MG 1BL X 28 COMP REV MONOF., GM2
526117803176113, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5 MG/G SOL CAP CT FR PLAS OPC GOT X 50 G, GM2
526117801165114, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5MG CR BIS C/ 30G, GM2
526117802161112, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5MG POM BIS C/ 30G, GM2
526114702115114, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20MG 1BLT C/ 14 COMP, GM2
526114703111112, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20MG 2BLT C/ 14 COMP, GM2
526114704118110, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40MG 1BLT C/ 14COMP, GM2
526114701119116, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40MG COM REVES CT BL AL PLAS BCO LEIT X 28, GM2
526121902132112, PARACETAMOL, PARACETAMOL, PARACETAMOL, 100 MG/G PO PREP EXT CT 25 SACH AL POLIET X 5G (EMB FRAC), GM2
526121907134113, PARACETAMOL, PARACETAMOL, PARACETAMOL, 100 MG/ML SUS OR CT FR PLAS TRANS X 15 ML + SER DOSAD, GM2
526121909137111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200MG/ML SOL ORAL GTS 15ML, GM2
526121908130111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 32 MG/ML SUS OR CT FR PLAS TRANS X 60 ML + CP MED, GM2
526121903112115, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM REV CT BL AL PLAS LEIT X 100 (EMB HOSP), GM2
526121904119113, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM REV CT BL AL PLAS LEIT X 200 (EMB HOSP), GM2
526121905115111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM REV CT BL AL PLAS LEIT X 20, GM2
526121906111111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM REV CT BL AL PLAS LEIT X 200 (EMB HOSP), GM2
526128401112116, PARACETAMOL + CAFEÍNA, PARACETAMOL CAFEINA, NOT FOUND, 500 MG + 65 MG COM REV CT BL AL PLAS LEIT X 20 , GM2
526128101119115, PARACETAMOL + CLORIDRATO DE PSEUDOEFEDRINA, PARACETAMOL CLORIDRATO PSEUDOEFEDRINA, NOT FOUND, 500 MG + 30 MG COM REV CT BL AL PLAS OPC X 24, GM2
526113403114118, PENTOXIFILINA, PENTOXIFILINA, PENTOXIFILINA, 400 MG COM REV CT BL AL PLAS INC X 30, GM2
526113401111111, PENTOXIFILINA, PENTOXIFILINA, PENTOXIFILINA, 400MG COM REVES CT BL AL PLAS INC X 20, GM2
526113402118111, PENTOXIFILINA, PENTOXIFILINA, PENTOXIFILINA, 600MG COM REVES CT BL AL PLAS INC X 20, GM2
526109601111419, PENVIR, PENVIR, NOT FOUND, 125MG 1 BL X 10 COMP, GM2
526109602116414, PENVIR, PENVIR, NOT FOUND, 500MG 2 BL X 7 COMP, GM2
526109604161417, PENVIR, PENVIR, NOT FOUND, BINS X 5G LABIA, GM2
526109702137413, PEPSOGEL, PEPSOGEL, NOT FOUND, SUSP FR X 240ML, GM2
526113701115112, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA CT BL AL PLAS INC X 10, GM2
526113702111110, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA CT BL AL PLAS INC X 15, GM2
526113703169112, PIROXICAM, PIROXICAM, PIROXICAM, 5 MG/G GEL CT BG AL X 30 G, GM2
526109901113115, PREDNISONA, PREDNISONA, PREDNISONA, 20MG 1BL X 10 COMP, GM2
526109902111116, PREDNISONA, PREDNISONA, PREDNISONA, 5MG 2BL X 10 COMP, GM2
526110102113411, PREMPRO, PREMPRO, NOT FOUND, 2.5MG 1BL X 28 COMP REV MONOF., GM2
526110101117411, PREMPRO, PREMPRO, NOT FOUND, 5MG 1BL X 28 COMP REV BIF, GM2
526110103111410, PREMPRO, PREMPRO, NOT FOUND, 5MG 1BL X 28 COMP REV MONOF., GM2
526117803176113, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5 MG/G SOL CAP CT FR PLAS OPC GOT X 50 G, GM2
526117801165114, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5MG CR BIS C/ 30G, GM2
526117802161112, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5MG POM BIS C/ 30G, GM2
526114702115114, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20MG 1BLT C/ 14 COMP, GM2
526114703111112, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20MG 2BLT C/ 14 COMP, GM2
526114704118110, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40MG 1BLT C/ 14COMP, GM2
526114701119116, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40MG COM REVES CT BL AL PLAS BCO LEIT X 28, GM2
526121902132112, PARACETAMOL, PARACETAMOL, PARACETAMOL, 100 MG/G PO PREP EXT CT 25 SACH AL POLIET X 5G (EMB FRAC), GM2
526121907134113, PARACETAMOL, PARACETAMOL, PARACETAMOL, 100 MG/ML SUS OR CT FR PLAS TRANS X 15 ML + SER DOSAD, GM2
526121909137111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200MG/ML SOL ORAL GTS 15ML, GM2
526121908130111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 32 MG/ML SUS OR CT FR PLAS TRANS X 60 ML + CP MED, GM2
526121903112115, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM REV CT BL AL PLAS LEIT X 100 (EMB HOSP), GM2
526121904119113, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM REV CT BL AL PLAS LEIT X 200 (EMB HOSP), GM2
526121905115111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM REV CT BL AL PLAS LEIT X 20, GM2
526121906111111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM REV CT BL AL PLAS LEIT X 200 (EMB HOSP), GM2
526128401112116, PARACETAMOL + CAFEÍNA, PARACETAMOL CAFEINA, NOT FOUND, 500 MG + 65 MG COM REV CT BL AL PLAS LEIT X 20 , GM2
526128101119115, PARACETAMOL + CLORIDRATO DE PSEUDOEFEDRINA, PARACETAMOL CLORIDRATO PSEUDOEFEDRINA, NOT FOUND, 500 MG + 30 MG COM REV CT BL AL PLAS OPC X 24, GM2
526113403114118, PENTOXIFILINA, PENTOXIFILINA, PENTOXIFILINA, 400 MG COM REV CT BL AL PLAS INC X 30, GM2
526113401111111, PENTOXIFILINA, PENTOXIFILINA, PENTOXIFILINA, 400MG COM REVES CT BL AL PLAS INC X 20, GM2
526113402118111, PENTOXIFILINA, PENTOXIFILINA, PENTOXIFILINA, 600MG COM REVES CT BL AL PLAS INC X 20, GM2
526109601111419, PENVIR, PENVIR, NOT FOUND, 125MG 1 BL X 10 COMP, GM2
526109602116414, PENVIR, PENVIR, NOT FOUND, 500MG 2 BL X 7 COMP, GM2
526109604161417, PENVIR, PENVIR, NOT FOUND, BINS X 5G LABIA, GM2
526109702137413, PEPSOGEL, PEPSOGEL, NOT FOUND, SUSP FR X 240ML, GM2
526113701115112, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA CT BL AL PLAS INC X 10, GM2
526113702111110, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA CT BL AL PLAS INC X 15, GM2
526113703169112, PIROXICAM, PIROXICAM, PIROXICAM, 5 MG/G GEL CT BG AL X 30 G, GM2
526109901113115, PREDNISONA, PREDNISONA, PREDNISONA, 20MG 1BL X 10 COMP, GM2
526109902111116, PREDNISONA, PREDNISONA, PREDNISONA, 5MG 2BL X 10 COMP, GM2
526110102113411, PREMPRO, PREMPRO, NOT FOUND, 2.5MG 1BL X 28 COMP REV MONOF., GM2
526110101117411, PREMPRO, PREMPRO, NOT FOUND, 5MG 1BL X 28 COMP REV BIF, GM2
526110103111410, PREMPRO, PREMPRO, NOT FOUND, 5MG 1BL X 28 COMP REV MONOF., GM2
526117803176113, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5 MG/G SOL CAP CT FR PLAS OPC GOT X 50 G, GM2
526117801165114, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5MG CR BIS C/ 30G, GM2
526117802161112, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5MG POM BIS C/ 30G, GM2
526114702115114, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20MG 1BLT C/ 14 COMP, GM2
526114703111112, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20MG 2BLT C/ 14 COMP, GM2
526114704118110, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40MG 1BLT C/ 14COMP, GM2
526114701119116, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40MG COM REVES CT BL AL PLAS BCO LEIT X 28, GM2
526121902132112, PARACETAMOL, PARACETAMOL, PARACETAMOL, 100 MG/G PO PREP EXT CT 25 SACH AL POLIET X 5G (EMB FRAC), GM2
526121907134113, PARACETAMOL, PARACETAMOL, PARACETAMOL, 100 MG/ML SUS OR CT FR PLAS TRANS X 15 ML + SER DOSAD, GM2
526121909137111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200MG/ML SOL ORAL GTS 15ML, GM2
526121908130111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 32 MG/ML SUS OR CT FR PLAS TRANS X 60 ML + CP MED, GM2
526121903112115, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM REV CT BL AL PLAS LEIT X 100 (EMB HOSP), GM2
526121904119113, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM REV CT BL AL PLAS LEIT X 200 (EMB HOSP), GM2
526121905115111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM REV CT BL AL PLAS LEIT X 20, GM2
526121906111111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM REV CT BL AL PLAS LEIT X 200 (EMB HOSP), GM2
526128401112116, PARACETAMOL + CAFEÍNA, PARACETAMOL CAFEINA, NOT FOUND, 500 MG + 65 MG COM REV CT BL AL PLAS LEIT X 20 , GM2
526128101119115, PARACETAMOL + CLORIDRATO DE PSEUDOEFEDRINA, PARACETAMOL CLORIDRATO PSEUDOEFEDRINA, NOT FOUND, 500 MG + 30 MG COM REV CT BL AL PLAS OPC X 24, GM2
526113403114118, PENTOXIFILINA, PENTOXIFILINA, PENTOXIFILINA, 400 MG COM REV CT BL AL PLAS INC X 30, GM2
526113401111111, PENTOXIFILINA, PENTOXIFILINA, PENTOXIFILINA, 400MG COM REVES CT BL AL PLAS INC X 20, GM2
526113402118111, PENTOXIFILINA, PENTOXIFILINA, PENTOXIFILINA, 600MG COM REVES CT BL AL PLAS INC X 20, GM2
526109601111419, PENVIR, PENVIR, NOT FOUND, 125MG 1 BL X 10 COMP, GM2
526109602116414, PENVIR, PENVIR, NOT FOUND, 500MG 2 BL X 7 COMP, GM2
526109604161417, PENVIR, PENVIR, NOT FOUND, BINS X 5G LABIA, GM2
526109702137413, PEPSOGEL, PEPSOGEL, NOT FOUND, SUSP FR X 240ML, GM2
526113701115112, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA CT BL AL PLAS INC X 10, GM2
526113702111110, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA CT BL AL PLAS INC X 15, GM2
526113703169112, PIROXICAM, PIROXICAM, PIROXICAM, 5 MG/G GEL CT BG AL X 30 G, GM2
526109901113115, PREDNISONA, PREDNISONA, PREDNISONA, 20MG 1BL X 10 COMP, GM2
526109902111116, PREDNISONA, PREDNISONA, PREDNISONA, 5MG 2BL X 10 COMP, GM2
526110102113411, PREMPRO, PREMPRO, NOT FOUND, 2.5MG 1BL X 28 COMP REV MONOF., GM2
526110101117411, PREMPRO, PREMPRO, NOT FOUND, 5MG 1BL X 28 COMP REV BIF, GM2
526110103111410, PREMPRO, PREMPRO, NOT FOUND, 5MG 1BL X 28 COMP REV MONOF., GM2
526117803176113, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5 MG/G SOL CAP CT FR PLAS OPC GOT X 50 G, GM2
526117801165114, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5MG CR BIS C/ 30G, GM2
526117802161112, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5MG POM BIS C/ 30G, GM2
526114702115114, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20MG 1BLT C/ 14 COMP, GM2
526114703111112, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20MG 2BLT C/ 14 COMP, GM2
526114704118110, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40MG 1BLT C/ 14COMP, GM2
526114701119116, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40MG COM REVES CT BL AL PLAS BCO LEIT X 28, GM2
526121902132112, PARACETAMOL, PARACETAMOL, PARACETAMOL, 100 MG/G PO PREP EXT CT 25 SACH AL POLIET X 5G (EMB FRAC), GM2
526121907134113, PARACETAMOL, PARACETAMOL, PARACETAMOL, 100 MG/ML SUS OR CT FR PLAS TRANS X 15 ML + SER DOSAD, GM2
526121909137111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200MG/ML SOL ORAL GTS 15ML, GM2
526121908130111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 32 MG/ML SUS OR CT FR PLAS TRANS X 60 ML + CP MED, GM2
526121903112115, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM REV CT BL AL PLAS LEIT X 100 (EMB HOSP), GM2
526121904119113, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM REV CT BL AL PLAS LEIT X 200 (EMB HOSP), GM2
526121905115111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM REV CT BL AL PLAS LEIT X 20, GM2
526121906111111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM REV CT BL AL PLAS LEIT X 200 (EMB HOSP), GM2
526128401112116, PARACETAMOL + CAFEÍNA, PARACETAMOL CAFEINA, NOT FOUND, 500 MG + 65 MG COM REV CT BL AL PLAS LEIT X 20 , GM2
526128101119115, PARACETAMOL + CLORIDRATO DE PSEUDOEFEDRINA, PARACETAMOL CLORIDRATO PSEUDOEFEDRINA, NOT FOUND, 500 MG + 30 MG COM REV CT BL AL PLAS OPC X 24, GM2
526113403114118, PENTOXIFILINA, PENTOXIFILINA, PENTOXIFILINA, 400 MG COM REV CT BL AL PLAS INC X 30, GM2
526113401111111, PENTOXIFILINA, PENTOXIFILINA, PENTOXIFILINA, 400MG COM REVES CT BL AL PLAS INC X 20, GM2
526113402118111, PENTOXIFILINA, PENTOXIFILINA, PENTOXIFILINA, 600MG COM REVES CT BL AL PLAS INC X 20, GM2
526109601111419, PENVIR, PENVIR, NOT FOUND, 125MG 1 BL X 10 COMP, GM2
526109602116414, PENVIR, PENVIR, NOT FOUND, 500MG 2 BL X 7 COMP, GM2
526109604161417, PENVIR, PENVIR, NOT FOUND, BINS X 5G LABIA, GM2
526109702137413, PEPSOGEL, PEPSOGEL, NOT FOUND, SUSP FR X 240ML, GM2
526113701115112, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA CT BL AL PLAS INC X 10, GM2
526113702111110, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA CT BL AL PLAS INC X 15, GM2
526113703169112, PIROXICAM, PIROXICAM, PIROXICAM, 5 MG/G GEL CT BG AL X 30 G, GM2
526109901113115, PREDNISONA, PREDNISONA, PREDNISONA, 20MG 1BL X 10 COMP, GM2
526109902111116, PREDNISONA, PREDNISONA, PREDNISONA, 5MG 2BL X 10 COMP, GM2
526110102113411, PREMPRO, PREMPRO, NOT FOUND, 2.5MG 1BL X 28 COMP REV MONOF., GM2
526110101117411, PREMPRO, PREMPRO, NOT FOUND, 5MG 1BL X 28 COMP REV BIF, GM2
526110103111410, PREMPRO, PREMPRO, NOT FOUND, 5MG 1BL X 28 COMP REV MONOF., GM2
526117803176113, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5 MG/G SOL CAP CT FR PLAS OPC GOT X 50 G, GM2
526117801165114, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5MG CR BIS C/ 30G, GM2
526117802161112, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5MG POM BIS C/ 30G, GM2
526114702115114, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20MG 1BLT C/ 14 COMP, GM2
526114703111112, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20MG 2BLT C/ 14 COMP, GM2
526114704118110, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40MG 1BLT C/ 14COMP, GM2
526114701119116, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40MG COM REVES CT BL AL PLAS BCO LEIT X 28, GM2
526121902132112, PARACETAMOL, PARACETAMOL, PARACETAMOL, 100 MG/G PO PREP EXT CT 25 SACH AL POLIET X 5G (EMB FRAC), GM2
526121907134113, PARACETAMOL, PARACETAMOL, PARACETAMOL, 100 MG/ML SUS OR CT FR PLAS TRANS X 15 ML + SER DOSAD, GM2
526121909137111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200MG/ML SOL ORAL GTS 15ML, GM2
526121908130111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 32 MG/ML SUS OR CT FR PLAS TRANS X 60 ML + CP MED, GM2
526121903112115, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM REV CT BL AL PLAS LEIT X 100 (EMB HOSP), GM2
526121904119113, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM REV CT BL AL PLAS LEIT X 200 (EMB HOSP), GM2
526121905115111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM REV CT BL AL PLAS LEIT X 20, GM2
526121906111111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM REV CT BL AL PLAS LEIT X 200 (EMB HOSP), GM2
526128401112116, PARACETAMOL + CAFEÍNA, PARACETAMOL CAFEINA, NOT FOUND, 500 MG + 65 MG COM REV CT BL AL PLAS LEIT X 20 , GM2
526128101119115, PARACETAMOL + CLORIDRATO DE PSEUDOEFEDRINA, PARACETAMOL CLORIDRATO PSEUDOEFEDRINA, NOT FOUND, 500 MG + 30 MG COM REV CT BL AL PLAS OPC X 24, GM2
526113403114118, PENTOXIFILINA, PENTOXIFILINA, PENTOXIFILINA, 400 MG COM REV CT BL AL PLAS INC X 30, GM2
526113401111111, PENTOXIFILINA, PENTOXIFILINA, PENTOXIFILINA, 400MG COM REVES CT BL AL PLAS INC X 20, GM2
526113402118111, PENTOXIFILINA, PENTOXIFILINA, PENTOXIFILINA, 600MG COM REVES CT BL AL PLAS INC X 20, GM2
526109601111419, PENVIR, PENVIR, NOT FOUND, 125MG 1 BL X 10 COMP, GM2
