525009601111115, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT 2 BL AL PLAS INC X 7, MD7
525010202118411, PLENTY, PLENTY, NOT FOUND, 15 MG CAPS GEL DURA CT 3 BL X 10, MD7
525064403162115, POLICRESULENO + CLORIDRATO DE CINCHOCAÍNA, POLICRESULENO CLORIDRATO CINCHOCAINA, NOT FOUND, 0.1 G + 0.01 G/G POM RET CT 10 BG AL X 3G + 10 APLICADORES, MD7
525064401161111, POLICRESULENO + CLORIDRATO DE CINCHOCAÍNA, POLICRESULENO CLORIDRATO CINCHOCAINA, NOT FOUND, 0.1 G + 0.01 G/G POM RET CT BG AL X 30 GR + 10 APLICADORES, MD7
525010401110410, PRANDIN, PRANDIN, NOT FOUND, 0.5 MG COMP CT 2 BL X 15, MD7
525010402117419, PRANDIN, PRANDIN, NOT FOUND, 1.0 MG COMP CT 2 BL X 15, MD7
525010403113417, PRANDIN, PRANDIN, NOT FOUND, 2.0 MG COMP CT 2 BL X 15, MD7
525071201111113, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 10 MG COM CT BL AL AL X 30, MD7
525071202118111, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 20 MG COM CT BL AL AL X 30, MD7
525071203114111, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 40 MG COM CT BL AL AL X 30, MD7
525010501115414, PRAZOL, PRAZOL, NOT FOUND, 15 MG CAPS GEL CT 2 BL INC X 7, MD7
525010502111412, PRAZOL, PRAZOL, NOT FOUND, 15 MG CAPS GEL CT 4 BL INC X 7, MD7
525010503118410, PRAZOL, PRAZOL, NOT FOUND, 30 MG C/ 14 CAPS, MD7
525010505110417, PRAZOL, PRAZOL, NOT FOUND, 30 MG CAPS GEL CT BL INC X 7, MD7
525071301116117, PREDNISONA, PREDNISONA, PREDNISONA, 20 MG COM CT BL AL PLAS INC X 10, MD7
525071303119113, PREDNISONA, PREDNISONA, PREDNISONA, 20 MG COM CT BL AL PLAS INC X 30, MD7
525071302112115, PREDNISONA, PREDNISONA, PREDNISONA, 5 MG COM CT BL AL PLAS INC X 20 , MD7
525064701112310, PREVENCOR, PREVENCOR, NOT FOUND, 100 MG COM + 10 MG COM REVEST CT C/ 6 BL AL INC X 5 + 5, MD7
525064702119319, PREVENCOR, PREVENCOR, NOT FOUND, 100 MG COM + 20 MG COM REVEST CT C/ 6 BL AL INC X 5 + 5, MD7
525064703115317, PREVENCOR, PREVENCOR, NOT FOUND, 100 MG COM + 40 MG COM REVEST CT C/ 6 BL AL INC X 5 + 5, MD7
525010601111410, PROFOL, PROFOL, NOT FOUND, COMP CT 5 STR X 4, MD7
525010602132411, PROFOL, PROFOL, NOT FOUND, SUSP FR C/100 ML, MD7
525010701165113, PROPIONATO DE CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5 MG/G CREM DERM CT BG AL X 30 G, MD7
525010702161111, PROPIONATO DE CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5 MG/G POM DERM CT BG X 30 G, MD7
525010703176112, PROPIONATO DE CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5 MG/G SOL CAPILAR CT FR PLAS OPC GOT X 50 G, MD7
525010802115413, PYLORIPAC, PYLORIPAC, NOT FOUND, 30MG CAPS + 500MG COMP REV + 500MG CAPS CT 7 BL AL, MD7
525010901113419, PYLORIPAC IBP, PYLORIPAC IBP, NOT FOUND, 30 MG CAP + 500 MG COM REV + 500 MG CAP CT 2 BL AL (7CARTELAS), MD7
525010902111411, PYLORIPAC IBP, PYLORIPAC IBP, NOT FOUND, 30MG CAP + 500 MG COM REV + 500 MG CAP CT 4 BL AL, MD7
525070901111411, PYLORIPAC RETRAT, PYLORIPAC RETRAT, NOT FOUND, 30 MG CAP GEL DURA MICROG LIB RETARD + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 20 + 10 + 40, MD7
525009601111115, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT 2 BL AL PLAS INC X 7, MD7
525009602116110, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT 4 BL AL PLAS INC X 7, MD7
525009603112119, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL PLAS INC X 7, MD7
525009607118111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 42, MD7
525009604119117, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT 2 BL AL PLAS INC X 7, MD7
525009605115115, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT 4 BL AL PLAS INC X 7, MD7
525009606111113, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL PLAS INC X 7, MD7
525009608114111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 42, MD7
525009801119411, PARENZYME AMPICILINA, PARENZYME AMPICILINA, NOT FOUND, CAPS CT C/2 BL X 8, MD7
525009802115411, PARENZYME AMPICILINA, PARENZYME AMPICILINA, NOT FOUND, CAPS CT C/BL X 8, MD7
525009901113415, PARENZYME ANALGÉSICO, PARENZYME ANALGESICO, NOT FOUND, 41200+8230 UNF DRG CT C/2 BL X 9, MD7
525010001112416, PARENZYME ENZIMAS, PARENZYME ENZIMAS, NOT FOUND, 41200+8230 UNF DRG CX C/1 BL X 16, MD7
525010101117411, PARENZYME TETRACICLINA, PARENZYME TETRACICLINA, NOT FOUND, 500 MG CAPS CT C/1 BL X 8, MD7
525063703138416, PERIDAL, PERIDAL, NOT FOUND, 1 MG/ML SUS OR CT FR VD AMB X 100 ML + DOSADOR, MD7
525063702115412, PERIDAL, PERIDAL, NOT FOUND, 10 MG COM CT C/ 2 BL AL PLAS INC X 15, MD7
525063701119414, PERIDAL, PERIDAL, NOT FOUND, 10 MG COM CT C/ 3 BL AL PLAS INC X 20, MD7
525067001111111, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA EST FR PLAS OPC X 10, MD7
525067003114118, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA EST FR PLAS OPC X 15, MD7
525010201111413, PLENTY, PLENTY, NOT FOUND, 10 MG CAPS GEL DURA CT 3 BL X 10, MD7
525010202118411, PLENTY, PLENTY, NOT FOUND, 15 MG CAPS GEL DURA CT 3 BL X 10, MD7
525064403162115, POLICRESULENO + CLORIDRATO DE CINCHOCAÍNA, POLICRESULENO CLORIDRATO CINCHOCAINA, NOT FOUND, 0.1 G + 0.01 G/G POM RET CT 10 BG AL X 3G + 10 APLICADORES, MD7
525064401161111, POLICRESULENO + CLORIDRATO DE CINCHOCAÍNA, POLICRESULENO CLORIDRATO CINCHOCAINA, NOT FOUND, 0.1 G + 0.01 G/G POM RET CT BG AL X 30 GR + 10 APLICADORES, MD7
525010401110410, PRANDIN, PRANDIN, NOT FOUND, 0.5 MG COMP CT 2 BL X 15, MD7
525010402117419, PRANDIN, PRANDIN, NOT FOUND, 1.0 MG COMP CT 2 BL X 15, MD7
525010403113417, PRANDIN, PRANDIN, NOT FOUND, 2.0 MG COMP CT 2 BL X 15, MD7
525071201111113, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 10 MG COM CT BL AL AL X 30, MD7
525071202118111, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 20 MG COM CT BL AL AL X 30, MD7
525071203114111, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 40 MG COM CT BL AL AL X 30, MD7
525010501115414, PRAZOL, PRAZOL, NOT FOUND, 15 MG CAPS GEL CT 2 BL INC X 7, MD7
525010502111412, PRAZOL, PRAZOL, NOT FOUND, 15 MG CAPS GEL CT 4 BL INC X 7, MD7
525010503118410, PRAZOL, PRAZOL, NOT FOUND, 30 MG C/ 14 CAPS, MD7
525010505110417, PRAZOL, PRAZOL, NOT FOUND, 30 MG CAPS GEL CT BL INC X 7, MD7
525071301116117, PREDNISONA, PREDNISONA, PREDNISONA, 20 MG COM CT BL AL PLAS INC X 10, MD7
525071303119113, PREDNISONA, PREDNISONA, PREDNISONA, 20 MG COM CT BL AL PLAS INC X 30, MD7
525071302112115, PREDNISONA, PREDNISONA, PREDNISONA, 5 MG COM CT BL AL PLAS INC X 20 , MD7
525064701112310, PREVENCOR, PREVENCOR, NOT FOUND, 100 MG COM + 10 MG COM REVEST CT C/ 6 BL AL INC X 5 + 5, MD7
525064702119319, PREVENCOR, PREVENCOR, NOT FOUND, 100 MG COM + 20 MG COM REVEST CT C/ 6 BL AL INC X 5 + 5, MD7
525064703115317, PREVENCOR, PREVENCOR, NOT FOUND, 100 MG COM + 40 MG COM REVEST CT C/ 6 BL AL INC X 5 + 5, MD7
525010601111410, PROFOL, PROFOL, NOT FOUND, COMP CT 5 STR X 4, MD7
525010602132411, PROFOL, PROFOL, NOT FOUND, SUSP FR C/100 ML, MD7
525010701165113, PROPIONATO DE CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5 MG/G CREM DERM CT BG AL X 30 G, MD7
525010702161111, PROPIONATO DE CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5 MG/G POM DERM CT BG X 30 G, MD7
525010703176112, PROPIONATO DE CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5 MG/G SOL CAPILAR CT FR PLAS OPC GOT X 50 G, MD7
525010802115413, PYLORIPAC, PYLORIPAC, NOT FOUND, 30MG CAPS + 500MG COMP REV + 500MG CAPS CT 7 BL AL, MD7
525010901113419, PYLORIPAC IBP, PYLORIPAC IBP, NOT FOUND, 30 MG CAP + 500 MG COM REV + 500 MG CAP CT 2 BL AL (7CARTELAS), MD7
525010902111411, PYLORIPAC IBP, PYLORIPAC IBP, NOT FOUND, 30MG CAP + 500 MG COM REV + 500 MG CAP CT 4 BL AL, MD7
525070901111411, PYLORIPAC RETRAT, PYLORIPAC RETRAT, NOT FOUND, 30 MG CAP GEL DURA MICROG LIB RETARD + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 20 + 10 + 40, MD7
525009601111115, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT 2 BL AL PLAS INC X 7, MD7
525009602116110, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT 4 BL AL PLAS INC X 7, MD7
525009603112119, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL PLAS INC X 7, MD7
525009607118111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 42, MD7
525009604119117, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT 2 BL AL PLAS INC X 7, MD7
525009605115115, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT 4 BL AL PLAS INC X 7, MD7
525009606111113, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL PLAS INC X 7, MD7
525009608114111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 42, MD7
525009801119411, PARENZYME AMPICILINA, PARENZYME AMPICILINA, NOT FOUND, CAPS CT C/2 BL X 8, MD7
525009802115411, PARENZYME AMPICILINA, PARENZYME AMPICILINA, NOT FOUND, CAPS CT C/BL X 8, MD7
525009901113415, PARENZYME ANALGÉSICO, PARENZYME ANALGESICO, NOT FOUND, 41200+8230 UNF DRG CT C/2 BL X 9, MD7
525010001112416, PARENZYME ENZIMAS, PARENZYME ENZIMAS, NOT FOUND, 41200+8230 UNF DRG CX C/1 BL X 16, MD7
525010101117411, PARENZYME TETRACICLINA, PARENZYME TETRACICLINA, NOT FOUND, 500 MG CAPS CT C/1 BL X 8, MD7
525063703138416, PERIDAL, PERIDAL, NOT FOUND, 1 MG/ML SUS OR CT FR VD AMB X 100 ML + DOSADOR, MD7
525063704118419, PERIDAL, PERIDAL, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, MD7
525063702115412, PERIDAL, PERIDAL, NOT FOUND, 10 MG COM CT C/ 2 BL AL PLAS INC X 15, MD7
525063701119414, PERIDAL, PERIDAL, NOT FOUND, 10 MG COM CT C/ 3 BL AL PLAS INC X 20, MD7
525067001111111, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA EST FR PLAS OPC X 10, MD7
525067003114118, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA EST FR PLAS OPC X 15, MD7
525010201111413, PLENTY, PLENTY, NOT FOUND, 10 MG CAPS GEL DURA CT 3 BL X 10, MD7
525010202118411, PLENTY, PLENTY, NOT FOUND, 15 MG CAPS GEL DURA CT 3 BL X 10, MD7
525064403162115, POLICRESULENO + CLORIDRATO DE CINCHOCAÍNA, POLICRESULENO CLORIDRATO CINCHOCAINA, NOT FOUND, 0.1 G + 0.01 G/G POM RET CT 10 BG AL X 3G + 10 APLICADORES, MD7
525064401161111, POLICRESULENO + CLORIDRATO DE CINCHOCAÍNA, POLICRESULENO CLORIDRATO CINCHOCAINA, NOT FOUND, 0.1 G + 0.01 G/G POM RET CT BG AL X 30 GR + 10 APLICADORES, MD7
525010401110410, PRANDIN, PRANDIN, NOT FOUND, 0.5 MG COMP CT 2 BL X 15, MD7
525010402117419, PRANDIN, PRANDIN, NOT FOUND, 1.0 MG COMP CT 2 BL X 15, MD7
525010403113417, PRANDIN, PRANDIN, NOT FOUND, 2.0 MG COMP CT 2 BL X 15, MD7
525071201111113, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 10 MG COM CT BL AL AL X 30, MD7
525071202118111, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 20 MG COM CT BL AL AL X 30, MD7
525071203114111, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 40 MG COM CT BL AL AL X 30, MD7
525010501115414, PRAZOL, PRAZOL, NOT FOUND, 15 MG CAPS GEL CT 2 BL INC X 7, MD7
525010502111412, PRAZOL, PRAZOL, NOT FOUND, 15 MG CAPS GEL CT 4 BL INC X 7, MD7
525010503118410, PRAZOL, PRAZOL, NOT FOUND, 30 MG C/ 14 CAPS, MD7
525010505110417, PRAZOL, PRAZOL, NOT FOUND, 30 MG CAPS GEL CT BL INC X 7, MD7
525071301116117, PREDNISONA, PREDNISONA, PREDNISONA, 20 MG COM CT BL AL PLAS INC X 10, MD7
525071303119113, PREDNISONA, PREDNISONA, PREDNISONA, 20 MG COM CT BL AL PLAS INC X 30, MD7
525071302112115, PREDNISONA, PREDNISONA, PREDNISONA, 5 MG COM CT BL AL PLAS INC X 20 , MD7
525064701112310, PREVENCOR, PREVENCOR, NOT FOUND, 100 MG COM + 10 MG COM REVEST CT C/ 6 BL AL INC X 5 + 5, MD7
525064702119319, PREVENCOR, PREVENCOR, NOT FOUND, 100 MG COM + 20 MG COM REVEST CT C/ 6 BL AL INC X 5 + 5, MD7
525064703115317, PREVENCOR, PREVENCOR, NOT FOUND, 100 MG COM + 40 MG COM REVEST CT C/ 6 BL AL INC X 5 + 5, MD7
525010601111410, PROFOL, PROFOL, NOT FOUND, COMP CT 5 STR X 4, MD7
525010602132411, PROFOL, PROFOL, NOT FOUND, SUSP FR C/100 ML, MD7
525010701165113, PROPIONATO DE CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5 MG/G CREM DERM CT BG AL X 30 G, MD7
525010702161111, PROPIONATO DE CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5 MG/G POM DERM CT BG X 30 G, MD7
525010703176112, PROPIONATO DE CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5 MG/G SOL CAPILAR CT FR PLAS OPC GOT X 50 G, MD7
525010802115413, PYLORIPAC, PYLORIPAC, NOT FOUND, 30MG CAPS + 500MG COMP REV + 500MG CAPS CT 7 BL AL, MD7
525010901113419, PYLORIPAC IBP, PYLORIPAC IBP, NOT FOUND, 30 MG CAP + 500 MG COM REV + 500 MG CAP CT 2 BL AL (7CARTELAS), MD7
525010902111411, PYLORIPAC IBP, PYLORIPAC IBP, NOT FOUND, 30MG CAP + 500 MG COM REV + 500 MG CAP CT 4 BL AL, MD7
525070901111411, PYLORIPAC RETRAT, PYLORIPAC RETRAT, NOT FOUND, 30 MG CAP GEL DURA MICROG LIB RETARD + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 20 + 10 + 40, MD7
525009601111115, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT 2 BL AL PLAS INC X 7, MD7
525009602116110, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT 4 BL AL PLAS INC X 7, MD7
525009603112119, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL PLAS INC X 7, MD7
525009607118111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 42, MD7
525009604119117, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT 2 BL AL PLAS INC X 7, MD7
525009605115115, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT 4 BL AL PLAS INC X 7, MD7
525009606111113, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL PLAS INC X 7, MD7
525009608114111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 42, MD7
525009801119411, PARENZYME AMPICILINA, PARENZYME AMPICILINA, NOT FOUND, CAPS CT C/2 BL X 8, MD7
525009802115411, PARENZYME AMPICILINA, PARENZYME AMPICILINA, NOT FOUND, CAPS CT C/BL X 8, MD7
525009901113415, PARENZYME ANALGÉSICO, PARENZYME ANALGESICO, NOT FOUND, 41200+8230 UNF DRG CT C/2 BL X 9, MD7
525010001112416, PARENZYME ENZIMAS, PARENZYME ENZIMAS, NOT FOUND, 41200+8230 UNF DRG CX C/1 BL X 16, MD7
525010101117411, PARENZYME TETRACICLINA, PARENZYME TETRACICLINA, NOT FOUND, 500 MG CAPS CT C/1 BL X 8, MD7
525063703138416, PERIDAL, PERIDAL, NOT FOUND, 1 MG/ML SUS OR CT FR VD AMB X 100 ML + DOSADOR, MD7
525063704118419, PERIDAL, PERIDAL, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, MD7
525063702115412, PERIDAL, PERIDAL, NOT FOUND, 10 MG COM CT C/ 2 BL AL PLAS INC X 15, MD7
525063701119414, PERIDAL, PERIDAL, NOT FOUND, 10 MG COM CT C/ 3 BL AL PLAS INC X 20, MD7
525067001111111, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA EST FR PLAS OPC X 10, MD7
525067003114118, PIROXICAM, PIROXICAM, PIROXICAM, 20 MG CAP GEL DURA EST FR PLAS OPC X 15, MD7
525010201111413, PLENTY, PLENTY, NOT FOUND, 10 MG CAPS GEL DURA CT 3 BL X 10, MD7
525010202118411, PLENTY, PLENTY, NOT FOUND, 15 MG CAPS GEL DURA CT 3 BL X 10, MD7
525064403162115, POLICRESULENO + CLORIDRATO DE CINCHOCAÍNA, POLICRESULENO CLORIDRATO CINCHOCAINA, NOT FOUND, 0.1 G + 0.01 G/G POM RET CT 10 BG AL X 3G + 10 APLICADORES, MD7
525064401161111, POLICRESULENO + CLORIDRATO DE CINCHOCAÍNA, POLICRESULENO CLORIDRATO CINCHOCAINA, NOT FOUND, 0.1 G + 0.01 G/G POM RET CT BG AL X 30 GR + 10 APLICADORES, MD7
525010401110410, PRANDIN, PRANDIN, NOT FOUND, 0.5 MG COMP CT 2 BL X 15, MD7
525010402117419, PRANDIN, PRANDIN, NOT FOUND, 1.0 MG COMP CT 2 BL X 15, MD7
525010403113417, PRANDIN, PRANDIN, NOT FOUND, 2.0 MG COMP CT 2 BL X 15, MD7
525071201111113, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 10 MG COM CT BL AL AL X 30, MD7
525071202118111, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 20 MG COM CT BL AL AL X 30, MD7
525071203114111, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 40 MG COM CT BL AL AL X 30, MD7
525010501115414, PRAZOL, PRAZOL, NOT FOUND, 15 MG CAPS GEL CT 2 BL INC X 7, MD7
525010502111412, PRAZOL, PRAZOL, NOT FOUND, 15 MG CAPS GEL CT 4 BL INC X 7, MD7
525010503118410, PRAZOL, PRAZOL, NOT FOUND, 30 MG C/ 14 CAPS, MD7
525010505110417, PRAZOL, PRAZOL, NOT FOUND, 30 MG CAPS GEL CT BL INC X 7, MD7
525071301116117, PREDNISONA, PREDNISONA, PREDNISONA, 20 MG COM CT BL AL PLAS INC X 10, MD7
525071303119113, PREDNISONA, PREDNISONA, PREDNISONA, 20 MG COM CT BL AL PLAS INC X 30, MD7
525071302112115, PREDNISONA, PREDNISONA, PREDNISONA, 5 MG COM CT BL AL PLAS INC X 20 , MD7
525064701112310, PREVENCOR, PREVENCOR, NOT FOUND, 100 MG COM + 10 MG COM REVEST CT C/ 6 BL AL INC X 5 + 5, MD7
525064702119319, PREVENCOR, PREVENCOR, NOT FOUND, 100 MG COM + 20 MG COM REVEST CT C/ 6 BL AL INC X 5 + 5, MD7
525064703115317, PREVENCOR, PREVENCOR, NOT FOUND, 100 MG COM + 40 MG COM REVEST CT C/ 6 BL AL INC X 5 + 5, MD7
525010601111410, PROFOL, PROFOL, NOT FOUND, COMP CT 5 STR X 4, MD7
525010602132411, PROFOL, PROFOL, NOT FOUND, SUSP FR C/100 ML, MD7
525010701165113, PROPIONATO DE CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5 MG/G CREM DERM CT BG AL X 30 G, MD7
525010702161111, PROPIONATO DE CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5 MG/G POM DERM CT BG X 30 G, MD7
525010703176112, PROPIONATO DE CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5 MG/G SOL CAPILAR CT FR PLAS OPC GOT X 50 G, MD7
525010802115413, PYLORIPAC, PYLORIPAC, NOT FOUND, 30MG CAPS + 500MG COMP REV + 500MG CAPS CT 7 BL AL, MD7
525010901113419, PYLORIPAC IBP, PYLORIPAC IBP, NOT FOUND, 30 MG CAP + 500 MG COM REV + 500 MG CAP CT 2 BL AL (7CARTELAS), MD7
525010902111411, PYLORIPAC IBP, PYLORIPAC IBP, NOT FOUND, 30MG CAP + 500 MG COM REV + 500 MG CAP CT 4 BL AL, MD7
525070901111411, PYLORIPAC RETRAT, PYLORIPAC RETRAT, NOT FOUND, 30 MG CAP GEL DURA MICROG LIB RETARD + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 20 + 10 + 40, MD7
525009601111115, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT 2 BL AL PLAS INC X 7, MD7
525009602116110, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT 4 BL AL PLAS INC X 7, MD7
525009603112119, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL PLAS INC X 7, MD7
525009607118111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 42, MD7
525009604119117, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT 2 BL AL PLAS INC X 7, MD7
525009605115115, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT 4 BL AL PLAS INC X 7, MD7
525009606111113, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL PLAS INC X 7, MD7
525009608114111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 42, MD7
525009801119411, PARENZYME AMPICILINA, PARENZYME AMPICILINA, NOT FOUND, CAPS CT C/2 BL X 8, MD7
525009802115411, PARENZYME AMPICILINA, PARENZYME AMPICILINA, NOT FOUND, CAPS CT C/BL X 8, MD7
525009901113415, PARENZYME ANALGÉSICO, PARENZYME ANALGESICO, NOT FOUND, 41200+8230 UNF DRG CT C/2 BL X 9, MD7
