525012020098903; DOU-CETOFEN; DOU CETOFEN; NOT FOUND; 150 MG COM AP CT BL AL PLAS INC X 10; MD7
525004502113119; DICLOFENACO DE COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 140 MG CAP GEL DURA CT BL AL PLAS INC X 20; MD7
525004601162118; DICLOFENACO DIETILAMÔNIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 10 MG/G GEL CREM CT BG AL X 60 G; MD7
525004701116118; DICLOFENACO POTÁSSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 50 MG COM REV CT BL AL PLAS INC X 20; MD7
525004901158116; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 25 MG/ML SOL INJ IM CT 5 AMP VD INC X 3 ML; MD7
525004902111113; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT BL AL PLAS INC X 20; MD7
525004903118111; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT BL AL PLAS INC X 60 (EMB FRAC) ; MD7
525014120108006; DICLORIDRATO DE CETIRIZINA; DICLORIDRATO CETIRIZINA; DICLORIDRATO CETIRIZINA; 1 MG/ML SOL OR CT FR VD AMB X 120 ML + CP  MED X 10 ML; MD7
525005001134111; DICLORIDRATO DE CETIRIZINA; DICLORIDRATO CETIRIZINA; DICLORIDRATO CETIRIZINA; 1 MG/ML SOL OR CT FR VD AMB X 60 ML + CP MED X 10 ML; MD7
525005003110112; DICLORIDRATO DE CETIRIZINA; DICLORIDRATO CETIRIZINA; DICLORIDRATO CETIRIZINA; 10 MG COM REV CT BL AL PLAS INC X 12; MD7
525005002114114; DICLORIDRATO DE CETIRIZINA; DICLORIDRATO CETIRIZINA; DICLORIDRATO CETIRIZINA; 10 MG COM REV CT BL AL PLAS INC X 6; MD7
525067302138116; DIMETICONA + METILBROMETO DE HOMATROPINA; DIMETICONA METILBROMETO HOMATROPINA; NOT FOUND; 80 MG/ML + 2.5 MG/ML EMU OR CT FR PLAS OPC GOT X 20 ML ; MD7
525005401132124; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 50 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED X 1; MD7
525005403119125; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT 25 BL AL PLAS INC X 4; MD7
525005402112127; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT 24 BL AL PLAS INC X 10; MD7
525005404115123; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT 3 BL AL PLAS INC X 10; MD7
525005407130123; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT C/ 1 FR PLAST OPC GOT X10 ML; MD7
525013100103406; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 10 ML; MD7
525005406134125; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT C/ 1 FR PLAST OPC GOT X 20 ML; MD7
525013100103506; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML ; MD7
525069303166411; DUOTRAT; DUOTRAT; NOT FOUND; 0.5 MG/G + 1.0 MG/G CREM DERM CT BG AL X 10 G; MD7
525069301163415; DUOTRAT; DUOTRAT; NOT FOUND; 0.5 MG/G + 1.0 MG/G POM DERM CT BG AL X 30 G; MD7
525069302161416; DUOTRAT; DUOTRAT; NOT FOUND; 0.5 MG/G + 1.0 MG/G CREM DERM CT BG AL X 30 G; MD7
525005501161118; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5 MG/G + 1.0 MG/G POM DERM CT BG AL X 30 G; MD7
525005502168116; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5 MG/G + 1.0 MG/G CREM DERM CT BG AL X 30 G; MD7
525005301162110; DIPROPIONATO DE BETAMETASONA + ACIDO SALICILICO; DIPROPIONATO BETAMETASONA ACIDO SALICILICO; NOT FOUND; POM DERM CT BG X 30 G; MD7
525014080105006; DOMPERIDONA; DOMPERIDONA; DOMPERIDONA; 1 MG/ML SUS OR CT FR VD AMB X 100 ML + SER DOSAD; MD7
525069001135114; DOMPERIDONA; DOMPERIDONA; DOMPERIDONA; 1 MG/ML SUS OR CT FR VD AMB X 100 ML +  PIPET DOSAD; MD7
525005601131113; DROPROPIZINA; DROPROPIZINA; DROPROPIZINA; 1.5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; MD7
525005602138111; DROPROPIZINA; DROPROPIZINA; DROPROPIZINA; 3.0 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; MD7
525012110101506; DROSPIRENONA+ETINILESTRADIOL; DROSPIRENONA ETINILESTRADIOL; NOT FOUND; 3 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 21 ; MD7
525012110101606; DROSPIRENONA+ETINILESTRADIOL; DROSPIRENONA ETINILESTRADIOL; NOT FOUND; 3 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 63; MD7
525064901111318; DIGEDRAT; DIGEDRAT; NOT FOUND; 200 MG CAP GEL MOLE CT BL AL PLAS INC X 20; MD7
525064902118413; DIGEDRAT; DIGEDRAT; NOT FOUND; 200 MG CAP GEL MOLE CT BL AL PLAS INC X 30; MD7
525064903114411; DIGEDRAT; DIGEDRAT; NOT FOUND; 200 MG CAP GEL MOLE CT BL AL PLAS INC X 60; MD7
525005106114412; DILAFLUX RETARD; DILAFLUX RETARD; NOT FOUND; 20 MG COM REV CT BL AL PLAS AMB X 20; MD7
525005109113417; DILAFLUX RETARD; DILAFLUX RETARD; NOT FOUND; 20 MG COM REV CT BL AL PLAS AMB X 200 (EMB HOSP); MD7
