525013001164119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G CREM DERM CT BG AL X 15, MD7
525070601116416, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS BCO OPC X 30, MD7
525065901115419, VIVANZA, VIVANZA, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 2, MD7
525066501110418, VIVANZA, VIVANZA, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 4, MD7
525066101112413, VIVANZA, VIVANZA, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 4, MD7
525066201117417, VIVANZA, VIVANZA, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 2, MD7
525013001164119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G CREM DERM CT BG AL X 15, MD7
525013002160117, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G CREM DERM CT BG AL X 30 G, MD7
525013003175118, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G SOL CAPILAR CT FR PLAS OPC GOT X 50 G, MD7
525013004171116, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0MG/G LOC DERM CT FR PLAS OPC GOT X 50 G, MD7
525013005161114, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1MG/G POM DERM CT BG AL X 15 G, MD7
525013006166111, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1MG/G POM DERM CT BG AL X 30 G, MD7
525068402160111, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/ G + 1.0 MG/ G + 10.0 MG/ G + 10.0 MG/ G POM DERM CT BG AL X 20 G, MD7
525068401164113, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G, MD7
525065801110415, VALTRIAN, VALTRIAN, NOT FOUND, 100 MG COM REV CT 2 BL AL PLAS OPC X 15, MD7
525065804111412, VALTRIAN, VALTRIAN, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 15, MD7
525065802117413, VALTRIAN, VALTRIAN, NOT FOUND, 25MG COM REV CT 2 BL X 15, MD7
525065805116418, VALTRIAN, VALTRIAN, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 15, MD7
525065803113411, VALTRIAN, VALTRIAN, NOT FOUND, 50MG COM REV CT 2 BL X 15, MD7
525070601116416, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS BCO OPC X 30, MD7
525070602112414, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS OPC X 15 , MD7
525070603119412, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 15, MD7
525065901115419, VIVANZA, VIVANZA, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 2, MD7
525066501110418, VIVANZA, VIVANZA, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 4, MD7
525066101112413, VIVANZA, VIVANZA, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 4, MD7
525066201117417, VIVANZA, VIVANZA, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 2, MD7
525013001164119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G CREM DERM CT BG AL X 15, MD7
525013002160117, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G CREM DERM CT BG AL X 30 G, MD7
525013003175118, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G SOL CAPILAR CT FR PLAS OPC GOT X 50 G, MD7
525013004171116, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0MG/G LOC DERM CT FR PLAS OPC GOT X 50 G, MD7
525013005161114, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1MG/G POM DERM CT BG AL X 15 G, MD7
525013006166111, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1MG/G POM DERM CT BG AL X 30 G, MD7
525068402160111, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/ G + 1.0 MG/ G + 10.0 MG/ G + 10.0 MG/ G POM DERM CT BG AL X 20 G, MD7
525068401164113, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G, MD7
525065801110415, VALTRIAN, VALTRIAN, NOT FOUND, 100 MG COM REV CT 2 BL AL PLAS OPC X 15, MD7
525065804111412, VALTRIAN, VALTRIAN, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 15, MD7
525065802117413, VALTRIAN, VALTRIAN, NOT FOUND, 25MG COM REV CT 2 BL X 15, MD7
525065805116418, VALTRIAN, VALTRIAN, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 15, MD7
525065803113411, VALTRIAN, VALTRIAN, NOT FOUND, 50MG COM REV CT 2 BL X 15, MD7
525070601116416, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS BCO OPC X 30, MD7
525070602112414, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS OPC X 15 , MD7
525070603119412, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 15, MD7
525065901115419, VIVANZA, VIVANZA, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 2, MD7
525066501110418, VIVANZA, VIVANZA, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 4, MD7
525066101112413, VIVANZA, VIVANZA, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 4, MD7
525066201117417, VIVANZA, VIVANZA, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 2, MD7
525013001164119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G CREM DERM CT BG AL X 15, MD7
525013002160117, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G CREM DERM CT BG AL X 30 G, MD7
525013003175118, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G SOL CAPILAR CT FR PLAS OPC GOT X 50 G, MD7
525013004171116, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0MG/G LOC DERM CT FR PLAS OPC GOT X 50 G, MD7
525013005161114, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1MG/G POM DERM CT BG AL X 15 G, MD7
525013006166111, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1MG/G POM DERM CT BG AL X 30 G, MD7
525068402160111, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/ G + 1.0 MG/ G + 10.0 MG/ G + 10.0 MG/ G POM DERM CT BG AL X 20 G, MD7
525068401164113, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G, MD7
525065801110415, VALTRIAN, VALTRIAN, NOT FOUND, 100 MG COM REV CT 2 BL AL PLAS OPC X 15, MD7
525065804111412, VALTRIAN, VALTRIAN, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 15, MD7
525065802117413, VALTRIAN, VALTRIAN, NOT FOUND, 25MG COM REV CT 2 BL X 15, MD7
525065805116418, VALTRIAN, VALTRIAN, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 15, MD7
525065803113411, VALTRIAN, VALTRIAN, NOT FOUND, 50MG COM REV CT 2 BL X 15, MD7
525070601116416, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS BCO OPC X 30, MD7
525070602112414, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS OPC X 15 , MD7
525070603119412, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 15, MD7
525065901115419, VIVANZA, VIVANZA, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 2, MD7
525066501110418, VIVANZA, VIVANZA, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 4, MD7
525066101112413, VIVANZA, VIVANZA, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 4, MD7
525066201117417, VIVANZA, VIVANZA, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 2, MD7
525013001164119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G CREM DERM CT BG AL X 15, MD7
525013002160117, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G CREM DERM CT BG AL X 30 G, MD7
525013003175118, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G SOL CAPILAR CT FR PLAS OPC GOT X 50 G, MD7
525013004171116, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0MG/G LOC DERM CT FR PLAS OPC GOT X 50 G, MD7
525013005161114, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1MG/G POM DERM CT BG AL X 15 G, MD7
525013006166111, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1MG/G POM DERM CT BG AL X 30 G, MD7
525068402160111, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/ G + 1.0 MG/ G + 10.0 MG/ G + 10.0 MG/ G POM DERM CT BG AL X 20 G, MD7
525068401164113, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G, MD7
525065801110415, VALTRIAN, VALTRIAN, NOT FOUND, 100 MG COM REV CT 2 BL AL PLAS OPC X 15, MD7
525065804111412, VALTRIAN, VALTRIAN, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 15, MD7
525065802117413, VALTRIAN, VALTRIAN, NOT FOUND, 25MG COM REV CT 2 BL X 15, MD7
525065805116418, VALTRIAN, VALTRIAN, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 15, MD7
525065803113411, VALTRIAN, VALTRIAN, NOT FOUND, 50MG COM REV CT 2 BL X 15, MD7
525070601116416, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS BCO OPC X 30, MD7
525070602112414, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS OPC X 15 , MD7
525070603119412, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 15, MD7
525065901115419, VIVANZA, VIVANZA, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 2, MD7
525066501110418, VIVANZA, VIVANZA, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 4, MD7
525066101112413, VIVANZA, VIVANZA, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 4, MD7
525066201117417, VIVANZA, VIVANZA, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 2, MD7
525013001164119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G CREM DERM CT BG AL X 15, MD7
525013002160117, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G CREM DERM CT BG AL X 30 G, MD7
525013003175118, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G SOL CAPILAR CT FR PLAS OPC GOT X 50 G, MD7
525013004171116, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0MG/G LOC DERM CT FR PLAS OPC GOT X 50 G, MD7
525013005161114, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1MG/G POM DERM CT BG AL X 15 G, MD7
525013006166111, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1MG/G POM DERM CT BG AL X 30 G, MD7
525068402160111, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/ G + 1.0 MG/ G + 10.0 MG/ G + 10.0 MG/ G POM DERM CT BG AL X 20 G, MD7
525068401164113, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G, MD7
525065801110415, VALTRIAN, VALTRIAN, NOT FOUND, 100 MG COM REV CT 2 BL AL PLAS OPC X 15, MD7
525065804111412, VALTRIAN, VALTRIAN, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 15, MD7
525065802117413, VALTRIAN, VALTRIAN, NOT FOUND, 25MG COM REV CT 2 BL X 15, MD7
525065805116418, VALTRIAN, VALTRIAN, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 15, MD7
525065803113411, VALTRIAN, VALTRIAN, NOT FOUND, 50MG COM REV CT 2 BL X 15, MD7
525070601116416, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS BCO OPC X 30, MD7
525070602112414, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS OPC X 15 , MD7
525070603119412, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 15, MD7
525065901115419, VIVANZA, VIVANZA, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 2, MD7
525066501110418, VIVANZA, VIVANZA, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 4, MD7
525066101112413, VIVANZA, VIVANZA, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 4, MD7
525066201117417, VIVANZA, VIVANZA, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 2, MD7
525013001164119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G CREM DERM CT BG AL X 15, MD7
525013002160117, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G CREM DERM CT BG AL X 30 G, MD7
525013003175118, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G SOL CAPILAR CT FR PLAS OPC GOT X 50 G, MD7
525013004171116, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0MG/G LOC DERM CT FR PLAS OPC GOT X 50 G, MD7
525013005161114, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1MG/G POM DERM CT BG AL X 15 G, MD7
525013006166111, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1MG/G POM DERM CT BG AL X 30 G, MD7
525068402160111, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/ G + 1.0 MG/ G + 10.0 MG/ G + 10.0 MG/ G POM DERM CT BG AL X 20 G, MD7
525068401164113, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G, MD7
525065801110415, VALTRIAN, VALTRIAN, NOT FOUND, 100 MG COM REV CT 2 BL AL PLAS OPC X 15, MD7
525065804111412, VALTRIAN, VALTRIAN, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 15, MD7
525065802117413, VALTRIAN, VALTRIAN, NOT FOUND, 25MG COM REV CT 2 BL X 15, MD7
525065805116418, VALTRIAN, VALTRIAN, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 15, MD7
525065803113411, VALTRIAN, VALTRIAN, NOT FOUND, 50MG COM REV CT 2 BL X 15, MD7
525070601116416, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS BCO OPC X 30, MD7
525070602112414, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS OPC X 15 , MD7
525070603119412, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 15, MD7
525065901115419, VIVANZA, VIVANZA, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 2, MD7
525066501110418, VIVANZA, VIVANZA, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 4, MD7
525066101112413, VIVANZA, VIVANZA, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 4, MD7
525066201117417, VIVANZA, VIVANZA, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 2, MD7
525013001164119, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G CREM DERM CT BG AL X 15, MD7
525013002160117, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G CREM DERM CT BG AL X 30 G, MD7
525013003175118, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0 MG/G SOL CAPILAR CT FR PLAS OPC GOT X 50 G, MD7
525013004171116, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1.0MG/G LOC DERM CT FR PLAS OPC GOT X 50 G, MD7
525013005161114, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1MG/G POM DERM CT BG AL X 15 G, MD7
525013006166111, VALERATO DE BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1MG/G POM DERM CT BG AL X 30 G, MD7
525068402160111, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/ G + 1.0 MG/ G + 10.0 MG/ G + 10.0 MG/ G POM DERM CT BG AL X 20 G, MD7
525068401164113, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G, MD7
525065801110415, VALTRIAN, VALTRIAN, NOT FOUND, 100 MG COM REV CT 2 BL AL PLAS OPC X 15, MD7
525065804111412, VALTRIAN, VALTRIAN, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 15, MD7
525065802117413, VALTRIAN, VALTRIAN, NOT FOUND, 25MG COM REV CT 2 BL X 15, MD7
525065805116418, VALTRIAN, VALTRIAN, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 15, MD7
525065803113411, VALTRIAN, VALTRIAN, NOT FOUND, 50MG COM REV CT 2 BL X 15, MD7
525070601116416, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS BCO OPC X 30, MD7
525070602112414, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS OPC X 15 , MD7
525070603119412, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 15, MD7
525070604115410, VALTRIAN HCT, VALTRIAN HCT, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 30, MD7
525065901115419, VIVANZA, VIVANZA, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 2, MD7
525066501110418, VIVANZA, VIVANZA, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 4, MD7
525066101112413, VIVANZA, VIVANZA, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 4, MD7
525066201117417, VIVANZA, VIVANZA, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 2, MD7
525073801116414, VOLUNTA, VOLUNTA, NOT FOUND, 10 MG COM REV CT BL AL/AL X 10, MD7
525073802112412, VOLUNTA, VOLUNTA, NOT FOUND, 10 MG COM REV CT BL AL/AL X 200 (EMB HOSP), MD7
525073803119410, VOLUNTA, VOLUNTA, NOT FOUND, 10 MG COM REV CT BL AL/AL X 30, MD7
