511603701113414, SEDALOL, SEDALOL, NOT FOUND,  10MG CX500, HPO
511609406156115, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.5 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB HOSP), HPO
511603701113414, SEDALOL, SEDALOL, NOT FOUND,  10MG CX500, HPO
511603703132416, SEDALOL, SEDALOL, NOT FOUND, 10 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, HPO
511603801118418, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND,  CX500, HPO
511603804133418, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND, 6.67 MG + 333.4 MG SOL OR CT 200 FR PLAS OPC GOT X 20 ML (EMB HOSP), HPO
511603802130411, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND, CX C/20, HPO
511603803137411, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND, FR 20ML, HPO
511609301151113, SULFATO DE ATROPINA, SULFATO ATROPINA, SULFATO ATROPINA, 0.25 MG/ ML SOL INJ CX 100 AMP VD INC X 1 ML (EMB HOSP), HPO
511611101154110, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CT 5 AMP VD AMB X 1 ML, HPO
511611102150119, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB HOSP), HPO
511611103157117, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP), HPO
511609401138119, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, HPO
511609402134117, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, HPO
511609407136118, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR PLAS AMB X 100 ML (EMB HOSP), HPO
511609403130115, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP), HPO
511609408132116, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR VD AMB X 100 ML (EMB HOSP), HPO
511609404137113, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP), HPO
511609405151111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.5 MG/ML SOL INJ CT 5 AMP VD AMB X 1 ML, HPO
511609406156115, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.5 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB HOSP), HPO
511603701113414, SEDALOL, SEDALOL, NOT FOUND,  10MG CX500, HPO
511603703132416, SEDALOL, SEDALOL, NOT FOUND, 10 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, HPO
511603801118418, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND,  CX500, HPO
511603804133418, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND, 6.67 MG + 333.4 MG SOL OR CT 200 FR PLAS OPC GOT X 20 ML (EMB HOSP), HPO
511603802130411, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND, CX C/20, HPO
511603803137411, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND, FR 20ML, HPO
511609301151113, SULFATO DE ATROPINA, SULFATO ATROPINA, SULFATO ATROPINA, 0.25 MG/ ML SOL INJ CX 100 AMP VD INC X 1 ML (EMB HOSP), HPO
511611101154110, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CT 5 AMP VD AMB X 1 ML, HPO
511611102150119, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB HOSP), HPO
511611103157117, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP), HPO
511609401138119, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, HPO
511609402134117, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, HPO
511609407136118, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR PLAS AMB X 100 ML (EMB HOSP), HPO
511609403130115, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP), HPO
511609408132116, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR VD AMB X 100 ML (EMB HOSP), HPO
511609404137113, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP), HPO
511609405151111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.5 MG/ML SOL INJ CT 5 AMP VD AMB X 1 ML, HPO
511609406156115, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.5 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB HOSP), HPO
511603701113414, SEDALOL, SEDALOL, NOT FOUND,  10MG CX500, HPO
511603703132416, SEDALOL, SEDALOL, NOT FOUND, 10 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, HPO
511603801118418, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND,  CX500, HPO
511603804133418, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND, 6.67 MG + 333.4 MG SOL OR CT 200 FR PLAS OPC GOT X 20 ML (EMB HOSP), HPO
511603802130411, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND, CX C/20, HPO
511603803137411, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND, FR 20ML, HPO
511609301151113, SULFATO DE ATROPINA, SULFATO ATROPINA, SULFATO ATROPINA, 0.25 MG/ ML SOL INJ CX 100 AMP VD INC X 1 ML (EMB HOSP), HPO
511611101154110, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CT 5 AMP VD AMB X 1 ML, HPO
511611102150119, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB HOSP), HPO
511611103157117, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP), HPO
511609401138119, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, HPO
511609402134117, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, HPO
511609407136118, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR PLAS AMB X 100 ML (EMB HOSP), HPO
511609403130115, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP), HPO
511609408132116, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR VD AMB X 100 ML (EMB HOSP), HPO
511609404137113, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP), HPO
511609405151111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.5 MG/ML SOL INJ CT 5 AMP VD AMB X 1 ML, HPO
511609406156115, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.5 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB HOSP), HPO
511603701113414, SEDALOL, SEDALOL, NOT FOUND,  10MG CX500, HPO
511603703132416, SEDALOL, SEDALOL, NOT FOUND, 10 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, HPO
511603801118418, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND,  CX500, HPO
511603804133418, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND, 6.67 MG + 333.4 MG SOL OR CT 200 FR PLAS OPC GOT X 20 ML (EMB HOSP), HPO
511603802130411, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND, CX C/20, HPO
511603803137411, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND, FR 20ML, HPO
511609301151113, SULFATO DE ATROPINA, SULFATO ATROPINA, SULFATO ATROPINA, 0.25 MG/ ML SOL INJ CX 100 AMP VD INC X 1 ML (EMB HOSP), HPO
511611101154110, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CT 5 AMP VD AMB X 1 ML, HPO
511611102150119, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB HOSP), HPO
511611103157117, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP), HPO
511609401138119, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, HPO
511609402134117, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, HPO
511609407136118, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR PLAS AMB X 100 ML (EMB HOSP), HPO
511609403130115, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP), HPO
511609408132116, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR VD AMB X 100 ML (EMB HOSP), HPO
511609404137113, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP), HPO
511609405151111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.5 MG/ML SOL INJ CT 5 AMP VD AMB X 1 ML, HPO
511609406156115, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.5 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB HOSP), HPO
511603701113414, SEDALOL, SEDALOL, NOT FOUND,  10MG CX500, HPO
511603703132416, SEDALOL, SEDALOL, NOT FOUND, 10 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, HPO
511603801118418, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND,  CX500, HPO
511603804133418, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND, 6.67 MG + 333.4 MG SOL OR CT 200 FR PLAS OPC GOT X 20 ML (EMB HOSP), HPO
511603802130411, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND, CX C/20, HPO
511603803137411, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND, FR 20ML, HPO
511609301151113, SULFATO DE ATROPINA, SULFATO ATROPINA, SULFATO ATROPINA, 0.25 MG/ ML SOL INJ CX 100 AMP VD INC X 1 ML (EMB HOSP), HPO
511611101154110, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CT 5 AMP VD AMB X 1 ML, HPO
511611102150119, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB HOSP), HPO
511611103157117, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP), HPO
511609401138119, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, HPO
511609402134117, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, HPO
511609407136118, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR PLAS AMB X 100 ML (EMB HOSP), HPO
511609403130115, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP), HPO
511609408132116, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR VD AMB X 100 ML (EMB HOSP), HPO
511609404137113, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP), HPO
511609405151111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.5 MG/ML SOL INJ CT 5 AMP VD AMB X 1 ML, HPO
511609406156115, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.5 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB HOSP), HPO
511612502152117, SULFATO DE TERBUTALINA, SULFATO TERBUTALINA, SULFATO TERBUTALINA, 0.5 MG/ML SOL INJ CT 06 AMP VD AMB X 1 ML, HPO
511612503159115, SULFATO DE TERBUTALINA, SULFATO TERBUTALINA, SULFATO TERBUTALINA, 0.5 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB HOSP), HPO
511612501156119, SULFATO DE TERBUTALINA, SULFATO TERBUTALINA, SULFATO TERBUTALINA, 0.5 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP), HPO
511603701113414, SEDALOL, SEDALOL, NOT FOUND,  10MG CX500, HPO
511603703132416, SEDALOL, SEDALOL, NOT FOUND, 10 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, HPO
511603801118418, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND,  CX500, HPO
511603804133418, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND, 6.67 MG + 333.4 MG SOL OR CT 200 FR PLAS OPC GOT X 20 ML (EMB HOSP), HPO
511603802130411, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND, CX C/20, HPO
511603803137411, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND, FR 20ML, HPO
511609301151113, SULFATO DE ATROPINA, SULFATO ATROPINA, SULFATO ATROPINA, 0.25 MG/ ML SOL INJ CX 100 AMP VD INC X 1 ML (EMB HOSP), HPO
511611101154110, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CT 5 AMP VD AMB X 1 ML, HPO
511611102150119, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB HOSP), HPO
511611103157117, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP), HPO
511609401138119, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, HPO
511609402134117, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, HPO
511609407136118, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR PLAS AMB X 100 ML (EMB HOSP), HPO
511609403130115, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP), HPO
511609408132116, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR VD AMB X 100 ML (EMB HOSP), HPO
511609404137113, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP), HPO
511609405151111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.5 MG/ML SOL INJ CT 5 AMP VD AMB X 1 ML, HPO
511609406156115, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.5 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB HOSP), HPO
511612502152117, SULFATO DE TERBUTALINA, SULFATO TERBUTALINA, SULFATO TERBUTALINA, 0.5 MG/ML SOL INJ CT 06 AMP VD AMB X 1 ML, HPO
511612503159115, SULFATO DE TERBUTALINA, SULFATO TERBUTALINA, SULFATO TERBUTALINA, 0.5 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB HOSP), HPO
511612501156119, SULFATO DE TERBUTALINA, SULFATO TERBUTALINA, SULFATO TERBUTALINA, 0.5 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP), HPO
511603701113414, SEDALOL, SEDALOL, NOT FOUND,  10MG CX500, HPO
511603703132416, SEDALOL, SEDALOL, NOT FOUND, 10 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, HPO
511603801118418, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND,  CX500, HPO
511603804133418, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND, 6.67 MG + 333.4 MG SOL OR CT 200 FR PLAS OPC GOT X 20 ML (EMB HOSP), HPO
511603802130411, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND, CX C/20, HPO
511603803137411, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND, FR 20ML, HPO
511609301151113, SULFATO DE ATROPINA, SULFATO ATROPINA, SULFATO ATROPINA, 0.25 MG/ ML SOL INJ CX 100 AMP VD INC X 1 ML (EMB HOSP), HPO
511611101154110, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CT 5 AMP VD AMB X 1 ML, HPO
511611102150119, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB HOSP), HPO
511611103157117, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP), HPO
511609401138119, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, HPO
511609402134117, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, HPO
511609407136118, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR PLAS AMB X 100 ML (EMB HOSP), HPO
511609403130115, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP), HPO
511609408132116, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR VD AMB X 100 ML (EMB HOSP), HPO
511609404137113, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP), HPO
511609405151111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.5 MG/ML SOL INJ CT 5 AMP VD AMB X 1 ML, HPO
511609406156115, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.5 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB HOSP), HPO
511612502152117, SULFATO DE TERBUTALINA, SULFATO TERBUTALINA, SULFATO TERBUTALINA, 0.5 MG/ML SOL INJ CT 06 AMP VD AMB X 1 ML, HPO
511612503159115, SULFATO DE TERBUTALINA, SULFATO TERBUTALINA, SULFATO TERBUTALINA, 0.5 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB HOSP), HPO
511612501156119, SULFATO DE TERBUTALINA, SULFATO TERBUTALINA, SULFATO TERBUTALINA, 0.5 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP), HPO
511603701113414, SEDALOL, SEDALOL, NOT FOUND,  10MG CX500, HPO
511603703132416, SEDALOL, SEDALOL, NOT FOUND, 10 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, HPO
511603801118418, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND,  CX500, HPO
511603804133418, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND, 6.67 MG + 333.4 MG SOL OR CT 200 FR PLAS OPC GOT X 20 ML (EMB HOSP), HPO
511603802130411, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND, CX C/20, HPO
511603803137411, SEDALOL COMPOSTO, SEDALOL COMPOSTO, NOT FOUND, FR 20ML, HPO
511609301151113, SULFATO DE ATROPINA, SULFATO ATROPINA, SULFATO ATROPINA, 0.25 MG/ ML SOL INJ CX 100 AMP VD INC X 1 ML (EMB HOSP), HPO
511611101154110, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CT 5 AMP VD AMB X 1 ML, HPO
511611102150119, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB HOSP), HPO
511611103157117, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP), HPO
511609401138119, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, HPO
511609402134117, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, HPO
