511613080040706, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 20 MG/ML SUS OR CX 50 FR PLAS AMB X 100 ML + 50 CP MED (EMB HOSP), HPO
511606901131119, CLORIDRATO DE METOCLOPRAMIDA, CLORIDRATO METOCLOPRAMIDA, CLORIDRATO METOCLOPRAMIDA MONOIDRATADO, 4 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 10 ML (EMB HOSP), HPO
511606903132112, CLORIDRATO DE METOCLOPRAMIDA, CLORIDRATO METOCLOPRAMIDA, CLORIDRATO METOCLOPRAMIDA MONOIDRATADO, 4 MG/ML SOL OR CX 50 FR PLAS OPC GOT X 10 ML (EMB HOSP), HPO
511606904139110, CLORIDRATO DE METOCLOPRAMIDA, CLORIDRATO METOCLOPRAMIDA, CLORIDRATO METOCLOPRAMIDA MONOIDRATADO, 4 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, HPO
511606902152111, CLORIDRATO DE METOCLOPRAMIDA, CLORIDRATO METOCLOPRAMIDA, CLORIDRATO METOCLOPRAMIDA MONOIDRATADO, 5 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP) , HPO
511612801151112, CLORIDRATO DE NALOXONA, CLORIDRATO NALOXONA, CLORIDRATO NALOXONA, 0.4 MG/ ML SOL INJ CX 100 AMP VD AMB X 1 ML (EMB HOSP), HPO
511612802156118, CLORIDRATO DE NALOXONA, CLORIDRATO NALOXONA, CLORIDRATO NALOXONA, 0.4 MG/ ML SOL INJ CX 10 AMP VD AMB X 1 ML (EMB HOSP) , HPO
511611401115110, CLORIDRATO DE NORTRIPTILINA, CLORIDRATO NORTRIPTILINA, CLORIDRATO NORTRIPTILINA, 75 MG CAP GEL DURA CT BL AL PLAS INC X 20, HPO
511611402111119, CLORIDRATO DE NORTRIPTILINA, CLORIDRATO NORTRIPTILINA, CLORIDRATO NORTRIPTILINA, 75 MG CAP GEL DURA CT BL AL PLAS INC X 30, HPO
511611403118117, CLORIDRATO DE NORTRIPTILINA, CLORIDRATO NORTRIPTILINA, CLORIDRATO NORTRIPTILINA, 75 MG CAP GEL DURA CT BL AL PLAS INC X 500 (EMB HOSP), HPO
511607001159112, CLORIDRATO DE ONDANSETRONA, CLORIDRATO ONDANSETRONA, CLORIDRATO ONDANSETRONA, 2 MG/ML SOL INJ IV CT 5 AMP VD INC X 2 ML, HPO
511607003151119, CLORIDRATO DE ONDANSETRONA, CLORIDRATO ONDANSETRONA, CLORIDRATO ONDANSETRONA, 2 MG/ML SOL INJ IV CX 100 AMP VD INC X 2 ML (EMB HOSP), HPO
511607002155110, CLORIDRATO DE ONDANSETRONA, CLORIDRATO ONDANSETRONA, CLORIDRATO ONDANSETRONA, 2 MG/ML SOL INJ IV CT 5 AMP VD INC X 4 ML, HPO
511607004158117, CLORIDRATO DE ONDANSETRONA, CLORIDRATO ONDANSETRONA, CLORIDRATO ONDANSETRONA, 2 MG/ML SOL INJ IV CX 100 AMP VD INC X 4 ML (EMB HOSP), HPO
511609001156111, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 25 MG/ML SOL INJ CT 5 AMP VD AMB X 2 ML , HPO
511609002152118, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 25 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP), HPO
511610501167114, CLORIDRATO DE TERBINAFINA, CLORIDRATO TERBINAFINA, CLORIDRATO TERBINAFINA, 10 MG/G CREM CT BG AL X 20 G , HPO
511610502163112, CLORIDRATO DE TERBINAFINA, CLORIDRATO TERBINAFINA, CLORIDRATO TERBINAFINA, 10 MG/G CREM CX 50 BG AL X 20 G (EMB HOSP), HPO
511610503161113, CLORIDRATO DE TERBINAFINA, CLORIDRATO TERBINAFINA, CLORIDRATO TERBINAFINA, 10 MG/G CREM CX 100 BG AL X 20 G (EMB HOSP), HPO
511612702119415, CLORIDRATO DE TIAMINA, CLORIDRATO TIAMINA, CLORIDRATO TIAMINA, 300 MG COM REV CT BL AL PLAS AMB X 30, HPO
511612701112417, CLORIDRATO DE TIAMINA, CLORIDRATO TIAMINA, CLORIDRATO TIAMINA, 300 MG COM REV CT BL AL PLAS AMB X 500, HPO
511611305116111, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 50 MG CAP GEL DURA CT BL AL PLAS AMB X 10, HPO
511611306112118, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 50 MG CAP GEL DURA CX BL AL PLAS AMB X 100 (EMB HOSP), HPO
511611307119116, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 50 MG CAP GEL DURA CX BL AL PLAS AMB X 500 (EMB HOSP), HPO
511611301153118, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 50 MG/ML SOL INJ CX 100 AMP VD INC X 1 ML (EMB HOSP), HPO
511611304152112, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 50 MG/ML SOL INJ CT 6 AMP VD INC X 1 ML, HPO
511611302151119, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 50 MG/ML SOL INJ CX 100 AMP VD INC X 2 ML (EMB HOSP), HPO
511611303156114, CLORIDRATO DE TRAMADOL, CLORIDRATO TRAMADOL, CLORIDRATO TRAMADOL, 50 MG/ML SOL INJ CT 6 AMP VD INC X 2 ML, HPO
511610601161118, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM VAG CT BG AL X 35 G + 6 APLIC, HPO
511610602168116, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM VAG CX 100 BG AL X 35 G + 600 APLIC (EMB HOSP), HPO
511610603164114, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM VAG CX 50 BG AL X 35 G + 300 APLIC (EMB HOSP), HPO
