525904101166111, ACICLOVIR, ACICLOVIR, ACICLOVIR, 50 MG/G CREM DERM CT BG AL X 10 G, MB9
525900103113411, AMPICILAB, AMPICILAB, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 , MB9
525900104111412, AMPICILAB, AMPICILAB, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 600 , MB9
525900102117413, AMPICILAB, AMPICILAB, NOT FOUND, 500MG BLISTER COM 10 COMP, MB9
525900202111417, ATENOLAB, ATENOLAB, NOT FOUND, 100MG CARTUCHO 28 COMP, MB9
525900203118415, ATENOLAB, ATENOLAB, NOT FOUND, 100MG COM CT BL AL PLAS INC X 700 , MB9
525900201115419, ATENOLAB, ATENOLAB, NOT FOUND, 50MG BLISTER COM 28 COMP, MB9
525903301137419, AZITROLAB, AZITROLAB, NOT FOUND, 1000 MG COM CT BL AL PLAS INC X 1, MB9
525903302117411, AZITROLAB, AZITROLAB, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 3, MB9
525903304136413, AZITROLAB, AZITROLAB, NOT FOUND, 600 MG PO PREP EXTEMP CT FR VD AMB + FLAC X 9 ML, MB9
525903303131418, AZITROLAB, AZITROLAB, NOT FOUND, 900 MG PO PREP EXTEMP CT FR VD AMB + FLAC X 12 ML, MB9
525904901111117, ACECLOFENACO, ACECLOFENACO, ACECLOFENACO, 100 MG COM REV CT BL AL/AL X 12 , MB9
525904101166111, ACICLOVIR, ACICLOVIR, ACICLOVIR, 50 MG/G CREM DERM CT BG AL X 10 G, MB9
525900101137410, AMPICILAB, AMPICILAB, NOT FOUND, 250MG FRASCO 60ML, MB9
525900105132413, AMPICILAB, AMPICILAB, NOT FOUND, 3 G PO SUS OR CX 50 FR VD AMB, MB9
525900103113411, AMPICILAB, AMPICILAB, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 , MB9
525900104111412, AMPICILAB, AMPICILAB, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 600 , MB9
525900102117413, AMPICILAB, AMPICILAB, NOT FOUND, 500MG BLISTER COM 10 COMP, MB9
525900202111417, ATENOLAB, ATENOLAB, NOT FOUND, 100MG CARTUCHO 28 COMP, MB9
525900203118415, ATENOLAB, ATENOLAB, NOT FOUND, 100MG COM CT BL AL PLAS INC X 700 , MB9
525900201115419, ATENOLAB, ATENOLAB, NOT FOUND, 50MG BLISTER COM 28 COMP, MB9
525903301137419, AZITROLAB, AZITROLAB, NOT FOUND, 1000 MG COM CT BL AL PLAS INC X 1, MB9
525903302117411, AZITROLAB, AZITROLAB, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 3, MB9
525903304136413, AZITROLAB, AZITROLAB, NOT FOUND, 600 MG PO PREP EXTEMP CT FR VD AMB + FLAC X 9 ML, MB9
525903303131418, AZITROLAB, AZITROLAB, NOT FOUND, 900 MG PO PREP EXTEMP CT FR VD AMB + FLAC X 12 ML, MB9
525904901111117, ACECLOFENACO, ACECLOFENACO, ACECLOFENACO, 100 MG COM REV CT BL AL/AL X 12 , MB9
525904101166111, ACICLOVIR, ACICLOVIR, ACICLOVIR, 50 MG/G CREM DERM CT BG AL X 10 G, MB9
525900101137410, AMPICILAB, AMPICILAB, NOT FOUND, 250MG FRASCO 60ML, MB9
525900105132413, AMPICILAB, AMPICILAB, NOT FOUND, 3 G PO SUS OR CX 50 FR VD AMB, MB9
525900103113411, AMPICILAB, AMPICILAB, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 , MB9
525900104111412, AMPICILAB, AMPICILAB, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 600 , MB9
525900102117413, AMPICILAB, AMPICILAB, NOT FOUND, 500MG BLISTER COM 10 COMP, MB9
525900202111417, ATENOLAB, ATENOLAB, NOT FOUND, 100MG CARTUCHO 28 COMP, MB9
525900203118415, ATENOLAB, ATENOLAB, NOT FOUND, 100MG COM CT BL AL PLAS INC X 700 , MB9
525900201115419, ATENOLAB, ATENOLAB, NOT FOUND, 50MG BLISTER COM 28 COMP, MB9
525903301137419, AZITROLAB, AZITROLAB, NOT FOUND, 1000 MG COM CT BL AL PLAS INC X 1, MB9
525903302117411, AZITROLAB, AZITROLAB, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 3, MB9
525903304136413, AZITROLAB, AZITROLAB, NOT FOUND, 600 MG PO PREP EXTEMP CT FR VD AMB + FLAC X 9 ML, MB9
525903303131418, AZITROLAB, AZITROLAB, NOT FOUND, 900 MG PO PREP EXTEMP CT FR VD AMB + FLAC X 12 ML, MB9
525904901111117, ACECLOFENACO, ACECLOFENACO, ACECLOFENACO, 100 MG COM REV CT BL AL/AL X 12 , MB9
525904101166111, ACICLOVIR, ACICLOVIR, ACICLOVIR, 50 MG/G CREM DERM CT BG AL X 10 G, MB9
525900101137410, AMPICILAB, AMPICILAB, NOT FOUND, 250MG FRASCO 60ML, MB9
525900105132413, AMPICILAB, AMPICILAB, NOT FOUND, 3 G PO SUS OR CX 50 FR VD AMB, MB9
525900103113411, AMPICILAB, AMPICILAB, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 , MB9
525900104111412, AMPICILAB, AMPICILAB, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 600 , MB9
525900102117413, AMPICILAB, AMPICILAB, NOT FOUND, 500MG BLISTER COM 10 COMP, MB9
525900202111417, ATENOLAB, ATENOLAB, NOT FOUND, 100MG CARTUCHO 28 COMP, MB9
525900203118415, ATENOLAB, ATENOLAB, NOT FOUND, 100MG COM CT BL AL PLAS INC X 700 , MB9
525900201115419, ATENOLAB, ATENOLAB, NOT FOUND, 50MG BLISTER COM 28 COMP, MB9
525903301137419, AZITROLAB, AZITROLAB, NOT FOUND, 1000 MG COM CT BL AL PLAS INC X 1, MB9
525903302117411, AZITROLAB, AZITROLAB, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 3, MB9
525903304136413, AZITROLAB, AZITROLAB, NOT FOUND, 600 MG PO PREP EXTEMP CT FR VD AMB + FLAC X 9 ML, MB9
525903303131418, AZITROLAB, AZITROLAB, NOT FOUND, 900 MG PO PREP EXTEMP CT FR VD AMB + FLAC X 12 ML, MB9
525904901111117, ACECLOFENACO, ACECLOFENACO, ACECLOFENACO, 100 MG COM REV CT BL AL/AL X 12 , MB9
525904101166111, ACICLOVIR, ACICLOVIR, ACICLOVIR, 50 MG/G CREM DERM CT BG AL X 10 G, MB9
525900101137410, AMPICILAB, AMPICILAB, NOT FOUND, 250MG FRASCO 60ML, MB9
525900105132413, AMPICILAB, AMPICILAB, NOT FOUND, 3 G PO SUS OR CX 50 FR VD AMB, MB9
525900103113411, AMPICILAB, AMPICILAB, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 , MB9
525900104111412, AMPICILAB, AMPICILAB, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 600 , MB9
525900102117413, AMPICILAB, AMPICILAB, NOT FOUND, 500MG BLISTER COM 10 COMP, MB9
525900202111417, ATENOLAB, ATENOLAB, NOT FOUND, 100MG CARTUCHO 28 COMP, MB9
525900203118415, ATENOLAB, ATENOLAB, NOT FOUND, 100MG COM CT BL AL PLAS INC X 700 , MB9
525900201115419, ATENOLAB, ATENOLAB, NOT FOUND, 50MG BLISTER COM 28 COMP, MB9
525903301137419, AZITROLAB, AZITROLAB, NOT FOUND, 1000 MG COM CT BL AL PLAS INC X 1, MB9
525903302117411, AZITROLAB, AZITROLAB, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 3, MB9
525903304136413, AZITROLAB, AZITROLAB, NOT FOUND, 600 MG PO PREP EXTEMP CT FR VD AMB + FLAC X 9 ML, MB9
525903303131418, AZITROLAB, AZITROLAB, NOT FOUND, 900 MG PO PREP EXTEMP CT FR VD AMB + FLAC X 12 ML, MB9
525904901111117, ACECLOFENACO, ACECLOFENACO, ACECLOFENACO, 100 MG COM REV CT BL AL/AL X 12 , MB9
525904101166111, ACICLOVIR, ACICLOVIR, ACICLOVIR, 50 MG/G CREM DERM CT BG AL X 10 G, MB9
525906201117119, Amoxicilina, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL/PLAS INC X 15, MB9
525906202113117, Amoxicilina, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL/PLAS INC X 21, MB9
525900101137410, AMPICILAB, AMPICILAB, NOT FOUND, 250MG FRASCO 60ML, MB9
525900105132413, AMPICILAB, AMPICILAB, NOT FOUND, 3 G PO SUS OR CX 50 FR VD AMB, MB9
525900102117413, AMPICILAB, AMPICILAB, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 10, MB9
525900103113411, AMPICILAB, AMPICILAB, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 , MB9
525900104111412, AMPICILAB, AMPICILAB, NOT FOUND, 500 MG CAP GEL DURA CX BL AL PLAS INC X 600 (EMB HOSP), MB9
525900202111417, ATENOLAB, ATENOLAB, NOT FOUND, 100MG COM CT BL AL PLAS INC X 28 , MB9
525900203118415, ATENOLAB, ATENOLAB, NOT FOUND, 100MG COM CT BL AL PLAS INC X 700 (EMB HOSP), MB9
525900204114413, ATENOLAB, ATENOLAB, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 28, MB9
525900201115419, ATENOLAB, ATENOLAB, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 28 , MB9
525903301137419, AZITROLAB, AZITROLAB, NOT FOUND, 1000 MG COM CT BL AL PLAS INC X 1, MB9
525903302117411, AZITROLAB, AZITROLAB, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 3, MB9
525903304136413, AZITROLAB, AZITROLAB, NOT FOUND, 600 MG PO PREP EXTEMP CT FR VD AMB + FLAC X 9 ML, MB9
525903303131418, AZITROLAB, AZITROLAB, NOT FOUND, 900 MG PO PREP EXTEMP CT FR VD AMB + FLAC X 12 ML, MB9
525904901111117, ACECLOFENACO, ACECLOFENACO, ACECLOFENACO, 100 MG COM REV CT BL AL/AL X 12 , MB9
525904101166111, ACICLOVIR, ACICLOVIR, ACICLOVIR, 50 MG/G CREM DERM CT BG AL X 10 G, MB9
525906201117119, Amoxicilina, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL/PLAS INC X 15, MB9
525906202113117, Amoxicilina, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL/PLAS INC X 21, MB9
525900101137410, AMPICILAB, AMPICILAB, NOT FOUND, 250MG FRASCO 60ML, MB9
525900105132413, AMPICILAB, AMPICILAB, NOT FOUND, 3 G PO SUS OR CX 50 FR VD AMB, MB9
525900102117413, AMPICILAB, AMPICILAB, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 10, MB9
525900103113411, AMPICILAB, AMPICILAB, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 , MB9
525900104111412, AMPICILAB, AMPICILAB, NOT FOUND, 500 MG CAP GEL DURA CX BL AL PLAS INC X 600 (EMB HOSP), MB9
525900202111417, ATENOLAB, ATENOLAB, NOT FOUND, 100MG COM CT BL AL PLAS INC X 28 , MB9
525900203118415, ATENOLAB, ATENOLAB, NOT FOUND, 100MG COM CT BL AL PLAS INC X 700 (EMB HOSP), MB9
525900204114413, ATENOLAB, ATENOLAB, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 28, MB9
525900201115419, ATENOLAB, ATENOLAB, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 28 , MB9
525903301137419, AZITROLAB, AZITROLAB, NOT FOUND, 1000 MG COM CT BL AL PLAS INC X 1, MB9
525903302117411, AZITROLAB, AZITROLAB, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 3, MB9
525903304136413, AZITROLAB, AZITROLAB, NOT FOUND, 600 MG PO PREP EXTEMP CT FR VD AMB + FLAC X 9 ML, MB9
525903303131418, AZITROLAB, AZITROLAB, NOT FOUND, 900 MG PO PREP EXTEMP CT FR VD AMB + FLAC X 12 ML, MB9
