528504609132410; PRATICILIN; PRATICILIN; NOT FOUND; 250 MG/5ML PO SUS OR CX 50 FR PLAS AMB X 150 ML (EMB HOSP); PZ8
528524314111417; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 20 MG CAP GEL DURA MICROG CT BL AL PLAS INC X 280; PZ8
528524306119412; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 20 MG CAP GEL DURA MICROG CT BL AL PLAS INC X 30; PZ8
528524315118415; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 320 (EMB FRAC); PZ8
528524301117411; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 20 MG CAP GEL DURA MICROG CT BL AL PLAS X 350 (EMB HOSP) ; PZ8
528524310116414; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 40 MG CAP GEL DURA MICROG CT BL AL PLAS INC X 10 ; PZ8
528524309118417; PRATIPRAZOL; PRATIPRAZOL; NOT FOUND; 40 MG CAP GEL DURA MICROG CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
528504421133126; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 10 ML (EMB HOSP); PZ8
528504401132124; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 15 ML (EMB HOSP); PZ8
528504402139122; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200MG/ML SOL OR CT FR PLAS OPC GOT X 15ML; PZ8
528504408110118; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS INC X 100 (EMB MULTI); PZ8
528504403119125; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS INC X 20; PZ8
528504411111111; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS INC X 360 (EMB MULT); PZ8
528504419139120; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG PO P/ SOL OR CT 5 SACH AL PE X 5 G; PZ8
528504420137128; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG PO P/ SOL OR CT 50 SACH AL PE X 5 G (EMB MULT); PZ8
528504404115123; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); PZ8
528504409117116; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT BL AL PLAS INC X 100 (EMB MULT); PZ8
528504414110116; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT BL AL PLAS AMB X 100 (EMB MULT); PZ8
528504405111121; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750MG COM REV CT 2 BL AL PLAS INC X 12; PZ8
528504416113112; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT BL AL PLAS AMB X 24; PZ8
528504415117114; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT BL AL PLAS AMB X 240 (EMB MULT); PZ8
528504423111111; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT BL AL PLAS AMB X 280 (EMB FRAC); PZ8
528504413114118; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT  BL AL PLAS INC X 300 (EMB MULT)  ; PZ8
528504418116119; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT BL AL PLAS AMB X 300 (EMB HOSP); PZ8
528504422113110; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT BL AL PLAS AMB X 440 (EMB FRAC); PZ8
528504406118121; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT 40 BL AL PLAS INC X 12 (EMBL HOSP); PZ8
528504417111113; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT BL AL PLAS AMB X 480 (EMB HOSP); PZ8
528513060122506; PERMETRINA; PERMETRINA; PERMETRINA; 10 MG/G LOC CT FR PLAS OPC X 60 ML ; PZ8
528513060122606; PERMETRINA; PERMETRINA; PERMETRINA; 10 MG/G LOC CX 50 FR PLAS OPC X 60 ML (EMB HOSP); PZ8
528525801113111; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA CT BL AL PLAS INC X 15 ; PZ8
528525803116118; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
528525804112116; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA CT BL AL PLAS INC X 80 (EMB FRAC); PZ8
528529102112119; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 10 ; PZ8
528529101116110; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 20; PZ8
528529103119117; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
528529104115115; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
528529105111113; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 20 ; PZ8
528529106118111; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
528529107114111; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
528514080126406; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G SOL CAP CX 50 FR PLAS OPC GOT X 50 G (EMB HOSP); PZ8
528522801163114; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G CREM DERM CT BG AL X 30 G; PZ8
528522805169117; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G POM DERM CT BG AL X 30 G; PZ8
528513090123806; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G SOL CAP CT FR PLAS OPC GOT X 50 G; PZ8
528530801118411; PRATIFOLIN; PRATIFOLIN; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 20 ; PZ8
528530803110418; PRATIFOLIN; PRATIFOLIN; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 30; PZ8
528530804117416; PRATIFOLIN; PRATIFOLIN; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 400; PZ8
