507731801139113, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, E3S
507739401164116, HIDROQUINONA + TRETINOÍNA + FLUOCINOLONA ACETONIDA , HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA, NOT FOUND, 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 15 G , E3S
507739402160114, HIDROQUINONA + TRETINOÍNA + FLUOCINOLONA ACETONIDA , HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA, NOT FOUND, 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 30 G, E3S
507715501134114, HIDRÓXIDO DE ALUMÍNIO, HIDROXIDO ALUMINIO, HIDROXIDO ALUMINIO, SUSP FR C/240ML, E3S
507731801139113, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, E3S
507742001112410, HEMOSEV, HEMOSEV, NOT FOUND, 800 MG COM REV FR PLAS OPC X 180, E3S
507734601114111, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 25 MG COM CT BL AL PLAS LEIT X 30, E3S
507734602110111, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 50 MG COM CT BL AL PLAS LEIT X 20, E3S
507734701161111, HIDROCORTISONA, HIDROCORTISONA, HIDROCORTISONA, 10 MG/G POM DERM CT BG AL X 30 G, E3S
507734702174111, HIDROCORTISONA, HIDROCORTISONA, HIDROCORTISONA, 10 MG/ML SOL CAPIL CT FR PLAS OPC GOT X 60 ML, E3S
507739401164116, HIDROQUINONA + TRETINOÍNA + FLUOCINOLONA ACETONIDA , HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA, NOT FOUND, 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 15 G , E3S
507739402160114, HIDROQUINONA + TRETINOÍNA + FLUOCINOLONA ACETONIDA , HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA, NOT FOUND, 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 30 G, E3S
507715501134114, HIDRÓXIDO DE ALUMÍNIO, HIDROXIDO ALUMINIO, HIDROXIDO ALUMINIO, SUSP FR C/240ML, E3S
507731801139113, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, E3S
507742001112410, HEMOSEV, HEMOSEV, NOT FOUND, 800 MG COM REV FR PLAS OPC X 180, E3S
507734601114111, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 25 MG COM CT BL AL PLAS LEIT X 30, E3S
507734602110111, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 50 MG COM CT BL AL PLAS LEIT X 20, E3S
507734701161111, HIDROCORTISONA, HIDROCORTISONA, HIDROCORTISONA, 10 MG/G POM DERM CT BG AL X 30 G, E3S
507734702174111, HIDROCORTISONA, HIDROCORTISONA, HIDROCORTISONA, 10 MG/ML SOL CAPIL CT FR PLAS OPC GOT X 60 ML, E3S
507739401164116, HIDROQUINONA + TRETINOÍNA + FLUOCINOLONA ACETONIDA , HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA, NOT FOUND, 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 15 G , E3S
507739402160114, HIDROQUINONA + TRETINOÍNA + FLUOCINOLONA ACETONIDA , HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA, NOT FOUND, 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 30 G, E3S
507715501134114, HIDRÓXIDO DE ALUMÍNIO, HIDROXIDO ALUMINIO, HIDROXIDO ALUMINIO, SUSP FR C/240ML, E3S
507731801139113, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, E3S
507742001112410, HEMOSEV, HEMOSEV, NOT FOUND, 800 MG COM REV FR PLAS OPC X 180, E3S
507734601114111, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 25 MG COM CT BL AL PLAS LEIT X 30, E3S
507734602110111, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 50 MG COM CT BL AL PLAS LEIT X 20, E3S
507734701161111, HIDROCORTISONA, HIDROCORTISONA, HIDROCORTISONA, 10 MG/G POM DERM CT BG AL X 30 G, E3S
507734702174111, HIDROCORTISONA, HIDROCORTISONA, HIDROCORTISONA, 10 MG/ML SOL CAPIL CT FR PLAS OPC GOT X 60 ML, E3S
507742401161419, HIDROPEEK, HIDROPEEK, NOT FOUND, 40 MG/G CREM  CT BG AL X 30 G, E3S
507742301167113, HIDROQUINONA, HIDROQUINONA, HIDROQUINONA, 40 MG/G CREM CT BG AL X 30G, E3S
507739401164116, HIDROQUINONA + TRETINOÍNA + FLUOCINOLONA ACETONIDA , HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA, NOT FOUND, 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 15 G , E3S
507739402160114, HIDROQUINONA + TRETINOÍNA + FLUOCINOLONA ACETONIDA , HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA, NOT FOUND, 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 30 G, E3S
507715501134114, HIDRÓXIDO DE ALUMÍNIO, HIDROXIDO ALUMINIO, HIDROXIDO ALUMINIO, SUSP FR C/240ML, E3S
507731801139113, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, E3S
507742001112410, HEMOSEV, HEMOSEV, NOT FOUND, 800 MG COM REV FR PLAS OPC X 180, E3S
507734601114111, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 25 MG COM CT BL AL PLAS LEIT X 30, E3S
507734602110111, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 50 MG COM CT BL AL PLAS LEIT X 20, E3S
507734701161111, HIDROCORTISONA, HIDROCORTISONA, HIDROCORTISONA, 10 MG/G POM DERM CT BG AL X 30 G, E3S
507734702174111, HIDROCORTISONA, HIDROCORTISONA, HIDROCORTISONA, 10 MG/ML SOL CAPIL CT FR PLAS OPC GOT X 60 ML, E3S
507742401161419, HIDROPEEK, HIDROPEEK, NOT FOUND, 40 MG/G CREM  CT BG AL X 30 G, E3S
507742301167113, HIDROQUINONA, HIDROQUINONA, HIDROQUINONA, 40 MG/G CREM CT BG AL X 30G, E3S
507739401164116, HIDROQUINONA + TRETINOÍNA + FLUOCINOLONA ACETONIDA , HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA, NOT FOUND, 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 15 G , E3S
507739402160114, HIDROQUINONA + TRETINOÍNA + FLUOCINOLONA ACETONIDA , HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA, NOT FOUND, 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 30 G, E3S
507715501134114, HIDRÓXIDO DE ALUMÍNIO, HIDROXIDO ALUMINIO, HIDROXIDO ALUMINIO, SUSP FR C/240ML, E3S
507731801139113, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, E3S
507742001112410, HEMOSEV, HEMOSEV, NOT FOUND, 800 MG COM REV FR PLAS OPC X 180, E3S
507734601114111, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 25 MG COM CT BL AL PLAS LEIT X 30, E3S
507734602110111, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 50 MG COM CT BL AL PLAS LEIT X 20, E3S
507734701161111, HIDROCORTISONA, HIDROCORTISONA, HIDROCORTISONA, 10 MG/G POM DERM CT BG AL X 30 G, E3S
507734702174111, HIDROCORTISONA, HIDROCORTISONA, HIDROCORTISONA, 10 MG/ML SOL CAPIL CT FR PLAS OPC GOT X 60 ML, E3S
507742401161419, HIDROPEEK, HIDROPEEK, NOT FOUND, 40 MG/G CREM  CT BG AL X 30 G, E3S
507742301167113, HIDROQUINONA, HIDROQUINONA, HIDROQUINONA, 40 MG/G CREM CT BG AL X 30G, E3S
507739401164116, HIDROQUINONA + TRETINOÍNA + FLUOCINOLONA ACETONIDA , HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA, NOT FOUND, 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 15 G , E3S
507739402160114, HIDROQUINONA + TRETINOÍNA + FLUOCINOLONA ACETONIDA , HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA, NOT FOUND, 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 30 G, E3S
507715501134114, HIDRÓXIDO DE ALUMÍNIO, HIDROXIDO ALUMINIO, HIDROXIDO ALUMINIO, SUSP FR C/240ML, E3S
507731801139113, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, E3S
507742001112410, HEMOSEV, HEMOSEV, NOT FOUND, 800 MG COM REV FR PLAS OPC X 180, E3S
507734601114111, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 25 MG COM CT BL AL PLAS LEIT X 30, E3S
507734602110111, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 50 MG COM CT BL AL PLAS LEIT X 20, E3S
507734701161111, HIDROCORTISONA, HIDROCORTISONA, HIDROCORTISONA, 10 MG/G POM DERM CT BG AL X 30 G, E3S
507734702174111, HIDROCORTISONA, HIDROCORTISONA, HIDROCORTISONA, 10 MG/ML SOL CAPIL CT FR PLAS OPC GOT X 60 ML, E3S
507742401161419, HIDROPEEK, HIDROPEEK, NOT FOUND, 40 MG/G CREM  CT BG AL X 30 G, E3S
507742301167113, HIDROQUINONA, HIDROQUINONA, HIDROQUINONA, 40 MG/G CREM CT BG AL X 30G, E3S
507739401164116, HIDROQUINONA + TRETINOÍNA + FLUOCINOLONA ACETONIDA , HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA, NOT FOUND, 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 15 G , E3S
507739402160114, HIDROQUINONA + TRETINOÍNA + FLUOCINOLONA ACETONIDA , HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA, NOT FOUND, 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 30 G, E3S
507715501134114, HIDRÓXIDO DE ALUMÍNIO, HIDROXIDO ALUMINIO, HIDROXIDO ALUMINIO, SUSP FR C/240ML, E3S
507742001112410, HEMOSEV, HEMOSEV, NOT FOUND, 800 MG COM REV FR PLAS OPC X 180, E3S
507731801139113, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, E3S
507734601114111, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 25 MG COM CT BL AL PLAS LEIT X 30, E3S
507734602110111, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 50 MG COM CT BL AL PLAS LEIT X 20, E3S
507734701161111, HIDROCORTISONA, HIDROCORTISONA, HIDROCORTISONA, 10 MG/G POM DERM CT BG AL X 30 G, E3S
507734702174111, HIDROCORTISONA, HIDROCORTISONA, HIDROCORTISONA, 10 MG/ML SOL CAPIL CT FR PLAS OPC GOT X 60 ML, E3S
507742401161419, HIDROPEEK, HIDROPEEK, NOT FOUND, 40 MG/G CREM CT BG AL X 30 G, E3S
507742301167113, HIDROQUINONA, HIDROQUINONA, HIDROQUINONA, 40 MG/G CREM CT BG AL X 30G, E3S
507739401164116, HIDROQUINONA + TRETINOÍNA + FLUOCINOLONA ACETONIDA , HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA, NOT FOUND, 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 15 G , E3S
507739402160114, HIDROQUINONA + TRETINOÍNA + FLUOCINOLONA ACETONIDA , HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA, NOT FOUND, 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 30 G, E3S
507715501134114, HIDRÓXIDO DE ALUMÍNIO, HIDROXIDO ALUMINIO, HIDROXIDO ALUMINIO, SUSP FR C/240ML, E3S
507743701134415, HIXILERG, HIXILERG, NOT FOUND, 2 MG/ML SOL OR CT FR PLAS OPC X 120 ML + CP MED, E3S
507742001112410, HEMOSEV, HEMOSEV, NOT FOUND, 800 MG COM REV FR PLAS OPC X 180, E3S
507731801139113, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, E3S
507734601114111, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 25 MG COM CT BL AL PLAS LEIT X 30, E3S
507734602110111, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 50 MG COM CT BL AL PLAS LEIT X 20, E3S
507734701161111, HIDROCORTISONA, HIDROCORTISONA, HIDROCORTISONA, 10 MG/G POM DERM CT BG AL X 30 G, E3S
507734702174111, HIDROCORTISONA, HIDROCORTISONA, HIDROCORTISONA, 10 MG/ML SOL CAPIL CT FR PLAS OPC GOT X 60 ML, E3S
507742401161419, HIDROPEEK, HIDROPEEK, NOT FOUND, 40 MG/G CREM CT BG AL X 30 G, E3S
507742301167113, HIDROQUINONA, HIDROQUINONA, HIDROQUINONA, 40 MG/G CREM CT BG AL X 30G, E3S
507739401164116, HIDROQUINONA + TRETINOÍNA + FLUOCINOLONA ACETONIDA , HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA, NOT FOUND, 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 15 G , E3S
507739402160114, HIDROQUINONA + TRETINOÍNA + FLUOCINOLONA ACETONIDA , HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA, NOT FOUND, 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 30 G, E3S
507715501134114, HIDRÓXIDO DE ALUMÍNIO, HIDROXIDO ALUMINIO, HIDROXIDO ALUMINIO, SUSP FR C/240ML, E3S
507743701134415, HIXILERG, HIXILERG, NOT FOUND, 2 MG/ML SOL OR CT FR PLAS OPC X 120 ML + CP MED, E3S
