507726602115110, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 15MG 2BLT C/ 7 CAPS, E3S
507726605114115, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 15MG X 60 CAPS (EMB FRAC), E3S
507726603111119, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30MG 2 BLT C/ 7 CAPS, E3S
507726604118117, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30MG 4 BLT C/ 7 CAPS, E3S
507726601119112, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 7, E3S
507726606110113, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30MG X 60 CAPS (EMB FRAC), E3S
507731101110414, LEVERCTIN, LEVERCTIN, NOT FOUND, 6 MG COM CT STR AL X 2, E3S
507731102117412, LEVERCTIN, LEVERCTIN, NOT FOUND, 6 MG COM CT STR AL X 4, E3S
507733501116114, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS LEIT X 10, E3S
507733503119110, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS LEIT X 3, E3S
507733504115119, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS LEIT X 42 (EMB FRAC), E3S
507733502112112, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS LEIT X 7, E3S
507738302162117, LIDOCAÍNA, LIDOCAINA, LIDOCAINA, 40 MG/G CREM DERM CT BG AL X 30 G, E3S
507738303169115, LIDOCAÍNA, LIDOCAINA, LIDOCAINA, 50 MG/G POM DERM CT BG AL X 25 G, E3S
507738301166119, LIDOCAÍNA, LIDOCAINA, LIDOCAINA, 50 MG/G POM DERM CT BG AL X 25 G (SBR LAR), E3S
507738701164113, LIDOCAÍNA + PRILOCAÍNA, LIDOCAINA PRILOCAINA, NOT FOUND, 25 MG/G + 25 MG/G CREM DERM CT 5 BG AL X 5 G + 10 BAND OCL, E3S
507738702160111, LIDOCAÍNA + PRILOCAÍNA, LIDOCAINA PRILOCAINA, NOT FOUND, 25 MG/G + 25 MG/G CREM DERM CT BG AL X 5 G + 2 BAND OCL, E3S
507716501111112, LISINOPRIL, LISINOPRIL, LISINOPRIL, 10MG 2 BL X 15 COMP, E3S
507716505117115, LISINOPRIL, LISINOPRIL, LISINOPRIL, 10MG X 90 COMP (EMB FRAC), E3S
507716507111114, LISINOPRIL, LISINOPRIL, LISINOPRIL, 20 MG COM CT BL AL PLAS INC X 60 (EMB FRAC), E3S
507716502118110, LISINOPRIL, LISINOPRIL, LISINOPRIL, 20MG 2 BL X 15 COMP, E3S
507716508116111, LISINOPRIL, LISINOPRIL, LISINOPRIL, 30 MG COM CT BL AL PLAS INC X 60 (EMB FRAC), E3S
507716503114119, LISINOPRIL, LISINOPRIL, LISINOPRIL, 30MG 2 BL X 15 COMP, E3S
507716504110117, LISINOPRIL, LISINOPRIL, LISINOPRIL, 5MG 2 BL X 15 COMP, E3S
507716506113113, LISINOPRIL, LISINOPRIL, LISINOPRIL, 5MG X 90 COMP (EMB FRAC), E3S
507716701137115, LORATADINA, LORATADINA, LORATADINA,  5MG/5ML XPE FR C/100ML, E3S
507716601132111, LORATADINA + PSEUDOEFEDRINA, LORATADINA PSEUDOEFEDRINA, NOT FOUND, 1MG/ML XPE60ML, E3S
507716801115113, LORAZEPAM, LORAZEPAM, LORAZEPAM, 1 MG COM CT BL AL PLAS INC X 20, E3S
507716802111111, LORAZEPAM, LORAZEPAM, LORAZEPAM, 2 MG COM CT BL AL PLAS INC X 20 , E3S
507731201115116, LOSARTAN POTÁSSICO + HIDROCLOROTIAZIDA, LOSARTAN POTASSICO HIDROCLOROTIAZIDA, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS LEIT X 30, E3S
507731202111114, LOSARTAN POTÁSSICO + HIDROCLOROTIAZIDA, LOSARTAN POTASSICO HIDROCLOROTIAZIDA, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL PLAS LEIT X 30, E3S
507737601115112, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 100 MG COM REV CT BL AL PLAS LEIT X 30, E3S
507737602111110, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS LEIT X 30, E3S
507735801117112, LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA, LOSARTANA POTASSICA HIDROCLOROTIAZIDA, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS LEIT X 90 (EMB FRAC), E3S
507735802113110, LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA, LOSARTANA POTASSICA HIDROCLOROTIAZIDA, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL PLAS LEIT X 90 (EMB FRAC), E3S
507726602115110, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 15MG 2BLT C/ 7 CAPS, E3S
507726605114115, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 15MG X 60 CAPS (EMB FRAC), E3S
507726603111119, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30MG 2 BLT C/ 7 CAPS, E3S
507726604118117, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30MG 4 BLT C/ 7 CAPS, E3S
507726601119112, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 7, E3S
507726606110113, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30MG X 60 CAPS (EMB FRAC), E3S
507731101110414, LEVERCTIN, LEVERCTIN, NOT FOUND, 6 MG COM CT STR AL X 2, E3S
507731102117412, LEVERCTIN, LEVERCTIN, NOT FOUND, 6 MG COM CT STR AL X 4, E3S
507733501116114, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS LEIT X 10, E3S
507733503119110, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS LEIT X 3, E3S
507733504115119, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS LEIT X 42 (EMB FRAC), E3S
507733502112112, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS LEIT X 7, E3S
507738302162117, LIDOCAÍNA, LIDOCAINA, LIDOCAINA, 40 MG/G CREM DERM CT BG AL X 30 G, E3S
507738303169115, LIDOCAÍNA, LIDOCAINA, LIDOCAINA, 50 MG/G POM DERM CT BG AL X 25 G, E3S
507738301166119, LIDOCAÍNA, LIDOCAINA, LIDOCAINA, 50 MG/G POM DERM CT BG AL X 25 G (SBR LAR), E3S
507738701164113, LIDOCAÍNA + PRILOCAÍNA, LIDOCAINA PRILOCAINA, NOT FOUND, 25 MG/G + 25 MG/G CREM DERM CT 5 BG AL X 5 G + 10 BAND OCL, E3S
507738702160111, LIDOCAÍNA + PRILOCAÍNA, LIDOCAINA PRILOCAINA, NOT FOUND, 25 MG/G + 25 MG/G CREM DERM CT BG AL X 5 G + 2 BAND OCL, E3S
507716501111112, LISINOPRIL, LISINOPRIL, LISINOPRIL, 10MG 2 BL X 15 COMP, E3S
507716505117115, LISINOPRIL, LISINOPRIL, LISINOPRIL, 10MG X 90 COMP (EMB FRAC), E3S
507716507111114, LISINOPRIL, LISINOPRIL, LISINOPRIL, 20 MG COM CT BL AL PLAS INC X 60 (EMB FRAC), E3S
507716502118110, LISINOPRIL, LISINOPRIL, LISINOPRIL, 20MG 2 BL X 15 COMP, E3S
507716508116111, LISINOPRIL, LISINOPRIL, LISINOPRIL, 30 MG COM CT BL AL PLAS INC X 60 (EMB FRAC), E3S
507716503114119, LISINOPRIL, LISINOPRIL, LISINOPRIL, 30MG 2 BL X 15 COMP, E3S
507716504110117, LISINOPRIL, LISINOPRIL, LISINOPRIL, 5MG 2 BL X 15 COMP, E3S
507716506113113, LISINOPRIL, LISINOPRIL, LISINOPRIL, 5MG X 90 COMP (EMB FRAC), E3S
507716701137115, LORATADINA, LORATADINA, LORATADINA,  5MG/5ML XPE FR C/100ML, E3S
507716601132111, LORATADINA + PSEUDOEFEDRINA, LORATADINA PSEUDOEFEDRINA, NOT FOUND, 1MG/ML XPE60ML, E3S
507716801115113, LORAZEPAM, LORAZEPAM, LORAZEPAM, 1 MG COM CT BL AL PLAS INC X 20, E3S
507716802111111, LORAZEPAM, LORAZEPAM, LORAZEPAM, 2 MG COM CT BL AL PLAS INC X 20 , E3S
507731201115116, LOSARTAN POTÁSSICO + HIDROCLOROTIAZIDA, LOSARTAN POTASSICO HIDROCLOROTIAZIDA, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS LEIT X 30, E3S
507731202111114, LOSARTAN POTÁSSICO + HIDROCLOROTIAZIDA, LOSARTAN POTASSICO HIDROCLOROTIAZIDA, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL PLAS LEIT X 30, E3S
507737601115112, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 100 MG COM REV CT BL AL PLAS LEIT X 30, E3S
507737602111110, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS LEIT X 30, E3S
507735801117112, LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA, LOSARTANA POTASSICA HIDROCLOROTIAZIDA, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS LEIT X 90 (EMB FRAC), E3S
507735802113110, LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA, LOSARTANA POTASSICA HIDROCLOROTIAZIDA, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL PLAS LEIT X 90 (EMB FRAC), E3S
507726602115110, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 15MG 2BLT C/ 7 CAPS, E3S
507726605114115, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 15MG X 60 CAPS (EMB FRAC), E3S
507726603111119, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30MG 2 BLT C/ 7 CAPS, E3S
507726604118117, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30MG 4 BLT C/ 7 CAPS, E3S
507726601119112, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 7, E3S
507726606110113, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30MG X 60 CAPS (EMB FRAC), E3S
507731101110414, LEVERCTIN, LEVERCTIN, NOT FOUND, 6 MG COM CT STR AL X 2, E3S
507731102117412, LEVERCTIN, LEVERCTIN, NOT FOUND, 6 MG COM CT STR AL X 4, E3S
507733501116114, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS LEIT X 10, E3S
507733503119110, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS LEIT X 3, E3S
507733504115119, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS LEIT X 42 (EMB FRAC), E3S
507733502112112, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS LEIT X 7, E3S
507738302162117, LIDOCAÍNA, LIDOCAINA, LIDOCAINA, 40 MG/G CREM DERM CT BG AL X 30 G, E3S
507738303169115, LIDOCAÍNA, LIDOCAINA, LIDOCAINA, 50 MG/G POM DERM CT BG AL X 25 G, E3S
507738301166119, LIDOCAÍNA, LIDOCAINA, LIDOCAINA, 50 MG/G POM DERM CT BG AL X 25 G (SBR LAR), E3S
507738701164113, LIDOCAÍNA + PRILOCAÍNA, LIDOCAINA PRILOCAINA, NOT FOUND, 25 MG/G + 25 MG/G CREM DERM CT 5 BG AL X 5 G + 10 BAND OCL, E3S
507738702160111, LIDOCAÍNA + PRILOCAÍNA, LIDOCAINA PRILOCAINA, NOT FOUND, 25 MG/G + 25 MG/G CREM DERM CT BG AL X 5 G + 2 BAND OCL, E3S
507716501111112, LISINOPRIL, LISINOPRIL, LISINOPRIL, 10MG 2 BL X 15 COMP, E3S
507716505117115, LISINOPRIL, LISINOPRIL, LISINOPRIL, 10MG X 90 COMP (EMB FRAC), E3S
507716507111114, LISINOPRIL, LISINOPRIL, LISINOPRIL, 20 MG COM CT BL AL PLAS INC X 60 (EMB FRAC), E3S
507716502118110, LISINOPRIL, LISINOPRIL, LISINOPRIL, 20MG 2 BL X 15 COMP, E3S
507716508116111, LISINOPRIL, LISINOPRIL, LISINOPRIL, 30 MG COM CT BL AL PLAS INC X 60 (EMB FRAC), E3S
507716503114119, LISINOPRIL, LISINOPRIL, LISINOPRIL, 30MG 2 BL X 15 COMP, E3S
507716504110117, LISINOPRIL, LISINOPRIL, LISINOPRIL, 5MG 2 BL X 15 COMP, E3S
507716506113113, LISINOPRIL, LISINOPRIL, LISINOPRIL, 5MG X 90 COMP (EMB FRAC), E3S
507716701137115, LORATADINA, LORATADINA, LORATADINA,  5MG/5ML XPE FR C/100ML, E3S
507716601132111, LORATADINA + PSEUDOEFEDRINA, LORATADINA PSEUDOEFEDRINA, NOT FOUND, 1MG/ML XPE60ML, E3S
507716801115113, LORAZEPAM, LORAZEPAM, LORAZEPAM, 1 MG COM CT BL AL PLAS INC X 20, E3S
507716802111111, LORAZEPAM, LORAZEPAM, LORAZEPAM, 2 MG COM CT BL AL PLAS INC X 20 , E3S
507731201115116, LOSARTAN POTÁSSICO + HIDROCLOROTIAZIDA, LOSARTAN POTASSICO HIDROCLOROTIAZIDA, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS LEIT X 30, E3S
507731202111114, LOSARTAN POTÁSSICO + HIDROCLOROTIAZIDA, LOSARTAN POTASSICO HIDROCLOROTIAZIDA, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL PLAS LEIT X 30, E3S
507737601115112, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 100 MG COM REV CT BL AL PLAS LEIT X 30, E3S
507737602111110, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS LEIT X 30, E3S
507735801117112, LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA, LOSARTANA POTASSICA HIDROCLOROTIAZIDA, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS LEIT X 90 (EMB FRAC), E3S
507735802113110, LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA, LOSARTANA POTASSICA HIDROCLOROTIAZIDA, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL PLAS LEIT X 90 (EMB FRAC), E3S
507726602115110, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 15MG 2BLT C/ 7 CAPS, E3S
507726605114115, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 15MG X 60 CAPS (EMB FRAC), E3S
507726603111119, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30MG 2 BLT C/ 7 CAPS, E3S
507726604118117, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30MG 4 BLT C/ 7 CAPS, E3S
507726601119112, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 7, E3S
507726606110113, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30MG X 60 CAPS (EMB FRAC), E3S
507731101110414, LEVERCTIN, LEVERCTIN, NOT FOUND, 6 MG COM CT STR AL X 2, E3S
507731102117412, LEVERCTIN, LEVERCTIN, NOT FOUND, 6 MG COM CT STR AL X 4, E3S
507733501116114, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS LEIT X 10, E3S
507733503119110, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS LEIT X 3, E3S
507733504115119, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS LEIT X 42 (EMB FRAC), E3S
507733502112112, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS LEIT X 7, E3S
507738302162117, LIDOCAÍNA, LIDOCAINA, LIDOCAINA, 40 MG/G CREM DERM CT BG AL X 30 G, E3S
507738303169115, LIDOCAÍNA, LIDOCAINA, LIDOCAINA, 50 MG/G POM DERM CT BG AL X 25 G, E3S
507738301166119, LIDOCAÍNA, LIDOCAINA, LIDOCAINA, 50 MG/G POM DERM CT BG AL X 25 G (SBR LAR), E3S
507738701164113, LIDOCAÍNA + PRILOCAÍNA, LIDOCAINA PRILOCAINA, NOT FOUND, 25 MG/G + 25 MG/G CREM DERM CT 5 BG AL X 5 G + 10 BAND OCL, E3S
