507733701131117, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, 40MG/ML SUS ORAL X 120 ML, E3S
507725102135114, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, 0.25 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, E3S
507725103131112, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, 0.5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, E3S
507725101074111, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, 5MG/ML FR X 20ML, E3S
507733101134115, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 1 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED, E3S
507733102130113, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 4MG/ML SOL ORAL 20 ML, E3S
507731401130410, BRONCOLEX, BRONCOLEX, NOT FOUND, 10 MG/ML XPE AD CT FR VD AMB X 120 ML +CP MED 10 ML, E3S
507731402137419, BRONCOLEX, BRONCOLEX, NOT FOUND, 5 MG/ML XPE AD CT FR VD AMB X 120 ML + CP MED 10 ML, E3S
507726301131117, BUTILBROMETO DE ESCOPOLAMINA, BUTILBROMETO ESCOPOLAMINA, BUTILBROMETO ESCOPOLAMINA, 10 MG/ML SOL OR CT FR VD AMB GOT X 20 ML, E3S
507733701131117, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, 40MG/ML SUS ORAL X 120 ML, E3S
507730505110116, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS LAR X 90 (EMB FRAC), E3S
507730502111111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10MG 3 BLT C/ 10 COMP, E3S
507730506117114, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS LAR X 90 (EMB FRAC), E3S
507730504114118, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5MG 3 BLT C/ 10 COMP, E3S
507726505111114, BETAMETASONA, BETAMETASONA, BETAMETASONA, 0.5 MG COM CT BL AL PLAS BCO LEIT X 90 (EMB FRAC), E3S
507726501114119, BETAMETASONA, BETAMETASONA, BETAMETASONA, 0.5MG COM CT BL AL PLAS BCO LEIT X 20, E3S
507726503133110, BETAMETASONA, BETAMETASONA, BETAMETASONA, 0.5MG/5ML ELX FR C/ 120ML, E3S
507726506116111, BETAMETASONA, BETAMETASONA, BETAMETASONA, 2.0 MG COM CT BL AL PLAS BCO LEIT X 90 (EMB FRAC), E3S
507726502110117, BETAMETASONA, BETAMETASONA, BETAMETASONA, 2.0MG COM CT BL AL PLAS BCO LEIT X 10, E3S
507736001157411, BETROSPAM, BETROSPAM, NOT FOUND, SUSP INJ 1 AMP X 1ML, E3S
507726802114118, BEZAFIBRATO, BEZAFIBRATO, BEZAFIBRATO, 200 MG COM REV CT BL AL PLAS BCO X 60 (EMB FRAC), E3S
507726801118111, BEZAFIBRATO, BEZAFIBRATO, BEZAFIBRATO, 200MG COMP REVES CT BL AL PLAS BRANCO X 20, E3S
507740201173115, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML, E3S
507740202171116, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, E3S
507703701151418, BIOPREVENT, BIOPREVENT, NOT FOUND, 1G INJ 50 FR/AMP S/ DIL, E3S
507741801131411, BISURAN, BISURAN, NOT FOUND, 0.8 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, E3S
507725205139112, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 2.5 MG / ML SOL OR CT FR VD AMB GOT X 20 ML, E3S
507725203111113, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 3 MG COM CT BL AL PLAS INC X 30, E3S
507725201011111, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 3MG 2 BL X 10COMP, E3S
507725202113112, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 6 MG COM CT BL AL PLAS INC X 30, E3S
507725204116119, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 6 MG X 20 COMP, E3S
507739601171116, BROMETO DE IPRATRÓPRIO, BROMETO IPRATROPRIO, NOT FOUND, 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML, E3S
507736201131112, BROMETO N-BUTIL ESCOP+DIP.SODICA, BROMETO N BUTIL ESCOP DIP SODICA, NOT FOUND, 6.67 + 333.4 MG/ML SOL OR 20 ML, E3S
507740801111110, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS OPC X 14, E3S
507740802118119, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS OPC X 28, E3S
507740803114117, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS OPC X 30, E3S
507725102135114, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, 0.25 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, E3S
507725103131112, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, 0.5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, E3S
507725101074111, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, 5MG/ML FR X 20ML, E3S
507733101134115, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 1 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED, E3S
507733102130113, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 4MG/ML SOL ORAL 20 ML, E3S
507731401130410, BRONCOLEX, BRONCOLEX, NOT FOUND, 10 MG/ML XPE AD CT FR VD AMB X 120 ML +CP MED 10 ML, E3S
507731402137419, BRONCOLEX, BRONCOLEX, NOT FOUND, 5 MG/ML XPE AD CT FR VD AMB X 120 ML + CP MED 10 ML, E3S
507726301131117, BUTILBROMETO DE ESCOPOLAMINA, BUTILBROMETO ESCOPOLAMINA, BUTILBROMETO ESCOPOLAMINA, 10 MG/ML SOL OR CT FR VD AMB GOT X 20 ML, E3S
507733701131117, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, 40MG/ML SUS ORAL X 120 ML, E3S
507730505110116, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS LAR X 90 (EMB FRAC), E3S
507730502111111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10MG 3 BLT C/ 10 COMP, E3S
507730506117114, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS LAR X 90 (EMB FRAC), E3S
507730504114118, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5MG 3 BLT C/ 10 COMP, E3S
507726505111114, BETAMETASONA, BETAMETASONA, BETAMETASONA, 0.5 MG COM CT BL AL PLAS BCO LEIT X 90 (EMB FRAC), E3S
507726501114119, BETAMETASONA, BETAMETASONA, BETAMETASONA, 0.5MG COM CT BL AL PLAS BCO LEIT X 20, E3S
507726503133110, BETAMETASONA, BETAMETASONA, BETAMETASONA, 0.5MG/5ML ELX FR C/ 120ML, E3S
507726506116111, BETAMETASONA, BETAMETASONA, BETAMETASONA, 2.0 MG COM CT BL AL PLAS BCO LEIT X 90 (EMB FRAC), E3S
507726502110117, BETAMETASONA, BETAMETASONA, BETAMETASONA, 2.0MG COM CT BL AL PLAS BCO LEIT X 10, E3S
507736001157411, BETROSPAM, BETROSPAM, NOT FOUND, SUSP INJ 1 AMP X 1ML, E3S
507726802114118, BEZAFIBRATO, BEZAFIBRATO, BEZAFIBRATO, 200 MG COM REV CT BL AL PLAS BCO X 60 (EMB FRAC), E3S
507726801118111, BEZAFIBRATO, BEZAFIBRATO, BEZAFIBRATO, 200MG COMP REVES CT BL AL PLAS BRANCO X 20, E3S
507740201173115, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML, E3S
507740202171116, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, E3S
507703701151418, BIOPREVENT, BIOPREVENT, NOT FOUND, 1G INJ 50 FR/AMP S/ DIL, E3S
507741801131411, BISURAN, BISURAN, NOT FOUND, 0.8 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, E3S
507725205139112, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 2.5 MG / ML SOL OR CT FR VD AMB GOT X 20 ML, E3S
507725203111113, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 3 MG COM CT BL AL PLAS INC X 30, E3S
507725201011111, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 3MG 2 BL X 10COMP, E3S
507725202113112, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 6 MG COM CT BL AL PLAS INC X 30, E3S
507725204116119, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 6 MG X 20 COMP, E3S
507739601171116, BROMETO DE IPRATRÓPRIO, BROMETO IPRATROPRIO, NOT FOUND, 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML, E3S
507736201131112, BROMETO N-BUTIL ESCOP+DIP.SODICA, BROMETO N BUTIL ESCOP DIP SODICA, NOT FOUND, 6.67 + 333.4 MG/ML SOL OR 20 ML, E3S
507740801111110, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS OPC X 14, E3S
507740802118119, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS OPC X 28, E3S
507740803114117, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS OPC X 30, E3S
507725102135114, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, 0.25 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, E3S
507725103131112, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, 0.5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, E3S
507725101074111, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, 5MG/ML FR X 20ML, E3S
507733101134115, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 1 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED, E3S
507733102130113, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 4MG/ML SOL ORAL 20 ML, E3S
507731401130410, BRONCOLEX, BRONCOLEX, NOT FOUND, 10 MG/ML XPE AD CT FR VD AMB X 120 ML +CP MED 10 ML, E3S
507731402137419, BRONCOLEX, BRONCOLEX, NOT FOUND, 5 MG/ML XPE AD CT FR VD AMB X 120 ML + CP MED 10 ML, E3S
507726301131117, BUTILBROMETO DE ESCOPOLAMINA, BUTILBROMETO ESCOPOLAMINA, BUTILBROMETO ESCOPOLAMINA, 10 MG/ML SOL OR CT FR VD AMB GOT X 20 ML, E3S
507733701131117, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, 40MG/ML SUS ORAL X 120 ML, E3S
507730505110116, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS LAR X 90 (EMB FRAC), E3S
507730502111111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10MG 3 BLT C/ 10 COMP, E3S
507730506117114, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS LAR X 90 (EMB FRAC), E3S
507730504114118, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5MG 3 BLT C/ 10 COMP, E3S
507726505111114, BETAMETASONA, BETAMETASONA, BETAMETASONA, 0.5 MG COM CT BL AL PLAS BCO LEIT X 90 (EMB FRAC), E3S
507726501114119, BETAMETASONA, BETAMETASONA, BETAMETASONA, 0.5MG COM CT BL AL PLAS BCO LEIT X 20, E3S
507726503133110, BETAMETASONA, BETAMETASONA, BETAMETASONA, 0.5MG/5ML ELX FR C/ 120ML, E3S
507726506116111, BETAMETASONA, BETAMETASONA, BETAMETASONA, 2.0 MG COM CT BL AL PLAS BCO LEIT X 90 (EMB FRAC), E3S
507726502110117, BETAMETASONA, BETAMETASONA, BETAMETASONA, 2.0MG COM CT BL AL PLAS BCO LEIT X 10, E3S
507736001157411, BETROSPAM, BETROSPAM, NOT FOUND, SUSP INJ 1 AMP X 1ML, E3S
507726802114118, BEZAFIBRATO, BEZAFIBRATO, BEZAFIBRATO, 200 MG COM REV CT BL AL PLAS BCO X 60 (EMB FRAC), E3S
507726801118111, BEZAFIBRATO, BEZAFIBRATO, BEZAFIBRATO, 200MG COMP REVES CT BL AL PLAS BRANCO X 20, E3S
507740201173115, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML, E3S
507740202171116, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, E3S
507703701151418, BIOPREVENT, BIOPREVENT, NOT FOUND, 1G INJ 50 FR/AMP S/ DIL, E3S
507741801131411, BISURAN, BISURAN, NOT FOUND, 0.8 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, E3S
507725205139112, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 2.5 MG / ML SOL OR CT FR VD AMB GOT X 20 ML, E3S
507725203111113, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 3 MG COM CT BL AL PLAS INC X 30, E3S
507725201011111, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 3MG 2 BL X 10COMP, E3S
507725202113112, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 6 MG COM CT BL AL PLAS INC X 30, E3S
507725204116119, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 6 MG X 20 COMP, E3S
507739601171116, BROMETO DE IPRATRÓPRIO, BROMETO IPRATROPRIO, NOT FOUND, 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML, E3S
507736201131112, BROMETO N-BUTIL ESCOP+DIP.SODICA, BROMETO N BUTIL ESCOP DIP SODICA, NOT FOUND, 6.67 + 333.4 MG/ML SOL OR 20 ML, E3S
507740801111110, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS OPC X 14, E3S
507740802118119, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS OPC X 28, E3S
507740803114117, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS OPC X 30, E3S
507725102135114, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, 0.25 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, E3S
507725103131112, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, 0.5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, E3S
507725101074111, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, BROMIDRATO FENOTEROL, 5MG/ML FR X 20ML, E3S
507733101134115, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 1 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED, E3S
507733102130113, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 4MG/ML SOL ORAL 20 ML, E3S
507731401130410, BRONCOLEX, BRONCOLEX, NOT FOUND, 10 MG/ML XPE AD CT FR VD AMB X 120 ML +CP MED 10 ML, E3S
507731402137419, BRONCOLEX, BRONCOLEX, NOT FOUND, 5 MG/ML XPE AD CT FR VD AMB X 120 ML + CP MED 10 ML, E3S
507726301131117, BUTILBROMETO DE ESCOPOLAMINA, BUTILBROMETO ESCOPOLAMINA, BUTILBROMETO ESCOPOLAMINA, 10 MG/ML SOL OR CT FR VD AMB GOT X 20 ML, E3S
507733701131117, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, 40MG/ML SUS ORAL X 120 ML, E3S
507730505110116, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS LAR X 90 (EMB FRAC), E3S
507730502111111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10MG 3 BLT C/ 10 COMP, E3S
507730506117114, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS LAR X 90 (EMB FRAC), E3S
507730504114118, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5MG 3 BLT C/ 10 COMP, E3S
507726505111114, BETAMETASONA, BETAMETASONA, BETAMETASONA, 0.5 MG COM CT BL AL PLAS BCO LEIT X 90 (EMB FRAC), E3S
507726501114119, BETAMETASONA, BETAMETASONA, BETAMETASONA, 0.5MG COM CT BL AL PLAS BCO LEIT X 20, E3S
507726503133110, BETAMETASONA, BETAMETASONA, BETAMETASONA, 0.5MG/5ML ELX FR C/ 120ML, E3S
507726506116111, BETAMETASONA, BETAMETASONA, BETAMETASONA, 2.0 MG COM CT BL AL PLAS BCO LEIT X 90 (EMB FRAC), E3S
