507718101171416, NARIDRIN, NARIDRIN, NOT FOUND, 12HS GOTAS FR C/30ML, E3S
507718601113113, NIMESULIDA, NIMESULIDA, NIMESULIDA, 100MG C/12 COMP, E3S
507718603167113, NIMESULIDA, NIMESULIDA, NIMESULIDA, 20 MG / G GEL DERM CT BG AL X 30 G, E3S
507718602136117, NIMESULIDA, NIMESULIDA, NIMESULIDA, 50MG/ML FR C/15ML, E3S
507735601118115, NIMODIPINO, NIMODIPINO, NIMODIPINO, 30 MG COM REV CT BL AL PLAS LEIT X 30, E3S
507735602114113, NIMODIPINO, NIMODIPINO, NIMODIPINO, 30 MG COM REV CT BL AL PLAS LEIT X 80 (EMB FRAC), E3S
507718703171112, NISTATINA, NISTATINA, NISTATINA, 25.000 UI/G CREM VAG 60G + 14 APLIC, E3S
507718701169110, NISTATINA, NISTATINA, NISTATINA, CR VAG BISN C/60G C/APLI, E3S
507718702130110, NISTATINA, NISTATINA, NISTATINA, SUSP ORAL FR C/50ML, E3S
507729701165110, NISTATINA + ÓXIDO DE ZINCO, NISTATINA OXIDO ZINCO, NOT FOUND, 100.000 UI/G + 200 MG/G POM C/ 60 GR, E3S
507729801161117, NITRATO DE ISOCONAZOL, NITRATO ISOCONAZOL, NITRATO ISOCONAZOL, 10 MG/G CREME BG C/ 20 GR, E3S
507729802166112, NITRATO DE ISOCONAZOL, NITRATO ISOCONAZOL, NITRATO ISOCONAZOL, 10MG/G CREM VAG BISN C/ 40G + 7 APLIC, E3S
507725703163112, NITRATO DE MICONAZOL, NITRATO MICONAZOL, NITRATO MICONAZOL, 20 MG/G CREM DERM CT BG AL X 28 G, E3S
507725701071113, NITRATO DE MICONAZOL, NITRATO MICONAZOL, NITRATO MICONAZOL, 20 MG/G LOC CREM CT FR PLAS OPC X 30 G, E3S
507718801171117, NITRATO DE MICONAZOL, NITRATO MICONAZOL, NITRATO MICONAZOL, 20 MG/G PO TOP CT FR PLAS OPC X 30 G, E3S
507725702167114, NITRATO DE MICONAZOL, NITRATO MICONAZOL, NITRATO MICONAZOL, 20MG/G CR BISN 80G + 14APLIC, E3S
507727401113119, NITRAZEPAM, NITRAZEPAM, NITRAZEPAM, 5 MG COM CTBL AL PLAS BCO LEIT X 20, E3S
507718901117416, NOCICLIN, NOCICLIN, NOT FOUND, 1 BL X 21 COMP, E3S
507718902113414, NOCICLIN, NOCICLIN, NOT FOUND, 1 BL X 21 COMP (HOSP), E3S
507719102110117, NORFLOXACINO, NORFLOXACINO, NORFLOXACINO, 400 MG COM REV CT BL AL PLAS LEIT X 60 (EMB FRAC), E3S
507719101114119, NORFLOXACINO, NORFLOXACINO, NORFLOXACINO, 400MG FR C/14 COMP, E3S
507719201119414, NORIDERM, NORIDERM, NOT FOUND, 1 BL X 10 COMP, E3S
507719202166416, NORIDERM, NORIDERM, NOT FOUND, CREME BISN C/20 G, E3S
507741101131419, NORMOLAX, NORMOLAX, NOT FOUND, 667 MG/ML XPE CT FR VD AMB X 120 ML + CP MED (SABOR AMEIXA), E3S
507718101171416, NARIDRIN, NARIDRIN, NOT FOUND, 12HS GOTAS FR C/30ML, E3S
507718102176411, NARIDRIN, NARIDRIN, NOT FOUND, GOTAS AD FR C/15ML, E3S
507718103172411, NARIDRIN, NARIDRIN, NOT FOUND, GOTAS INF FR C/15ML, E3S
507718201166414, NEOTRICIN, NEOTRICIN, NOT FOUND, 5 MG + 250 UI/G POM DERM CT BG AL X 15 G, E3S
507734901118414, NEUROTRYPT, NEUROTRYPT, NOT FOUND, 25 MG COM REV CT BL AL PLAS LEITOSO X 30, E3S
507734902114412, NEUROTRYPT, NEUROTRYPT, NOT FOUND, 75 MG COM REV CT BL AL PLAS LEITOSO X 30, E3S
507718501119411, NIMESILAM, NIMESILAM, NOT FOUND, 1 BL X 12 COMP, E3S
507718502131415, NIMESILAM, NIMESILAM, NOT FOUND, GOTAS FR C/15ML, E3S
507718601113113, NIMESULIDA, NIMESULIDA, NIMESULIDA, 100MG C/12 COMP, E3S
507718603167113, NIMESULIDA, NIMESULIDA, NIMESULIDA, 20 MG / G GEL DERM CT BG AL X 30 G, E3S
507718602136117, NIMESULIDA, NIMESULIDA, NIMESULIDA, 50MG/ML FR C/15ML, E3S
507735601118115, NIMODIPINO, NIMODIPINO, NIMODIPINO, 30 MG COM REV CT BL AL PLAS LEIT X 30, E3S
507735602114113, NIMODIPINO, NIMODIPINO, NIMODIPINO, 30 MG COM REV CT BL AL PLAS LEIT X 80 (EMB FRAC), E3S
507718703171112, NISTATINA, NISTATINA, NISTATINA, 25.000 UI/G CREM VAG 60G + 14 APLIC, E3S
507718701169110, NISTATINA, NISTATINA, NISTATINA, CR VAG BISN C/60G C/APLI, E3S
507718702130110, NISTATINA, NISTATINA, NISTATINA, SUSP ORAL FR C/50ML, E3S
507729701165110, NISTATINA + ÓXIDO DE ZINCO, NISTATINA OXIDO ZINCO, NOT FOUND, 100.000 UI/G + 200 MG/G POM C/ 60 GR, E3S
507729801161117, NITRATO DE ISOCONAZOL, NITRATO ISOCONAZOL, NITRATO ISOCONAZOL, 10 MG/G CREME BG C/ 20 GR, E3S
507729802166112, NITRATO DE ISOCONAZOL, NITRATO ISOCONAZOL, NITRATO ISOCONAZOL, 10MG/G CREM VAG BISN C/ 40G + 7 APLIC, E3S
507725703163112, NITRATO DE MICONAZOL, NITRATO MICONAZOL, NITRATO MICONAZOL, 20 MG/G CREM DERM CT BG AL X 28 G, E3S
507725701071113, NITRATO DE MICONAZOL, NITRATO MICONAZOL, NITRATO MICONAZOL, 20 MG/G LOC CREM CT FR PLAS OPC X 30 G, E3S
507718801171117, NITRATO DE MICONAZOL, NITRATO MICONAZOL, NITRATO MICONAZOL, 20 MG/G PO TOP CT FR PLAS OPC X 30 G, E3S
507725702167114, NITRATO DE MICONAZOL, NITRATO MICONAZOL, NITRATO MICONAZOL, 20MG/G CR BISN 80G + 14APLIC, E3S
507727401113119, NITRAZEPAM, NITRAZEPAM, NITRAZEPAM, 5 MG COM CTBL AL PLAS BCO LEIT X 20, E3S
507718901117416, NOCICLIN, NOCICLIN, NOT FOUND, 1 BL X 21 COMP, E3S
507718902113414, NOCICLIN, NOCICLIN, NOT FOUND, 1 BL X 21 COMP (HOSP), E3S
507719102110117, NORFLOXACINO, NORFLOXACINO, NORFLOXACINO, 400 MG COM REV CT BL AL PLAS LEIT X 60 (EMB FRAC), E3S
507719101114119, NORFLOXACINO, NORFLOXACINO, NORFLOXACINO, 400MG FR C/14 COMP, E3S
507719201119414, NORIDERM, NORIDERM, NOT FOUND, 1 BL X 10 COMP, E3S
507719202166416, NORIDERM, NORIDERM, NOT FOUND, CREME BISN C/20 G, E3S
507741101131419, NORMOLAX, NORMOLAX, NOT FOUND, 667 MG/ML XPE CT FR VD AMB X 120 ML + CP MED (SABOR AMEIXA), E3S
507718101171416, NARIDRIN, NARIDRIN, NOT FOUND, 12HS GOTAS FR C/30ML, E3S
507718102176411, NARIDRIN, NARIDRIN, NOT FOUND, GOTAS AD FR C/15ML, E3S
507718103172411, NARIDRIN, NARIDRIN, NOT FOUND, GOTAS INF FR C/15ML, E3S
507718201166414, NEOTRICIN, NEOTRICIN, NOT FOUND, 5 MG + 250 UI/G POM DERM CT BG AL X 15 G, E3S
507734901118414, NEUROTRYPT, NEUROTRYPT, NOT FOUND, 25 MG COM REV CT BL AL PLAS LEITOSO X 30, E3S
507734902114412, NEUROTRYPT, NEUROTRYPT, NOT FOUND, 75 MG COM REV CT BL AL PLAS LEITOSO X 30, E3S
507718501119411, NIMESILAM, NIMESILAM, NOT FOUND, 1 BL X 12 COMP, E3S
507718502131415, NIMESILAM, NIMESILAM, NOT FOUND, GOTAS FR C/15ML, E3S
