507735902118114, RAMIPRIL + HIDROCLOROTIAZIDA, RAMIPRIL HIDROCLOROTIAZIDA, NOT FOUND, 5 MG + 25 MG COM CT BL AL/AL X 30, E3S
507735901111116, RAMIPRIL + HIDROCLOROTIAZIDA, RAMIPRIL HIDROCLOROTIAZIDA, NOT FOUND, 5 MG + 25 MG COM CT BL AL/AL X 90 (EMB FRAC), E3S
507721901114417, RANITIL, RANITIL, NOT FOUND, 150MG 5STP C/4 COMP, E3S
507722002113416, REPOFLOR, REPOFLOR, NOT FOUND, 100 MG CAP GEL DURA CT FR PLAS OPC X 12, E3S
507722003111417, REPOFLOR, REPOFLOR, NOT FOUND, 200 MG CAP GEL DURA CT FR PLAS OPC X 6, E3S
507722001133413, REPOFLOR, REPOFLOR, NOT FOUND, 200 MG PO OR CT 4 ENV KRAFT POLIET X 1 G , E3S
507722101111411, REPOPIL, REPOPIL, NOT FOUND, 2 MG + 0.035 MG COM REV CT BL AL PLAS INC X 21 , E3S
507722102118411, REPOPIL, REPOPIL, NOT FOUND, 2 MG + 0.035 MG DRG CT BL AL PLAS INC X 63, E3S
507729901131112, RIFAMICINA, RIFAMICINA, RIFAMICINA, 10 MG/ML SOL TOP SPRAY CT FR VD AMB X 20 ML, E3S
507732701170416, RIFASAN, RIFASAN, NOT FOUND, 10 MG / ML SOL TOP CT FR VD AMB SPRAY X 20 ML, E3S
507722202139419, RINIGRAN, RINIGRAN, NOT FOUND, 10ML 0.05% GOTAS, E3S
507722201132410, RINIGRAN, RINIGRAN, NOT FOUND, 10ML 0.10% GOTAS, E3S
507740302115110, RISEDRONATO SÓDICO, RISEDRONATO SODICO, RISEDRONATO SODICO, 35 MG COM REV CT BL AL PLAS OPC X 2, E3S
507740301119112, RISEDRONATO SÓDICO, RISEDRONATO SODICO, RISEDRONATO SODICO, 35 MG COM REV CT BL AL PLAS OPC X 4, E3S
507741602112417, RISONATO, RISONATO, NOT FOUND, 35 MG COM REV CT BL AL PLAS OPC X 2, E3S
507741601116419, RISONATO, RISONATO, NOT FOUND, 35 MG COM REV CT BL AL PLAS OPC X 4, E3S
507737201133113, RISPERIDONA, RISPERIDONA, RISPERIDONA, 1 MG / ML SOL OR CT FR VD AMB X 30 ML + SER PLAS DOSAD, E3S
507735902118114, RAMIPRIL + HIDROCLOROTIAZIDA, RAMIPRIL HIDROCLOROTIAZIDA, NOT FOUND, 5 MG + 25 MG COM CT BL AL/AL X 30, E3S
507735901111116, RAMIPRIL + HIDROCLOROTIAZIDA, RAMIPRIL HIDROCLOROTIAZIDA, NOT FOUND, 5 MG + 25 MG COM CT BL AL/AL X 90 (EMB FRAC), E3S
507721901114417, RANITIL, RANITIL, NOT FOUND, 150MG 5STP C/4 COMP, E3S
507722002113416, REPOFLOR, REPOFLOR, NOT FOUND, 100 MG CAP GEL DURA CT FR PLAS OPC X 12, E3S
507722003111417, REPOFLOR, REPOFLOR, NOT FOUND, 200 MG CAP GEL DURA CT FR PLAS OPC X 6, E3S
507722001133413, REPOFLOR, REPOFLOR, NOT FOUND, 200 MG PO OR CT 4 ENV KRAFT POLIET X 1 G , E3S
507722101111411, REPOPIL, REPOPIL, NOT FOUND, 2 MG + 0.035 MG COM REV CT BL AL PLAS INC X 21 , E3S
507722102118411, REPOPIL, REPOPIL, NOT FOUND, 2 MG + 0.035 MG DRG CT BL AL PLAS INC X 63, E3S
507729901131112, RIFAMICINA, RIFAMICINA, RIFAMICINA, 10 MG/ML SOL TOP SPRAY CT FR VD AMB X 20 ML, E3S
507732701170416, RIFASAN, RIFASAN, NOT FOUND, 10 MG / ML SOL TOP CT FR VD AMB SPRAY X 20 ML, E3S
507722202139419, RINIGRAN, RINIGRAN, NOT FOUND, 10ML 0.05% GOTAS, E3S
507722201132410, RINIGRAN, RINIGRAN, NOT FOUND, 10ML 0.10% GOTAS, E3S
507740302115110, RISEDRONATO SÓDICO, RISEDRONATO SODICO, RISEDRONATO SODICO, 35 MG COM REV CT BL AL PLAS OPC X 2, E3S
507740301119112, RISEDRONATO SÓDICO, RISEDRONATO SODICO, RISEDRONATO SODICO, 35 MG COM REV CT BL AL PLAS OPC X 4, E3S
507741602112417, RISONATO, RISONATO, NOT FOUND, 35 MG COM REV CT BL AL PLAS OPC X 2, E3S
507741601116419, RISONATO, RISONATO, NOT FOUND, 35 MG COM REV CT BL AL PLAS OPC X 4, E3S
507737201133113, RISPERIDONA, RISPERIDONA, RISPERIDONA, 1 MG / ML SOL OR CT FR VD AMB X 30 ML + SER PLAS DOSAD, E3S
507735902118114, RAMIPRIL + HIDROCLOROTIAZIDA, RAMIPRIL HIDROCLOROTIAZIDA, NOT FOUND, 5 MG + 25 MG COM CT BL AL/AL X 30, E3S
507735901111116, RAMIPRIL + HIDROCLOROTIAZIDA, RAMIPRIL HIDROCLOROTIAZIDA, NOT FOUND, 5 MG + 25 MG COM CT BL AL/AL X 90 (EMB FRAC), E3S
507721901114417, RANITIL, RANITIL, NOT FOUND, 150MG 5STP C/4 COMP, E3S
507722002113416, REPOFLOR, REPOFLOR, NOT FOUND, 100 MG CAP GEL DURA CT FR PLAS OPC X 12, E3S
507722003111417, REPOFLOR, REPOFLOR, NOT FOUND, 200 MG CAP GEL DURA CT FR PLAS OPC X 6, E3S
507722001133413, REPOFLOR, REPOFLOR, NOT FOUND, 200 MG PO OR CT 4 ENV KRAFT POLIET X 1 G , E3S
507722101111411, REPOPIL, REPOPIL, NOT FOUND, 2 MG + 0.035 MG COM REV CT BL AL PLAS INC X 21 , E3S
507722102118411, REPOPIL, REPOPIL, NOT FOUND, 2 MG + 0.035 MG DRG CT BL AL PLAS INC X 63, E3S
507729901131112, RIFAMICINA, RIFAMICINA, RIFAMICINA, 10 MG/ML SOL TOP SPRAY CT FR VD AMB X 20 ML, E3S
507732701170416, RIFASAN, RIFASAN, NOT FOUND, 10 MG / ML SOL TOP CT FR VD AMB SPRAY X 20 ML, E3S
507722202139419, RINIGRAN, RINIGRAN, NOT FOUND, 10ML 0.05% GOTAS, E3S
507722201132410, RINIGRAN, RINIGRAN, NOT FOUND, 10ML 0.10% GOTAS, E3S
507740302115110, RISEDRONATO SÓDICO, RISEDRONATO SODICO, RISEDRONATO SODICO, 35 MG COM REV CT BL AL PLAS OPC X 2, E3S
507740301119112, RISEDRONATO SÓDICO, RISEDRONATO SODICO, RISEDRONATO SODICO, 35 MG COM REV CT BL AL PLAS OPC X 4, E3S
507741602112417, RISONATO, RISONATO, NOT FOUND, 35 MG COM REV CT BL AL PLAS OPC X 2, E3S
507741601116419, RISONATO, RISONATO, NOT FOUND, 35 MG COM REV CT BL AL PLAS OPC X 4, E3S
507737201133113, RISPERIDONA, RISPERIDONA, RISPERIDONA, 1 MG / ML SOL OR CT FR VD AMB X 30 ML + SER PLAS DOSAD, E3S
507735902118114, RAMIPRIL + HIDROCLOROTIAZIDA, RAMIPRIL HIDROCLOROTIAZIDA, NOT FOUND, 5 MG + 25 MG COM CT BL AL/AL X 30, E3S
507735901111116, RAMIPRIL + HIDROCLOROTIAZIDA, RAMIPRIL HIDROCLOROTIAZIDA, NOT FOUND, 5 MG + 25 MG COM CT BL AL/AL X 90 (EMB FRAC), E3S
507721901114417, RANITIL, RANITIL, NOT FOUND, 150MG 5STP C/4 COMP, E3S
507722002113416, REPOFLOR, REPOFLOR, NOT FOUND, 100 MG CAP GEL DURA CT FR PLAS OPC X 12, E3S
507722003111417, REPOFLOR, REPOFLOR, NOT FOUND, 200 MG CAP GEL DURA CT FR PLAS OPC X 6, E3S
507722001133413, REPOFLOR, REPOFLOR, NOT FOUND, 200 MG PO OR CT 4 ENV KRAFT POLIET X 1 G , E3S
507722101111411, REPOPIL, REPOPIL, NOT FOUND, 2 MG + 0.035 MG COM REV CT BL AL PLAS INC X 21 , E3S
507722102118411, REPOPIL, REPOPIL, NOT FOUND, 2 MG + 0.035 MG DRG CT BL AL PLAS INC X 63, E3S
507729901131112, RIFAMICINA, RIFAMICINA, RIFAMICINA, 10 MG/ML SOL TOP SPRAY CT FR VD AMB X 20 ML, E3S
507732701170416, RIFASAN, RIFASAN, NOT FOUND, 10 MG / ML SOL TOP CT FR VD AMB SPRAY X 20 ML, E3S
507722202139419, RINIGRAN, RINIGRAN, NOT FOUND, 10ML 0.05% GOTAS, E3S
507722201132410, RINIGRAN, RINIGRAN, NOT FOUND, 10ML 0.10% GOTAS, E3S
507740302115110, RISEDRONATO SÓDICO, RISEDRONATO SODICO, RISEDRONATO SODICO, 35 MG COM REV CT BL AL PLAS OPC X 2, E3S
507740301119112, RISEDRONATO SÓDICO, RISEDRONATO SODICO, RISEDRONATO SODICO, 35 MG COM REV CT BL AL PLAS OPC X 4, E3S
507741602112417, RISONATO, RISONATO, NOT FOUND, 35 MG COM REV CT BL AL PLAS OPC X 2, E3S
507741601116419, RISONATO, RISONATO, NOT FOUND, 35 MG COM REV CT BL AL PLAS OPC X 4, E3S
507737201133113, RISPERIDONA, RISPERIDONA, RISPERIDONA, 1 MG / ML SOL OR CT FR VD AMB X 30 ML + SER PLAS DOSAD, E3S
507722101111411, REPOPIL, REPOPIL, NOT FOUND, 2 MG + 0.035 MG COM REV CT BL AL PLAS INC X 21 , E3S
507722102118411, REPOPIL, REPOPIL, NOT FOUND, 2 MG + 0.035 MG DRG CT BL AL PLAS INC X 63, E3S
507721901114417, RANITIL, RANITIL, NOT FOUND, 150 MG 5STP C/4 COMP, E3S
507722202139419, RINIGRAN, RINIGRAN, NOT FOUND, 0.5 MG/ML SOL NAS CT FR PLAS TRANS GOT X 10 ML, E3S
507722201132410, RINIGRAN, RINIGRAN, NOT FOUND, 1.0 MG/ML SOL NAS CT FR PLAS TRANS GOT X 10 ML, E3S
507735902118114, RAMIPRIL + HIDROCLOROTIAZIDA, RAMIPRIL HIDROCLOROTIAZIDA, NOT FOUND, 5 MG + 25 MG COM CT BL AL/AL X 30, E3S
507735901111116, RAMIPRIL + HIDROCLOROTIAZIDA, RAMIPRIL HIDROCLOROTIAZIDA, NOT FOUND, 5 MG + 25 MG COM CT BL AL/AL X 90 (EMB FRAC), E3S
507722002113416, REPOFLOR, REPOFLOR, NOT FOUND, 100 MG CAP GEL DURA CT FR PLAS OPC X 12, E3S
507722003111417, REPOFLOR, REPOFLOR, NOT FOUND, 200 MG CAP GEL DURA CT FR PLAS OPC X 6, E3S
507722001133413, REPOFLOR, REPOFLOR, NOT FOUND, 200 MG PO OR CT 4 ENV KRAFT POLIET X 1 G , E3S
507745301117110, REPAGLINIDA, REPAGLINIDA, REPAGLINIDA, 2 MG COM CT BL AL AL X 30, E3S
507732701170416, RIFASAN, RIFASAN, NOT FOUND, 10 MG / ML SOL TOP CT FR VD AMB SPRAY X 20 ML, E3S
507729901131112, RIFAMICINA, RIFAMICINA, RIFAMICINA, 10 MG/ML SOL TOP SPRAY CT FR VD AMB X 20 ML, E3S
507740302115110, RISEDRONATO SÓDICO, RISEDRONATO SODICO, RISEDRONATO SODICO, 35 MG COM REV CT BL AL PLAS OPC X 2, E3S
507741602112417, RISONATO, RISONATO, NOT FOUND, 35 MG COM REV CT BL AL PLAS OPC X 2, E3S
507740301119112, RISEDRONATO SÓDICO, RISEDRONATO SODICO, RISEDRONATO SODICO, 35 MG COM REV CT BL AL PLAS OPC X 4, E3S
507741601116419, RISONATO, RISONATO, NOT FOUND, 35 MG COM REV CT BL AL PLAS OPC X 4, E3S
507737201133113, RISPERIDONA, RISPERIDONA, RISPERIDONA, 1 MG / ML SOL OR CT FR VD AMB X 30 ML + SER PLAS DOSAD, E3S
507745102114111, ROSUVASTATINA CÁLCICA, ROSUVASTATINA CALCICA, ROSUVASTATINA CALCICA, 10 MG COM REV CT BL AL/AL X 10, E3S
507745103110111, ROSUVASTATINA CÁLCICA, ROSUVASTATINA CALCICA, ROSUVASTATINA CALCICA, 10 MG COM REV CT BL AL/AL X 30, E3S
507745101118113, ROSUVASTATINA CÁLCICA, ROSUVASTATINA CALCICA, ROSUVASTATINA CALCICA, 20 MG COM REV CT BL AL/AL X 30, E3S
507722303113415, ROVELAN, ROVELAN, NOT FOUND, 160 MG COM REV CT BL AL/AL X 30, E3S
507722304111416, ROVELAN, ROVELAN, NOT FOUND, 320 MG COM REV CT BL AL/AL X 30, E3S
507722305116411, ROVELAN, ROVELAN, NOT FOUND, 40 MG COM REV CT BL AL/AL X 30, E3S
507722306112411, ROVELAN, ROVELAN, NOT FOUND, 80 MG COM REV CT BL AL/AL X 15, E3S
507722307119418, ROVELAN, ROVELAN, NOT FOUND, 80 MG COM REV CT BL AL/AL X 30, E3S
507722101111411, REPOPIL, REPOPIL, NOT FOUND, 2 MG + 0.035 MG COM REV CT BL AL PLAS INC X 21 , E3S
507722102118411, REPOPIL, REPOPIL, NOT FOUND, 2 MG + 0.035 MG DRG CT BL AL PLAS INC X 63, E3S
507721901114417, RANITIL, RANITIL, NOT FOUND, 150 MG 5STP C/4 COMP, E3S
507722202139419, RINIGRAN, RINIGRAN, NOT FOUND, 0.5 MG/ML SOL NAS CT FR PLAS TRANS GOT X 10 ML, E3S
507722201132410, RINIGRAN, RINIGRAN, NOT FOUND, 1.0 MG/ML SOL NAS CT FR PLAS TRANS GOT X 10 ML, E3S
507735902118114, RAMIPRIL + HIDROCLOROTIAZIDA, RAMIPRIL HIDROCLOROTIAZIDA, NOT FOUND, 5 MG + 25 MG COM CT BL AL/AL X 30, E3S
507735901111116, RAMIPRIL + HIDROCLOROTIAZIDA, RAMIPRIL HIDROCLOROTIAZIDA, NOT FOUND, 5 MG + 25 MG COM CT BL AL/AL X 90 (EMB FRAC), E3S
507722002113416, REPOFLOR, REPOFLOR, NOT FOUND, 100 MG CAP GEL DURA CT FR PLAS OPC X 12, E3S
507722003111417, REPOFLOR, REPOFLOR, NOT FOUND, 200 MG CAP GEL DURA CT FR PLAS OPC X 6, E3S
507722001133413, REPOFLOR, REPOFLOR, NOT FOUND, 200 MG PO OR CT 4 ENV KRAFT POLIET X 1 G , E3S
507745301117110, REPAGLINIDA, REPAGLINIDA, REPAGLINIDA, 2 MG COM CT BL AL AL X 30, E3S
507732701170416, RIFASAN, RIFASAN, NOT FOUND, 10 MG / ML SOL TOP CT FR VD AMB SPRAY X 20 ML, E3S
507729901131112, RIFAMICINA, RIFAMICINA, RIFAMICINA, 10 MG/ML SOL TOP SPRAY CT FR VD AMB X 20 ML, E3S
507740302115110, RISEDRONATO SÓDICO, RISEDRONATO SODICO, RISEDRONATO SODICO, 35 MG COM REV CT BL AL PLAS OPC X 2, E3S
507741602112417, RISONATO, RISONATO, NOT FOUND, 35 MG COM REV CT BL AL PLAS OPC X 2, E3S
507740301119112, RISEDRONATO SÓDICO, RISEDRONATO SODICO, RISEDRONATO SODICO, 35 MG COM REV CT BL AL PLAS OPC X 4, E3S
507741601116419, RISONATO, RISONATO, NOT FOUND, 35 MG COM REV CT BL AL PLAS OPC X 4, E3S
507737201133113, RISPERIDONA, RISPERIDONA, RISPERIDONA, 1 MG / ML SOL OR CT FR VD AMB X 30 ML + SER PLAS DOSAD, E3S
507745102114111, ROSUVASTATINA CÁLCICA, ROSUVASTATINA CALCICA, ROSUVASTATINA CALCICA, 10 MG COM REV CT BL AL/AL X 10, E3S
507745103110111, ROSUVASTATINA CÁLCICA, ROSUVASTATINA CALCICA, ROSUVASTATINA CALCICA, 10 MG COM REV CT BL AL/AL X 30, E3S
507745101118113, ROSUVASTATINA CÁLCICA, ROSUVASTATINA CALCICA, ROSUVASTATINA CALCICA, 20 MG COM REV CT BL AL/AL X 30, E3S
507722303113415, ROVELAN, ROVELAN, NOT FOUND, 160 MG COM REV CT BL AL/AL X 30, E3S
507722304111416, ROVELAN, ROVELAN, NOT FOUND, 320 MG COM REV CT BL AL/AL X 30, E3S
507722305116411, ROVELAN, ROVELAN, NOT FOUND, 40 MG COM REV CT BL AL/AL X 30, E3S
507722306112411, ROVELAN, ROVELAN, NOT FOUND, 80 MG COM REV CT BL AL/AL X 15, E3S
507722307119418, ROVELAN, ROVELAN, NOT FOUND, 80 MG COM REV CT BL AL/AL X 30, E3S
