507740401113116, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL PLAS OPC X 20, E3S
507740402111117, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL PLAS OPC X 30, E3S
507723601118111, TENOXICAM, TENOXICAM, TENOXICAM, 20MG 1 BL X 10 COMP-LG, E3S
507723801117410, TETRAMICIN, TETRAMICIN, NOT FOUND, 500MG 25STP C/4 CAPS-EMS, E3S
507731302167111, TIABENDAZOL, TIABENDAZOL, TIABENDAZOL, 50 MG/G POM DERM CT BG AL X 45 G, E3S
507731301111112, TIABENDAZOL, TIABENDAZOL, TIABENDAZOL, 500 MG COM CT BL AL PLAS LEIT X 6, E3S
507738002118112, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS LEIT X 4 , E3S
507738001111114, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS LEIT X 8 , E3S
507727501169116, TINIDAZOL + NITRATO DE MICONAZOL, TINIDAZOL NITRATO MICONAZOL, NOT FOUND, 30 MG/G + 20 MG/G CREM VAG CT BG AL X 45 G + 7 APLIC, E3S
507725502176111, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, 10MG/G PO DERM FR C/ 30G, E3S
507725601069117, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, CREME 1% 30G-LG, E3S
507725501072116, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, LOCAO FR 30G-LG, E3S
507723901162116, TIOCONAZOL+TINIDAZOL, TIOCONAZOL TINIDAZOL, NOT FOUND, CR VAG 35GC/7APLIC, E3S
507724001165419, TIOTRAX, TIOTRAX, NOT FOUND, CREME BISN 35G+7 APLIC.-E, E3S
507735001110113, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 100 MG COM REV CT BL AL PLAS LEIT X 60, E3S
507735002117111, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 25 MG COM REV CT BL AL PLAS LEIT X 60, E3S
507735003113111, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 50 MG COM REV CT BL AL PLAS LEIT X 60, E3S
507724201164416, TRICOCILIN, TRICOCILIN, NOT FOUND, CR VAG. 45G C/10 APLIC., E3S
507741501162419, TRINULOX, TRINULOX, NOT FOUND, 0.1 MG/G + 40 MG/G + 0.5 MG/G CREM DERM CT BG AL X 15 G, E3S
507735301114114, TROMETAMOL CETOROLACO, TROMETAMOL CETOROLACO, TROMETAMOL CETOROLACO, 10 MG COM SUB-LING CT FR VD AMB X 10, E3S
507740401113116, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL PLAS OPC X 20, E3S
507740402111117, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL PLAS OPC X 30, E3S
507723601118111, TENOXICAM, TENOXICAM, TENOXICAM, 20MG 1 BL X 10 COMP-LG, E3S
507723801117410, TETRAMICIN, TETRAMICIN, NOT FOUND, 500MG 25STP C/4 CAPS-EMS, E3S
507731302167111, TIABENDAZOL, TIABENDAZOL, TIABENDAZOL, 50 MG/G POM DERM CT BG AL X 45 G, E3S
507731301111112, TIABENDAZOL, TIABENDAZOL, TIABENDAZOL, 500 MG COM CT BL AL PLAS LEIT X 6, E3S
507738002118112, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS LEIT X 4 , E3S
507738001111114, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS LEIT X 8 , E3S
507727501169116, TINIDAZOL + NITRATO DE MICONAZOL, TINIDAZOL NITRATO MICONAZOL, NOT FOUND, 30 MG/G + 20 MG/G CREM VAG CT BG AL X 45 G + 7 APLIC, E3S
507725502176111, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, 10MG/G PO DERM FR C/ 30G, E3S
507725601069117, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, CREME 1% 30G-LG, E3S
507725501072116, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, LOCAO FR 30G-LG, E3S
507723901162116, TIOCONAZOL+TINIDAZOL, TIOCONAZOL TINIDAZOL, NOT FOUND, CR VAG 35GC/7APLIC, E3S
507724001165419, TIOTRAX, TIOTRAX, NOT FOUND, CREME BISN 35G+7 APLIC.-E, E3S
507735001110113, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 100 MG COM REV CT BL AL PLAS LEIT X 60, E3S
507735002117111, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 25 MG COM REV CT BL AL PLAS LEIT X 60, E3S
507735003113111, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 50 MG COM REV CT BL AL PLAS LEIT X 60, E3S
507724201164416, TRICOCILIN, TRICOCILIN, NOT FOUND, CR VAG. 45G C/10 APLIC., E3S
507741501162419, TRINULOX, TRINULOX, NOT FOUND, 0.1 MG/G + 40 MG/G + 0.5 MG/G CREM DERM CT BG AL X 15 G, E3S
507735301114114, TROMETAMOL CETOROLACO, TROMETAMOL CETOROLACO, TROMETAMOL CETOROLACO, 10 MG COM SUB-LING CT FR VD AMB X 10, E3S
507740401113116, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL PLAS OPC X 20, E3S
507740402111117, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL PLAS OPC X 30, E3S
507723601118111, TENOXICAM, TENOXICAM, TENOXICAM, 20MG 1 BL X 10 COMP-LG, E3S
507723801117410, TETRAMICIN, TETRAMICIN, NOT FOUND, 500MG 25STP C/4 CAPS-EMS, E3S
507731302167111, TIABENDAZOL, TIABENDAZOL, TIABENDAZOL, 50 MG/G POM DERM CT BG AL X 45 G, E3S
507731301111112, TIABENDAZOL, TIABENDAZOL, TIABENDAZOL, 500 MG COM CT BL AL PLAS LEIT X 6, E3S
507738002118112, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS LEIT X 4 , E3S
507738001111114, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS LEIT X 8 , E3S
507727501169116, TINIDAZOL + NITRATO DE MICONAZOL, TINIDAZOL NITRATO MICONAZOL, NOT FOUND, 30 MG/G + 20 MG/G CREM VAG CT BG AL X 45 G + 7 APLIC, E3S
507725502176111, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, 10MG/G PO DERM FR C/ 30G, E3S
507725601069117, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, CREME 1% 30G-LG, E3S
507725501072116, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, LOCAO FR 30G-LG, E3S
507723901162116, TIOCONAZOL+TINIDAZOL, TIOCONAZOL TINIDAZOL, NOT FOUND, CR VAG 35GC/7APLIC, E3S
507724001165419, TIOTRAX, TIOTRAX, NOT FOUND, CREME BISN 35G+7 APLIC.-E, E3S
507735001110113, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 100 MG COM REV CT BL AL PLAS LEIT X 60, E3S
507735002117111, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 25 MG COM REV CT BL AL PLAS LEIT X 60, E3S
507735003113111, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 50 MG COM REV CT BL AL PLAS LEIT X 60, E3S
507724201164416, TRICOCILIN, TRICOCILIN, NOT FOUND, CR VAG. 45G C/10 APLIC., E3S
507741501162419, TRINULOX, TRINULOX, NOT FOUND, 0.1 MG/G + 40 MG/G + 0.5 MG/G CREM DERM CT BG AL X 15 G, E3S
507735301114114, TROMETAMOL CETOROLACO, TROMETAMOL CETOROLACO, TROMETAMOL CETOROLACO, 10 MG COM SUB-LING CT FR VD AMB X 10, E3S
507740401113116, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL PLAS OPC X 20, E3S
507740402111117, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL PLAS OPC X 30, E3S
507723601118111, TENOXICAM, TENOXICAM, TENOXICAM, 20MG 1 BL X 10 COMP-LG, E3S
507723801117410, TETRAMICIN, TETRAMICIN, NOT FOUND, 500MG 25STP C/4 CAPS-EMS, E3S
507731302167111, TIABENDAZOL, TIABENDAZOL, TIABENDAZOL, 50 MG/G POM DERM CT BG AL X 45 G, E3S
507731301111112, TIABENDAZOL, TIABENDAZOL, TIABENDAZOL, 500 MG COM CT BL AL PLAS LEIT X 6, E3S
507738002118112, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS LEIT X 4 , E3S
507738001111114, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS LEIT X 8 , E3S
507727501169116, TINIDAZOL + NITRATO DE MICONAZOL, TINIDAZOL NITRATO MICONAZOL, NOT FOUND, 30 MG/G + 20 MG/G CREM VAG CT BG AL X 45 G + 7 APLIC, E3S
507725502176111, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, 10MG/G PO DERM FR C/ 30G, E3S
507725601069117, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, CREME 1% 30G-LG, E3S
507725501072116, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, LOCAO FR 30G-LG, E3S
507723901162116, TIOCONAZOL+TINIDAZOL, TIOCONAZOL TINIDAZOL, NOT FOUND, CR VAG 35GC/7APLIC, E3S
507724001165419, TIOTRAX, TIOTRAX, NOT FOUND, CREME BISN 35G+7 APLIC.-E, E3S
507735001110113, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 100 MG COM REV CT BL AL PLAS LEIT X 60, E3S
507735002117111, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 25 MG COM REV CT BL AL PLAS LEIT X 60, E3S
507735003113111, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 50 MG COM REV CT BL AL PLAS LEIT X 60, E3S
507724201164416, TRICOCILIN, TRICOCILIN, NOT FOUND, CR VAG. 45G C/10 APLIC., E3S
507741501162419, TRINULOX, TRINULOX, NOT FOUND, 0.1 MG/G + 40 MG/G + 0.5 MG/G CREM DERM CT BG AL X 15 G, E3S
507735301114114, TROMETAMOL CETOROLACO, TROMETAMOL CETOROLACO, TROMETAMOL CETOROLACO, 10 MG COM SUB-LING CT FR VD AMB X 10, E3S
507740401113116, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL PLAS OPC X 20, E3S
507740402111117, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL PLAS OPC X 30, E3S
507723601118111, TENOXICAM, TENOXICAM, TENOXICAM, 20MG 1 BL X 10 COMP-LG, E3S
507742201162411, TERCONAN, TERCONAN, NOT FOUND, 8 MG/G CREM VAG CT BG AL X 30 G + 5 APLIC, E3S
507723801117410, TETRAMICIN, TETRAMICIN, NOT FOUND, 500MG 25STP C/4 CAPS-EMS, E3S
507731302167111, TIABENDAZOL, TIABENDAZOL, TIABENDAZOL, 50 MG/G POM DERM CT BG AL X 45 G, E3S
507731301111112, TIABENDAZOL, TIABENDAZOL, TIABENDAZOL, 500 MG COM CT BL AL PLAS LEIT X 6, E3S
507738002118112, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS LEIT X 4 , E3S
507738001111114, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS LEIT X 8 , E3S
507727501169116, TINIDAZOL + NITRATO DE MICONAZOL, TINIDAZOL NITRATO MICONAZOL, NOT FOUND, 30 MG/G + 20 MG/G CREM VAG CT BG AL X 45 G + 7 APLIC, E3S
507725502176111, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, 10MG/G PO DERM FR C/ 30G, E3S
507725601069117, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, CREME 1% 30G-LG, E3S
507725501072116, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, LOCAO FR 30G-LG, E3S
507723901162116, TIOCONAZOL+TINIDAZOL, TIOCONAZOL TINIDAZOL, NOT FOUND, CR VAG 35GC/7APLIC, E3S
507724001165419, TIOTRAX, TIOTRAX, NOT FOUND, CREME BISN 35G+7 APLIC.-E, E3S
507735001110113, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 100 MG COM REV CT BL AL PLAS LEIT X 60, E3S
507735002117111, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 25 MG COM REV CT BL AL PLAS LEIT X 60, E3S
507735003113111, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 50 MG COM REV CT BL AL PLAS LEIT X 60, E3S
507724201164416, TRICOCILIN, TRICOCILIN, NOT FOUND, CR VAG. 45G C/10 APLIC., E3S
507741501162419, TRINULOX, TRINULOX, NOT FOUND, 0.1 MG/G + 40 MG/G + 0.5 MG/G CREM DERM CT BG AL X 15 G, E3S
507735301114114, TROMETAMOL CETOROLACO, TROMETAMOL CETOROLACO, TROMETAMOL CETOROLACO, 10 MG COM SUB-LING CT FR VD AMB X 10, E3S
507740401113116, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL PLAS OPC X 20, E3S
507740402111117, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL PLAS OPC X 30, E3S
507723601118111, TENOXICAM, TENOXICAM, TENOXICAM, 20MG 1 BL X 10 COMP-LG, E3S
507742201162411, TERCONAN, TERCONAN, NOT FOUND, 8 MG/G CREM VAG CT BG AL X 30 G + 5 APLIC, E3S
507723801117410, TETRAMICIN, TETRAMICIN, NOT FOUND, 500MG 25STP C/4 CAPS-EMS, E3S
507731302167111, TIABENDAZOL, TIABENDAZOL, TIABENDAZOL, 50 MG/G POM DERM CT BG AL X 45 G, E3S
507731301111112, TIABENDAZOL, TIABENDAZOL, TIABENDAZOL, 500 MG COM CT BL AL PLAS LEIT X 6, E3S
507738002118112, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS LEIT X 4 , E3S
507738001111114, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS LEIT X 8 , E3S
507727501169116, TINIDAZOL + NITRATO DE MICONAZOL, TINIDAZOL NITRATO MICONAZOL, NOT FOUND, 30 MG/G + 20 MG/G CREM VAG CT BG AL X 45 G + 7 APLIC, E3S
507725502176111, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, 10MG/G PO DERM FR C/ 30G, E3S
507725601069117, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, CREME 1% 30G-LG, E3S
507725501072116, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, LOCAO FR 30G-LG, E3S
507723901162116, TIOCONAZOL+TINIDAZOL, TIOCONAZOL TINIDAZOL, NOT FOUND, CR VAG 35GC/7APLIC, E3S
507724001165419, TIOTRAX, TIOTRAX, NOT FOUND, CREME BISN 35G+7 APLIC.-E, E3S
507735001110113, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 100 MG COM REV CT BL AL PLAS LEIT X 60, E3S
507735002117111, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 25 MG COM REV CT BL AL PLAS LEIT X 60, E3S
507735003113111, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 50 MG COM REV CT BL AL PLAS LEIT X 60, E3S
507724201164416, TRICOCILIN, TRICOCILIN, NOT FOUND, CR VAG. 45G C/10 APLIC., E3S
507741501162419, TRINULOX, TRINULOX, NOT FOUND, 0.1 MG/G + 40 MG/G + 0.5 MG/G CREM DERM CT BG AL X 15 G, E3S
507735301114114, TROMETAMOL CETOROLACO, TROMETAMOL CETOROLACO, TROMETAMOL CETOROLACO, 10 MG COM SUB-LING CT FR VD AMB X 10, E3S
507740401113116, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL PLAS OPC X 20, E3S
507740402111117, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL PLAS OPC X 30, E3S
507723601118111, TENOXICAM, TENOXICAM, TENOXICAM, 20MG 1 BL X 10 COMP-LG, E3S
507742201162411, TERCONAN, TERCONAN, NOT FOUND, 8 MG/G CREM VAG CT BG AL X 30 G + 5 APLIC, E3S
507723801117410, TETRAMICIN, TETRAMICIN, NOT FOUND, 500MG 25STP C/4 CAPS-EMS, E3S
507731302167111, TIABENDAZOL, TIABENDAZOL, TIABENDAZOL, 50 MG/G POM DERM CT BG AL X 45 G, E3S
507731301111112, TIABENDAZOL, TIABENDAZOL, TIABENDAZOL, 500 MG COM CT BL AL PLAS LEIT X 6, E3S
507738002118112, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS LEIT X 4 , E3S
507738001111114, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS LEIT X 8 , E3S
507727501169116, TINIDAZOL + NITRATO DE MICONAZOL, TINIDAZOL NITRATO MICONAZOL, NOT FOUND, 30 MG/G + 20 MG/G CREM VAG CT BG AL X 45 G + 7 APLIC, E3S
507725502176111, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, 10MG/G PO DERM FR C/ 30G, E3S
507725601069117, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, CREME 1% 30G-LG, E3S
507725501072116, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, LOCAO FR 30G-LG, E3S
507723901162116, TIOCONAZOL+TINIDAZOL, TIOCONAZOL TINIDAZOL, NOT FOUND, CR VAG 35GC/7APLIC, E3S
507724001165419, TIOTRAX, TIOTRAX, NOT FOUND, CREME BISN 35G+7 APLIC.-E, E3S
507743001175410, TOBRALOX, TOBRALOX, NOT FOUND, 3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, E3S
507735001110113, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 100 MG COM REV CT BL AL PLAS LEIT X 60, E3S
507735002117111, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 25 MG COM REV CT BL AL PLAS LEIT X 60, E3S
507735003113111, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 50 MG COM REV CT BL AL PLAS LEIT X 60, E3S
507724201164416, TRICOCILIN, TRICOCILIN, NOT FOUND, CR VAG. 45G C/10 APLIC., E3S
507741501162419, TRINULOX, TRINULOX, NOT FOUND, 0.1 MG/G + 40 MG/G + 0.5 MG/G CREM DERM CT BG AL X 15 G, E3S
507735301114114, TROMETAMOL CETOROLACO, TROMETAMOL CETOROLACO, TROMETAMOL CETOROLACO, 10 MG COM SUB-LING CT FR VD AMB X 10, E3S
507740401113116, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL PLAS OPC X 20, E3S
507740402111117, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL PLAS OPC X 30, E3S
507723601118111, TENOXICAM, TENOXICAM, TENOXICAM, 20MG 1 BL X 10 COMP-LG, E3S
507742201162411, TERCONAN, TERCONAN, NOT FOUND, 8 MG/G CREM VAG CT BG AL X 30 G + 5 APLIC, E3S
507723801117410, TETRAMICIN, TETRAMICIN, NOT FOUND, 500MG 25STP C/4 CAPS-EMS, E3S
507731302167111, TIABENDAZOL, TIABENDAZOL, TIABENDAZOL, 50 MG/G POM DERM CT BG AL X 45 G, E3S
507731301111112, TIABENDAZOL, TIABENDAZOL, TIABENDAZOL, 500 MG COM CT BL AL PLAS LEIT X 6, E3S
507738002118112, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS LEIT X 4 , E3S
507738001111114, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS LEIT X 8 , E3S
507727501169116, TINIDAZOL + NITRATO DE MICONAZOL, TINIDAZOL NITRATO MICONAZOL, NOT FOUND, 30 MG/G + 20 MG/G CREM VAG CT BG AL X 45 G + 7 APLIC, E3S
507725502176111, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, 10MG/G PO DERM FR C/ 30G, E3S
507725601069117, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, CREME 1% 30G-LG, E3S
507725501072116, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, LOCAO FR 30G-LG, E3S
507723901162116, TIOCONAZOL+TINIDAZOL, TIOCONAZOL TINIDAZOL, NOT FOUND, CR VAG 35GC/7APLIC, E3S
507724001165419, TIOTRAX, TIOTRAX, NOT FOUND, CREME BISN 35G+7 APLIC.-E, E3S
507743001175410, TOBRALOX, TOBRALOX, NOT FOUND, 3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, E3S
507735001110113, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 100 MG COM REV CT BL AL PLAS LEIT X 60, E3S
507735002117111, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 25 MG COM REV CT BL AL PLAS LEIT X 60, E3S
507735003113111, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 50 MG COM REV CT BL AL PLAS LEIT X 60, E3S
507724201164416, TRICOCILIN, TRICOCILIN, NOT FOUND, CR VAG. 45G C/10 APLIC., E3S
507741501162419, TRINULOX, TRINULOX, NOT FOUND, 0.1 MG/G + 40 MG/G + 0.5 MG/G CREM DERM CT BG AL X 15 G, E3S
507735301114114, TROMETAMOL CETOROLACO, TROMETAMOL CETOROLACO, TROMETAMOL CETOROLACO, 10 MG COM SUB-LING CT FR VD AMB X 10, E3S
507724201164416, TRICOCILIN, TRICOCILIN, NOT FOUND, CR VAG. 45G C/10 APLIC., E3S
507735301114114, TROMETAMOL CETOROLACO, TROMETAMOL CETOROLACO, TROMETAMOL CETOROLACO, 10 MG COM SUB-LING CT FR VD AMB X 10, E3S
507723801117410, TETRAMICIN, TETRAMICIN, NOT FOUND, 500 MG 25STP C/4 CAPS-EMS, E3S
507741501162419, TRINULOX, TRINULOX, NOT FOUND, 0.1 MG/G + 40 MG/G + 0.5 MG/G CREM DERM CT BG AL X 15 G, E3S
507727501169116, TINIDAZOL + NITRATO DE MICONAZOL, TINIDAZOL NITRATO MICONAZOL, NOT FOUND, 30 MG/G + 20 MG/G CREM VAG CT BG AL X 45 G + 7 APLIC, E3S
507740401113116, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL PLAS OPC X 20, E3S
507740402111117, TARTARATO DE METOPROLOL, TARTARATO METOPROLOL, TARTARATO METOPROLOL, 100 MG COM REV CT BL AL PLAS OPC X 30, E3S
507723601118111, TENOXICAM, TENOXICAM, TENOXICAM, 20 MG COM REV CT BL AL PLAS INC X 10, E3S
507723602114111, TENOXICAM, TENOXICAM, TENOXICAM, 20 MG COM REV CT BL AL PLAS INC X 10, E3S
507723603110118, TENOXICAM, TENOXICAM, TENOXICAM, 20 MG COM REV CT BL AL PLAS INC X 60 (EMB FRAC), E3S
507742201162411, TERCONAN, TERCONAN, NOT FOUND, 8 MG/G CREM VAG CT BG AL X 30 G + 5 APLIC, E3S
507743801163115, TERCONAZOL, TERCONAZOL, TERCONAZOL, 8 MG/G CREM VAG CT BG AL X 30 G + 5 APLIC, E3S
507731302167111, TIABENDAZOL, TIABENDAZOL, TIABENDAZOL, 50 MG/G POM DERM CT BG AL X 45 G, E3S
507731301111112, TIABENDAZOL, TIABENDAZOL, TIABENDAZOL, 500 MG COM CT BL AL PLAS LEIT X 6, E3S
507738002118112, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS LEIT X 4 , E3S
507738001111114, TINIDAZOL, TINIDAZOL, TINIDAZOL, 500 MG COM REV CT BL AL PLAS LEIT X 8 , E3S
507723901162116, TIOCONAZOL+TINIDAZOL, TIOCONAZOL TINIDAZOL, NOT FOUND, 20 MG/G + 30 MG/G CREM VAG CT BG AL X 35 G + 7 APLIC, E3S
507724001165419, TIOTRAX, TIOTRAX, NOT FOUND, CREME BISN 35G+7 APLIC.-E, E3S
507725601069117, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, 10 MG/G CREM DERM CT BG AL X 30 G, E3S
507725501072116, TIOCONAZOL, TIOCONAZOL, TIOCONAZOL, 10 MG/G LOC DERM CT FR PLAS OPC X 30 G, E3S
