504602001115116, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10MG COM REV CT 1BL AL PLAS INC X 10, BF8
504602003118112, SINVASTATINA, SINVASTATINA, SINVASTATINA, 20 MG COM REV CT BL AL PLAS INC X 30   , BF8
504602004114110, SINVASTATINA, SINVASTATINA, SINVASTATINA, 40 MG COM REV CT 1 BL AL PLAS INC X 10, BF8
504602005110119, SINVASTATINA, SINVASTATINA, SINVASTATINA, 5 MG COM REV CT BL AL PLAS INC X 30 , BF8
504602006117117, SINVASTATINA, SINVASTATINA, SINVASTATINA, 80 MG COM REV CT 1 BL AL PLAS INC X 10, BF8
504602001115116, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT 1BL AL PLAS INC X 10, BF8
504602002111114, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 30  , BF8
504602003118112, SINVASTATINA, SINVASTATINA, SINVASTATINA, 20 MG COM REV CT BL AL PLAS INC X 30   , BF8
504602004114110, SINVASTATINA, SINVASTATINA, SINVASTATINA, 40 MG COM REV CT 1 BL AL PLAS INC X 10, BF8
504602005110119, SINVASTATINA, SINVASTATINA, SINVASTATINA, 5 MG COM REV CT BL AL PLAS INC X 30 , BF8
504602006117117, SINVASTATINA, SINVASTATINA, SINVASTATINA, 80 MG COM REV CT 1 BL AL PLAS INC X 10, BF8
