1058301570016; MONOZOL; MONOZOL; NOT FOUND; 80 MG/ML SUS OR CT FR VD AMB X 15 ML; GM2
1058303570021; MALEATO DE DEXCLORFENIRAMINA+SULFATODE PSEUDOEFEDRINA+GUAIFENESINA; MALEATO DEXCLORFENIRAMINA SULFATODE PSEUDOEFEDRINA GUAIFENESINA; NOT FOUND; 0.4 MG/ML + 4 MG/ML + 20 MG/ML SOL OR CT FR VD AMB X 120 ML  ; GM2
1058303300032; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 10 MG + 25 MG COM CT BL AL PLAS OPC X 30; GM2
1058303360035; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 20 MG + 12.5 MG COM CT BL AL PLAS OPC X 30; GM2
1058306890019; MODIK; MODIK; NOT FOUND; 50 MG/G CREM DERM CT 06 SACH X 250 MG; GM2
1058306890027; MODIK; MODIK; NOT FOUND; 50 MG/G CREM DERM CT 12 SACH X 250 MG; GM2
1058302100013; MINIPIL; MINIPIL; NOT FOUND; 0.03 MG DRG CT BL AL PLAS INC X 35; GM2
1058302100021; MINIPIL; MINIPIL; NOT FOUND; 1 BL X 2 COMP POST; GM2
1058301890010; MESMERIN; MESMERIN; NOT FOUND; 1MG COM CT BL AL PLAS INC X 20; GM2
1019100410031; MESMERIN; MESMERIN; NOT FOUND; 2 MG 2 BL X 10 COMP (B1); GM2
1058305070034; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED; GM2
1058305990028; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; GM2
1058305430030; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 10 MG/G CREM DERM CT BG AL X 30 G; GM2
1058303640100; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 2 MG COM CT BL AL PLAS BCO LEIT X 20; GM2
1058302390011; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT STR AL AL X 30; GM2
1058302390021; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT STR AL AL X 30; GM2
1058302390046; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT STR AL AL X 30; GM2
1058304440083; MALEATO DE TIMOLOL; MALEATO TIMOLOL; MALEATO TIMOLOL; 2.5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML; GM2
1058304440180; MALEATO DE TIMOLOL; MALEATO TIMOLOL; MALEATO TIMOLOL; 5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML; GM2
1058305100022; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT FR VD AMB X 30 ML + CP MED; GM2
1058304150034; MEBENDAZOL+TIABENDAZOL; MEBENDAZOL TIABENDAZOL; NOT FOUND; 200 MG + 332 MG COM MAST CT BL AL PLAS LEIT X 6; GM2
1058302110027; MELOTEC; MELOTEC; NOT FOUND; 15 MG COM CT FR VD AMB X 10; GM2
1058302110043; MELOTEC; MELOTEC; NOT FOUND; 7.5 MG COM CT FR PLAS OPC X 10; GM2
1058303080237; MELOXICAM; MELOXICAM; MELOXICAM; 15 MG COM CT BL AL PLAS OPC X 10; GM2
1058303080091; MELOXICAM; MELOXICAM; MELOXICAM; 7.5MG COM CT BL AL PLAS OPC X 10; GM2
1058304510014; MESALAZINA; MESALAZINA; MESALAZINA; 3 G ENEMA CT SACH AL POLIET X 3 G + DIL FR PLAS TRANS X 100 ML; GM2
1058304980071; MESALAZINA; MESALAZINA; MESALAZINA; 800 MG COM REV CT BL AL PLAS LEIT X 30; GM2
1058304300125; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM CT BL AL PLAS OPC X 30 ; GM2
1058304950014; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 100 MG/G GEL VAG CT BG AL X 50 G + 10 APLIC ; GM2
1058305640051; MICOFENOLATO DE MOFETILA; MICOFENOLATO MOFETILA; MICOFENOLATO MOFETILA; 500 MG COM REV CT BL AL PLAS LEIT X 50 (EMB HOSP); GM2
1058305930051; MICOIMMUN; MICOIMMUN; NOT FOUND; 500 MG COM REV CT BL AL PLAS LEIT X 50; GM2
1058301240024; MARACUJA CONCENTRIX; MARACUJA CONCENTRIX; NOT FOUND; SOL FR X 100ML; GM2
1058301240024; MARACUJA CONCENTRIX; MARACUJA CONCENTRIX; NOT FOUND; SOL FR X 100ML S/ ACUCAR; GM2
