1058300200066; DORILEN; DORILEN; NOT FOUND; INJ 50 AMP X 2ML; GM2
1058306330064; DESLORATADINA; DESLORATADINA; DESLORATADINA; 5 MG COM REV CT BL AL PLAS OPC X 30; GM2
1058306330021; DESLORATADINA; DESLORATADINA; DESLORATADINA; 5 MG COM REV CT BL AL PLAS OPC X 10; GM2
1058305850056; DERMATOL; DERMATOL; NOT FOUND; 1.0MG/G LOC CAP CT FR PLAS OPC GOT X 30G; GM2
1058303670034; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G POM DERM CT BG AL X 30 G ; GM2
1058304130017; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G CREM CT BG AL X 30 G; GM2
1058303920022; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G LOC CREM CT FR PLAS OPC X 60 G ; GM2
1058303980017; DESONIDA; DESONIDA; DESONIDA; 1 MG/G LOC CAPIL CT FR PLAS OPC GOT X 30 G; GM2
1058305850013; DERMATOL; DERMATOL; NOT FOUND; 0.5 MG/G CREM CT BG AL X 30G; GM2
1058305850048; DERMATOL; DERMATOL; NOT FOUND; 0.5MG/G POM CT BG AL X 30G; GM2
1058305060039; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CT FR VD AMB X 120 ML + CP MED; GM2
1058303680226; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.75 MG COM CT BL AL PLAS OPC X 20; GM2
1058303680358; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 4 MG COM CT BL AL PLAS OPC X 10; GM2
1058303680072; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.5 MG COM CT BL AL PLAS OPC X 20; GM2
1058302490032; DIAZEPAM NQ; DIAZEPAM NQ; NOT FOUND; 10 MG/ML SOL INJ CT AMP VD AMB X 2 ML; GM2
1058302310034; DIAZEPAM NQ; DIAZEPAM NQ; NOT FOUND;  5 MG/ML SOL INJ CT 5 AMP VD AMB X 2 ML; GM2
1058302720127; DIAZEFAST; DIAZEFAST; NOT FOUND; 10 MG COM CT BL ALPVDC LEIT X 10; GM2
1058302720046; DIAZEFAST; DIAZEFAST; NOT FOUND; 5 MG COM CT BL AL PVDC LEIT X 20; GM2
1058302490024; DIAZEPAM NQ; DIAZEPAM NQ; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20 ; GM2
1058302490016; DIAZEPAM NQ; DIAZEPAM NQ; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 20 ; GM2
1058301830018; DIALUDON; DIALUDON; NOT FOUND; 200 MG + 12 MG COM CT FR VD AMB X 20; GM2
1058303270036; DICLOFENACO RESINATO; DICLOFENACO RESINATO; NOT FOUND; 15 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML ; GM2
1058303630075; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 140 MG CAP GEL DURA CT BL AL PLAS BCO LEIT X 14; GM2
1058303630083; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 140 MG CAP GEL DURA CT BL AL PLAS BCO LEIT X 20; GM2
1058303630067; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 140 MG CAP GEL DURA CT BL AL PLAS BCO LEIT X 10; GM2
1058306260015; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 1OO MG COM REV DESINT LENTA CT BL AL PLAS INC X 10; GM2
1058307360031; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV LIB RETARD CT BL AL PLAS INC X 20; GM2
1058307600014; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 0.125 MG COM CT BL AL AL X 30 ; GM2
1058307600091; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 0.25 MG COM CT BL AL AL X 30; GM2
1058307600170; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 1 MG COM CT BL AL AL X 30; GM2
1058303000012; DIMETICONA; DIMETICONA; DIMETICONA; 40 MG COM  CT BL AL PLAS INC X 20; GM2
1058303220012; DIMETICONA; DIMETICONA; DIMETICONA; 125 MG CAP GEL MOLE CT BL AL PLAS INC X 10; GM2
1058304180022; DIMETICONA + METILBROMETO DE HOMATROPINA; DIMETICONA METILBROMETO HOMATROPINA; NOT FOUND; 80 MG/ML + 2.5 MG/ML EMU OR CT FR PLAS LEIT GOT X 20 ML ; GM2
1058302990027; DINITRATO DE ISOSSORBIDA; DINITRATO ISOSSORBIDA; DINITRATO ISOSSORBIDA; 10 MG COM CT BL AL PLAS INC X 30; GM2
1058302990051; DINITRATO DE ISOSSORBIDA; DINITRATO ISOSSORBIDA; DINITRATO ISOSSORBIDA; 5MG 2 BL X 15 COMP; GM2
1058304960036; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 50 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED; GM2
1058304890011; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; GM2
1058304890021; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; GM2
1058304970090; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 240 (EMB HOSP)  ; GM2
1058303790048; DIPROPIONATO DE BETAMETASONA; DIPROPIONATO BETAMETASONA; DIPROPIONATO BETAMETASONA; 0.50 MG/G CREM DERM CT BG AL X 30 G ; GM2
1058304360047; DIPROPIONATO DE BETAMETASONA; DIPROPIONATO BETAMETASONA; DIPROPIONATO BETAMETASONA; 0.5 MG/G POM DERM CT BG AL X 30 G ; GM2
1058303730029; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5 MG/G + 1 MG/G CREM DERM CT BG AL X 30 G; GM2
1058303750021; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5 MG/G + 1 MG/G POM DERM CT BG AL X 30 G; GM2
1058305650022; DIPROPIONATO DE BETAMETASONA + ÁCIDO SALICÍLICO; DIPROPIONATO BETAMETASONA ACIDO SALICILICO; NOT FOUND; 0.64 MG/ML + 20.00 MG/ML SOL TOP CT FR PLAS OPC X 30 ML ; GM2
1058304200015; DIPROPIONATO DE BETAMETASONA + ÁCIDO SALICÍLICO; DIPROPIONATO BETAMETASONA ACIDO SALICILICO; NOT FOUND; 0.5 MG/G + 30 MG/G POM DERM CT BG AL X 30 G; GM2
1058306920058; DOMPERIDONA; DOMPERIDONA; DOMPERIDONA; 10 MG COM CT BL AL PLAS OPC X 60; GM2
1058306920031; DOMPERIDONA; DOMPERIDONA; DOMPERIDONA; 10 MG COM CT BL AL PLAS OPC X 30; GM2
1058307380014; DROSPIRENONA+ETINILESTRADIOL; DROSPIRENONA ETINILESTRADIOL; NOT FOUND; 3 MG + 0.03 MG COM REV CT BL AL PLAS OPC X 21 ; GM2
1058307790018; DROSPIRENONA+ETINILESTRADIOL; DROSPIRENONA ETINILESTRADIOL; NOT FOUND; 3 MG + 0.02 MG COM REV CT BL AL PLAS OPC X 24; GM2
1058306660129; DIABEMED; DIABEMED; NOT FOUND; 1 MG COM CT BL AL PLAS OPC X 30; GM2
1058306660201; DIABEMED; DIABEMED; NOT FOUND; 2 MG COM CT BL AL PLAS OPC X 30; GM2
1058306660031; DIABEMED; DIABEMED; NOT FOUND; 4 MG COM CT BL AL PLAS OPC X 30; GM2
1058306660137; DIABEMED; DIABEMED; NOT FOUND; 1 MG COM CT BL AL PLAS OPC X 60; GM2
1058306660218; DIABEMED; DIABEMED; NOT FOUND; 2 MG COM CT BL AL PLAS OPC X 60; GM2
1058306660048; DIABEMED; DIABEMED; NOT FOUND; 4 MG COM CT BL AL PLAS OPC X 60; GM2
1058306540042; DRENATAN; DRENATAN; NOT FOUND; 0.05 MG/ML SOL OFT CT FR PLAS TRANS GOT X 2.5 ML  ; GM2
1058306540018; DRENATAN; DRENATAN; NOT FOUND; 0.05 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML ; GM2
1058300150448; DERMATISAN; DERMATISAN; NOT FOUND; CR BISN X 20G; GM2
1058300150031; DERMATISAN; DERMATISAN; NOT FOUND; POM BISN X 20G; GM2
1058300750015; DORICAL; DORICAL; NOT FOUND; SUSP FR X 120ML; GM2
1058300750029; DORICAL; DORICAL; NOT FOUND; FR X 50 COMP REV; GM2
1058300750035; DORICAL; DORICAL; NOT FOUND; EFERV TB X 10 COMP; GM2
1058301820012; DOXAL; DOXAL; NOT FOUND; 2 BL X 10 DRG; GM2
