1058304810042; CLOTRIMAZOL + ACETATO DE DEXAMETASONA; CLOTRIMAZOL ACETATO DEXAMETASONA; NOT FOUND; 10MG/G + 0.4MG/G CREM DERM CT BG AL X 40G; GM2
1058302340014; CICLOSPORINA; CICLOSPORINA; CICLOSPORINA; 25 MG CAP GEL MOLE C/ MCEMU CT BL AL/AL X 50; GM2
1058302340022; CICLOSPORINA; CICLOSPORINA; CICLOSPORINA; 50 MG CAP GEL MOLE C/ MCEMU CT BL AL/AL X 50; GM2
1058306840097; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM REV CT BL AL PLAS OPC X 4; GM2
1058306840194; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM REV CT BL AL PLAS OPC X 4; GM2
1058306840119; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS OPC X 1; GM2
1058306840127; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS OPC X 2; GM2
1058306840135; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS OPC X 4; GM2
1058306840143; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS OPC X 8; GM2
1058304290022; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2.5 MG/ML SOL OR CT FR VD AMB CGT X 20ML ; GM2
1058305890015; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2 MG COM CT BL AL PLAS LEIT X 20; GM2
1058305890023; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2 MG COM CT BL AL PLAS LEIT X 30; GM2
1058304770040; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; GM2
1058304770032; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; GM2
1058303440349; CLORIDRATO DE AMILORIDA + HIDROCLOROTIAZIDA; CLORIDRATO AMILORIDA HIDROCLOROTIAZIDA; NOT FOUND; 2.5 MG + 25 MG COM CT BL AL PLAS LEITOSO X 30; GM2
1058303440160; CLORIDRATO DE AMILORIDA + HIDROCLOROTIAZIDA; CLORIDRATO AMILORIDA HIDROCLOROTIAZIDA; NOT FOUND; 5 MG + 50 MG COM CT BL AL PLAS LEITOSO X 30; GM2
1058305820017; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 75 MG COM REV CT BL AL PLAS OPC X 20 ; GM2
1058305820041; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 25 MG COM REV CT BL AL PLAS OPC X 30; GM2
1058303950010; CLORIDRATO DE ANFEPRAMONA; CLORIDRATO ANFEPRAMONA; CLORIDRATO ANFEPRAMONA; 25 MG COM CT BL AL PLAS LEIT X 20; GM2
1058304050013; CLORIDRATO DE ANFEPRAMONA; CLORIDRATO ANFEPRAMONA; CLORIDRATO ANFEPRAMONA; 75 MG COM LIB LENTA CT BL AL PLAS LEIT X 20; GM2
1058305260011; CLORIDRATO DE AZELASTINA; CLORIDRATO AZELASTINA; CLORIDRATO AZELASTINA; 1 MG/ML SOL NAS CT FR PLAS AMB SPRAY X 10 ML ; GM2
1058304410036; CLORIDRATO DE BETAXOLOL; CLORIDRATO BETAXOLOL; CLORIDRATO BETAXOLOL; 5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML ; GM2
1058305250032; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 0.8 MG/ML XPE CT FR VD AMB X 120 ML  + CP MED; GM2
1058305830039; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 1.6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; GM2
1058307340055; CLORIDRATO DE BUPROPIONA; CLORIDRATO BUPROPIONA; CLORIDRATO BUPROPIONA; 150 MG COM REV LIB LENT CT BL AL AL X 60; GM2
1058307340047; CLORIDRATO DE BUPROPIONA; CLORIDRATO BUPROPIONA; CLORIDRATO BUPROPIONA; 150 MG COM REV LIB LENT CT BL AL AL X 30; GM2
1058306510070; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS OPC X 30; GM2
1058306510038; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS OPC X 10; GM2
1058306510054; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS OPC X 15; GM2
1058306510135; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5 MG COM REV CT BL AL PLAS OPC X 10; GM2
1058306510151; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5 MG COM REV CT BL AL PLAS OPC X 15; GM2
1058306510178; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5 MG COM REV CT BL AL PLAS OPC X 30; GM2
1058304660016; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 3 MG/ML SOL OFT CT FR PLAS OPC  GOT X 5 ML; GM2
1058304270021; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 3.5MG/G POM OFT CT BG AL X 3.5G ; GM2
1058305300031; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM REV CT BL AL PLAS OPC X 14; GM2
1058305300072; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS OPC X 14; GM2
1058306010019; CLORIDRATO DE CIPROFLOXACINO + DEXAMETASONA; CLORIDRATO CIPROFLOXACINO DEXAMETASONA; NOT FOUND; 3.5MG/ML + 1MG/ML SOL OFT CT FR PLAS OPC GOT X 5ML; GM2
1058305050084; CLORIDRATO DE CLINDAMICINA; CLORIDRATO CLINDAMICINA; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS LEIT X 16; GM2
1058305230031; CLORIDRATO DE CLOBUTINOL; CLORIDRATO CLOBUTINOL; CLORIDRATO CLOBUTINOL; 4 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; GM2
1058303540017; CLORIDRATO DE CLOMIPRAMINA; CLORIDRATO CLOMIPRAMINA; CLORIDRATO CLOMIPRAMINA; 10 MG COM REV CT  BL AL PLAS INC X 20; GM2
1058303540025; CLORIDRATO DE CLOMIPRAMINA; CLORIDRATO CLOMIPRAMINA; CLORIDRATO CLOMIPRAMINA; 25 MG COM REV CT BL AL PLAS INC X 20; GM2
1058304110350; CLORIDRATO DE DILTIAZEM; CLORIDRATO DILTIAZEM; CLORIDRATO DILTIAZEM; 30 MG COM CT FR PLAS OPC X 50; GM2
1058304110377; CLORIDRATO DE DILTIAZEM; CLORIDRATO DILTIAZEM; CLORIDRATO DILTIAZEM; 60 MG COM CT FR PLAS OPC X 25; GM2
1058304110393; CLORIDRATO DE DILTIAZEM; CLORIDRATO DILTIAZEM; CLORIDRATO DILTIAZEM; 60 MG COM CT FR PLAS OPC X 50; GM2
1058304240041; CLORIDRATO DE DOBUTAMINA; CLORIDRATO DOBUTAMINA; CLORIDRATO DOBUTAMINA; 12.5 MG/ML SOL INJ CT 50 AMP VD INC X 20 ML (EMB HOSP); GM2
1058306450035; CLORIDRATO DE DORZOLAMIDA; CLORIDRATO DORZOLAMIDA; CLORIDRATO DORZOLAMIDA; 20 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML ; GM2
1058306410033; CLORIDRATO DE DORZOLAMIDA+MALEATO DE TIMOLOL; CLORIDRATO DORZOLAMIDA MALEATO TIMOLOL; NOT FOUND; 20 MG/ML + 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML ; GM2
1058303010018; CLORIDRATO DE DOXICICLINA; CLORIDRATO DOXICICLINA; CLORIDRATO DOXICICLINA; 100 MG COM REV CT BL AL PLAS INC X 15; GM2
1058307650021; CLORIDRATO DE DULOXETINA; CLORIDRATO DULOXETINA; CLORIDRATO DULOXETINA; 30 MG CAP GEL LIB RETARD CT BL AL AL X 15; GM2
1058307650038; CLORIDRATO DE DULOXETINA; CLORIDRATO DULOXETINA; CLORIDRATO DULOXETINA; 30 MG CAP GEL LIB RETARD CT BL AL AL X 30; GM2
1058307650089; CLORIDRATO DE DULOXETINA; CLORIDRATO DULOXETINA; CLORIDRATO DULOXETINA; 60 MG CAP GEL LIB RETARD CT BL AL AL X 30; GM2
1058304080036; CLORIDRATO DE FENOXAZOLINA; CLORIDRATO FENOXAZOLINA; CLORIDRATO FENOXAZOLINA; 0.5 MG/ML SOL NAS CT FR PLAS TRANS GOT X 10 ML ; GM2
1058304080079; CLORIDRATO DE FENOXAZOLINA; CLORIDRATO FENOXAZOLINA; CLORIDRATO FENOXAZOLINA; 1.0 MG/ML SOL NAS CT FR PLAS TRANS GOT X 10 ML ; GM2
1058303830041; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG/ML SOL OR CT FR PLAS TRANS GOT X 20 ML ; GM2
1058303760238; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20MG COM REV CT BL AL PLAS OPC X 30; GM2
1058303800035; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 14; GM2
1058303800061; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 28; GM2
1058305180123; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 10 MG CAP GEL DURA CT BL AL PLAS INC X 20; GM2
1058305180141; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 10 MG CAP GEL DURA CT BL AL PLAS INC X 28; GM2
1058304800039; CLORIDRATO DE LIDOCAÍNA; CLORIDRATO LIDOCAINA; CLORIDRATO LIDOCAINA; 20 MG/ML GEL TOP CT BG AL X 30 G; GM2
1058303290037; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 1 G COM REV CT BL AL PLAS INC X 30; GM2
1058303290010; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 30; GM2
1058303290029; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 30; GM2
1058303290045; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 60 ; GM2
1058303290053; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 60; GM2
1058303740016; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 4 MG/ML SOL OR CT FR VD AMB GOT X 10 ML; GM2
1058303870025; CLORIDRATO DE  NAFAZOLINA; CLORIDRATO NAFAZOLINA; CLORIDRATO NAFAZOLINA; 0.5 MG/ML SOL NASAL CT FR PLAS OPC GOT X 30ML; GM2
1058301170018; COLIRIO LEGRAND; COLIRIO LEGRAND; NOT FOUND; GTS FR X 20ML; GM2
1058304940167; CLORIDRATO DE ONDANSETRONA; CLORIDRATO ONDANSETRONA; CLORIDRATO ONDANSETRONA; 8 MG COM REV CT BL AL PLAS LEIT X 10    ; GM2
1058304900025; CLORIDRATO DE OXIBUTININA; CLORIDRATO OXIBUTININA; CLORIDRATO OXIBUTININA; 1 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; GM2
1058304670021; CLORIDRATO DE OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; 0.25 MG/ML SOL NAS CT FR PLAS OPC GOT X 20 ML; GM2
1058304670089; CLORIDRATO DE OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; 0.5 MG/ML SOL NAS CT FR PLAS OPC GOT X 20 ML; GM2
1058306600037; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 30 MG COM REV CT BL AL PLAS OPC X 30; GM2
1058306600142; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS OPC X 30; GM2
1058307160022; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 15 MG COM CT FR PLAS OPC X 15; GM2
1058307160091; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 30 MG COM CT FR PLAS OPC X 15; GM2
1058307160162; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 45 MG COM CT FR PLAS OPC X 15; GM2
1058302980021; CLORIDRATO DE PROPANOLOL; CLORIDRATO PROPANOLOL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 60 (EMB HOSP); GM2
1058302980048; CLORIDRATO DE PROPANOLOL; CLORIDRATO PROPANOLOL; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 60 (EMB HOSP); GM2
1058302980064; CLORIDRATO DE PROPANOLOL; CLORIDRATO PROPANOLOL; NOT FOUND; 80 MG COM CT BL AL PLAS INC X 60 (EMB HOSP); GM2
1058303900021; CLORIDRATO DE PROPRANOLOL + HIDROCLOROTIAZIDA; CLORIDRATO PROPRANOLOL HIDROCLOROTIAZIDA; NOT FOUND; 40 MG + 25 MG COM CT BL AL PLAS LEIT X 30 ; GM2
1058303900056; CLORIDRATO DE PROPRANOLOL + HIDROCLOROTIAZIDA; CLORIDRATO PROPRANOLOL HIDROCLOROTIAZIDA; NOT FOUND; 80 MG + 25 MG COM CT BL AL PLAS LEIT X 30 ; GM2
1058305170039; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 15 MG /ML XPE CT FR VD AMB X 120 ML + CP MED; GM2
1058305340023; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CT BL AL/AL X 20; GM2
1058305340066; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300 MG COM REV CT STR X 20; GM2
1058304340305; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 100 MG COM REV CT BL AL PLAS LEIT X 14; GM2
1058304340089; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS LEIT X 10 ; GM2
1058304340100; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS LEIT X 20; GM2
1058304340119; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS LEIT X 28; GM2
1058305740013; CLORIDRATO DE SIBUTRAMINA; CLORIDRATO SIBUTRAMINA; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS OPC X 10 ; GM2
1058305740080; CLORIDRATO DE SIBUTRAMINA; CLORIDRATO SIBUTRAMINA; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 30; GM2
1058305740031; CLORIDRATO DE SIBUTRAMINA; CLORIDRATO SIBUTRAMINA; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS OPC X 30; GM2
1058304120046; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 10 MG/G SOL TOP CT FR PLAS OPC GOT X 30 ML ; GM2
