1058306030011; BENZOILMETRONIDAZOL + NISTATINA + CLORETO DE BENZALCONIO; BENZOILMETRONIDAZOL NISTATINA CLORETO BENZALCONIO; NOT FOUND; 62.5MG/G + 25.000 UI/G + 1.25MG/G CREM VAG CT BG AL X 40G + 10 APLIC; GM2
1058304260050; BROMIDRATO DE FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 0.5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED   ; GM2
1058303020021; BROMIDRATO DE FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 5 MG/ML SOL OR CT FR VD AMB GOT X 20 ML ; GM2
1058304350025; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 1 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED ; GM2
1058304350041; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 4 MG/ML SOL OR CT FR VD AMB X 20 ML + CGT; GM2
1058306810041; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 20; GM2
1058303720023; BUTILBROMETO DE ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; 10 MG/ML SOL OR CT FR VD AMB GOT X 20ML; GM2
1058305110028; BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA; BUTILBROMETO ESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 6.67 MG/ML + 333.4 MG/ML SOL OR CT FR VD AMB GOT X 20 ML ; GM2
1058305790061; BRONXINA; BRONXINA; NOT FOUND; 1.6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; GM2
1058307030021; BIANCORT; BIANCORT; NOT FOUND; 3.5 MG/ML + 1.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; GM2
1058301020016; BISMU-JET; BISMU JET; NOT FOUND; 25 MG/ML + 25MG/ML + 15 MG/ML SUS OR FR PLAS OPC GOT X 20 ML; GM2
1058300640033; BRONQUITOS; BRONQUITOS; NOT FOUND; XPE ADU FR X 120ML; GM2
1058300640023; BRONQUITOS; BRONQUITOS; NOT FOUND; XPE INF FR X 60ML; GM2
1058301180028; BENEGEL; BENEGEL; NOT FOUND; POM BISN X 20 G; GM2
1058301140054; BENEVRAN; BENEVRAN; NOT FOUND; GTS FR X 10ML; GM2
1058303960067; BENEVRAN; BENEVRAN; NOT FOUND; 15 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; GM2
1058303960075; BENEVRAN; BENEVRAN; NOT FOUND; 11.6 MG/G GEL CT BG AL X 60 G; GM2
1058301140038; BENEVRAN; BENEVRAN; NOT FOUND; 1 BL X 10 DRG; GM2
1058301140011; BENEVRAN; BENEVRAN; NOT FOUND; 2 BL X 10 DRG; GM2
1058302290041; BROMIL; BROMIL; NOT FOUND; 50 SACHET (GRIPE LIMAO MEL CHA); GM2
1014300030263; BROMIL; BROMIL; NOT FOUND; XPE ADU FR X 150ML; GM2
1014300030281; BROMIL; BROMIL; NOT FOUND; XPE INF FR X 150ML; GM2
1014300180031; BROMIL; BROMIL; NOT FOUND; POM BALS BISN X 19 GR; GM2
1014300030160; BROMIL; BROMIL; NOT FOUND; 50 BL X 4 COMP (GRIPE); GM2
1014300030298; BROMIL; BROMIL; NOT FOUND; PAST 1STP X 10 LARANJA; GM2
1014300030026; BROMIL; BROMIL; NOT FOUND; PAST 1STP X 10 LIMAO; GM2
1014300030034; BROMIL; BROMIL; NOT FOUND; PAST 1STP X 10 MENTA; GM2
1058302260053; BALSAMO BENGUE; BALSAMO BENGUE; NOT FOUND; 10.000 MG + 50.000 MG SOL AER TOP CT FILME POLIET TB AL X 60 G; GM2
1058302260037; BALSAMO BENGUE; BALSAMO BENGUE; NOT FOUND; 0.100 G+0.150 G/G GEL CT BG AL X 20 G; GM2
1058302260010; BALSAMO BENGUE; BALSAMO BENGUE; NOT FOUND; 0.250 G+0.250 G/G POM CT BG AL X 20 G; GM2
