1058305690016; PARACETAMOL + CAFEÍNA; PARACETAMOL CAFEINA; NOT FOUND; 500 MG + 65 MG COM REV CT BL AL PLAS LEIT X 20; GM2
1058305000303; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM REV CT BL AL PLAS LEIT X 200 (EMB HOSP); GM2
1058304880180; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT BL AL PLAS LEIT X 20; GM2
1058304880245; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT BL AL PLAS LEIT X 200 (EMB HOSP); GM2
1058303460021; PENTOXIFILINA; PENTOXIFILINA; PENTOXIFILINA; 400 MG COM REV CT BL AL PLAS INC X 20; GM2
1058303460013; PENTOXIFILINA; PENTOXIFILINA; PENTOXIFILINA; 600 MG COM REV CT BL AL PLAS INC X 20 ; GM2
1058303460031; PENTOXIFILINA; PENTOXIFILINA; PENTOXIFILINA; 400 MG COM REV CT BL AL PLAS INC X 30; GM2
1058306360028; PIROXICAM; PIROXICAM; PIROXICAM; 20MG COM SOL CT BL AL PLAS OPC X 10; GM2
1058304280027; PIROXICAM; PIROXICAM; PIROXICAM; 5 MG/G GEL CT BG AL X 30 G; GM2
1058303550012; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA CT BL AL PLAS INC X 10 ; GM2
1058303550039; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA CT BL AL PLAS INC X 15; GM2
1058307460131; PREDNISOLONA; PREDNISOLONA; PREDNISOLONA; 20 MG COM CT BL AL AL X 10; GM2
1058302880035; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 10; GM2
1058302880019; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 20; GM2
1058304250047; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G SOL CAP CT FR PLAS OPC GOT X 50 G; GM2
1058303970021; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G CREM DERM CT BG AL X 30 G ; GM2
1058304020025; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G POM DERM CT BG AL X 30 G ; GM2
