1004307850011; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; EUF
1004307560013; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ML PO P/ SUS OR CT FR VD AMB X 60 ML + COL  MED ; EUF
1004307560021; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ML PO P/ SUS OR CT FR VD AMB X 60 ML + CP MED ; EUF
1004307550034; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 48 (EMB FRAC) ; EUF
1004307550026; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 12 ; EUF
1004307550018; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 18; EUF
1004306870043; AMPLACILINA; AMPLACILINA; NOT FOUND; 500 MG PO INJ CT FA VD INC + DIL X 2 ML; EUF
1004306870061; AMPLACILINA; AMPLACILINA; NOT FOUND; 1G FR AMP; EUF
1004306870051; AMPLACILINA; AMPLACILINA; NOT FOUND; 500 MG PO INJ CX 25 FA VD INC + DIL X 2 ML ; EUF
1004306870078; AMPLACILINA; AMPLACILINA; NOT FOUND; 1 G PO INJ CX 25 FA VD INC + DIL X 3 ML; EUF
1004306870205; AMPLACILINA; AMPLACILINA; NOT FOUND; 1 G PO INJ CX 25 FA VD INC + AMP PLAS DIL X 3 ML ; EUF
1004306870140; AMPLACILINA; AMPLACILINA; NOT FOUND; 50 MG/ML SUS OR CT FR VD AMB X 140 ML + SER X 10 ML; EUF
1004306870086; AMPLACILINA; AMPLACILINA; NOT FOUND; 50 MG/ML SUS OR CT FR VD AMB X 60 ML; EUF
1004306870019; AMPLACILINA; AMPLACILINA; NOT FOUND; CT C/ 6 COMP; EUF
1004306870116; AMPLACILINA; AMPLACILINA; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 12; EUF
1004309310014; ANASTROZOL; ANASTROZOL; ANASTROZOL; 1 MG COM REV CT BL AL PLAS INC X 28; EUF
1004309310030; ANASTROZOL; ANASTROZOL; ANASTROZOL; 1 MG COM REV CT BL AL PLAS INC X 30; EUF
1004309350016; ANATEN; ANATEN; NOT FOUND; 5.0 MG + 25 MG CAP GEL DURA CT BL AL PLAS INC X 30 ; EUF
1004309350032; ANATEN; ANATEN; NOT FOUND; 5.0 MG + 50 MG CAP GEL DURA CT BL AL PLAS INC X 30 ; EUF
1004309510021; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 28 ; EUF
1004309510013; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL PLAS INC X 28; EUF
1004309510056; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 30; EUF
1004309510072; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL PLAS INC X 30; EUF
1004310750022; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 30; EUF
1004310750065; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 30; EUF
1004310750103; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 40 MG COM REV CT BL AL/AL X 30; EUF
1004309020024; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 3; EUF
1004309020016; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 2 ; EUF
1004309020059; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 60 (EMB FRAC)  ; EUF
1004309020067; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 5; EUF
1004310810017; AZITROMICINA; AZITROMICINA; AZITROMICINA; 600 MG PO SUS OR FR PLAS OPC + FLAC SOL DIL X 9 ML + SER DOS; EUF
1004310810025; AZITROMICINA; AZITROMICINA; AZITROMICINA; 900 MG PO SUS OR FR PLAS OPC + FLAC SOL DIL X 12 ML + SER DOS; EUF
1004310810033; AZITROMICINA; AZITROMICINA; AZITROMICINA; 1500 MG PO SUS OR FR PLAS OPC + FLAC SOL DIL X 22 ML + SER DOS; EUF
1004308130039; ASTRO; ASTRO; NOT FOUND; 600 MG PO SUS OR FR PLAS OPC + FLAC SOL DIL X 9 ML + SER DOS ; EUF
1004308130047; ASTRO; ASTRO; NOT FOUND; 900 MG PO SUS OR FR PLAS OPC + FLAC SOL DIL X 12 ML + SER DOS ; EUF
1004308130128; ASTRO; ASTRO; NOT FOUND; 1500 MG PO SUS OR FR PLAS OPC + SOL DIL FLAC PLAS INC X 22 ML + SER DOS ; EUF
1004308130111; ASTRO; ASTRO; NOT FOUND; 1500 MG PO SUS OR FR PLAS OPC + FR VD AMB SOL DIL X 22 ML + SER DOS; EUF
1004308130012; ASTRO; ASTRO; NOT FOUND; 500 MG COM REV CT BL AL PLAST INC X 2 ; EUF
1004308130020; ASTRO; ASTRO; NOT FOUND; 500 MG COM REV CT BL AL PLAST INC X 3; EUF
1004308130071; ASTRO; ASTRO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 5; EUF
1004308130081; ASTRO; ASTRO; NOT FOUND; 500 MG COM REV CT BL AL PLAST INC X 9; EUF
1004308130101; ASTRO; ASTRO; NOT FOUND; 500 MG COM REV CT BL AL PLAST INC X 60 (EMB FRAC); EUF
1004300320106; AZTREONAM; AZTREONAM; AZTREONAM; 0.5 G PO P/ SOL INJ CT 10 FA VD INC + 10 DIL AMP PLAS X 3 ML  ; EUF
1004300320149; AZTREONAM; AZTREONAM; AZTREONAM; 1 G PO P/ SOL INJ CT 10 FA VD INC + 10 DIL AMP PLAS X 3 ML ; EUF
1004310370033; ANDOLBA; ANDOLBA; NOT FOUND; 4.5% + 0.5% + 0.5% AER TOP CX TB AL X 43 G; EUF
1004306920032; ANDOLBA; ANDOLBA; NOT FOUND; AER TOP CX TB AL X 43 G; EUF
1004306920040; ANDOLBA; ANDOLBA; NOT FOUND; AER TOP CT TB AL X 18 G; EUF
1004310370076; ANDOLBA; ANDOLBA; NOT FOUND; 45 MG/G + 5 MG/G + 5 MG/G CREM DERM CT BG PLAS OPC X 30; EUF
1004309200022; ATMOS; ATMOS; NOT FOUND; 2.5 MG+10.0 MG CAP GEL DURA CT STR X 30; EUF
1004309200049; ATMOS; ATMOS; NOT FOUND; 5.0 MG+10.0 MG CAP GEL DURA CT STR X 30; EUF
1004309200065; ATMOS; ATMOS; NOT FOUND; 5.0 MG+20.0 MG CAP GEL DURA CT STR X 30; EUF
1004300800132; ANGINO RUB; ANGINO RUB; NOT FOUND; UNGUENTO DISPLAY C/ 24 LATAS DE 9 GR; EUF
1004300800019; ANGINO RUB; ANGINO RUB; NOT FOUND; UNGUENTO LATA C/ 9G; EUF
1004309060050; ANGINO RUB; ANGINO RUB; NOT FOUND; 3MG PAST SBR MORANGO CT 2 STR AL X 8; EUF
1004309060018; ANGINO RUB; ANGINO RUB; NOT FOUND; 3 MG PAST SBR MEL E LIMAO CT 2 STR AL X 8; EUF
1004309060107; ANGINO RUB; ANGINO RUB; NOT FOUND; 3MG PAST SBR MENTA CT 2 STR AL X 8; EUF
1004309740051; ANESYN; ANESYN; NOT FOUND; 7.5 MG/ML SOL INJ CT 5 AMP VD INC X 20 ML; EUF
1004309740078; ANESYN; ANESYN; NOT FOUND; 10 MG/ML SOL INJ CT 5 AMP VD INC X 20 ML; EUF
1004308260031; ASSERT; ASSERT; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 30; EUF
1004308260161; ASSERT; ASSERT; NOT FOUND; 50 MG COM REV CT BL AL PLAS TRANS X 60; EUF
1004308260153; ASSERT; ASSERT; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 30; EUF
1004308260099; ASSERT; ASSERT; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 30; EUF
1004308260021; ASSERT; ASSERT; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; EUF
1004308260013; ASSERT; ASSERT; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 10 ; EUF
1004308260080; ASSERT; ASSERT; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 20; EUF
1004308260048; ASSERT; ASSERT; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 28; EUF
1004308260129; ASSERT; ASSERT; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 14; EUF
1004308260102; ASSERT; ASSERT; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 7; EUF
1004307790019; ACET TRIANC+GRAM+NEOM+NIST; ACET TRIANC GRAM NEOM NIST; NOT FOUND; CT C/ BISN 30G CR; EUF
1004307800014; ACET TRIANC+GRAM+NEOM+NIST; ACET TRIANC GRAM NEOM NIST; NOT FOUND; CT C/ BISN 30G POM; EUF
1004310930012; ANTROFI; ANTROFI; NOT FOUND; 10 MG/G CREM VAG CT BG AL X 30 G + 20 APLIC; EUF
