1004307700011; CETOTERON; CETOTERON; NOT FOUND; 50 MG COM CT FR AMB X 20; EUF
1004308140026; CEFADROXIL; CEFADROXIL; NOT FOUND; 100 MG/ML PO SUS OR CT FR VD AMB X 100 ML + SER DOSAD; EUF
1004307330018; CEFADROXIL; CEFADROXIL; NOT FOUND; 500 MG CAP GEL DURA CT ENV AL POLIET X 8  ; EUF
1004307330034; CEFADROXILA; CEFADROXILA; CEFADROXILA; 500 MG CAP GEL DURA CT ENV AL POLIET X 30 (EMB FRAC); EUF
1004307350051; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 30 (EMB FRAC); EUF
1004307420017; CEFALEXINA; CEFALEXINA; CEFALEXINA; 50 MG/ML SUS OR CT FR VD AMB X 100 ML; EUF
1004307350019; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 8  ; EUF
1004307350061; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 10; EUF
1004307290016; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1G PO P/ SOL INJ CX/50 FA VD INC + 50 DIL AMP VD INC X 5 ML(EMB HOSP); EUF
1004307290016; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; FR AMP + DIL - FRACAO 1G; EUF
1004307290024; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1 G PO P/ SOL INJ CX 50 FA VD INC + 50 DIL AMP PLAS INC X 5 ML (EMB HOSP); EUF
1004307250022; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO P/ SOL INJ CT 50 FA VD INC (EMB HOSP); EUF
1004307250014; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; FR AMP; EUF
1004307080011; CEFOTAXIMA; CEFOTAXIMA; CEFOTAXIMA; CT C/ FR AMP + DIL; EUF
1004305580017; CEFOXITINA SÓDICA; CEFOXITINA SODICA; CEFOXITINA SODICA; CT C/ FR AMP + DIL; EUF
1004307070040; CEFOXITINA SÓDICA; CEFOXITINA SODICA; CEFOXITINA SODICA; 1 G PO SOL INJ IV CT FA VD INC + DIL AMP PLAS OPC X 10 ML ; EUF
1004307070032; CEFOXITINA SÓDICA; CEFOXITINA SODICA; CEFOXITINA SODICA; 1 G PO SOL INJ CT 50 FA VD INC + 50 DIL AMP PLAS OPC X 10 ML (EMB HOSP); EUF
1004307260011; CEFTAZIDIMA; CEFTAZIDIMA; CEFTAZIDIMA; FR AMP + DIL X 10 ML; EUF
1004307260028; CEFTAZIDIMA; CEFTAZIDIMA; CEFTAZIDIMA; DISPLAY C/ 50 1 G INJ 10 ML; EUF
1004307260036; CEFTAZIDIMA; CEFTAZIDIMA; CEFTAZIDIMA; 1 G PO P/ SOL INJ CT 50 FA VD INC + 50 DIL AMP PLAS OPC X 10 ML (EMB HOSP); EUF
1004307100020; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 1G PO P/ SOL INJ IM CT FA VD INC + DIL AMP VD INC X 3.5 ML; EUF
1004307060029; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 1 G. IV CT C/ FR AMP + DIL; EUF
1004307100012; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 500 MG PO P/ SOL INJ IM CT FA VD INC + DIL AMP VD INC X 2 ML; EUF
1004307060010; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 500 IV CT C/ FR AMP + DIL; EUF
1004307060037; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; DISPLAY C/ 50 FR AMP 1 G. IV; EUF
1004307060045; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 1 G PO P/ SOL INJ IV CT 50 FA VD INC + 50 DIL AMP PLAS INC X 10 ML (EMB HOSP); EUF
1004307810011; CEFUROXIMA; CEFUROXIMA; CEFUROXIMA; 750 MG CT C/ 1 FR + DIL 6 ML; EUF
1004307810028; CEFUROXIMA SÓDICA; CEFUROXIMA SODICA; CEFUROXIMA SODICA; 750 MG PO P/ SOL INJ CT 50 FA VD INC + 50 AMP VD DIL X 6 ML; EUF
1004307810036; CEFUROXIMA SÓDICA; CEFUROXIMA SODICA; CEFUROXIMA SODICA; 750 MG PO P/ SOL INJ CT FA VD INC + AMP PLAS DIL X 6 ML ; EUF
1004307810044; CEFUROXIMA SÓDICA; CEFUROXIMA SODICA; CEFUROXIMA SODICA; 750 MG PO P/ SOL INJ CT 50 FA VD INC + 50 AMP PLAS DIL X 6 ML; EUF
1004307980012; CETOCONAZOL+DIPROPRIONATO DE BETAMETASONA; CETOCONAZOL DIPROPRIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G CREM DERM CT BG AL X 30 G ; EUF
1004307970017; CETOCONAZOL+DIPROPRIONATO DE BETAMETASONA; CETOCONAZOL DIPROPRIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30 G ; EUF
1004308200010; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT BG AL X 30 G ; EUF
1004308210016; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G POM DERM CT BG AL X 30 G ; EUF
1004307190011; CETOPROFENO; CETOPROFENO; CETOPROFENO; 50 MG/ML SOL INJ IM CT 6 AMP VD AMB X 2 ML; EUF
1004307220018; CETOPROFENO; CETOPROFENO; CETOPROFENO; 100 MG PO LIOF SOL INJ IV CT 50 FA VD INC (EMB HOSP); EUF
1004307220018; CETOPROFENO; CETOPROFENO; CETOPROFENO; IV 100MG - PO LIOF SOL INJ; EUF
1004300430084; CETOPROFENO; CETOPROFENO; CETOPROFENO; IV DISPLAY C/ 50 FR AMP 100MG - PO LIOF; EUF
1004309920051; CILOSTAZOL; CILOSTAZOL; CILOSTAZOL; 100 MG COM CT BL AL PLAS INC X 30; EUF
1004309920025; CILOSTAZOL; CILOSTAZOL; CILOSTAZOL; 50 MG COM CT BL AL PLAS INC X 30; EUF
1004309920068; CILOSTAZOL; CILOSTAZOL; CILOSTAZOL; 100 MG COM CT BL AL PLAS INC X 60; EUF
1004309920033; CILOSTAZOL; CILOSTAZOL; CILOSTAZOL; 50 MG COM CT BL AL PLAS INC X 60; EUF
1004305640052; CIPROCIN; CIPROCIN; NOT FOUND; CT C/ FR 100ML; EUF
1004307390045; CIPROFLOXACINO; CIPROFLOXACINO; CIPROFLOXACINO; 2 MG/ML SOL INJ CT BOLSA PLAS INC X 200 ML; EUF
1004307390037; CIPROFLOXACINO; CIPROFLOXACINO; CIPROFLOXACINO; 2 MG/ML SOL INJ CT BOLS PLAS INC X 100 ML; EUF
1004307390061; CIPROFLOXACINO; CIPROFLOXACINO; CIPROFLOXACINO; 2 MG/ML SOL INJ CT 6 BOLS PLAS INC X 200 ML; EUF
1004307390053; CIPROFLOXACINO; CIPROFLOXACINO; CIPROFLOXACINO; 2 MG/ML SOL INJ CT 6 BOLS PLAS INC X 100 ML; EUF
1004307390010; CIPROFLOXACINO; CIPROFLOXACINO; CIPROFLOXACINO; 200 MG CT C/ FR X 100ML; EUF
1004305600042; CISPLATEX; CISPLATEX; NOT FOUND; 10 MG INJ CT C/ 1 FR; EUF
1004305600050; CISPLATEX; CISPLATEX; NOT FOUND; 50 MG INJ CT C/ 1 FR; EUF
1004309190019; CITTÀ; CITTA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 14 ; EUF
1004309190035; CITTÀ; CITTA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 28; EUF
1004309190027; CITTÀ; CITTA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 7; EUF
1004305760015; CITAB; CITAB; NOT FOUND; 20 MG/ML SOL INJ CT FA VD INC + DIL X 5 ML ; EUF
1004309440023; CITRATO DE FENTANILA; CITRATO FENTANILA; CITRATO FENTANILA; 50 MCG/ML SOL INJ CX 25 AMP VD INC X 10 ML  ; EUF
1004309440031; CITRATO DE FENTANILA; CITRATO FENTANILA; CITRATO FENTANILA; 50 MCG/ML SOL INJ CX 25 AMP VD INC X 2 ML  ; EUF
1004309440015; CITRATO DE FENTANILA; CITRATO FENTANILA; CITRATO FENTANILA; 50 MCG/ML SOL INJ CX 25 AMP VD INC X 5 ML; EUF
1004310340126; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM REV CT BL AL PLAS INC X 2; EUF
1004310340118; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM REV CT BL AL PLAS INC X 1 ; EUF
1004310340088; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 4; EUF
1004310340061; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 1 ; EUF
1004310340071; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 2; EUF
1004310340134; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM REV CT BL AL PLAS INC X 4; EUF
1004309820012; CITRATO DE TAMOXIFENO; CITRATO TAMOXIFENO; CITRATO TAMOXIFENO; 20 MG COM REV CT BL AL PLAS OPC X 30 ; EUF
1004309070013; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 500 MG PO LIOF P/ SOL INJ CT 5 FA VD INC ; EUF
1004301630010; CP - CLATEM; CP CLATEM; NOT FOUND; CT C/ 1 BL X 8 COMP (250MG); EUF
1004306190018; CP - CLOFAZIMINA; CP CLOFAZIMINA; NOT FOUND; CT C/ FR X 30 CAPS; EUF
1004309710020; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2 MG COM REV CT BL AL PLAS INC X 30; EUF
1004309710012; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2 MG COM REV CT BL AL PLAS INC X 20; EUF
1004310470021; CLORETO DE SÓDIO 0,9%; CLORETO SODIO 0 9; NOT FOUND; 9 MG/ML SOL INJ IV CX FA PP TRANS SIST FECH X 500 ML; EUF
1004310470100; CLORETO DE SÓDIO 0,9%; CLORETO SODIO 0 9; NOT FOUND; 9 MG/ML SOL INJ IV CX 60 BOLS PP TRANS SIST FECH X 100 ML (CONT 50 ML); EUF
1004310470097; CLORETO DE SÓDIO 0,9%; CLORETO SODIO 0 9; NOT FOUND; 9 MG/ML SOL INJ IV CX 60 FA PP TRANS SIST FECH X 100 ML (CONT 50 ML); EUF
1004310470089; CLORETO DE SÓDIO 0,9%; CLORETO SODIO 0 9; NOT FOUND; 9 MG/ML SOL INJ IV CX BOLS PP TRANS SIST FECH X 100 ML; EUF
1004310470062; CLORETO DE SÓDIO 0,9%; CLORETO SODIO 0 9; NOT FOUND; 9 MG/ML SOL INJ IV CX BOLS PP TRANS SIST FECH X 1000 ML; EUF
1004310470046; CLORETO DE SÓDIO 0,9%; CLORETO SODIO 0 9; NOT FOUND; 9 MG/ML SOL INJ IV CX BOLS PP TRANS SIST FECH X 250 ML; EUF
1004310470054; CLORETO DE SÓDIO 0,9%; CLORETO SODIO 0 9; NOT FOUND; 9 MG/ML SOL INJ IV CX BOLS PP TRANS SIST FECH X 500 ML; EUF
1004310470070; CLORETO DE SÓDIO 0,9%; CLORETO SODIO 0 9; NOT FOUND; 9 MG/ML SOL INJ IV CX FA PP TRANS SIST FECH X 100 ML; EUF
1004310470038; CLORETO DE SÓDIO 0,9%; CLORETO SODIO 0 9; NOT FOUND; 9 MG/ML SOL INJ IV CX FA PP TRANS SIST FECH X 1000 ML; EUF
1004310470011; CLORETO DE SÓDIO 0,9%; CLORETO SODIO 0 9; NOT FOUND; 9 MG/ML SOL INJ IV CX FA PP TRANS SIST FECH X 250 ML; EUF
1004308960015; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 25 MG COM REV CT BL AL PLAS INC X 20 ; EUF
1004308960023; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 75 MG COM REV CT BL AL PLAS INC X 20 ; EUF
1004309290013; CLORIDRATO DE BUPROPIONA; CLORIDRATO BUPROPIONA; CLORIDRATO BUPROPIONA; 150 MG COM REV CT BL AL AL X 30; EUF
1004309300027; CLORIDRATO DE BUPROPIONA; CLORIDRATO BUPROPIONA; CLORIDRATO BUPROPIONA; 150 MG COM REV CT BL AL AL X 60; EUF
1004309300019; CLORIDRATO DE BUPROPIONA; CLORIDRATO BUPROPIONA; CLORIDRATO BUPROPIONA; 150 MG COM REV CT BL AL/AL X 30; EUF
1004307920052; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1G PO P/ SOL INJ CT 50 FR VD INC + 50 AMP VD DIL X 3 ML; EUF
1004307920044; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 2 G PO P/ SOL INJ CT 25 FA VD INC ; EUF
1004307920028; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; CT C/ 1 FR AMP 1G; EUF
1004307920036; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 2 G PO P/ SOL INJ FA VD INC; EUF
1004307920079; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1 G PO P/ SOL INJ CT 50 FA VD INC + 50 AMP PLAS DIL X 3 ML (EMB HOSP); EUF
1004309450061; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS INC X 30  ; EUF
1004309450010; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5 MG COM REV CT BL AL PLAS INC X 30 ; EUF
1004309450177; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS INC X 15; EUF
1004309450126; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5 MG COM REV CT BL AL PLAS INC X 15; EUF
1004306510012; CP - ANTACAL; CP ANTACAL; NOT FOUND; CT C/ 1 FR X 25 COMP; EUF
1004307490015; CLORIDRATO DOBUTAMINA; CLORIDRATO DOBUTAMINA; CLORIDRATO DOBUTAMINA; CT C/ 1 AMP VD INC X 20ML; EUF
1004307490031; CLORIDRATO DE DOBUTAMINA; CLORIDRATO DOBUTAMINA; CLORIDRATO DOBUTAMINA; DISPLAY C/ 50 250 MG INJ 20 MG; EUF
1004307110018; CLORIDRATO DE DOPAMINA; CLORIDRATO DOPAMINA; CLORIDRATO DOPAMINA; CX C/ 10 AMP X 10 ML; EUF
1004300040014; CLORIDRATO DE DOXORRUBICINA; CLORIDRATO DOXORRUBICINA; CLORIDRATO DOXORRUBICINA; 10 MG PO LIOF SOL INJ CT FA VD INC X 15 ML; EUF
1004300040022; CLORIDRATO DE DOXORRUBICINA; CLORIDRATO DOXORRUBICINA; CLORIDRATO DOXORRUBICINA; 50 MG PO LIOF SOL INJ CT FA VD INC X 50 ML ; EUF
1004300040030; CLORIDRATO DE DOXORRUBICINA; CLORIDRATO DOXORRUBICINA; CLORIDRATO DOXORRUBICINA; 50 MG PO LIOF SOL INJ CT 10 FA VD INC X 50 ML; EUF
1004309120010; CLORIDRATO DE GRANISETRONA; CLORIDRATO GRANISETRONA; CLORIDRATO GRANISETRONA; 1 MG/ML SOL INJ CT AMP VD INC X 1 ML; EUF
1004309120029; CLORIDRATO DE GRANISETRONA; CLORIDRATO GRANISETRONA; CLORIDRATO GRANISETRONA; 1 MG/ML SOL INJ CT AMP VD INC X 3 ML; EUF
1004309120045; CLORIDRATO DE GRANISETRONA; CLORIDRATO GRANISETRONA; CLORIDRATO GRANISETRONA; 1 MG/ML SOL INJ CT 10 AMP VD INC X 3ML; EUF
1004309120037; CLORIDRATO DE GRANISETRONA; CLORIDRATO GRANISETRONA; CLORIDRATO GRANISETRONA; 1 MG/ML SOL INJ CT 10 AMP VD INC X 1ML; EUF
1004300240021; CLORIDRATO DE GENCITABINA; CLORIDRATO GENCITABINA; CLORIDRATO GENCITABINA; 1 G PO LIOF SOL INJ CT FA VD INC; EUF
1004300240013; CLORIDRATO DE GENCITABINA; CLORIDRATO GENCITABINA; CLORIDRATO GENCITABINA; 200 MG PO LIOF SOL INJ CT FA VD INC; EUF
1004310070048; CLORIDRATO DE GENCITABINA; CLORIDRATO GENCITABINA; CLORIDRATO GENCITABINA; 1 G PO LIOF P/ SOL INJ IV CT FA VD INC X 50 ML ; EUF
1004310070013; CLORIDRATO DE GENCITABINA; CLORIDRATO GENCITABINA; CLORIDRATO GENCITABINA; 200 MG PO LIOF P/ SOL INJ IV CT FA VD INC X 10 ML ; EUF
1004310070064; CLORIDRATO DE GENCITABINA; CLORIDRATO GENCITABINA; CLORIDRATO GENCITABINA; 1 G PO LIOF P/ SOL INJ IV CT 10 FA VD INC X 50 ML ; EUF
1004310070031; CLORIDRATO DE GENCITABINA; CLORIDRATO GENCITABINA; CLORIDRATO GENCITABINA; 200 MG PO LIOF P/ SOL INJ IV CT 10 FA VD INC X 10 ML ; EUF
1004308910018; CLORIDRATO DE IRINOTECANO; CLORIDRATO IRINOTECANO; CLORIDRATO IRINOTECANO; 20 MG/ML SOL INJ CT FA VD AMB X 5 ML; EUF
1004308910026; CLORIDRATO DE IRINOTECANO; CLORIDRATO IRINOTECANO; CLORIDRATO IRINOTECANO; 20 MG/ML SOL INJ CT FA VD AMB X 2 ML ; EUF
1004308910034; CLORIDRATO DE IRINOTECANO; CLORIDRATO IRINOTECANO; CLORIDRATO IRINOTECANO; 20 MG/ML SOL INJ IV CT 10 FA VD AMB X 5 ML; EUF
1004310390050; CLORIDRATO DE MEMANTINA; CLORIDRATO MEMANTINA; CLORIDRATO MEMANTINA; 10 MG COM REV CT BL AL PLAS INC X 30; EUF
1004310390069; CLORIDRATO DE MEMANTINA; CLORIDRATO MEMANTINA; CLORIDRATO MEMANTINA; 10 MG COM REV CT BL AL PLAS INC X 60; EUF
1004309040017; CLORIDRATO DE NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 10 MG CP GEL DURA BL AL PLAST X 20; EUF
1004309040025; CLORIDRATO DE NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 25 MG CP GEL DURA CT BL AL PLAST INC X 20; EUF
1004309040033; CLORIDRATO DE NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 50 MG CP GEL DURA CT BL AL PLAST INC 20; EUF
1004309040041; CLORIDRATO DE NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 75 MG CP GEL DURA CT BL AL PLAST INC X 20; EUF
1004309040051; CLORIDRATO DE NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 10 MG CAP GEL DURA CT BL AL PLAS INC X 30; EUF
1004309040068; CLORIDRATO DE NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 25 MG CAP GEL DURA CT BL AL PLAS INC X 30; EUF
1004309040076; CLORIDRATO DE NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 50 MG CAP GEL DURA CT BL AL PLAS INC X 30; EUF
1004307890031; CLORIDRATO DE ONDANSETRONA; CLORIDRATO ONDANSETRONA; CLORIDRATO ONDANSETRONA; 2 MG/ML SOL INJ CT 5 AMP VD INC X 2 ML; EUF
1004307890048; CLORIDRATO DE ONDANSETRONA; CLORIDRATO ONDANSETRONA; CLORIDRATO ONDANSETRONA; 2 MG/ML SOL INJ CT 5 AMP VD INC X 4 ML; EUF
1004307890056; CLORIDRATO DE ONDANSETRONA; CLORIDRATO ONDANSETRONA; CLORIDRATO ONDANSETRONA; 2 MG/ML SOL INJ CT 50 AMP VD INC X 2 ML (EMB HOSP); EUF
1004307890064; CLORIDRATO DE ONDANSETRONA; CLORIDRATO ONDANSETRONA; CLORIDRATO ONDANSETRONA; 2 MG/ML SOL INJ CT 50 AMP VD INC X 4 ML (EMB HOSP); EUF
1004308980016; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 20 ; EUF
1004308980024; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30 ; EUF
1004300070037; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 25MG CT C/ 50 AMP X 2ML; EUF
1004308010041; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CT STR AL X 20; EUF
1004308010017; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; CT C/ 10 COMP 300 MG; EUF
1004308010025; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; CT C/ 20 COMP 300 MG; EUF
1004309570067; CLORIDRATO DE ROPIVACAÍNA; CLORIDRATO ROPIVACAINA; CLORIDRATO ROPIVACAINA; 10 MG/ ML SOL INJ CT 5 AMP VD INC X 10 ML; EUF
1004309570075; CLORIDRATO DE ROPIVACAÍNA; CLORIDRATO ROPIVACAINA; CLORIDRATO ROPIVACAINA; 10 MG/ ML SOL INJ CT 5 AMP VD INC X 20 ML; EUF
1004309570024; CLORIDRATO DE ROPIVACAÍNA; CLORIDRATO ROPIVACAINA; CLORIDRATO ROPIVACAINA; 2 MG/ ML SOL INJ CT 5 AMP VD INC X 20 ML; EUF
1004309570032; CLORIDRATO DE ROPIVACAÍNA; CLORIDRATO ROPIVACAINA; CLORIDRATO ROPIVACAINA; 2 MG/ ML SOL P/ INFUS CX 5 BOLS PLAS INC X 100 ML; EUF
1004309570059; CLORIDRATO DE ROPIVACAÍNA; CLORIDRATO ROPIVACAINA; CLORIDRATO ROPIVACAINA; 7.5 MG/ ML SOL INJ CT 5 AMP VD INC X 20 ML; EUF
1004307440026; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 20; EUF
1004307440034; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 28; EUF
1004307440018; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; CT C/ BL X 10 COMP C/ 10 COMPR; EUF
1004307440085; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 100 MG COM REV CT BL AL PLAS INC X 20; EUF
1004307440077; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 30; EUF
1004307440093; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 100 MG COM REV CT BL AL PLAS INC X 30; EUF
1004307440141; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 25 MG COM REV CT BL AL PLAS INC X 30; EUF
1004309610042; CLORIDRATO DE SIBUTRAMINA MONOHIDRATADO; CLORIDRATO SIBUTRAMINA MONOHIDRATADO; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS INC X 30; EUF
1004309610026; CLORIDRATO DE SIBUTRAMINA MONOHIDRATADO; CLORIDRATO SIBUTRAMINA MONOHIDRATADO; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS INC X 30; EUF
1004307770018; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 1% CREM DERM CT BG AL X 20 G; EUF
