1004305980023; SELENE; SELENE; NOT FOUND; (0.035 + 2) MG COM REV CT BL AL PLAS INC X 63; EUF
1004310520078; SOLUÇÃO FISIOLÓGICA DE RINGER COM LACTATO; SOLUCAO FISIOLOGICA RINGER LACTATO; NOT FOUND; 6 MG/ML + 0.3MG/ML + 0.2MG/ML + 3MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 1000 ML; EUF
1004310520061; SOLUÇÃO FISIOLÓGICA DE RINGER COM LACTATO; SOLUCAO FISIOLOGICA RINGER LACTATO; NOT FOUND; 6 MG/ML + 0.3MG/ML + 0.2MG/ML + 3MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 250 ML; EUF
1004310520051; SOLUÇÃO FISIOLÓGICA DE RINGER COM LACTATO; SOLUCAO FISIOLOGICA RINGER LACTATO; NOT FOUND; 6 MG/ML + 0.3MG/ML + 0.2MG/ML + 3MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 1000 ML; EUF
1004310520043; SOLUÇÃO FISIOLÓGICA DE RINGER COM LACTATO; SOLUCAO FISIOLOGICA RINGER LACTATO; NOT FOUND; 6 MG/ML + 0.3MG/ML + 0.2MG/ML + 3MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 250 ML; EUF
1004310510031; SOLUÇÃO FISIOLÓGICA DE RINGER; SOLUCAO FISIOLOGICA RINGER; NOT FOUND; 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ IV CX FA PP TRANS SIST FECH X 500 ML; EUF
1004310510048; SOLUÇÃO FISIOLÓGICA DE RINGER; SOLUCAO FISIOLOGICA RINGER; NOT FOUND; 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ IV CX BOLS PP TRANS SIST FECH X 500 ML; EUF
1004310510072; SOLUÇÃO FISIOLÓGICA DE RINGER; SOLUCAO FISIOLOGICA RINGER; NOT FOUND; 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ IV CX BOLS PP TRANS SIST FECH X 250 ML; EUF
1004310510080; SOLUÇÃO FISIOLÓGICA DE RINGER; SOLUCAO FISIOLOGICA RINGER; NOT FOUND; 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ IV CX BOLS PP TRANS SIST FECH X 1000 ML; EUF
1004310510064; SOLUÇÃO FISIOLÓGICA DE RINGER; SOLUCAO FISIOLOGICA RINGER; NOT FOUND; 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ IV CX FA PP TRANS SIST FECH X 1000 ML; EUF
1004310510056; SOLUÇÃO FISIOLÓGICA DE RINGER; SOLUCAO FISIOLOGICA RINGER; NOT FOUND; 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ IV CX FA PP TRANS SIST FECH X 250 ML; EUF
1004309390042; SNIF SOL NASAL GOTAS; SNIF SOL NASAL GOTAS; NOT FOUND; 9 MG/ML SOL NASAL CT FR PLAS GOT X 50 ML; EUF
1004309150051; SNIF SOL NASAL GOTAS; SNIF SOL NASAL GOTAS; NOT FOUND; 30 MG/ML CT 25 FLAC PLAST INCX 0.5 ML; EUF
1004305140025; SNIF SOL NASAL GOTAS; SNIF SOL NASAL GOTAS; NOT FOUND; 9 MG/ML SOL NAS CT FR VD AMB X 20 ML + CGT; EUF
1004305140076; SNIF; SNIF; NOT FOUND; 9 MG/ML SOL NAS CT FR GOT PLAS AMB X 30 ML; EUF
1004305140068; SNIF; SNIF; NOT FOUND; 9 MG/ML SOL NAS CT FR GOT PLAS AMB X 20 ML; EUF
1004309390018; SNIF SC; SNIF SC; NOT FOUND; 9 MG/ML SOL NASAL CT FR PLAS SPRAY X 20 ML ; EUF
1004309390034; SNIF SC; SNIF SC; NOT FOUND; 9 MG/ML SOL NASAL CT FR PLAS GOT X 20 ML   ; EUF
1004309830042; SIBUS; SIBUS; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS INC X 30; EUF
1004309830026; SIBUS; SIBUS; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS INC X 30; EUF
1004309830034; SIBUS; SIBUS; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS INC X 10; EUF
1004309830018; SIBUS; SIBUS; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS INC X 10; EUF
1004306960050; SIMECO PLUS; SIMECO PLUS; NOT FOUND; 120 MG/ML + 41.5 MG/ML + 7 MG/ML SUS OR CT FR VD AMB X 240 ML ; EUF
1004306960077; SIMECO PLUS; SIMECO PLUS; NOT FOUND; 120 MG/ML + 41.5 MG/ML +7 MG/ML SUS OR CT 5O FLAC PLAS TRANS X 10 ML; EUF
1004306960107; SIMECO PLUS; SIMECO PLUS; NOT FOUND; 120 MG/ML + 41.5 MG/ML + 7 MG/ML SUS OR CT FR VD AMB X 60 ML; EUF
1004306960034; SIMECO PLUS; SIMECO PLUS; NOT FOUND; PLUS CT C/ 30 COMP; EUF
1004306930011; SILUDROX; SILUDROX; NOT FOUND; VD C/ 240 ML; EUF
