1004308170081; PROFLAM; PROFLAM; NOT FOUND; 150 MG PO LIOF INJ CT 5 FA VD AMB + SOL DIL X 4 ML; EUF
1004305160069; PACLITAX; PACLITAX; NOT FOUND; 6 MG/ML SOL INJ CT 10 FA VD INC X 25 ML; EUF
1004308990021; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ CT FA VD INC X 16.7 ML; EUF
1004308990011; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ CT FA VD INC X 5 ML ; EUF
1004308990038; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ CT 10 FA VD INC X 16.7 ML; EUF
1004308990046; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ CT 10 FA VD INC X 5 ML; EUF
1004308990089; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ CT 20 FA VD INC X 16.7 ML; EUF
1004308990070; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ CT 20 FA VD INC X 5 ML; EUF
1004300300016; PAMIDRONATO DISSÓDICO; PAMIDRONATO DISSODICO; PAMIDRONATO DISSODICO; 30 MG PO LIOF P/ SOL INJ CT 2 FA VD INC + 2 AMP VD INC DIL X 10 ML; EUF
1004300300024; PAMIDRONATO DISSÓDICO; PAMIDRONATO DISSODICO; PAMIDRONATO DISSODICO; 60 MG PO LIOF P/ SOL INJ CT FA VD INC + AMP VD INC DIL X 10 ML; EUF
1004300300032; PAMIDRONATO DISSÓDICO; PAMIDRONATO DISSODICO; PAMIDRONATO DISSODICO; 90 MG PO LIOF P/ SOL INJ CT FA VD INC + AMP VD INC DIL X 10 ML; EUF
1004300300040; PAMIDRONATO DISSÓDICO; PAMIDRONATO DISSODICO; PAMIDRONATO DISSODICO; 30 MG PO LIOF P/ SOL INJ CT 2 FA VD INC + 2 AMP PLAS INC DIL X 10 ML  ; EUF
1004300300067; PAMIDRONATO DISSÓDICO; PAMIDRONATO DISSODICO; PAMIDRONATO DISSODICO; 90 MG PO LIOF P/ SOL INJ CT FA VD INC + AMP PLAS INC DIL X 10 ML ; EUF
1004300300059; PAMIDRONATO DISSÓDICO; PAMIDRONATO DISSODICO; PAMIDRONATO DISSODICO; 60 MG PO LIOF P/ SOL INJ CT FA VD INC + AMP PLAS INC DIL X 10 ML ; EUF
1004310780029; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV LIB RETARD CT BL AL/AL X 14; EUF
1004310780037; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV LIB RETARD CT BL AL/AL X 28; EUF
1004306340060; PANTOCAL; PANTOCAL; NOT FOUND; 40 MG PO LIOF INJ CT FA VD INC + AMP DIL X 10 ML; EUF
1004306340133; PANTOCAL; PANTOCAL; NOT FOUND; EV 40 MG PO LIOF INJ CT DISP 50 FA VD INC + 50 AMP DIL X 10 ML; EUF
1004306340141; PANTOCAL; PANTOCAL; NOT FOUND; 40 MG PO LIOF INJ CT FA VD INC + AMP PLAS DIL X 10 ML ; EUF
1004300260030; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG PO LIOF P/ SOL INJ CT 50 FA VD INC + 50 AMP DIL X 10 ML (EMB HOSP); EUF
1004300260065; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG PO LIOF P/ SOL INJ CT 50 FA VD INC + 50 AMP PLAS DIL X 10 (EMB HOSP); EUF
1004306340117; PANTOCAL; PANTOCAL; NOT FOUND; 20 MG COM REV CT FR PLAS OPC  X 14; EUF
1004306340125; PANTOCAL; PANTOCAL; NOT FOUND; 20 MG COM REV CT FR PLAS OPC  X 28; EUF
1004306340109; PANTOCAL; PANTOCAL; NOT FOUND; 20 MG COM REV CT FR PLAS OPC  X 7; EUF
1004306340044; PANTOCAL; PANTOCAL; NOT FOUND; 40 MG COM REV CT FR PLAS OPC X 14; EUF
1004306340052; PANTOCAL; PANTOCAL; NOT FOUND; 40 MG COM REV CT FR PLAS OPC X 28; EUF
1004306340036; PANTOCAL; PANTOCAL; NOT FOUND; 40 MG COM REV CT FR PLAS OPC X 7; EUF
1004306340028; PANTOCAL; PANTOCAL; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 14; EUF
1004306340011; PANTOCAL; PANTOCAL; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 7; EUF
1004306340079; PANTOCAL; PANTOCAL; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 7; EUF
1004306340087; PANTOCAL; PANTOCAL; NOT FOUND; 20 MG COM REV CT 2 BL AL PLAS INC X 7; EUF
1004306340095; PANTOCAL; PANTOCAL; NOT FOUND; 20 MG COM REV CT 4 BL AL PLAS INC X 7; EUF
1004306340184; PANTOCAL; PANTOCAL; NOT FOUND; 40 MG COM REV CT BL AL AL X 28; EUF
1004309140011; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL/AL X 7; EUF
1004309140021; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL/AL X 14; EUF
1004309140038; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL/AL X 28; EUF
1004306340168; PANTOCAL; PANTOCAL; NOT FOUND; 40 MG COM REV CT BL AL AL X 7; EUF
1004306340176; PANTOCAL; PANTOCAL; NOT FOUND; 40 MG COM REV CT BL AL AL X 14; EUF
1004306340249; PANTOCAL; PANTOCAL; NOT FOUND; 20 MG COM REV CT BL AL/AL X 7 ; EUF
1004306340257; PANTOCAL; PANTOCAL; NOT FOUND; 20 MG COM REV CT BL AL/AL X 14; EUF
1004306340265; PANTOCAL; PANTOCAL; NOT FOUND; 20 MG COM REV CT BL AL/AL X 28; EUF
1004306340273; PANTOCAL; PANTOCAL; NOT FOUND; 40 MG COM REV CT BL AL/AL X 7 ; EUF
1004306340281; PANTOCAL; PANTOCAL; NOT FOUND; 40 MG COM REV CT BL AL/AL X 14; EUF
1004306340291; PANTOCAL; PANTOCAL; NOT FOUND; 40 MG COM REV CT BL AL/AL X 28; EUF
1004300330012; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; EUF
1004309780010; PARACEF; PARACEF; NOT FOUND; 200 MG/ML SOL OR CT FR PLAST OP GOT X 15 ML; EUF
1004300290029; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS AMB X 200 (EMB HOSP); EUF
1004300290010; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS AMB X 20; EUF
1004309780029; PARACEF; PARACEF; NOT FOUND; 750 MG COM BL AL PLAS AMB X 20; EUF
1004308100016; PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO; PIPERACILINA SODICA TAZOBACTAM SODICO; NOT FOUND; CT C/ 1 FA 2.25MG; EUF
1004308100032; PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO; PIPERACILINA SODICA TAZOBACTAM SODICO; NOT FOUND; CT C/ 50 FA 2.25MG; EUF
1004308100040; PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO; PIPERACILINA SODICA TAZOBACTAM SODICO; NOT FOUND; CT C/ 1 FA 4.50MG; EUF
1004308100067; PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO; PIPERACILINA SODICA TAZOBACTAM SODICO; NOT FOUND; CT C/ 50 FA 4.50MG; EUF
1004308100024; PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO; PIPERACILINA SODICA TAZOBACTAM SODICO; NOT FOUND; 2 G + 250 MG PO LIOF SOL INJ CT 10 FA VD INC ; EUF
1004308100059; PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO; PIPERACILINA SODICA TAZOBACTAM SODICO; NOT FOUND; 4 G + 500 MG PO LIOF SOL INJ CT 10 FA VD INC; EUF
1004308930078; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 60 (EMB FRAC); EUF
1004308930027; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 10  ; EUF
1004308930019; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 20  ; EUF
1004305720013; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 10; EUF
1004310900016; PROMESTRIENO; PROMESTRIENO; PROMESTRIENO; 10 MG/G CREM VAG CT BL AL X 30 G + 20 APLIC; EUF
1004307650012; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G CREM DERM CT BG AL X 30 G; EUF
1004307660018; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G POM DERM CT BG AL X 30 G ; EUF
1004307640017; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; CT C/ FR 50G SOLUCAO CAPILAR; EUF
1004309220023; PROPOFOL; PROPOFOL; PROPOFOL; 10 MG/ML EMU INJ CT 10 AMP VD INC X 20 ML ; EUF
