1004308250026; FILINAR; FILINAR; NOT FOUND; 10 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED; EUF
1004308900039; FLUMAZENIL; FLUMAZENIL; FLUMAZENIL; 0.1 MG/ML SOL INJ CT 50 AMP VD INC X 5 ML (EMB HOSP); EUF
1004307950024; FLUORURACILA; FLUORURACILA; FLUORURACILA; 25 MG/ML SOL INJ CT 5 FA VD INC X 20 ML ; EUF
1004307950016; FLUORURACILA; FLUORURACILA; FLUORURACILA; 25 MG/ML SOL INJ CT 10 FA VD INC X 10 ML; EUF
1004307950040; FLUORURACILA; FLUORURACILA; FLUORURACILA; 25 MG/ML SOL INJ CT 50 FA VD INC X 10 ML (EMB HOSP); EUF
1004310410043; FLUSAN; FLUSAN; NOT FOUND; 50 MG/ML SOL INJ CT 50 FA VD INC X 10 ML; EUF
1004310410061; FLUSAN; FLUSAN; NOT FOUND; 50 MG/ML SOL INJ CT 20 FA VD INC X 20 ML; EUF
1004307760012; FOLINATO DE CÁLCIO; FOLINATO CALCIO; FOLINATO CALCIO; CT C/ 1 FR AMP 50MG; EUF
1004307760020; FOLINATO DE CÁLCIO; FOLINATO CALCIO; FOLINATO CALCIO; 50 MG PO LIOF P/ SOL INJ CX 50 FA VD AMB (EMB HOSP); EUF
1004310310091; FOLINATO DE CÁLCIO; FOLINATO CALCIO; FOLINATO CALCIO; 10 MG/ML SOL INJ IV/IM CT 10 FA VD INC X 30 ML; EUF
1004300060041; FOSFATO DE CLINDAMICINA; FOSFATO CLINDAMICINA; FOSFATO CLINDAMICINA; 150 MG/ML SOL INJ CX 50 AMP VD INC X 4 ML (EMB HOSP); EUF
1004300060015; FOSFATO DE CLINDAMICINA; FOSFATO CLINDAMICINA; FOSFATO CLINDAMICINA; INJ 300 MG CT C/ AMP X 2 ML; EUF
1004300060023; FOSFATO DE CLINDAMICINA; FOSFATO CLINDAMICINA; FOSFATO CLINDAMICINA; 150 MG/ML SOL INJ CT AMP VD INC X 4 ML; EUF
1004300060031; FOSFATO DE CLINDAMICINA; FOSFATO CLINDAMICINA; FOSFATO CLINDAMICINA; INJ 900 MG CX C/ 10 AMP X 6 ML; EUF
1004307120013; FOSF.DISSOD.DE DEXAMETASONA; FOSF DISSOD DEXAMETASONA; NOT FOUND; CT C/ 1 FR AMP X 2.5 ML; EUF
1004307120021; FOSF.DISSOD.DE DEXAMETASONA; FOSF DISSOD DEXAMETASONA; NOT FOUND; CT C/ 50 FR AMP X 2.5 ML; EUF
1004307690014; FUROATO DE MOMETASONA; FUROATO MOMETASONA; FUROATO MOMETASONA; 0.1% CREM DERM CT BG AL X 20 G; EUF
1004307680019; FUROATO DE MOMETASONA; FUROATO MOMETASONA; FUROATO MOMETASONA; 0.1% POM DERM CT BG AL X 20 G; EUF
1004307690022; FUROATO DE MOMETASONA; FUROATO MOMETASONA; FUROATO MOMETASONA; 0.1% CREM DERM CT BG AL X 10 G; EUF
1004307680027; FUROATO DE MOMETASONA; FUROATO MOMETASONA; FUROATO MOMETASONA; 0.1 PCC POM DERM CT BG AL X 10 G; EUF
1005800680028; FISIOFER; FISIOFER; NOT FOUND; CT C/ FR X 150 ML; EUF
