1004310740027; VAST; VAST; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; EUF
1004309400022; VENLAXIN; VENLAXIN; NOT FOUND; 150 MG CAP DURA LIB PROL CT BL AL PLAS INC X 14; EUF
1004309400011; VENLAXIN; VENLAXIN; NOT FOUND; 75 MG CAP DURA LIB PROL CT BL AL PLAS INC X 14; EUF
1004309400080; VENLAXIN; VENLAXIN; NOT FOUND; 37.5 MG CAP DURA LIB PROL CT BL AL PLAS INC X 14; EUF
1004309400072; VENLAXIN; VENLAXIN; NOT FOUND; 37.5 MG CAP DURA LIB PROL CT BL AL PLAS INC X 7; EUF
1004309400031; VENLAXIN; VENLAXIN; NOT FOUND; 75 MG CAP DURA LIB PROL CT BL AL PLAS INC X 07; EUF
1004309400064; VENLAXIN; VENLAXIN; NOT FOUND; 150 MG CAP DURA LIB PROL CT BL AL PLAS INC X 28; EUF
1004309400099; VENLAXIN; VENLAXIN; NOT FOUND; 37.5 MG CAP DURA LIB PROL CT BL AL PLAS INC X 28; EUF
1004309400056; VENLAXIN; VENLAXIN; NOT FOUND; 75 MG CAP DURA LIB PROL CT BL AL PLAS INC X 28; EUF
1004310160081; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 2 SER PREENCH X 0.2 ML + SIST SEGURANCA; EUF
1004310160098; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 10 SER PREENCH X 0.2 ML + SIST SEGURANCA ; EUF
1004310160101; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 2 SER PREENCH X 0.4 ML + SIST SEGURANCA ; EUF
1004310160111; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 10 SER PREENCH X 0.4 ML + SIST SEGURANCA ; EUF
1004310160128; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 2 SER PREENCH X 0.6 ML + SIST SEGURANCA ; EUF
1004310160136; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 2 SER PREENCH X 0.8 ML + SIST SEGURANCA ; EUF
1004310160144; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 2 SER PREENCH X 1.0 ML + SIST SEGURANCA ; EUF
1004310160160; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 6 SER PREENCH X 0.2 ML + SIST SEGURANCA ; EUF
1004310160187; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 6 SER PREENCH X 0.4 ML + SIST SEGURANCA ; EUF
1004310160012; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 2 SER PREENCH X 0.2 ML; EUF
1004310160020; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 10 SER PREENCH X 0.2 ML; EUF
1004310160047; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 10 SER PREENCH X 0.4 ML; EUF
1004310160039; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 2 SER PREENCH X 0.4 ML; EUF
1004310160055; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 2 SER PREENCH X 0.6 ML; EUF
1004310160063; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 2 SER PREENCH X 0.8 ML; EUF
1004310160071; VERSA; VERSA; NOT FOUND; 100 MG/ML SOL INJ CT 2 SER PREENCH X 1 ML; EUF
