529915202115110, OXCARBAZEPINA , OXCARBAZEPINA, OXCARBAZEPINA, 300 MG COM REV CT BL AL PLAS INC X 20, RBY
529915202115110, OXCARBAZEPINA , OXCARBAZEPINA, OXCARBAZEPINA, 300 MG COM REV CT BL AL PLAS INC X 20, RBY
529915201119112, OXCARBAZEPINA , OXCARBAZEPINA, OXCARBAZEPINA, 300 MG COM REV CT BL AL PLAS INC X 30, RBY
529915203111119, OXCARBAZEPINA , OXCARBAZEPINA, OXCARBAZEPINA, 300 MG COM REV CT BL AL PLAS INC X 60, RBY
529915204118117, OXCARBAZEPINA , OXCARBAZEPINA, OXCARBAZEPINA, 600 MG COM REV CT BL AL PLAS INC X 20, RBY
529915205114115, OXCARBAZEPINA , OXCARBAZEPINA, OXCARBAZEPINA, 600 MG COM REV CT BL AL PLAS INC X 30, RBY
529915206110113, OXCARBAZEPINA , OXCARBAZEPINA, OXCARBAZEPINA, 600 MG COM REV CT BL AL PLAS INC X 60, RBY
529915202115110, OXCARBAZEPINA , OXCARBAZEPINA, OXCARBAZEPINA, 300 MG COM REV CT BL AL PLAS INC X 20, RBY
529915201119112, OXCARBAZEPINA , OXCARBAZEPINA, OXCARBAZEPINA, 300 MG COM REV CT BL AL PLAS INC X 30, RBY
529915203111119, OXCARBAZEPINA , OXCARBAZEPINA, OXCARBAZEPINA, 300 MG COM REV CT BL AL PLAS INC X 60, RBY
529915204118117, OXCARBAZEPINA , OXCARBAZEPINA, OXCARBAZEPINA, 600 MG COM REV CT BL AL PLAS INC X 20, RBY
529915205114115, OXCARBAZEPINA , OXCARBAZEPINA, OXCARBAZEPINA, 600 MG COM REV CT BL AL PLAS INC X 30, RBY
529915206110113, OXCARBAZEPINA , OXCARBAZEPINA, OXCARBAZEPINA, 600 MG COM REV CT BL AL PLAS INC X 60, RBY
529915801116114, OXALATO DE ESCITALOPTAM, OXALATO ESCITALOPTAM, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 14, RBY
529915802112112, OXALATO DE ESCITALOPTAM, OXALATO ESCITALOPTAM, NOT FOUND, 10 MG COM REV CT BL AL/AL X 28, RBY
529915202115110, OXCARBAZEPINA , OXCARBAZEPINA, OXCARBAZEPINA, 300 MG COM REV CT BL AL PLAS INC X 20, RBY
529915201119112, OXCARBAZEPINA , OXCARBAZEPINA, OXCARBAZEPINA, 300 MG COM REV CT BL AL PLAS INC X 30, RBY
529915203111119, OXCARBAZEPINA , OXCARBAZEPINA, OXCARBAZEPINA, 300 MG COM REV CT BL AL PLAS INC X 60, RBY
529915204118117, OXCARBAZEPINA , OXCARBAZEPINA, OXCARBAZEPINA, 600 MG COM REV CT BL AL PLAS INC X 20, RBY
529915205114115, OXCARBAZEPINA , OXCARBAZEPINA, OXCARBAZEPINA, 600 MG COM REV CT BL AL PLAS INC X 30, RBY
529915206110113, OXCARBAZEPINA , OXCARBAZEPINA, OXCARBAZEPINA, 600 MG COM REV CT BL AL PLAS INC X 60, RBY
529915801116114, OXALATO DE ESCITALOPTAM, OXALATO ESCITALOPTAM, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 14, RBY
529915802112112, OXALATO DE ESCITALOPTAM, OXALATO ESCITALOPTAM, NOT FOUND, 10 MG COM REV CT BL AL/AL X 28, RBY
529915202115110, OXCARBAZEPINA , OXCARBAZEPINA, OXCARBAZEPINA, 300 MG COM REV CT BL AL PLAS INC X 20, RBY
529915201119112, OXCARBAZEPINA , OXCARBAZEPINA, OXCARBAZEPINA, 300 MG COM REV CT BL AL PLAS INC X 30, RBY
529915203111119, OXCARBAZEPINA , OXCARBAZEPINA, OXCARBAZEPINA, 300 MG COM REV CT BL AL PLAS INC X 60, RBY
529915204118117, OXCARBAZEPINA , OXCARBAZEPINA, OXCARBAZEPINA, 600 MG COM REV CT BL AL PLAS INC X 20, RBY
529915205114115, OXCARBAZEPINA , OXCARBAZEPINA, OXCARBAZEPINA, 600 MG COM REV CT BL AL PLAS INC X 30, RBY
529915206110113, OXCARBAZEPINA , OXCARBAZEPINA, OXCARBAZEPINA, 600 MG COM REV CT BL AL PLAS INC X 60, RBY
