538804301173116, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML, LG6
538801401177119, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML, LG6
538804301173116, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML, LG6
538804302171117, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, LG6
538800402110419, BONAGRAN, BONAGRAN, NOT FOUND, 70 MG COM CT BL AL PLAS OPC X 4, LG6
538800401114410, BONAGRAN, BONAGRAN, NOT FOUND, 70 MG COM CT BL AL PLAS OPC X 8, LG6
538801401177119, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML, LG6
538804301173116, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML, LG6
538804302171117, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, LG6
538800402110419, BONAGRAN, BONAGRAN, NOT FOUND, 70 MG COM CT BL AL PLAS OPC X 4, LG6
538800401114410, BONAGRAN, BONAGRAN, NOT FOUND, 70 MG COM CT BL AL PLAS OPC X 8, LG6
538801401177119, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML, LG6
538808902139411, BRONCOLEX, BRONCOLEX, NOT FOUND, 10 MG/ML XPE AD CT FR VD AMB X 120 ML + CP MED X 10 ML, LG6
538808901132413, BRONCOLEX, BRONCOLEX, NOT FOUND, 5 MG/ML XPE INF CT FR VD AMB X 120 ML + CP MED X 10 ML, LG6
538800402110419, BONAGRAN, BONAGRAN, NOT FOUND, 70 MG COM CT BL AL PLAS OPC X 4, LG6
538800401114410, BONAGRAN, BONAGRAN, NOT FOUND, 70 MG COM CT BL AL PLAS OPC X 8, LG6
538807701113115, BEZAFIBRATO, BEZAFIBRATO, BEZAFIBRATO, 200 MG COM REV CT BL AL PLAS LEIT X 20, LG6
538804301173116, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML, LG6
538804302171117, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, LG6
538808301119114, BISSULFATO DE CLOPIDOGREL, BISSULFATO CLOPIDOGREL, BISSULFATO CLOPIDOGREL, 75 MG COM REV CT BL AL AL X 28, LG6
538801401177119, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML, LG6
538807801118119, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS OPC X 28, LG6
538805801110111, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 10 MG CAP GEL DURA CT BL PLAS OPC X 20, LG6
538812801155411, BETROSPAM, BETROSPAM, NOT FOUND, (5 + 2) MG/ML SUS INJ CT AMP VD INC, LG6
538808902139411, BRONCOLEX, BRONCOLEX, NOT FOUND, 10 MG/ML XPE AD CT FR VD AMB X 120 ML + CP MED X 10 ML, LG6
538808901132413, BRONCOLEX, BRONCOLEX, NOT FOUND, 5 MG/ML XPE INF CT FR VD AMB X 120 ML + CP MED X 10 ML, LG6
538800402110419, BONAGRAN, BONAGRAN, NOT FOUND, 70 MG COM CT BL AL PLAS OPC X 4, LG6
538800401114410, BONAGRAN, BONAGRAN, NOT FOUND, 70 MG COM CT BL AL PLAS OPC X 8, LG6
538807701113115, BEZAFIBRATO, BEZAFIBRATO, BEZAFIBRATO, 200 MG COM REV CT BL AL PLAS LEIT X 20, LG6
538804301173116, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML, LG6
538804302171117, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, LG6
538808301119114, BISSULFATO DE CLOPIDOGREL, BISSULFATO CLOPIDOGREL, BISSULFATO CLOPIDOGREL, 75 MG COM REV CT BL AL AL X 28, LG6
538801401177119, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML, LG6
538807801118119, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS OPC X 28, LG6
538805802133115, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 1 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED, LG6
538805801110111, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 10 MG CAP GEL DURA CT BL PLAS OPC X 20, LG6
538818101139410, BRONXINA, BRONXINA, NOT FOUND, 1.6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, LG6
538816702161414, BENEVRAN, BENEVRAN, NOT FOUND, 11.6 MG/G GEL CT BG AL X 60 G, LG6
538816703131411, BENEVRAN, BENEVRAN, NOT FOUND, 15 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML, LG6
538816701112411, BENEVRAN, BENEVRAN, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 20, LG6
538812801155411, BETROSPAM, BETROSPAM, NOT FOUND, (5 + 2) MG/ML SUS INJ CT AMP VD INC, LG6
538812902131419, BENECTRIN, BENECTRIN, NOT FOUND, 40 MG + 8 MG/ML SUS OR CT FR VD AMB X 100 ML, LG6
538812901117412, BENECTRIN, BENECTRIN, NOT FOUND, 400 MG + 80 MG COM CT STR X 20, LG6
538814501116415, BENECTRIN F, BENECTRIN F, NOT FOUND, 800 MG + 160 MG COM CT STR X 10, LG6
