500102505138116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 100 MG/ ML PO P/ SUS OR CT FR VD AMB X 150 ML + COL MED, AOB
500102601153112, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 1 G + 200 MG PO LIOF P/ SOL INJ IV CT 10 FA VD INC X 30 ML, AOB
500102001156110, AMPICILINA SÓDICA, AMPICILINA SODICA, AMPICILINA SODICA, 1 G PO P/ SOL INJ CT 1 FA VD INC, AOB
500102002152119, AMPICILINA SÓDICA, AMPICILINA SODICA, AMPICILINA SODICA, 1 G PO P/ SOL INJ CT 12 FA VD INC, AOB
500102003159117, AMPICILINA SÓDICA, AMPICILINA SODICA, AMPICILINA SODICA, 1 G PO P/ SOL INJ CT 50 FA VD INC (EMB HOSP), AOB
500102004155115, AMPICILINA SÓDICA, AMPICILINA SODICA, AMPICILINA SODICA, 500 MG PO P/ SOL INJ CT 12 FA VD INC, AOB
500102302156111, AMPICILINA SÓDICA + SULBACTAM SÓDICO, AMPICILINA SODICA SULBACTAM SODICO, NOT FOUND, 1G + 0.5G PO P/ SOL INJ CT 20 FA VD INC X 30 ML (EMB HOSP), AOB
500102301151114, AMPICILINA SÓDICA + SULBACTAM SÓDICO, AMPICILINA SODICA SULBACTAM SODICO, NOT FOUND, 1G + 0.5G PO P/ SOL INJ CT 30 FA VD INC X 30 ML (EMB HOSP), AOB
500102303152118, AMPICILINA SÓDICA + SULBACTAM SÓDICO, AMPICILINA SODICA SULBACTAM SODICO, NOT FOUND, 2G + 1G PO P/ SOL INJ CT 20 FA VD INC X 30 ML (EMB HOSP), AOB
500102304159116, AMPICILINA SÓDICA + SULBACTAM SÓDICO, AMPICILINA SODICA SULBACTAM SODICO, NOT FOUND, 2G + 1G PO P/ SOL INJ CT 30 FA VD INC X 30 ML (EMB HOSP), AOB
500103202112119, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAS INC X 14, AOB
500103203119117, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAS INC X 28, AOB
500103201116110, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS INC X 14, AOB
500103204115115, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS INC X 28, AOB
500103205111113, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 14, AOB
500103206118111, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 28, AOB
500102902153413, AUROTAZ-P, AUROTAZ P, NOT FOUND, 2G + 0.25G PO LIOF P/ SOL INJ IV CT FA VD INC X 30ML, AOB
500102901157415, AUROTAZ-P, AUROTAZ P, NOT FOUND, 4G + 0.5G PO LIOF P/ SOL INJ IV CT FA VD INC X 40ML, AOB
500102505138116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 100 MG/ ML PO P/ SUS OR CT FR VD AMB X 150 ML + COL MED, AOB
500102506134114, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ ML PO P/ SUS OR CT FR VD AMB X 150 ML + COL MED, AOB
500102501116118, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 15, AOB
500102503119114, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, AOB
500102502112116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 30, AOB
500102504115112, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 350 (EMB HOSP), AOB
500102601153112, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 1 G + 200 MG PO LIOF P/ SOL INJ IV CT 10 FA VD INC X 30 ML, AOB
500102001156110, AMPICILINA SÓDICA, AMPICILINA SODICA, AMPICILINA SODICA, 1 G PO P/ SOL INJ CT 1 FA VD INC, AOB
500102002152119, AMPICILINA SÓDICA, AMPICILINA SODICA, AMPICILINA SODICA, 1 G PO P/ SOL INJ CT 12 FA VD INC, AOB
500102003159117, AMPICILINA SÓDICA, AMPICILINA SODICA, AMPICILINA SODICA, 1 G PO P/ SOL INJ CT 50 FA VD INC (EMB HOSP), AOB
500102004155115, AMPICILINA SÓDICA, AMPICILINA SODICA, AMPICILINA SODICA, 500 MG PO P/ SOL INJ CT 12 FA VD INC, AOB
500102302156111, AMPICILINA SÓDICA + SULBACTAM SÓDICO, AMPICILINA SODICA SULBACTAM SODICO, NOT FOUND, 1G + 0.5G PO P/ SOL INJ CT 20 FA VD INC X 30 ML (EMB HOSP), AOB
500102301151114, AMPICILINA SÓDICA + SULBACTAM SÓDICO, AMPICILINA SODICA SULBACTAM SODICO, NOT FOUND, 1G + 0.5G PO P/ SOL INJ CT 30 FA VD INC X 30 ML (EMB HOSP), AOB
500102303152118, AMPICILINA SÓDICA + SULBACTAM SÓDICO, AMPICILINA SODICA SULBACTAM SODICO, NOT FOUND, 2G + 1G PO P/ SOL INJ CT 20 FA VD INC X 30 ML (EMB HOSP), AOB
500102304159116, AMPICILINA SÓDICA + SULBACTAM SÓDICO, AMPICILINA SODICA SULBACTAM SODICO, NOT FOUND, 2G + 1G PO P/ SOL INJ CT 30 FA VD INC X 30 ML (EMB HOSP), AOB
500103202112119, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAS INC X 14, AOB
500103203119117, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAS INC X 28, AOB
500103201116110, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS INC X 14, AOB
500103204115115, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS INC X 28, AOB
500103205111113, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 14, AOB
500103206118111, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 28, AOB
500102902153413, AUROTAZ-P, AUROTAZ P, NOT FOUND, 2G + 0.25G PO LIOF P/ SOL INJ IV CT FA VD INC X 30ML, AOB
500102901157415, AUROTAZ-P, AUROTAZ P, NOT FOUND, 4G + 0.5G PO LIOF P/ SOL INJ IV CT FA VD INC X 40ML, AOB
500102505138116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 100 MG/ ML PO P/ SUS OR CT FR VD AMB X 150 ML + COL MED, AOB
500102506134114, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ ML PO P/ SUS OR CT FR VD AMB X 150 ML + COL MED, AOB
500102501116118, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 15, AOB
500102503119114, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, AOB
500102502112116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 30, AOB
500102504115112, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 350 (EMB HOSP), AOB
500102601153112, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 1 G + 200 MG PO LIOF P/ SOL INJ IV CT 10 FA VD INC X 30 ML, AOB
500102001156110, AMPICILINA SÓDICA, AMPICILINA SODICA, AMPICILINA SODICA, 1 G PO P/ SOL INJ CT 1 FA VD INC, AOB
500102002152119, AMPICILINA SÓDICA, AMPICILINA SODICA, AMPICILINA SODICA, 1 G PO P/ SOL INJ CT 12 FA VD INC, AOB
500102003159117, AMPICILINA SÓDICA, AMPICILINA SODICA, AMPICILINA SODICA, 1 G PO P/ SOL INJ CT 50 FA VD INC (EMB HOSP), AOB
500102004155115, AMPICILINA SÓDICA, AMPICILINA SODICA, AMPICILINA SODICA, 500 MG PO P/ SOL INJ CT 12 FA VD INC, AOB
500102302156111, AMPICILINA SÓDICA + SULBACTAM SÓDICO, AMPICILINA SODICA SULBACTAM SODICO, NOT FOUND, 1G + 0.5G PO P/ SOL INJ CT 20 FA VD INC X 30 ML (EMB HOSP), AOB
500102301151114, AMPICILINA SÓDICA + SULBACTAM SÓDICO, AMPICILINA SODICA SULBACTAM SODICO, NOT FOUND, 1G + 0.5G PO P/ SOL INJ CT 30 FA VD INC X 30 ML (EMB HOSP), AOB
500102303152118, AMPICILINA SÓDICA + SULBACTAM SÓDICO, AMPICILINA SODICA SULBACTAM SODICO, NOT FOUND, 2G + 1G PO P/ SOL INJ CT 20 FA VD INC X 30 ML (EMB HOSP), AOB
500102304159116, AMPICILINA SÓDICA + SULBACTAM SÓDICO, AMPICILINA SODICA SULBACTAM SODICO, NOT FOUND, 2G + 1G PO P/ SOL INJ CT 30 FA VD INC X 30 ML (EMB HOSP), AOB
500103202112119, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAS INC X 14, AOB
500103203119117, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAS INC X 28, AOB
500103201116110, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS INC X 14, AOB
500103204115115, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS INC X 28, AOB
500103205111113, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 14, AOB
500103206118111, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 28, AOB
500103701151411, AUROPENZ, AUROPENZ, NOT FOUND, 1G + 0.5G PO P/SOL INJ CT 20 FA VD INC X 30 ML (EMB HOSP), AOB
500103702158411, AUROPENZ, AUROPENZ, NOT FOUND, 1G + 0.5G PO P/SOL INJ CT 30 FA VD INC X 30 ML (EMB HOSP), AOB
500103703154418, AUROPENZ, AUROPENZ, NOT FOUND, 2G + 1G PO P/SOL INJ CT 20 FA VD INC X 30 ML (EMB HOSP), AOB
500103704150416, AUROPENZ, AUROPENZ, NOT FOUND, 2G + 1G PO P/SOL INJ CT 30 FA VD INC X 30 ML (EMB HOSP), AOB
500102902153413, AUROTAZ-P, AUROTAZ P, NOT FOUND, 2G + 0.25G PO LIOF P/ SOL INJ IV CT FA VD INC X 30ML, AOB
500102901157415, AUROTAZ-P, AUROTAZ P, NOT FOUND, 4G + 0.5G PO LIOF P/ SOL INJ IV CT FA VD INC X 40ML, AOB
500102505138116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 100 MG/ ML PO P/ SUS OR CT FR VD AMB X 150 ML + COL MED, AOB
500102506134114, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ ML PO P/ SUS OR CT FR VD AMB X 150 ML + COL MED, AOB
500102501116118, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 15, AOB
500102503119114, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, AOB
500102502112116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 30, AOB
500102504115112, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 350 (EMB HOSP), AOB
500102601153112, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 1 G + 200 MG PO LIOF P/ SOL INJ IV CT 10 FA VD INC X 30 ML, AOB
500102001156110, AMPICILINA SÓDICA, AMPICILINA SODICA, AMPICILINA SODICA, 1 G PO P/ SOL INJ CT 1 FA VD INC, AOB
500102002152119, AMPICILINA SÓDICA, AMPICILINA SODICA, AMPICILINA SODICA, 1 G PO P/ SOL INJ CT 12 FA VD INC, AOB
500102003159117, AMPICILINA SÓDICA, AMPICILINA SODICA, AMPICILINA SODICA, 1 G PO P/ SOL INJ CT 50 FA VD INC (EMB HOSP), AOB
500102004155115, AMPICILINA SÓDICA, AMPICILINA SODICA, AMPICILINA SODICA, 500 MG PO P/ SOL INJ CT 12 FA VD INC, AOB
500102302156111, AMPICILINA SÓDICA + SULBACTAM SÓDICO, AMPICILINA SODICA SULBACTAM SODICO, NOT FOUND, 1G + 0.5G PO P/ SOL INJ CT 20 FA VD INC X 30 ML (EMB HOSP), AOB
500102301151114, AMPICILINA SÓDICA + SULBACTAM SÓDICO, AMPICILINA SODICA SULBACTAM SODICO, NOT FOUND, 1G + 0.5G PO P/ SOL INJ CT 30 FA VD INC X 30 ML (EMB HOSP), AOB
500102303152118, AMPICILINA SÓDICA + SULBACTAM SÓDICO, AMPICILINA SODICA SULBACTAM SODICO, NOT FOUND, 2G + 1G PO P/ SOL INJ CT 20 FA VD INC X 30 ML (EMB HOSP), AOB
500102304159116, AMPICILINA SÓDICA + SULBACTAM SÓDICO, AMPICILINA SODICA SULBACTAM SODICO, NOT FOUND, 2G + 1G PO P/ SOL INJ CT 30 FA VD INC X 30 ML (EMB HOSP), AOB
500103202112119, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAS INC X 14, AOB
500103203119117, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAS INC X 28, AOB
500103201116110, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS INC X 14, AOB
500103204115115, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS INC X 28, AOB
500103205111113, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 14, AOB
500103206118111, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 28, AOB
500103701151411, AUROPENZ, AUROPENZ, NOT FOUND, 1G + 0.5G PO P/SOL INJ CT 20 FA VD INC X 30 ML (EMB HOSP), AOB
500103702158411, AUROPENZ, AUROPENZ, NOT FOUND, 1G + 0.5G PO P/SOL INJ CT 30 FA VD INC X 30 ML (EMB HOSP), AOB
500103703154418, AUROPENZ, AUROPENZ, NOT FOUND, 2G + 1G PO P/SOL INJ CT 20 FA VD INC X 30 ML (EMB HOSP), AOB
500103704150416, AUROPENZ, AUROPENZ, NOT FOUND, 2G + 1G PO P/SOL INJ CT 30 FA VD INC X 30 ML (EMB HOSP), AOB
500102902153413, AUROTAZ-P, AUROTAZ P, NOT FOUND, 2G + 0.25G PO LIOF P/ SOL INJ IV CT FA VD INC X 30ML, AOB
500102901157415, AUROTAZ-P, AUROTAZ P, NOT FOUND, 4G + 0.5G PO LIOF P/ SOL INJ IV CT FA VD INC X 40ML, AOB
500102505138116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 100 MG/ ML PO P/ SUS OR CT FR VD AMB X 150 ML + COL MED, AOB
500102506134114, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ ML PO P/ SUS OR CT FR VD AMB X 150 ML + COL MED, AOB
500102501116118, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 15, AOB
500102503119114, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, AOB
500102502112116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 30, AOB
500102504115112, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 350 (EMB HOSP), AOB
500102601153112, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 1 G + 200 MG PO LIOF P/ SOL INJ IV CT 10 FA VD INC X 30 ML, AOB
500102001156110, AMPICILINA SÓDICA, AMPICILINA SODICA, AMPICILINA SODICA, 1 G PO P/ SOL INJ CT 1 FA VD INC, AOB
500102002152119, AMPICILINA SÓDICA, AMPICILINA SODICA, AMPICILINA SODICA, 1 G PO P/ SOL INJ CT 12 FA VD INC, AOB
500102003159117, AMPICILINA SÓDICA, AMPICILINA SODICA, AMPICILINA SODICA, 1 G PO P/ SOL INJ CT 50 FA VD INC (EMB HOSP), AOB
500102004155115, AMPICILINA SÓDICA, AMPICILINA SODICA, AMPICILINA SODICA, 500 MG PO P/ SOL INJ CT 12 FA VD INC, AOB
500102302156111, AMPICILINA SÓDICA + SULBACTAM SÓDICO, AMPICILINA SODICA SULBACTAM SODICO, NOT FOUND, 1G + 0.5G PO P/ SOL INJ CT 20 FA VD INC X 30 ML (EMB HOSP), AOB
500102301151114, AMPICILINA SÓDICA + SULBACTAM SÓDICO, AMPICILINA SODICA SULBACTAM SODICO, NOT FOUND, 1G + 0.5G PO P/ SOL INJ CT 30 FA VD INC X 30 ML (EMB HOSP), AOB
500102303152118, AMPICILINA SÓDICA + SULBACTAM SÓDICO, AMPICILINA SODICA SULBACTAM SODICO, NOT FOUND, 2G + 1G PO P/ SOL INJ CT 20 FA VD INC X 30 ML (EMB HOSP), AOB
500102304159116, AMPICILINA SÓDICA + SULBACTAM SÓDICO, AMPICILINA SODICA SULBACTAM SODICO, NOT FOUND, 2G + 1G PO P/ SOL INJ CT 30 FA VD INC X 30 ML (EMB HOSP), AOB
500103202112119, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAS INC X 14, AOB
500103203119117, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAS INC X 28, AOB
500103201116110, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS INC X 14, AOB
500103204115115, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS INC X 28, AOB
500103205111113, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 14, AOB
500103206118111, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 28, AOB
500103701151411, AUROPENZ, AUROPENZ, NOT FOUND, 1G + 0.5G PO P/SOL INJ CT 20 FA VD INC X 30 ML (EMB HOSP), AOB
500103702158411, AUROPENZ, AUROPENZ, NOT FOUND, 1G + 0.5G PO P/SOL INJ CT 30 FA VD INC X 30 ML (EMB HOSP), AOB
500103703154418, AUROPENZ, AUROPENZ, NOT FOUND, 2G + 1G PO P/SOL INJ CT 20 FA VD INC X 30 ML (EMB HOSP), AOB
500103704150416, AUROPENZ, AUROPENZ, NOT FOUND, 2G + 1G PO P/SOL INJ CT 30 FA VD INC X 30 ML (EMB HOSP), AOB
500102902153413, AUROTAZ-P, AUROTAZ P, NOT FOUND, 2G + 0.25G PO LIOF P/ SOL INJ IV CT FA VD INC X 30ML, AOB
500102901157415, AUROTAZ-P, AUROTAZ P, NOT FOUND, 4G + 0.5G PO LIOF P/ SOL INJ IV CT FA VD INC X 40ML, AOB
500102505138116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 100 MG/ ML PO P/ SUS OR CT FR VD AMB X 150 ML + COL MED, AOB
500102506134114, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ ML PO P/ SUS OR CT FR VD AMB X 150 ML + COL MED, AOB
500102501116118, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 15, AOB
500102503119114, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, AOB
500102502112116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 30, AOB
500102504115112, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 350 (EMB HOSP), AOB
500102601153112, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 1 G + 200 MG PO LIOF P/ SOL INJ IV CT 10 FA VD INC X 30 ML, AOB
500102001156110, AMPICILINA SÓDICA, AMPICILINA SODICA, AMPICILINA SODICA, 1 G PO P/ SOL INJ CT 1 FA VD INC, AOB
500102002152119, AMPICILINA SÓDICA, AMPICILINA SODICA, AMPICILINA SODICA, 1 G PO P/ SOL INJ CT 12 FA VD INC, AOB
500102003159117, AMPICILINA SÓDICA, AMPICILINA SODICA, AMPICILINA SODICA, 1 G PO P/ SOL INJ CT 50 FA VD INC (EMB HOSP), AOB
500102004155115, AMPICILINA SÓDICA, AMPICILINA SODICA, AMPICILINA SODICA, 500 MG PO P/ SOL INJ CT 12 FA VD INC, AOB
500102302156111, AMPICILINA SÓDICA + SULBACTAM SÓDICO, AMPICILINA SODICA SULBACTAM SODICO, NOT FOUND, 1G + 0.5G PO P/ SOL INJ CT 20 FA VD INC X 30 ML (EMB HOSP), AOB
500102301151114, AMPICILINA SÓDICA + SULBACTAM SÓDICO, AMPICILINA SODICA SULBACTAM SODICO, NOT FOUND, 1G + 0.5G PO P/ SOL INJ CT 30 FA VD INC X 30 ML (EMB HOSP), AOB
500102303152118, AMPICILINA SÓDICA + SULBACTAM SÓDICO, AMPICILINA SODICA SULBACTAM SODICO, NOT FOUND, 2G + 1G PO P/ SOL INJ CT 20 FA VD INC X 30 ML (EMB HOSP), AOB
500102304159116, AMPICILINA SÓDICA + SULBACTAM SÓDICO, AMPICILINA SODICA SULBACTAM SODICO, NOT FOUND, 2G + 1G PO P/ SOL INJ CT 30 FA VD INC X 30 ML (EMB HOSP), AOB
500103202112119, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAS INC X 14, AOB
500103203119117, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAS INC X 28, AOB
500103201116110, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS INC X 14, AOB
500103204115115, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS INC X 28, AOB
500103205111113, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 14, AOB
500103206118111, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 28, AOB
500103701151411, AUROPENZ, AUROPENZ, NOT FOUND, 1G + 0.5G PO P/SOL INJ CT 20 FA VD INC X 30 ML (EMB HOSP), AOB
500103702158411, AUROPENZ, AUROPENZ, NOT FOUND, 1G + 0.5G PO P/SOL INJ CT 30 FA VD INC X 30 ML (EMB HOSP), AOB
500103703154418, AUROPENZ, AUROPENZ, NOT FOUND, 2G + 1G PO P/SOL INJ CT 20 FA VD INC X 30 ML (EMB HOSP), AOB
500103704150416, AUROPENZ, AUROPENZ, NOT FOUND, 2G + 1G PO P/SOL INJ CT 30 FA VD INC X 30 ML (EMB HOSP), AOB
500102902153413, AUROTAZ-P, AUROTAZ P, NOT FOUND, 2G + 0.25G PO LIOF P/ SOL INJ IV CT FA VD INC X 30ML, AOB
500102901157415, AUROTAZ-P, AUROTAZ P, NOT FOUND, 4G + 0.5G PO LIOF P/ SOL INJ IV CT FA VD INC X 40ML, AOB
