501000101176310, ACULAR, ACULAR, NOT FOUND, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000401171314, ALPHAGAN P, ALPHAGAN P, NOT FOUND, 0.15% - FR PLASTICO - GTS - 5ML, ALL
501006402178311, ALPHAGAN Z, ALPHAGAN Z, NOT FOUND, 0.1% SOL OFT CT FR PLAS OPC GOT X 3 ML, ALL
501006401171313, ALPHAGAN Z, ALPHAGAN Z, NOT FOUND, 0.1% SOL OFT CT FR PLAS OPC GOT X 5 ML, ALL
501000501174315, ANESTESICO, ANESTESICO, NOT FOUND, FR PLASTICO - GTS - 10ML, ALL
501000601179319, ARGIROL, ARGIROL, NOT FOUND, 10.0% - FR PLASTICO - GTS - 5ML, ALL
501000701173312, ATROPINA, ATROPINA, ATROPINA, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000702171313, ATROPINA, ATROPINA, ATROPINA, 1.0% - FR PLASTICO - GTS - 5ML, ALL
501000101176310, ACULAR, ACULAR, NOT FOUND, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000102172319, ACULAR, ACULAR, NOT FOUND, 5MG - FLAC PLASTICO - GTS - 0.4ML SEM CONSERVANTE, ALL
501006202136313, ACULAR LS, ACULAR LS, NOT FOUND, 4 MG/ML SOL OFT ESTERIL CT FR PLAS GOT X 10 ML, ALL
501006201131318, ACULAR LS, ACULAR LS, NOT FOUND, 4 MG/ML SOL OFT ESTERIL CT FR PLAS GOT X 5 ML, ALL
501000301175318, ALPHAGAN, ALPHAGAN, NOT FOUND, 0.2% - FR PLASTICO - GTS - 10ML, ALL
501000302171316, ALPHAGAN, ALPHAGAN, NOT FOUND, 0.2% - FR PLASTICO - GTS - 5ML, ALL
501000401171314, ALPHAGAN P, ALPHAGAN P, NOT FOUND, 0.15% - FR PLASTICO - GTS - 5ML, ALL
501006402178311, ALPHAGAN Z, ALPHAGAN Z, NOT FOUND, 0.1% SOL OFT CT FR PLAS OPC GOT X 3 ML, ALL
501006401171313, ALPHAGAN Z, ALPHAGAN Z, NOT FOUND, 0.1% SOL OFT CT FR PLAS OPC GOT X 5 ML, ALL
501000501174315, ANESTESICO, ANESTESICO, NOT FOUND, FR PLASTICO - GTS - 10ML, ALL
501000601179319, ARGIROL, ARGIROL, NOT FOUND, 10.0% - FR PLASTICO - GTS - 5ML, ALL
501000701173312, ATROPINA, ATROPINA, ATROPINA, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000702171313, ATROPINA, ATROPINA, ATROPINA, 1.0% - FR PLASTICO - GTS - 5ML, ALL
501000101176310, ACULAR, ACULAR, NOT FOUND, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000102172319, ACULAR, ACULAR, NOT FOUND, 5MG - FLAC PLASTICO - GTS - 0.4ML SEM CONSERVANTE, ALL
501006202136313, ACULAR LS, ACULAR LS, NOT FOUND, 4 MG/ML SOL OFT ESTERIL CT FR PLAS GOT X 10 ML, ALL
501006201131318, ACULAR LS, ACULAR LS, NOT FOUND, 4 MG/ML SOL OFT ESTERIL CT FR PLAS GOT X 5 ML, ALL
501000301175318, ALPHAGAN, ALPHAGAN, NOT FOUND, 0.2% - FR PLASTICO - GTS - 10ML, ALL
501000302171316, ALPHAGAN, ALPHAGAN, NOT FOUND, 0.2% - FR PLASTICO - GTS - 5ML, ALL
501000401171314, ALPHAGAN P, ALPHAGAN P, NOT FOUND, 0.15% - FR PLASTICO - GTS - 5ML, ALL
501006402178311, ALPHAGAN Z, ALPHAGAN Z, NOT FOUND, 0.1% SOL OFT CT FR PLAS OPC GOT X 3 ML, ALL
501006401171313, ALPHAGAN Z, ALPHAGAN Z, NOT FOUND, 0.1% SOL OFT CT FR PLAS OPC GOT X 5 ML, ALL
501000501174315, ANESTESICO, ANESTESICO, NOT FOUND, FR PLASTICO - GTS - 10ML, ALL
501000601179319, ARGIROL, ARGIROL, NOT FOUND, 10.0% - FR PLASTICO - GTS - 5ML, ALL
501000701173312, ATROPINA, ATROPINA, ATROPINA, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000702171313, ATROPINA, ATROPINA, ATROPINA, 1.0% - FR PLASTICO - GTS - 5ML, ALL
501000101176310, ACULAR, ACULAR, NOT FOUND, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000102172319, ACULAR, ACULAR, NOT FOUND, 5MG - FLAC PLASTICO - GTS - 0.4ML SEM CONSERVANTE, ALL
501006202136313, ACULAR LS, ACULAR LS, NOT FOUND, 4 MG/ML SOL OFT ESTERIL CT FR PLAS GOT X 10 ML, ALL
501006201131318, ACULAR LS, ACULAR LS, NOT FOUND, 4 MG/ML SOL OFT ESTERIL CT FR PLAS GOT X 5 ML, ALL
501000301175318, ALPHAGAN, ALPHAGAN, NOT FOUND, 0.2% - FR PLASTICO - GTS - 10ML, ALL
501000302171316, ALPHAGAN, ALPHAGAN, NOT FOUND, 0.2% - FR PLASTICO - GTS - 5ML, ALL
501000401171314, ALPHAGAN P, ALPHAGAN P, NOT FOUND, 0.15% - FR PLASTICO - GTS - 5ML, ALL
501006402178311, ALPHAGAN Z, ALPHAGAN Z, NOT FOUND, 0.1% SOL OFT CT FR PLAS OPC GOT X 3 ML, ALL
501006401171313, ALPHAGAN Z, ALPHAGAN Z, NOT FOUND, 0.1% SOL OFT CT FR PLAS OPC GOT X 5 ML, ALL
501000501174315, ANESTESICO, ANESTESICO, NOT FOUND, FR PLASTICO - GTS - 10ML, ALL
501000601179319, ARGIROL, ARGIROL, NOT FOUND, 10.0% - FR PLASTICO - GTS - 5ML, ALL
501000701173312, ATROPINA, ATROPINA, ATROPINA, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000702171313, ATROPINA, ATROPINA, ATROPINA, 1.0% - FR PLASTICO - GTS - 5ML, ALL
501000101176310, ACULAR, ACULAR, NOT FOUND, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000102172319, ACULAR, ACULAR, NOT FOUND, 5MG - FLAC PLASTICO - GTS - 0.4ML SEM CONSERVANTE, ALL
501006202136313, ACULAR LS, ACULAR LS, NOT FOUND, 4 MG/ML SOL OFT ESTERIL CT FR PLAS GOT X 10 ML, ALL
501006201131318, ACULAR LS, ACULAR LS, NOT FOUND, 4 MG/ML SOL OFT ESTERIL CT FR PLAS GOT X 5 ML, ALL
501000301175318, ALPHAGAN, ALPHAGAN, NOT FOUND, 0.2% - FR PLASTICO - GTS - 10ML, ALL
501000302171316, ALPHAGAN, ALPHAGAN, NOT FOUND, 0.2% - FR PLASTICO - GTS - 5ML, ALL
501000401171314, ALPHAGAN P, ALPHAGAN P, NOT FOUND, 0.15% - FR PLASTICO - GTS - 5ML, ALL
501006402178311, ALPHAGAN Z, ALPHAGAN Z, NOT FOUND, 0.1% SOL OFT CT FR PLAS OPC GOT X 3 ML, ALL
501006401171313, ALPHAGAN Z, ALPHAGAN Z, NOT FOUND, 0.1% SOL OFT CT FR PLAS OPC GOT X 5 ML, ALL
501000501174315, ANESTESICO, ANESTESICO, NOT FOUND, FR PLASTICO - GTS - 10ML, ALL
501000601179319, ARGIROL, ARGIROL, NOT FOUND, 10.0% - FR PLASTICO - GTS - 5ML, ALL
501000701173312, ATROPINA, ATROPINA, ATROPINA, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000702171313, ATROPINA, ATROPINA, ATROPINA, 1.0% - FR PLASTICO - GTS - 5ML, ALL
501000101176310, ACULAR, ACULAR, NOT FOUND, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000102172319, ACULAR, ACULAR, NOT FOUND, 5MG - FLAC PLASTICO - GTS - 0.4ML SEM CONSERVANTE, ALL
501006202136313, ACULAR LS, ACULAR LS, NOT FOUND, 4 MG/ML SOL OFT ESTERIL CT FR PLAS GOT X 10 ML, ALL
501006201131318, ACULAR LS, ACULAR LS, NOT FOUND, 4 MG/ML SOL OFT ESTERIL CT FR PLAS GOT X 5 ML, ALL
501000301175318, ALPHAGAN, ALPHAGAN, NOT FOUND, 0.2% - FR PLASTICO - GTS - 10ML, ALL
501000302171316, ALPHAGAN, ALPHAGAN, NOT FOUND, 0.2% - FR PLASTICO - GTS - 5ML, ALL
501000401171314, ALPHAGAN P, ALPHAGAN P, NOT FOUND, 0.15% - FR PLASTICO - GTS - 5ML, ALL
501006402178311, ALPHAGAN Z, ALPHAGAN Z, NOT FOUND, 0.1% SOL OFT CT FR PLAS OPC GOT X 3 ML, ALL
501006401171313, ALPHAGAN Z, ALPHAGAN Z, NOT FOUND, 0.1% SOL OFT CT FR PLAS OPC GOT X 5 ML, ALL
501000501174315, ANESTESICO, ANESTESICO, NOT FOUND, FR PLASTICO - GTS - 10ML, ALL
501000601179319, ARGIROL, ARGIROL, NOT FOUND, 10.0% - FR PLASTICO - GTS - 5ML, ALL
501000701173312, ATROPINA, ATROPINA, ATROPINA, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000702171313, ATROPINA, ATROPINA, ATROPINA, 1.0% - FR PLASTICO - GTS - 5ML, ALL
501000101176310, ACULAR, ACULAR, NOT FOUND, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000102172319, ACULAR, ACULAR, NOT FOUND, 5MG - FLAC PLASTICO - GTS - 0.4ML SEM CONSERVANTE, ALL
501006202136313, ACULAR LS, ACULAR LS, NOT FOUND, 4 MG/ML SOL OFT ESTERIL CT FR PLAS GOT X 10 ML, ALL
501006201131318, ACULAR LS, ACULAR LS, NOT FOUND, 4 MG/ML SOL OFT ESTERIL CT FR PLAS GOT X 5 ML, ALL
501000301175318, ALPHAGAN, ALPHAGAN, NOT FOUND, 0.2% - FR PLASTICO - GTS - 10ML, ALL
501000302171316, ALPHAGAN, ALPHAGAN, NOT FOUND, 0.2% - FR PLASTICO - GTS - 5ML, ALL
501000401171314, ALPHAGAN P, ALPHAGAN P, NOT FOUND, 0.15% - FR PLASTICO - GTS - 5ML, ALL
501006402178311, ALPHAGAN Z, ALPHAGAN Z, NOT FOUND, 0.1% SOL OFT CT FR PLAS OPC GOT X 3 ML, ALL
501006401171313, ALPHAGAN Z, ALPHAGAN Z, NOT FOUND, 0.1% SOL OFT CT FR PLAS OPC GOT X 5 ML, ALL
501000501174315, ANESTESICO, ANESTESICO, NOT FOUND, FR PLASTICO - GTS - 10ML, ALL
501000601179319, ARGIROL, ARGIROL, NOT FOUND, 10.0% - FR PLASTICO - GTS - 5ML, ALL
501000701173312, ATROPINA, ATROPINA, ATROPINA, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000702171313, ATROPINA, ATROPINA, ATROPINA, 1.0% - FR PLASTICO - GTS - 5ML, ALL
501000101176310, ACULAR, ACULAR, NOT FOUND, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000102172319, ACULAR, ACULAR, NOT FOUND, 5MG - FLAC PLASTICO - GTS - 0.4ML SEM CONSERVANTE, ALL
501006202136313, ACULAR LS, ACULAR LS, NOT FOUND, 4 MG/ML SOL OFT ESTERIL CT FR PLAS GOT X 10 ML, ALL
501006201131318, ACULAR LS, ACULAR LS, NOT FOUND, 4 MG/ML SOL OFT ESTERIL CT FR PLAS GOT X 5 ML, ALL
501000301175318, ALPHAGAN, ALPHAGAN, NOT FOUND, 0.2% - FR PLASTICO - GTS - 10ML, ALL
501000302171316, ALPHAGAN, ALPHAGAN, NOT FOUND, 0.2% - FR PLASTICO - GTS - 5ML, ALL
501000401171314, ALPHAGAN P, ALPHAGAN P, NOT FOUND, 0.15% - FR PLASTICO - GTS - 5ML, ALL
501006402178311, ALPHAGAN Z, ALPHAGAN Z, NOT FOUND, 0.1% SOL OFT CT FR PLAS OPC GOT X 3 ML, ALL
501006401171313, ALPHAGAN Z, ALPHAGAN Z, NOT FOUND, 0.1% SOL OFT CT FR PLAS OPC GOT X 5 ML, ALL
501000501174315, ANESTESICO, ANESTESICO, NOT FOUND, FR PLASTICO - GTS - 10ML, ALL
501000601179319, ARGIROL, ARGIROL, NOT FOUND, 10.0% - FR PLASTICO - GTS - 5ML, ALL
501000701173312, ATROPINA, ATROPINA, ATROPINA, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000702171313, ATROPINA, ATROPINA, ATROPINA, 1.0% - FR PLASTICO - GTS - 5ML, ALL
501000501174315, ANESTÉSICO OCULUM, ANESTESICO OCULUM, NOT FOUND, 10 MG/ML + 1 MG/ML SOL OFT CT FR PLAS TRANS GOT X 10 ML, ALL
501000701173312, ATROPINA, ATROPINA, ATROPINA, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000702171313, ATROPINA, ATROPINA, ATROPINA, 1.0% - FR PLASTICO - GTS - 5ML, ALL
501006402178311, ALPHAGAN Z, ALPHAGAN Z, NOT FOUND, 0.1% SOL OFT CT FR PLAS OPC GOT X 3 ML, ALL
501006401171313, ALPHAGAN Z, ALPHAGAN Z, NOT FOUND, 0.1% SOL OFT CT FR PLAS OPC GOT X 5 ML, ALL
501000401171314, ALPHAGAN P, ALPHAGAN P, NOT FOUND, 0.15% - FR PLASTICO - GTS - 5ML, ALL
501000301175318, ALPHAGAN, ALPHAGAN, NOT FOUND, 0.2% - FR PLASTICO - GTS - 10ML, ALL
501000302171316, ALPHAGAN, ALPHAGAN, NOT FOUND, 0.2% - FR PLASTICO - GTS - 5ML, ALL
501000101176310, ACULAR, ACULAR, NOT FOUND, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501006202136313, ACULAR LS, ACULAR LS, NOT FOUND, 4 MG/ML SOL OFT ESTERIL CT FR PLAS GOT X 10 ML, ALL
501006201131318, ACULAR LS, ACULAR LS, NOT FOUND, 4 MG/ML SOL OFT ESTERIL CT FR PLAS GOT X 5 ML, ALL
501000601179319, ARGIROL, ARGIROL, NOT FOUND, 10.0% - FR PLASTICO - GTS - 5ML, ALL
501000501174315, ANESTÉSICO OCULUM, ANESTESICO OCULUM, NOT FOUND, 10 MG/ML + 1 MG/ML SOL OFT CT FR PLAS TRANS GOT X 10 ML, ALL
501000701173312, ATROPINA, ATROPINA, ATROPINA, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501000702171313, ATROPINA, ATROPINA, ATROPINA, 1.0% - FR PLASTICO - GTS - 5ML, ALL
501006402178311, ALPHAGAN Z, ALPHAGAN Z, NOT FOUND, 0.1% SOL OFT CT FR PLAS OPC GOT X 3 ML, ALL
501006401171313, ALPHAGAN Z, ALPHAGAN Z, NOT FOUND, 0.1% SOL OFT CT FR PLAS OPC GOT X 5 ML, ALL
501000401171314, ALPHAGAN P, ALPHAGAN P, NOT FOUND, 0.15% - FR PLASTICO - GTS - 5ML, ALL
501000301175318, ALPHAGAN, ALPHAGAN, NOT FOUND, 0.2% - FR PLASTICO - GTS - 10ML, ALL
501000302171316, ALPHAGAN, ALPHAGAN, NOT FOUND, 0.2% - FR PLASTICO - GTS - 5ML, ALL
501000101176310, ACULAR, ACULAR, NOT FOUND, 0.5% - FR PLASTICO - GTS - 5ML, ALL
501006202136313, ACULAR LS, ACULAR LS, NOT FOUND, 4 MG/ML SOL OFT ESTERIL CT FR PLAS GOT X 10 ML, ALL
501006201131318, ACULAR LS, ACULAR LS, NOT FOUND, 4 MG/ML SOL OFT ESTERIL CT FR PLAS GOT X 5 ML, ALL
501000601179319, ARGIROL, ARGIROL, NOT FOUND, 10.0% - FR PLASTICO - GTS - 5ML, ALL
