1004704520034; CLAXAM; CLAXAM; NOT FOUND; 80 MG/ML + 11.4 MG/ML PO SUS OR CX FR VD AMB X 70 ML + DOSADOR ; SDZ
1004704410042; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP); SDZ
1004704410034; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 40; SDZ
1004704380054; CEFTRIAXONA SÓDICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 500 MG PO SOL INJ IV CT FA VD INC + DIL AMP VD INC X 5 ML; SDZ
1004704380011; CEFTRIAXONA SÓDICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 500 MG PO SOL INJ IM CT FA VD INC + DIL AMP VD INC X 2 ML; SDZ
1004704380089; CEFTRIAXONA SÓDICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 1000 MG PO SOL INJ IV CT FA VD INC + DIL AMP VD INC X 10 ML; SDZ
1004704380038; CEFTRIAXONA SÓDICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 1000 MG PO SOL INJ IM CT FA VD INC + DIL AMP VD INC X 3.5 ML; SDZ
1004704510012; CEFUROXIMA SÓDICA; CEFUROXIMA SODICA; CEFUROXIMA SODICA; 750 MG PO SOL INJ CT FA VD INC + DIL AMP VD INC X 6 ML; SDZ
1004704510020; CEFUROXIMA SÓDICA; CEFUROXIMA SODICA; CEFUROXIMA SODICA; 750 MG PO SOL INJ CT 50 FA VD INC + 50 DIL AMP VD INC X 6 ML (EMB HOSP); SDZ
1004704930011; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G XAMP CT FR PLAS OPC X 100 ML; SDZ
1004705070016; CETOPROX; CETOPROX; NOT FOUND; 20MG/G XAMP CT FR PLAS OPC X 100ML; SDZ
1004702790018; CETOHEXAL; CETOHEXAL; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 10; SDZ
1004702790034; CETOHEXAL; CETOHEXAL; NOT FOUND; 200 MG COM CT 03 BL AL PLAS INC X 10; SDZ
1004703590020; CIMETIDINA; CIMETIDINA; CIMETIDINA; 200 MG COM REV CT 4 BL AL PLAS INC X 10; SDZ
1004703590098; CIMETIDINA; CIMETIDINA; CIMETIDINA; 400MG CP REV C/16; SDZ
1004703590152; CIMETIDINA; CIMETIDINA; CIMETIDINA; 200 MG COM REV CT BL AL PLAS INC X 20; SDZ
1004702130026; CIMETINA; CIMETINA; NOT FOUND; 200 MG COM CT BL AL PLAS AMB X 20; SDZ
1004702130026; CINTAG; CINTAG; NOT FOUND; 200 MG COM CT BL AL PLAS AMB X 20 ; SDZ
1004703770010; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT BL AL PVC X 10; SDZ
1004703770037; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT 3 BL AL PLAS INC X 10; SDZ
1004703770053; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT 2 BL AL PLAS INC X 7; SDZ
1004703770061; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT 4 BL AL PLAS INC X 7; SDZ
1004704790171; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM CT BL AL PLAS INC X 4; SDZ
1004704790031; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM CT BL AL PLAS INC X 4; SDZ
1004704790090; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM CT BL AL PLAS INC X 2; SDZ
1004704790112; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM CT BL AL PLAS INC X 8; SDZ
1004704790104; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM CT BL AL PLAS INC X 4; SDZ
1004704790082; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM CT BL AL PLAS INC X 1 ; SDZ
1004702800013; CITRATO DE TAMOXIFENO; CITRATO TAMOXIFENO; CITRATO TAMOXIFENO; 10 MG COM REV CT BL AL PLAS BCO OPC X 30; SDZ
1004702800031; CITRATO DE TAMOXIFENO; CITRATO TAMOXIFENO; CITRATO TAMOXIFENO; 20 MG COM REV CT BL AL PLAS BCO OPC X 30; SDZ
1004702070015; COR MIO; COR MIO; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; SDZ
1004702070066; COR MIO; COR MIO; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 30; SDZ
1004703970036; CLORIDRATO DE BUFLOMEDIL; CLORIDRATO BUFLOMEDIL; CLORIDRATO BUFLOMEDIL; 150 MG COM REV CT 3 BL AL PLAS INC X 10; SDZ
1004703970060; CLORIDRATO DE BUFLOMEDIL; CLORIDRATO BUFLOMEDIL; CLORIDRATO BUFLOMEDIL; 300 MG COM REV CT 3 BL AL PLAS INC X 10; SDZ
1004702730015; CIPROBIOT; CIPROBIOT; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 6; SDZ
1004702730120; CIPROBIOT; CIPROBIOT; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; SDZ
1004702730090; CIPROBIOT; CIPROBIOT; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6; SDZ
1004703510051; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 14; SDZ
1004703510019; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250MG COM REV CT BL AL PLAS INC X 6; SDZ
1004703510116; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; SDZ
1004703510086; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6; SDZ
1004703510108; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 10; SDZ
1004704880014; CLORIDRATO DE DONEPEZILA; CLORIDRATO DONEPEZILA; CLORIDRATO DONEPEZILA; 5 MG COM REV CT BL AL AL X 30; SDZ
1004704880057; CLORIDRATO DE DONEPEZILA; CLORIDRATO DONEPEZILA; CLORIDRATO DONEPEZILA; 10 MG COM REV CT BL AL AL X 30; SDZ
1004702900042; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 10; SDZ
1004702900026; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 30; SDZ
1004702900034; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 20; SDZ
1004705250014; CLORIDRATO DE LOPERAMIDA; CLORIDRATO LOPERAMIDA; CLORIDRATO LOPERAMIDA; 2 MG COM CT BL AL PLAS INC X 12 ; SDZ
1004703390013; CLORIDRATO MAPROTILINA; CLORIDRATO MAPROTILINA; CLORIDRATO MAPROTILINA; 25MG CP C/20; SDZ
1004703390048; CLORIDRATO MAPROTILINA; CLORIDRATO MAPROTILINA; CLORIDRATO MAPROTILINA; 75MG CP C/20; SDZ
1004704220014; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 30  ; SDZ
1004704220057; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 30   ; SDZ
1004704220073; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 1 G COM REV CT BL AL PLAS INC X 30   ; SDZ
1004702600030; CARDBLOC; CARDBLOC; NOT FOUND; 40 MG COM CT BL AL PLAS AMB X 30; SDZ
1004702600065; CARDBLOC; CARDBLOC; NOT FOUND; 80 MG COM CT BL AL PLAS AMB X 30; SDZ
1004703320015; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CT BL AL/AL X 10; SDZ
1004703320023; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CT BL AL/AL X 20; SDZ
1004703320066; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300 MG COM REV CT BL AL/AL X 10; SDZ
1004703320074; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300 MG COM REV CT BL AL/AL X 20; SDZ
1004704440030; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS OPC X 30; SDZ
1004704440022; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS OPC X 20; SDZ
1004704060041; CLORIDRATO DE SIBUTRAMINA MONOIDRATADO; CLORIDRATO SIBUTRAMINA MONOIDRATADO; CLORIDRATO SIBUTRAMINA MONOIDRATADO; 15 MG CAP GEL DURA CT BL AL PLAS INC X 30; SDZ
1004704060017; CLORIDRATO DE SIBUTRAMINA MONOIDRATADO; CLORIDRATO SIBUTRAMINA MONOIDRATADO; CLORIDRATO SIBUTRAMINA MONOIDRATADO; 15 MG CAP GEL DURA CT BL AL PLAS INC X 10  ; SDZ
1004703250017; CLORIDRATO DE SOTALOL; CLORIDRATO SOTALOL; CLORIDRATO SOTALOL; 160 MG COM CT BL AL  PLAS INC X 20 ; SDZ
1004703280013; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG CAP GEL DURA CT BL AL PLAS BRANCO OPC X 10; SDZ
1004703430066; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 120 MG COM REV AP CT BL AL PLAS BRANCO OPC X 20; SDZ
1004703430104; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 240 MG COM REV RETARD CT BL AL PLAS BRANCO OPC X 30; SDZ
1004703430023; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 80 MG COM REV CT BL AL PLAS BRANCO OPC X 30; SDZ
1004704980086; CLOXAZOLAM; CLOXAZOLAM; CLOXAZOLAM; 4 MG COM CT BL AL/AL X 30; SDZ
1004704980027; CLOXAZOLAM; CLOXAZOLAM; CLOXAZOLAM; 1 MG COM CT BL AL/AL X 30; SDZ
1004704980051; CLOXAZOLAM; CLOXAZOLAM; CLOXAZOLAM; 2 MG COM CT BL AL/AL X 30; SDZ
1004703190030; CETIHEXAL; CETIHEXAL; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 12; SDZ
1004703190014; CETIHEXAL; CETIHEXAL; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 6; SDZ
1004702740053; CO-ENAPROTEC; CO ENAPROTEC; NOT FOUND; 10 MG + 25 MG COM CT  STR X 30; SDZ
1004702740071; CO-ENAPROTEC; CO ENAPROTEC; NOT FOUND; 20 MG + 12.5 MG COM CT  STR X 30; SDZ
1004703060021; CLARILERG; CLARILERG; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 12; SDZ
