1004704150016; ANDELUX; ANDELUX; NOT FOUND; 50 MG COM CT BL AL PLAST INC X 20; SDZ
1004704300026; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 24 ; SDZ
1004704300034; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 18; SDZ
1004703630103; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM REV CT BL AL PLAS INC X 30; SDZ
1004703630030; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM REV CT BL AL PLAS INC X 30; SDZ
1004703630073; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM REV CT BL AL PLAS INC X 30; SDZ
1004703630154; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM REV CT BL AL PLAS INC X 60; SDZ
1004703630138; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM REV CT BL AL PLAS INC X 60; SDZ
1004703630146; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM REV CT BL AL PLAS INC X 60; SDZ
1004703520472; ATENOPRESS; ATENOPRESS; NOT FOUND; 100 MG COM BL AL PLAS INC X 28; SDZ
1004703520359; ATENOPRESS; ATENOPRESS; NOT FOUND; 25 MG COM BL AL PLAS INC X 28; SDZ
1004703520413; ATENOPRESS; ATENOPRESS; NOT FOUND; 50 MG COM BL AL PLAS INC X 28; SDZ
1004703520480; ATENOPRESS; ATENOPRESS; NOT FOUND; 100 MG COM BL AL PLAS INC X 30; SDZ
1004703520367; ATENOPRESS; ATENOPRESS; NOT FOUND; 25 MG COM BL AL PLAS INC X 30; SDZ
1004703520421; ATENOPRESS; ATENOPRESS; NOT FOUND; 50 MG COM BL AL PLAS INC X 30; SDZ
1004703450016; ATENORESE; ATENORESE; NOT FOUND; (100 + 25) MG COM REV CT BL AL PLAS OPC X 30; SDZ
1004703450032; ATENORESE; ATENORESE; NOT FOUND; (50 + 12.5) MG COM REV CT BL AL PLAS OPC X 30; SDZ
1004703450131; ATENORESE; ATENORESE; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 30; SDZ
1004703450156; ATENORESE; ATENORESE; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL PLAS INC X 30; SDZ
1004704460015; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS OPC X 2; SDZ
1004704460023; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS OPC X 3; SDZ
1004704460031; AZITROMICINA; AZITROMICINA; AZITROMICINA;  500 MG COM REV CT BL AL PLAS OPC X 5; SDZ
1004700090027; AMIDALIN; AMIDALIN; NOT FOUND; 1MG/ML+5MG/ML SOL OR SPRAY CT FR VD INC X 25ML (SABOR LARANJA); SDZ
1004700090035; AMIDALIN; AMIDALIN; NOT FOUND; 1MG/ML+5MG/ML SOL OR SPRAY CT FR VD INC X 25ML (SABOR MENTA); SDZ
1004700090531; AMIDALIN; AMIDALIN; NOT FOUND; 1 MG/ML + 5 MG/ML SOL OR SPRAY CT FR PLAS INC X 25 ML (SABOR MENTA); SDZ
1004700090541; AMIDALIN; AMIDALIN; NOT FOUND; 1 MG/ML + 5 MG/ML SOL OR SPRAY CT FR PLAS INC X 25 ML (SABOR LARANJA); SDZ
1004700090132; AMIDALIN; AMIDALIN; NOT FOUND; 1.035 MG + 5.0 MG PAS CT BL AL PLAS INC X 20 (SABOR CEREJA); SDZ
1004700090558; AMIDALIN; AMIDALIN; NOT FOUND; 1.035 MG + 5.0 MG PAS CT BL AL PLAS INC X 20 (SABOR MENTA); SDZ
1004700090213; AMIDALIN; AMIDALIN; NOT FOUND; 1.035 MG + 5.0 MG PAS CT BL AL PLAS INC X 20 (SABOR LARANJA); SDZ
1004700090159; AMIDALIN; AMIDALIN; NOT FOUND; 1.035 MG + 5.0 MG PAS CT BL AL PLAS INC X 100 (SABOR CEREJA); SDZ
1004700090231; AMIDALIN; AMIDALIN; NOT FOUND; 1.035 MG + 5.0 MG PAS CT BL AL PLAS INC X 100 (SABOR LARANJA); SDZ
1004700090078; AMIDALIN; AMIDALIN; NOT FOUND; 1.035 MG + 5.0 MG PAS CT  BL AL PLAS INC X 100 (SABOR MENTA); SDZ
1004700090371; AMIDALIN; AMIDALIN; NOT FOUND; 1.035 MG + 5 MG PAS CT BL AL PLAS INC X 20 (SABOR MEL LIMAO); SDZ
1004700090396; AMIDALIN; AMIDALIN; NOT FOUND; 1.035 MG + 5 MG PAS CT BL AL PLAS INC X 100 (SABOR MEL LIMAO); SDZ
1004700090450; AMIDALIN; AMIDALIN; NOT FOUND; 1.035 MG + 5 MG PAS CT BL AL PLAS INC X 20 (SABOR FRAMBOESA); SDZ
1004700090132; AMIDALIN; AMIDALIN; NOT FOUND; 1.035 MG + 5.0 MG PAS CT  BL AL PLAS INC X 20 (SABOR CEREJA); SDZ
1004700090558; AMIDALIN; AMIDALIN; NOT FOUND; 1.035 MG + 5.0 MG PAS CT  BL AL PLAS INC X 20 (SABOR MENTA) ; SDZ
1004702750059; AMLOVASC; AMLOVASC; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; SDZ
1004702750067; AMLOVASC; AMLOVASC; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 30; SDZ
1004702750016; AMLOVASC; AMLOVASC; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 20; SDZ
1004702750024; AMLOVASC; AMLOVASC; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 30; SDZ
1004702750131; AMLOVASC; AMLOVASC; NOT FOUND; 10 MG COM CT BL AL PLAS LEIT X 20 ; SDZ
1004702750148; AMLOVASC; AMLOVASC; NOT FOUND; 10 MG COM CT BL AL PLAS LEIT X 30; SDZ
1004702750091; AMLOVASC; AMLOVASC; NOT FOUND; 5 MG COM CT BL AL PLAS LEIT X 20 ; SDZ
1004702750105; AMLOVASC; AMLOVASC; NOT FOUND; 5 MG COM CT BL AL PLAS LEIT X 30; SDZ
1004703470033; AROTIN; AROTIN; NOT FOUND; 20 MG COM REV CT  BL AL PLAS INC X 30; SDZ
1004703470017; AROTIN; AROTIN; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 10; SDZ
1004703470025; AROTIN; AROTIN; NOT FOUND; 20 MG COM REV CT  BL AL PLAS INC X 20; SDZ
1004701930037; ANARTRIT; ANARTRIT; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 12; SDZ
