501800707151419, BENZATRON, BENZATRON, NOT FOUND, 1.200.000 UI PO INJ CX 100 FA VD INC (EMB. HOSP.), NO_ACR
504401005156411, BLAUFERON B-INTERFERON ALFA 2B, BLAUFERON B INTERFERON ALFA 2B, NOT FOUND, 10.000.000 UI - CX FR AMP VD INC 2ML SOL INJ, NO_ACR
504401006152418, BLAUFERON B-INTERFERON ALFA 2B, BLAUFERON B INTERFERON ALFA 2B, NOT FOUND, 18.000.000 UI - CX FR AMP VD INC 3ML SOL INJ, NO_ACR
504401007159416, BLAUFERON B-INTERFERON ALFA 2B, BLAUFERON B INTERFERON ALFA 2B, NOT FOUND, 25.000.000 UI - CX FR AMP VD INC 2.5ML SOL INJ, NO_ACR
504401008155414, BLAUFERON B-INTERFERON ALFA 2B, BLAUFERON B INTERFERON ALFA 2B, NOT FOUND, 25.000.000 UI - CX FR AMP VD INC 5ML SOL INJ, NO_ACR
504401001150417, BLAUFERON B-INTERFERON ALFA 2B, BLAUFERON B INTERFERON ALFA 2B, NOT FOUND, 3.000.000 UI - CT. SER-PREENC X 0.5ML SOL. INJ., NO_ACR
504401002157415, BLAUFERON B-INTERFERON ALFA 2B, BLAUFERON B INTERFERON ALFA 2B, NOT FOUND, 5.000.000 UI - CT. SER-PREENC X 0.5ML SOL. INJ., NO_ACR
504401101155410, BLAUGLOBULINA IMUNOGLOBULINA HUMANA, BLAUGLOBULINA IMUNOGLOBULINA HUMANA, NOT FOUND, 2.5 G - CX COM 1 FR AMP DE PO LIOFILO INJ, NO_ACR
504401201151417, BLAUIMUNO - IMUNOGLOBULINA HUMANA, BLAUIMUNO IMUNOGLOBULINA HUMANA, NOT FOUND, 0.6 G - CX COM 1 FR AMP DE PO LIOFILO INJ+ DILUENTE DE 10, NO_ACR
504401202156412, BLAUIMUNO - IMUNOGLOBULINA HUMANA, BLAUIMUNO IMUNOGLOBULINA HUMANA, NOT FOUND, 3.0 G - CX COM 1 FR AMP DE PO LIOFILO INJ+ DILUENTE DE 50, NO_ACR
504401203152410, BLAUIMUNO - IMUNOGLOBULINA HUMANA, BLAUIMUNO IMUNOGLOBULINA HUMANA, NOT FOUND, 9.0 G - CX COM 1 FR AMP DE PO LIOFILO INJ+ DILUENTE DE 150, NO_ACR
505107601111213, BARACLUDE, BARACLUDE, NOT FOUND, 0.5 MG COM REV CT FR PLAS OPC X 30, NO_ACR
505107602116219, BARACLUDE, BARACLUDE, NOT FOUND, 1 MG COM REV CT FR PLAS OPC X 30, NO_ACR
505100501152311, BECENUN, BECENUN, NOT FOUND, CARTUCHO COM 10 FA, NO_ACR
505100601157313, BLENOXANE, BLENOXANE, NOT FOUND, CARTUCHO COM 1 FA, NO_ACR
505100901118313, BUSPAR, BUSPAR, NOT FOUND, 10MG COMP - CARTUCHO COM 2 BLISTERS X 10, NO_ACR
505100902114311, BUSPAR, BUSPAR, NOT FOUND, 5MG COMP - CARTUCHO COM 2 BLISTERS X 10, NO_ACR
505600703153416, BACTOCILIN, BACTOCILIN, NOT FOUND, 500 MG PO INJ CT 50 FA VD INC, NO_ACR
505607508151415, BENZILPEN, BENZILPEN, NOT FOUND, 5000000 UI PO SOL INJ CT 50 FA VD INC, NO_ACR
505607501157418, BENZILPEN, BENZILPEN, NOT FOUND, 5000000 UI PO SOL INJ CT 50 FA VD INC + DIL X 5 ML, NO_ACR
505600801155413, BETAZIDIM, BETAZIDIM, NOT FOUND, 1G CX. 1FA + DIL 10ML, NO_ACR
507400701137411, BISUISAN, BISUISAN, NOT FOUND, 12 ENV X 5.5 G PO, NO_ACR
507400703131410, BISUISAN, BISUISAN, NOT FOUND, 25 ENV X 5.5 G PO, NO_ACR
507501201156314, BLAZTERE, BLAZTERE, NOT FOUND,  4MG PO LIOF INJ IV CT FA VD INC, NO_ACR
507604002156315, BYETTA, BYETTA, NOT FOUND, 250 MCG/ML SOL INJ CT CARP VD INC X 2.4 ML X SIST APLIC PLAS, NO_ACR
508900101110412, BRONCOTEN, BRONCOTEN, NOT FOUND, COMP. BL C/2 X 10, NO_ACR
508900102133416, BRONCOTEN, BRONCOTEN, NOT FOUND, XPE. VD X 100ML, NO_ACR
510601301160316, BACTROBAN, BACTROBAN, NOT FOUND, 15G CREME TUBO, NO_ACR
510601404156419, BARALGIN, BARALGIN, NOT FOUND, INJETAVEL 50 AMPOLAS X 5ML, NO_ACR
510601503170312, BECLOSOL, BECLOSOL, NOT FOUND, 50MCG AQUOSO NASAL SPRAY X 200 DS, NO_ACR
510601608177317, BETNOVATE, BETNOVATE, NOT FOUND, CAPILAR - 50G, NO_ACR
510601601164317, BETNOVATE, BETNOVATE, NOT FOUND, CREME 15G, NO_ACR
510601602160315, BETNOVATE, BETNOVATE, NOT FOUND, CREME 30G, NO_ACR
510601603175316, BETNOVATE, BETNOVATE, NOT FOUND, LOCAO 50G, NO_ACR
510601609165312, BETNOVATE, BETNOVATE, NOT FOUND, N - CREME 30G, NO_ACR
510601610163311, BETNOVATE, BETNOVATE, NOT FOUND, N - POMADA 30G, NO_ACR
510601604163311, BETNOVATE, BETNOVATE, NOT FOUND, POMADA 15G, NO_ACR
510601605161312, BETNOVATE, BETNOVATE, NOT FOUND, POMADA 30G, NO_ACR
510601606166318, BETNOVATE, BETNOVATE, NOT FOUND, Q - CREME 30G, NO_ACR
510601701118317, BIOVIR, BIOVIR, NOT FOUND, 60CPDS, NO_ACR
513000401173411, BENZOATO DE BENZILA, BENZOATO BENZILA, BENZOATO BENZILA, 250 MG/ML LOC EMUL CX 50 FR VD AMB X 100 ML (EMB HOSP), NO_ACR
511304101130414, BIOFLORIN, BIOFLORIN, NOT FOUND, AD. CX. C/ 5 FLACTE., NO_ACR
511304102137412, BIOFLORIN, BIOFLORIN, NOT FOUND, PED.CX. C/ 5 FLACTE., NO_ACR
513900201111418, BEVICOMPLEX, BEVICOMPLEX, NOT FOUND, FR COM 20 DRG, NO_ACR
513900202118416, BEVICOMPLEX, BEVICOMPLEX, NOT FOUND, FR COM 50 DRG, NO_ACR
513900203130411, BEVICOMPLEX, BEVICOMPLEX, NOT FOUND, FR COM SOL 100 ML, NO_ACR
513900301132417, BRONCOFAN, BRONCOFAN, NOT FOUND, ADULTO FR SOL COM 100 ML, NO_ACR
513900302139415, BRONCOFAN, BRONCOFAN, NOT FOUND, INFANTIL FR SOL COM 100 ML, NO_ACR
537300302161316, BERLISON, BERLISON, NOT FOUND, 10 MG/G CREM DERM CT BG AL X 15 G, NO_ACR
537300301163315, BERLISON, BERLISON, NOT FOUND, 10 MG/G CREM DERM CT BG AL X 30 G, NO_ACR
537300303166311, BERLISON, BERLISON, NOT FOUND, 10 MG/G POM DERM CT BG AL X 15 G, NO_ACR
537300304162311, BERLISON, BERLISON, NOT FOUND, 10 MG/G POM DERM CT BG AL X 30 G, NO_ACR
514600101179416, BENZILAN, BENZILAN, NOT FOUND, SABONETE 50G, NO_ACR
514600102175414, BENZILAN, BENZILAN, NOT FOUND, SOL. TOPICA 100ML, NO_ACR
516200501151417, BELACODID, BELACODID, NOT FOUND, CX C/ 5 AMP DE 2 ML, NO_ACR
516200502131411, BELACODID, BELACODID, NOT FOUND, GOTAS (*) FR C/ 10 ML, NO_ACR
516200503136415, BELACODID, BELACODID, NOT FOUND, XPE CT FR VD AMB X 120 ML , NO_ACR
516200601154418, BROMALGINA, BROMALGINA, NOT FOUND, CX C/ 5 AMP DE 2 ML, NO_ACR
516200602134410, BROMALGINA, BROMALGINA, NOT FOUND, GOTAS (*) FR C/ 10 ML, NO_ACR
516701106113419, BAC-SULFITRIN, BAC SULFITRIN, NOT FOUND, 400MG + 80MG COM CT 02 BL AL PLAS INC X 10, NO_ACR
516701102150417, BAC-SULFITRIN, BAC SULFITRIN, NOT FOUND, INJ (CX C/100 AMP C/5ML), NO_ACR
516701103157415, BAC-SULFITRIN, BAC SULFITRIN, NOT FOUND, INJ (CX C/50 AMP C/5ML), NO_ACR
516701104137418, BAC-SULFITRIN, BAC SULFITRIN, NOT FOUND, SUS PED (VD C/100ML), NO_ACR
516701105133416, BAC-SULFITRIN, BAC SULFITRIN, NOT FOUND, SUS PED (VD C/50ML), NO_ACR
516701202155410, BECLONATO, BECLONATO, NOT FOUND, 5 MG + 2 MG SUS INJ CT 50 AMP VD INC X 1 ML + SERINGA (EMB HOSP), NO_ACR
516701201159412, BECLONATO, BECLONATO, NOT FOUND, 5 MG/ML + 2 MG/ML SUS INJ CT AMP VD INC X 1 ML, NO_ACR
516701302133419, BENZOAX, BENZOAX, NOT FOUND, 250 MG/ML SUS TOP CT FR VD AMB X 100 ML, NO_ACR
516701301171414, BENZOAX, BENZOAX, NOT FOUND, SAB (CX C/1 SAB C/60 GR), NO_ACR
516701401131414, BIOHEPAX, BIOHEPAX, NOT FOUND, FLAC (CX C/12 FLAC C/10ML), NO_ACR
516701402138412, BIOHEPAX, BIOHEPAX, NOT FOUND, SOL ORAL (CX C/60 FLAC C/10ML), NO_ACR
516701501111415, BUCLIMAX, BUCLIMAX, NOT FOUND, COMP (CX C/02 BL C/10), NO_ACR
516701502132416, BUCLIMAX, BUCLIMAX, NOT FOUND, SUSP (VD C/120ML), NO_ACR
517000602155410, BENZ.PENIC.BENZ., BENZ PENIC BENZ, NOT FOUND, 600.000 CX. 5O FR.AMP+DILUENTES, NO_ACR
517006102111316, BENZNIDAZOL, BENZNIDAZOL, BENZNIDAZOL, 100 MG COM CT BL AL PVC X 100, NO_ACR
517006103118314, BENZNIDAZOL, BENZNIDAZOL, BENZNIDAZOL, 100 MG COM CT BL AL PVDC X 100, NO_ACR
517006104114312, BENZNIDAZOL, BENZNIDAZOL, BENZNIDAZOL, 100 MG COM CX 35 FR PLAS OPC X 100, NO_ACR
517006101115318, BENZNIDAZOL, BENZNIDAZOL, BENZNIDAZOL, 100 MG COM CX 35 FR VD AMB X 100, NO_ACR
517000701171414, BENZOATO DE BENZILA, BENZOATO BENZILA, BENZOATO BENZILA, CX. C/50 FRASCOS X 100 ML, NO_ACR
517000801158411, BICARB. DE SÓDIO, BICARB SODIO, BICARBONATO SODIO, CX. C/100 AMPOLAS X 10 ML, NO_ACR
517800601161418, BORALINA, BORALINA, NOT FOUND, CREME - BISNAGA 25G, NO_ACR
517800602176419, BORALINA, BORALINA, NOT FOUND, LIQUIDA - FRASCO 100ML, NO_ACR
519200902132411, BICARB.SODIO, BICARB SODIO, BICARBONATO SODIO, 100GRS.PO.TB. 12 UN, NO_ACR
519500703135418, BATROX, BATROX, NOT FOUND, 50ML SUSP - CX COM 50FR, NO_ACR
519500802117418, BECORTEM, BECORTEM, NOT FOUND, 20MG - CX COM 400 COMPRIMIDOS, NO_ACR
519500803113416, BECORTEM, BECORTEM, NOT FOUND, 5MG - CX COM 400 COMPRIMIDOS, NO_ACR
519507501171410, BROMOVENT, BROMOVENT, NOT FOUND, 0.250 MG/ML SOL INAL CT FR PLAS GOT X 20 ML, NO_ACR
521101201111117, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT 3 BL AL PLAS AMB X 10, NO_ACR
521101203114113, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS AMB X 20, NO_ACR
521101204110111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS AMB X 60, NO_ACR
521101202118115, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT 3 BL AL PLAS AMB X 10, NO_ACR
521101205117111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS AMB X 20, NO_ACR
521101206113118, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS AMB X 60, NO_ACR
521101301116412, BETALOR, BETALOR, NOT FOUND, 5 MG + 25 MG COM CT 2 BL AL PLAS AMB X 15, NO_ACR
521101302112410, BETALOR, BETALOR, NOT FOUND, 5 MG + 50 MG COM CT 2 BL AL PLAS AMB X 15, NO_ACR
521101503150417, BIOCARBO, BIOCARBO, NOT FOUND, 10 MG/ML SOL INJ CT FA VD AMB X 15 ML, NO_ACR
521101505153413, BIOCARBO, BIOCARBO, NOT FOUND, 10 MG/ML SOL INJ CT FA VD AMB X 45 ML, NO_ACR
521101504157415, BIOCARBO, BIOCARBO, NOT FOUND, 10 MG/ML SOL INJ CT FA VD AMB X 5 ML, NO_ACR
521101501158410, BIOCARBO, BIOCARBO, NOT FOUND, 150 MG PO LIOF INJ CT FA VD AMB, NO_ACR
521101502154419, BIOCARBO, BIOCARBO, NOT FOUND, 50 MG PO LIOF INJ CT FA VD AMB, NO_ACR
521112501154410, BIOMATROP, BIOMATROP, NOT FOUND, 4 UI PO LIOF INJ CT FA + AMP DIL 1 ML, NO_ACR
521101801119410, BIOMETROX, BIOMETROX, NOT FOUND, 2.5 MG COM CT BL AL PLAS INC X 20, NO_ACR
521101802158411, BIOMETROX, BIOMETROX, NOT FOUND, 25 MG/ML SOL INJ CT FA VD INC X 2 ML, NO_ACR
521101803154418, BIOMETROX, BIOMETROX, NOT FOUND, 25 MG/ML SOL INJ CT FA VD INC X 20 ML, NO_ACR
521102001159416, BIOPAXEL, BIOPAXEL, NOT FOUND, 6 MG/ML SOL INJ CX FA VD IND X 16.7 ML, NO_ACR
521102002155414, BIOPAXEL, BIOPAXEL, NOT FOUND, 6 MG/ML SOL INJ CX FA VD IND X 5 ML, NO_ACR
521102301152417, BIORRUB, BIORRUB, NOT FOUND, 10 MG PO LIOF INJ CT FA VD INC + AMP DIL X 5 ML, NO_ACR
521102302159415, BIORRUB, BIORRUB, NOT FOUND, 50 MG PO LIOF INJ CT FA VD INC, NO_ACR
521122701156414, BIOTECAN, BIOTECAN, NOT FOUND, 20 MG/ML SOL INJ CT FA VD AMB X 2 ML, NO_ACR
521122702152412, BIOTECAN, BIOTECAN, NOT FOUND, 20 MG/ML SOL INJ CT FA VD AMB X 5 ML, NO_ACR
521102601113417, BIOXIFENO, BIOXIFENO, NOT FOUND, 10 MG COM REV CT 3 BL AL PLAS OPC X 10, NO_ACR
521102602111418, BIOXIFENO, BIOXIFENO, NOT FOUND, 20 MG COM REV CT 3 BL AL PLAS OPC X 10, NO_ACR
521102701150314, BONAR, BONAR, NOT FOUND, 15 UI PO LIOF INJ CT VD INC + AMP DIL X 5 ML, NO_ACR
521121602111112, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 3 MG COM CT BL AL PLAS INC X 20, NO_ACR
521121603118110, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 3 MG COM CT BL AL PLAS INC X 30, NO_ACR
521121604114119, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 6 MG COM CT BL AL PLAS INC X 20, NO_ACR
521121601115114, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 6MG COM CT BL AL PLAS INC X 30, NO_ACR
521123601171118, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML, NO_ACR
521123201130112, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 1 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED, NO_ACR
521102901133413, BUSONID, BUSONID, NOT FOUND, 0.05 MG/DOSE AER BUCAL CT FR AL X 5 ML (100 DOSES), NO_ACR
521102902172412, BUSONID, BUSONID, NOT FOUND, 0.05 MG/DOSE AER NASAL CT FR AL X 10 ML (200 DOSES), NO_ACR
521102903136411, BUSONID, BUSONID, NOT FOUND, 0.200 MG DOSE AER BUCAL CT FR AL X 5 ML (100 DOSES), NO_ACR
521102905171417, BUSONID, BUSONID, NOT FOUND, 100 MCG/DOSE SUS AQUOSA NAS CT FR PLAS OPC X 10 ML (200 DOSES), NO_ACR
521102914170312, BUSONID, BUSONID, NOT FOUND, 100 MCG/DOSE SUS AQUOSA NAS CT FR PLAS OPC X 6 ML(120 DOSES), NO_ACR
521102915177310, BUSONID, BUSONID, NOT FOUND, 100 MGC/DOSE SUS AQUOSA NAS CT FR PLAS OPC X 3  ML (60 DOSES), NO_ACR
521102908111415, BUSONID, BUSONID, NOT FOUND, 200 MCG CAP GEL DURA PO INAL CT BL AL/PVDC X 60 (REFIL) CAPS, NO_ACR
521102909118413, BUSONID, BUSONID, NOT FOUND, 200 MCG CAP GEL DURA PO INAL CT BL AL/PVDC X 60 C/INAL CAPS, NO_ACR
521102912135412, BUSONID, BUSONID, NOT FOUND, 32 MCG/DOSE SUS AQU NAS CT FR PLAS OPC X 6 ML (120 DOSES), NO_ACR
521102917171311, BUSONID, BUSONID, NOT FOUND, 32 MCG/DOSE SUS AQUOSA NAS CT FR PLAS OPC X 3 ML (60 DOSES), NO_ACR
521102916173319, BUSONID, BUSONID, NOT FOUND, 400 MCG CAP GEL DURA PO INAL CT BL AL/PVDC X 15 C/INAL, NO_ACR
521102910116410, BUSONID, BUSONID, NOT FOUND, 400 MCG CAP GEL DURA PO INAL CT BL AL/PVDC X 60 (REFIL) CAPS, NO_ACR
521102911112419, BUSONID, BUSONID, NOT FOUND, 400 MCG CAP GEL DURA PO INAL CT BL AL/PVDC X 60 C/INAL CAPS, NO_ACR
521102907174413, BUSONID, BUSONID, NOT FOUND, 50 MCG/DOSE SUS AQUOSA NAS CT FR PLAS OPC X 10 ML (200 DOSES), NO_ACR
521102906178415, BUSONID, BUSONID, NOT FOUND, 50 MCG/DOSE SUS AQUOSA NAS CT FR PLAS OPC X 6 ML (120 DOSES), NO_ACR
