501802601154410, DAZOLSTON, DAZOLSTON, NOT FOUND, 5 MG/ ML INJ (INF IV) FR PL X 100 ML, NO_ACR
507500103150410, DOCETERE, DOCETERE, NOT FOUND, 120 MG SOL INJ CT FA VD INC X 3.0 ML + DIL X 9.0 ML, NO_ACR
508900201115416, DIARRESEC, DIARRESEC, NOT FOUND, CX C/ 12 COMP, NO_ACR
508901201119411, DOMPEROL, DOMPEROL, NOT FOUND, 10MG COMP. CX C/2BL X 10, NO_ACR
508901202131413, DOMPEROL, DOMPEROL, NOT FOUND, 1MG/ML XPE CX C/FRS X 100ML, NO_ACR
509800201162413, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, CX.C/50 BISN. X 10 G, NO_ACR
509900901166418, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 10 MG CREM CX 50 BG AL X 10 G (EMB HOSP), NO_ACR
509901001118415, DIAZEPAM, DIAZEPAM, DIAZEPAM, 10 MG COM CX BL AL PLAS INC X 200 (EMB HOSP), NO_ACR
509901201117412, DIGOXINA, DIGOXINA, DIGOXINA, 0.25 MG COM CX ENV KRAFT POLIET X 200 (EMB HOSP), NO_ACR
509901402139413, DIPIRONA, DIPIRONA, DIPIRONA, 500 MG/ML SOL OR CX 50 FR PLAS OPC GOT X 10 ML (EMB. HOSP.), NO_ACR
510602302111317, DIGOXINA, DIGOXINA, DIGOXINA, 0.25MG X 25CPDS, NO_ACR
510602303132318, DIGOXINA, DIGOXINA, DIGOXINA, ELIXIR 60ML, NO_ACR
512101302113418, DORIGREN, DORIGREN, NOT FOUND, CX. C/ 20 COMPR., NO_ACR
512700701112423, DIPIRAL 500MG, DIPIRAL 500MG, NOT FOUND, CAIXA COM 100 CPDS, NO_ACR
512700702119421, DIPIRAL 500MG, DIPIRAL 500MG, NOT FOUND, CAIXA COM 200 CPDS, NO_ACR
512700703131425, DIPIRAL 500MG, DIPIRAL 500MG, NOT FOUND, FRASCO COM 10ML, NO_ACR
512700704138423, DIPIRAL 500MG, DIPIRAL 500MG, NOT FOUND, FRASCO COM 20ML, NO_ACR
512702501110415, DIUREMIL 40MG, DIUREMIL 40MG, NOT FOUND, CAIXA COM 20 CPDS, NO_ACR
513000801112418, DIAZEPAM, DIAZEPAM, DIAZEPAM, 10 MG COM CT CX 20 ENV AL KRAFT POLIET X 10, NO_ACR
513001001111415, DIPIRONA, DIPIRONA, DIPIRONA, 500 MG COM CX 50 ENV AL POLIET X 10, NO_ACR
513001002132416, DIPIRONA, DIPIRONA, DIPIRONA, 500 MG/ML SOL OR CX 50 FR PLAS OPC GOT X 10 ML, NO_ACR
513001101114416, DOXICICLINA, DOXICICLINA, DOXICICLINA, 100 MG COM REV CX 40 BL AL PLAS AMB X 15 (EMB HOSP), NO_ACR
511300801162413, DEXACLOR, DEXACLOR, NOT FOUND, GEL BIS. C/ 60G C/ 10 APLIC., NO_ACR
513700201169413, DONNAGEL, DONNAGEL, NOT FOUND, BISN. C/45 G., NO_ACR
513900701114416, DIGESNORMA, DIGESNORMA, NOT FOUND, CX COM 2 BL X 10 COMP, NO_ACR
514600301119417, DIPIROTERM, DIPIROTERM, NOT FOUND, EMB. HOSP. 50BL X 4CP, NO_ACR
514600302131410, DIPIROTERM, DIPIROTERM, NOT FOUND, SOL. ORAL GOTAS 10ML, NO_ACR
514600303138419, DIPIROTERM, DIPIROTERM, NOT FOUND, SOL. ORAL GOTAS 20ML, NO_ACR
514600402111411, DORITRAT, DORITRAT, NOT FOUND, 25BL X 4CP, NO_ACR
514600404112415, DORITRAT, DORITRAT, NOT FOUND, 3 BL X 4CP, NO_ACR
514600405135419, DORITRAT, DORITRAT, NOT FOUND, GOTAS 10ML, NO_ACR
514600501118414, DORSALDINA, DORSALDINA, NOT FOUND, (30+300+30) MG DRG CT 2 BL X 10, NO_ACR
515200401114115, DICLOFENACO SÓDICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COM REV CT BL AL PLAS INC X 20, NO_ACR
535900404110114, DICLORIDRATO DE CETIRIZINA, DICLORIDRATO CETIRIZINA, DICLORIDRATO CETIRIZINA, 10 MG COM REV CT 2 BL AL PLAS INC X 6, NO_ACR
535900401111111, DICLORIDRATO DE CETIRIZINA, DICLORIDRATO CETIRIZINA, DICLORIDRATO CETIRIZINA, 10 MG COM REV CT BL AL PLAST INC X 6, NO_ACR
515800201175410, DYSPNE-INHAL, DYSPNE INHAL, NOT FOUND, SOL FR 6ML, NO_ACR
516300402137412, DROXAINE, DROXAINE, NOT FOUND, 60 MG/ML + 20 MG/ML + 2 MG/ML SUS OR FR PLAS OPC (PET) X 120 ML, NO_ACR
516300401130414, DROXAINE, DROXAINE, NOT FOUND, 61.50MG/ML+2MG/ML SUS OR CT FR VD AMB X 240ML, NO_ACR
516500101351418, DILUENTE AP, DILUENTE AP, NOT FOUND, SOL.INJ. VD AMBAR 5ML, NO_ACR
516500102358416, DILUENTE AP, DILUENTE AP, NOT FOUND, SOL.INJ. VD AMBAR 6ML, NO_ACR
516500201356411, DILUENTE AQUOSO, DILUENTE AQUOSO, NOT FOUND, SOL.INJ. VD AMBAR 1.5ML, NO_ACR
516500202352411, DILUENTE AQUOSO, DILUENTE AQUOSO, NOT FOUND, SOL.INJ. VD AMBAR 10ML, NO_ACR
516500203359418, DILUENTE AQUOSO, DILUENTE AQUOSO, NOT FOUND, SOL.INJ. VD AMBAR 2.0ML, NO_ACR
516500204355416, DILUENTE AQUOSO, DILUENTE AQUOSO, NOT FOUND, SOL.INJ. VD AMBAR 2.5ML, NO_ACR
516500205351414, DILUENTE AQUOSO, DILUENTE AQUOSO, NOT FOUND, SOL.INJ. VD AMBAR 5.0ML, NO_ACR
516500206358412, DILUENTE AQUOSO, DILUENTE AQUOSO, NOT FOUND, SOL.INJ. VD AMBAR 6.0ML, NO_ACR
516500207354410, DILUENTE AQUOSO, DILUENTE AQUOSO, NOT FOUND, SOL.INJ. VD AMBAR 7.0ML, NO_ACR
516500208350419, DILUENTE AQUOSO, DILUENTE AQUOSO, NOT FOUND, SOL.INJ. VD AMBAR 8.0ML, NO_ACR
516707901136112, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CT FR VD AMB X 120 ML + CP MED, NO_ACR
516702303168419, DEXANIL, DEXANIL, NOT FOUND, CREME 0.1% (BISN C/15GR), NO_ACR
516702304156414, DEXANIL, DEXANIL, NOT FOUND, INJ 2MG (CX C/2 AMP C/1ML), NO_ACR
516702305152412, DEXANIL, DEXANIL, NOT FOUND, INJ 2MG (CX C/50 AMP C/1ML), NO_ACR
516702306159410, DEXANIL, DEXANIL, NOT FOUND, INJ 4MG (CX C/1 FR/AMP C/2.5ML), NO_ACR
516702307155419, DEXANIL, DEXANIL, NOT FOUND, INJ 4MG (CX C/50 FR/AMP C/2.5ML), NO_ACR
516702402158111, DICLOF. DE SODIO, DICLOF SODIO, NOT FOUND, INJ 25MG/ML (CX C/50 AMP C/3ML), NO_ACR
516702401151111, DICLOF. DE SODIO, DICLOF SODIO, NOT FOUND, INJ 75MG (CX C/5 AMP C/3ML), NO_ACR
516702501113416, DICLOFETAMOL, DICLOFETAMOL, NOT FOUND, COMP (CX C/03 BL C/10), NO_ACR
516702502111417, DICLOFETAMOL, DICLOFETAMOL, NOT FOUND, COMP (CX C/25 BL C/4), NO_ACR
516702601118411, DICLONACO, DICLONACO, NOT FOUND, COMP REV 50MG (CX C/25 BL C/20), NO_ACR
516702603153417, DICLONACO, DICLONACO, NOT FOUND, INJ 75MG (CX C/5 AMP C/3ML), NO_ACR
516702701155112, DIPIRONA , DIPIRONA, DIPIRONA, INJ 500MG/ML (CX C/50 AMP C/2ML), NO_ACR
516702801117417, DIURETIL, DIURETIL, NOT FOUND, COMP (CX C/01 BL C/20), NO_ACR
516702906156412, DORONA, DORONA, NOT FOUND, INJ 1GR (CX C/50 AMP C/2ML), NO_ACR
516703101119415, DUCTELMIN, DUCTELMIN, NOT FOUND, COMP 100MG (CX C/01 BL C/06), NO_ACR
516703102131419, DUCTELMIN, DUCTELMIN, NOT FOUND, SUSP 100MG/5ML (VD C/30ML), NO_ACR
516707403136412, DUCTOCILINA, DUCTOCILINA, NOT FOUND, 250MG/5ML PO SUSP OR CT FR VD AMB X 150 ML, NO_ACR
516707404116415, DUCTOCILINA, DUCTOCILINA, NOT FOUND, 500 MG CAP GEL DURA CT 2 BL AL PLAS INC X 6, NO_ACR
516707405112413, DUCTOCILINA, DUCTOCILINA, NOT FOUND, 500 MG CAP GEL DURA CT 50 BL AL PLAS INC X 10, NO_ACR
516703302114410, DUCTOGEL, DUCTOGEL, NOT FOUND, COMP 300MG (CX C/03 BL C/08), NO_ACR
516703304133412, DUCTOGEL, DUCTOGEL, NOT FOUND, SUSP (VD C/150ML), NO_ACR
516707501111414, DUCTOGERON, DUCTOGERON, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 30, NO_ACR
516707502118412, DUCTOGERON, DUCTOGERON, NOT FOUND, 75 MG COM CT BL AL PLAS INC X 30, NO_ACR
516703402119414, DUCTOMET, DUCTOMET, NOT FOUND, 250 MG COM CT BL AL PLAS INC X 30, NO_ACR
516703401112416, DUCTOMET, DUCTOMET, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 30, NO_ACR
516703506119410, DUCTOPRIL, DUCTOPRIL, NOT FOUND, COMP 25MG (CX C/01 BL C/16), NO_ACR
516703508111417, DUCTOPRIL, DUCTOPRIL, NOT FOUND, COMP 25MG (CX C/02 BL C/16), NO_ACR
516703701132412, DUCTOVERAN, DUCTOVERAN, NOT FOUND, GTS (CX C/01 VD C/25ML), NO_ACR
516703801110410, DUCTOVIRAX, DUCTOVIRAX, NOT FOUND, COMP 200MG (CX C/5 BL C/5), NO_ACR
516703802168412, DUCTOVIRAX, DUCTOVIRAX, NOT FOUND, CREME 50MG/G (BG C/ 10GR), NO_ACR
517001901156417, DACTINOMICINA-D, DACTINOMICINA D, NOT FOUND, CX. C/12 AMPOLAS X 5 ML, NO_ACR
517002001167410, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, CX. C/50 BISNAGAS X 10 G, NO_ACR
517002201115414, DIPIRONA, DIPIRONA, DIPIRONA, CX. C/ 50 ENV. X 10 COMP., NO_ACR
517002203134416, DIPIRONA, DIPIRONA, DIPIRONA, CX. C/100 FRASCOS X 10 ML, NO_ACR
519601001111416, DIAZEPAM, DIAZEPAM, DIAZEPAM, 10 MG/COMP CX 20 ENV X 10, NO_ACR
519601002116411, DIAZEPAM, DIAZEPAM, DIAZEPAM, 5 MG/COMP CX 20 ENV X 10, NO_ACR
519601101114417, DICLOFENACO DE SÓDIO, DICLOFENACO SODIO, NOT FOUND, 50MG/COMP REV CX 50 ENV X 10, NO_ACR
519601201119410, DIPIRONA, DIPIRONA, DIPIRONA, 500 MG/COMP CX 50 ENV X 10, NO_ACR
519601202131414, DIPIRONA, DIPIRONA, DIPIRONA, 500 MG/ML SOL CX 50 FRX10 ML, NO_ACR
521122801169410, DALAP, DALAP, NOT FOUND, 1.0 MG/G GEL DERM CT BL POLIET OPC X 30 G, NO_ACR
521123701117417, DEPAXAN, DEPAXAN, NOT FOUND, 20 MG COM REV CT BL AL PVC/PVC INC X 20, NO_ACR
521123702113415, DEPAXAN, DEPAXAN, NOT FOUND, 20 MG COM REV CT BL AL PVC/PVC INC X 30, NO_ACR
521105101111411, DEPRILAN, DEPRILAN, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 20, NO_ACR
521120703161419, DERMOMAX, DERMOMAX, NOT FOUND, 40 MG/G CREM DERMAT CT 1 BG AL X 15 G, NO_ACR
521120702163213, DERMOMAX, DERMOMAX, NOT FOUND, 40MG/G CREM DERMAT CT 1 BG AL X 30, NO_ACR
521120701167215, DERMOMAX, DERMOMAX, NOT FOUND, 40MG/G CREM DERMAT CT 1 BG AL X 5 G, NO_ACR
521105301161119, DICLOFENACO DIETILAMÔNIO, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, 10 MG/G GEL CR CT BG AL X 60 G, NO_ACR
521105401115119, DICLOFENACO POTÁSSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG COM REV CT BL AL PLAS INC X 20, NO_ACR
521105501136118, DICLOFENACO RESINATO, DICLOFENACO RESINATO, NOT FOUND, 15 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML, NO_ACR
521105601114116, DICLOFENACO SÓDICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COM REV CT BL AL PLAS INC X 20, NO_ACR
521120602118119, DICLORIDRATO DE CETIRIZINA, DICLORIDRATO CETIRIZINA, DICLORIDRATO CETIRIZINA, 10 MG COM REV BL AL PLAS INC X 12, NO_ACR
521120601111110, DICLORIDRATO DE CETIRIZINA, DICLORIDRATO CETIRIZINA, DICLORIDRATO CETIRIZINA, 10 MG COM REV BL AL PLAS INC X 6, NO_ACR
521125002135110, DIMETICONA, DIMETICONA, DIMETICONA, 75 MG/ML EMU OR CT FR PLAS OPC GOT X 10 ML, NO_ACR
521125001139112, DIMETICONA, DIMETICONA, DIMETICONA, 75 MG/ML EMU OR CT FR PLAS OPC GOT X 15 ML, NO_ACR
521105701119314, DISGREN, DISGREN, NOT FOUND, 300 MG CAP GEL DURA CT 2 STR AL/AL X 10, NO_ACR
521600401167411, DEXACORT, DEXACORT, NOT FOUND, CREME TP. CX. BISN. 10GR, NO_ACR
521600402163411, DEXACORT, DEXACORT, NOT FOUND, POM. TP. CX. BISN. 10GR, NO_ACR
537100312110118, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 10 (EMB FRAC), NO_ACR
537100310118111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM DISP BL AL PLAS INC X 100 (EMB FRAC), NO_ACR
537100311114111, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM DISP BL AL PLAS INC X 250 (EMB FRAC), NO_ACR
537100313117116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM DISP BL AL PLAS INC X 500 (EMB FRAC), NO_ACR
500401201130418, DETOSS, DETOSS, NOT FOUND, (5 +2.5 + 0.1) MG / ML XPE PED FR VD AMB X 120 ML, NO_ACR
500401202137416, DETOSS, DETOSS, NOT FOUND, (6.667 + 3.333 + 0.12) MG / ML XPE FR VD AMB X 120 ML, NO_ACR
525307001110110, DEFLAZACORT, DEFLAZACORT, NOT FOUND, 30 MG COM CT BL AL PLAS LEIT X 10, NO_ACR
525307002117119, DEFLAZACORT, DEFLAZACORT, NOT FOUND, 6 MG COM CT BL AL PLAS LEIT X 20, NO_ACR
525301706112115, DICLOFENACO POTÁSSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG DRG CT 1 STR AL X 10, NO_ACR
525301703113110, DICLOFENACO POTÁSSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG DRG CT 2 STR AL X 10, NO_ACR
525305901130111, DICLOFENACO RESINATO, DICLOFENACO RESINATO, NOT FOUND, 15 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML, NO_ACR
525301806117119, DICLOFENACO SÓDICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 100 MG COM REV DESINT LENTA CT BL AL PLAS INC X 10, NO_ACR
525301801115118, DICLOFENACO SÓDICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COM REV CT 1 BL AL PLAS INC X 10, NO_ACR
525301804114112, DICLOFENACO SÓDICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COM REV CT 2 BL AL PLAS INC X 10, NO_ACR
525306001117117, DIMETICONA, DIMETICONA, DIMETICONA, 40 MG COM CT BL AL PLAS INC X 20, NO_ACR
525306002131113, DIMETICONA, DIMETICONA, DIMETICONA, 75 MG/ML EMU OR CT FR PLAS OPC GOT X 15 ML, NO_ACR
525403202113412, DEXA CITONEURIN, DEXA CITONEURIN, NOT FOUND, COM REV EST CART 2 BL AL PLAS AMB X 10, NO_ACR
525403201151418, DEXA CITONEURIN, DEXA CITONEURIN, NOT FOUND, SOL INJ EST 3 AMP VD INC X 2 ML + 3 AMP VD INC X 1, NO_ACR
525403302118416, DICLIN, DICLIN, NOT FOUND, 2 MG + 0.035 MG COM REV CT CART EST CAL AL PVC X 63, NO_ACR
525403301111418, DICLIN, DICLIN, NOT FOUND, 2MG + 0.035MG COM REV CT CART EST CAL AL PVC X 21, NO_ACR
525418501111118, DICLOFENACO SÓDICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 100 MG CAP GEL DURA MICROG EST CART BL AL PLAS INC X 10, NO_ACR
525417101136115, DIMETICONA, DIMETICONA, DIMETICONA, 75 MG/ML EMU OR CT FR PLAS OPC GOT X 15 ML, NO_ACR
525403401116411, DINAVITAL, DINAVITAL, NOT FOUND, 1G + 1G COM EFER CT TB PLAS INC X 10, NO_ACR
525417401164114, DIPROPIONATO DE BETAMETASONA + ÁCIDO SALICÍLICO, DIPROPIONATO BETAMETASONA ACIDO SALICILICO, NOT FOUND, 0.5 MG/G + 30 MG/G POM DERM CT BG AL X 30 GR, NO_ACR
501100701116412, DICETEL, DICETEL, NOT FOUND, 100 MG COMP REV CX C/ 20, NO_ACR
501100702112410, DICETEL, DICETEL, NOT FOUND, 50 MG COMP REV CX C/ 20, NO_ACR
501100804111316, DRAMIN, DRAMIN, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 20, NO_ACR
501100801110416, DRAMIN, DRAMIN, NOT FOUND, COMP CX C/ 40 ENV X 10 EMB MULT, NO_ACR
501100802133411, DRAMIN, DRAMIN, NOT FOUND, SOL ORAL 120 ML, NO_ACR
501100907113311, DRAMIN B6, DRAMIN B6, NOT FOUND, 50 MG + 10 MG COM REV CT BL PVC/PVDC AL X 30, NO_ACR
501100901115411, DRAMIN B6, DRAMIN B6, NOT FOUND, B6 COMP REV CX C/ 2 BL X 10, NO_ACR
501100902154419, DRAMIN B6, DRAMIN B6, NOT FOUND, B6 INJ CX C/ 10 AMP X 1 ML, NO_ACR
501100904130411, DRAMIN B6, DRAMIN B6, NOT FOUND, B6 SOL ORAL PEDIATRICA FR C/ 20 ML, NO_ACR
501100905153413, DRAMIN B6, DRAMIN B6, NOT FOUND, INJ CX C/ 100 AMP X 1 ML, NO_ACR
501101001150411, DRAMIN B6 DL, DRAMIN B6 DL, NOT FOUND, B6 DL INJ CX C/ 100 AMP X 10 ML, NO_ACR
527304301111410, DAMATER, DAMATER, NOT FOUND, CAP GEL MOLE CT BL AL PVC X 30, NO_ACR
527300401152310, DECADURABOLIN, DECADURABOLIN, NOT FOUND, 25 MG/ML SOL INJ CARTUCHO AMP VD INCOLOR X 1 ML, NO_ACR
527300402159319, DECADURABOLIN, DECADURABOLIN, NOT FOUND, 50 MG/ML SOL INJ CARTUCHO AMP VD INCOLOR X 1 ML, NO_ACR
527304001116115, DESOGESTREL, DESOGESTREL, DESOGESTREL, 0.075 MG COM REV CT BL AL PLAS INC X 28, NO_ACR
527304101110119, DESOGESTREL + ETINILESTRADIOL, DESOGESTREL ETINILESTRADIOL, NOT FOUND, 0.15 MG + 0.02 MG COM CT BL AL PLAS INC X 21, NO_ACR
527304102117117, DESOGESTREL + ETINILESTRADIOL, DESOGESTREL ETINILESTRADIOL, NOT FOUND, 0.15 MG + 0.03 MG COM CT BL AL PLAS INC X 21, NO_ACR
527304201115112, DESOGESTREL + ETINILESTRADIOL + DESOGESTREL + ETINILESTRADIOL, DESOGESTREL ETINILESTRADIOL DESOGESTREL ETINILESTRADIOL, NOT FOUND, 0.125/0.030 MG 15 COM BRANCOS + 0.025/0.040 MG 7 COM AZUIS CT BL AL PLAS INC X 22, NO_ACR
527300501114313, DILENA, DILENA, NOT FOUND, 11 COMP BRANCOS + 10 COMP AZUIS CARTUCHO 1 BL ALUM, NO_ACR
527300601151318, DURATESTON, DURATESTON, NOT FOUND, SOL INJ CARTUCHO AMP VD INCOLOR X 1 ML, NO_ACR
527800301114419, DIALAZE, DIALAZE, NOT FOUND, 10MG CX10 BL X 20 COMP, NO_ACR
529300301111419, DOZBÊ, DOZBE, NOT FOUND, 5000 MCG CX C/ 10 COMP., NO_ACR
530000701177413, DERMOBENZOL TINTURA, DERMOBENZOL TINTURA, NOT FOUND, VD C/60ML, NO_ACR
502803301111310, DACTIL OB, DACTIL OB, NOT FOUND, 100 MG + 50 MG + 50 MG DRG CT 2 BL AL PLAS LARANJA X 15, NO_ACR
502803401114311, DAONIL, DAONIL, NOT FOUND, 5 MG COM CT 1 BL AL PLAS INC X 30, NO_ACR
502803501161311, DERMATOP, DERMATOP, NOT FOUND, 2.5 MG/G CREM DERM CT BG X 20, NO_ACR
502803502166317, DERMATOP, DERMATOP, NOT FOUND, 2.5 MG/G POM DERM CT BG AL X 20 G, NO_ACR
502803601113319, DICORANTIL F, DICORANTIL F, NOT FOUND, 250 MG COM REV CT 2 BL AL PLAS INC X 8, NO_ACR
502803701150313, DIMERCAPROL, DIMERCAPROL, DIMERCAPROL, 100 MG/ML SOL INJ CX 5 AMP VD INC X 1 ML, NO_ACR
502803801112316, DIMETROSE, DIMETROSE, NOT FOUND, 2.5 MG CAP GEL CT BL AL PLAS OPC X 8, NO_ACR
502818902130415, DOGMATIL, DOGMATIL, NOT FOUND, 20 MG/ML SOL OR CT FR VD CGT X 30 ML, NO_ACR
502818901118411, DOGMATIL, DOGMATIL, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 20, NO_ACR
502818903110418, DOGMATIL, DOGMATIL, NOT FOUND, 50 MG CAP GEL DURA CT BL AL/PLAS INC X 20, NO_ACR
502803901151313, DOLANTINA, DOLANTINA, NOT FOUND, 50 MG/ML SOL INJ CT 5 BL X 5 AMP VD INC X 2 ML, NO_ACR
502804001136316, DORFLEX, DORFLEX, NOT FOUND, (35 MG+300 MG+50 MG)/ML SOL OR CT FR VD AMB X 20 ML, NO_ACR
502804002116319, DORFLEX, DORFLEX, NOT FOUND, 35MG+300MG+50MG COM CT 24 BL AL PLAS AMB X 10, NO_ACR
502804003112317, DORFLEX, DORFLEX, NOT FOUND, 35MG+300MG+50MG COM CT 3 BL AL PLAS AMB X 10, NO_ACR
