1021602030070; CAVERJECT; CAVERJECT; NOT FOUND; 10 MCG PO LIOF INJ EST FA VD INC + SER VD INC X 1 ML DIL + 2 AG + 2 COMPRES ANTIS; PFZ
1021602320044; CELECOXIBE; CELECOXIBE; CELECOXIBE; 200 MG CAP DURA CT BL AL PLAS TRANS X 15; PFZ
1021602320052; CELECOXIBE; CELECOXIBE; CELECOXIBE; 200 MG CAP DURA CT BL AL PLAS TRANS X 30; PFZ
1021601350039; CELEBRA; CELEBRA; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 20; PFZ
1021601350081; CELEBRA; CELEBRA; NOT FOUND; 200 MG CAP GEL DURA CT BL AL PLAS INC X 10; PFZ
1021601350101; CELEBRA; CELEBRA; NOT FOUND; 200 MG CAP GEL DURA CT BL AL PLAS INC X 30; PFZ
1021601350063; CELEBRA; CELEBRA; NOT FOUND; 200 MG CAP GEL DURA CT BL AL PLAS INC X 4; PFZ
1021601350195; CELEBRA; CELEBRA; NOT FOUND; 200 MG CAP GEL DURA CT BL AL PLAS INC X 15; PFZ
1238900840027; CELEBRA; CELEBRA; NOT FOUND; 100 MG - 20 CAPSULAS; PFZ
1238900840035; CELEBRA; CELEBRA; NOT FOUND; 200 MG - 10 CAPSULAS; PFZ
1238900840061; CELEBRA; CELEBRA; NOT FOUND; 200 MG - 3 BLISTERS COM 10 CAPSULAS; PFZ
1021602210079; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 4; PFZ
1021602210011; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM REV CT BL AL PLAS INC X 1; PFZ
1021602210028; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM REV CT BL AL PLAS INC X 2; PFZ
1021602210036; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM REV CT BL AL PLAS INC X 4; PFZ
1021602210044; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM REV CT BL AL PLAS INC X 8; PFZ
1021602210052; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 1; PFZ
1021602210060; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 2; PFZ
1021602210087; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 8; PFZ
1021602210095; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 12; PFZ
1021602210109; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM REV CT BL AL PLAS INC X 1; PFZ
1021602210117; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM REV CT BL AL PLAS INC X 2; PFZ
1021602210125; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM REV CT BL AL PLAS INC X 4; PFZ
1021601470034; CAMPTOSAR; CAMPTOSAR; NOT FOUND; 20 MG/ML SOL INJ CT FA PLAS AMB X 2 ML (REST HOSP); PFZ
1021601470042; CAMPTOSAR; CAMPTOSAR; NOT FOUND; 20 MG/ML SOL INJ CT FA PLAS AMB X 5 ML (REST HOSP) ; PFZ
1021601470018; CAMPTOSAR; CAMPTOSAR; NOT FOUND; 20 MG/ML SOL INJ CT FA VD AMB X 2 ML (REST HOSP); PFZ
1021601470026; CAMPTOSAR; CAMPTOSAR; NOT FOUND; 20 MG/ML SOL INJ CT FA VD AMB X 5 ML  (REST HOSP); PFZ
1238900530011; CAMPTOSAR; CAMPTOSAR; NOT FOUND; 40MG 2ML INJ; PFZ
1238900530013; CAMPTOSAR; CAMPTOSAR; NOT FOUND; SOLUCAO INJETAVEL 100 MG - CX C/ 1 FRASCO-AMPOLA 5; PFZ
1238900940013; CRONOVERA; CRONOVERA; NOT FOUND; 180 MG - 20 COMPRIMIDOS; PFZ
1238900940031; CRONOVERA; CRONOVERA; NOT FOUND; 240 MG - 20 COMPRIMIDOS; PFZ
1238900940013; CRONOVERA; CRONOVERA; NOT FOUND; 180 MG - 20 COMPRIMIDOS; PFZ
1238900940031; CRONOVERA; CRONOVERA; NOT FOUND; 240 MG - 20 COMPRIMIDOS; PFZ
1021602170018; CELSENTRI; CELSENTRI; NOT FOUND; 150 MG COM REV CT BL AL PLAS INC X 30; PFZ
1021602170042; CELSENTRI; CELSENTRI; NOT FOUND; 150 MG COM REV CT BL AL PLAS INC X 180; PFZ
1021602170026; CELSENTRI; CELSENTRI; NOT FOUND; 150 MG COM REV CT BL AL PLAS INC X 60; PFZ
1021602170034; CELSENTRI; CELSENTRI; NOT FOUND; 150 MG COM REV CT BL AL PLAS INC X 90; PFZ
1021602170085; CELSENTRI; CELSENTRI; NOT FOUND; 150 MG COM REV CT FR PLAS OPC X 180; PFZ
1021602170050; CELSENTRI; CELSENTRI; NOT FOUND; 150 MG COM REV CT FR PLAS OPC X 30; PFZ
1021602170069; CELSENTRI; CELSENTRI; NOT FOUND; 150 MG COM REV CT FR PLAS OPC X 60; PFZ
1021602170077; CELSENTRI; CELSENTRI; NOT FOUND; 150 MG COM REV CT FR PLAS OPC X 90; PFZ
1021602170123; CELSENTRI; CELSENTRI; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 180; PFZ
1021602170093; CELSENTRI; CELSENTRI; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 30; PFZ
1021602170158; CELSENTRI; CELSENTRI; NOT FOUND; 300 MG COM REV CT FR PLAS OPC X 90; PFZ
1021602170141; CELSENTRI; CELSENTRI; NOT FOUND; 300 MG COM REV CT FR PLAS OPC X 60; PFZ
1021602170131; CELSENTRI; CELSENTRI; NOT FOUND; 300 MG COM REV CT FR PLAS OPC X 30; PFZ
1021602170166; CELSENTRI; CELSENTRI; NOT FOUND; 300 MG COM REV CT FR PLAS OPC X 180; PFZ
1021602170115; CELSENTRI; CELSENTRI; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 90; PFZ
1021602170107; CELSENTRI; CELSENTRI; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 60; PFZ
1021600460043; CARDURAN; CARDURAN; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 10; PFZ
1021600460051; CARDURAN; CARDURAN; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 30; PFZ
1021600460140; CARDURAN; CARDURAN; NOT FOUND; XL - 4 MG X 2 BL X 10 COMP; PFZ
1021600460221; CARDURAN XL; CARDURAN XL; NOT FOUND; 4 MG COM REV LIB CONTR CT BL AL/AL X 30; PFZ
1021600460205; CARDURAN; CARDURAN; NOT FOUND; 4 MG COM REV LIB CONT CT BL AL/AL X 10; PFZ
1238900960014; CYTOTEC; CYTOTEC; NOT FOUND; 200 MG - 28 COMPRIMIDOS EMB HOSP.; PFZ
