1021600830029; ANUSOL; ANUSOL; NOT FOUND; POM 15 G; PFZ
1021602200146; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 40 MG COM REV CT BL AL/AL X 60; PFZ
1021602200154; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 40 MG COM REV CT BL AL/AL X 90; PFZ
1021602200162; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 80 MG COM REV CT BL AL/AL X 10 ; PFZ
1021602200170; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 80 MG COM REV CT BL AL/AL X 20; PFZ
1021602200197; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 80 MG COM REV CT BL AL/AL X 60; PFZ
1021602200200; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 80 MG COM REV CT BL AL/AL X 90; PFZ
1021601430040; ARACYTIN; ARACYTIN; NOT FOUND; 20 MG/ML SOL INJ CT 05 FA PLAS INC X 05 ML (REST. HOSP.); PFZ
1021601430016; ARACYTIN; ARACYTIN; NOT FOUND; 100 MG PO LIOF INJ CT FA VD INC + AMP DI VD INC X 05 ML (REST. HOSP); PFZ
1021601430024; ARACYTIN CS; ARACYTIN CS; NOT FOUND; 100 MG/ML SOL INJ CT FA PLAS INC X 10 ML (REST HOSP); PFZ
1021601430059; ARACYTIN CS; ARACYTIN CS; NOT FOUND; 20 MG/ML SOL INJ CT 01 FA PLAS INC X 25 ML (REST. HOSP.); PFZ
1238900170013; ARACYTIN; ARACYTIN; NOT FOUND; CAIXA C/ 1 FRASCO 100 MG + 1 AMPOLA DILUENTE; PFZ
1238900170072; ARACYTIN; ARACYTIN; NOT FOUND; 1 G SOL. INJ. FRASCO-AMPOLA PLASTICO CS; PFZ
1238900170064; ARACYTIN; ARACYTIN; NOT FOUND; 500 MG SOL. INJ. FRASCO-AMPOLA PLASTICO CS; PFZ
1021601650016; ADRIBLASTINA RD; ADRIBLASTINA RD; NOT FOUND; 10 MG PO LIOF INJ CT FA VD INC (REST HOSP); PFZ
1021601650024; ADRIBLASTINA RD; ADRIBLASTINA RD; NOT FOUND; 50 MG PO LIOF INJ CT FA VD INC (REST HOSP); PFZ
1238900460011; ADRIBLASTINA; ADRIBLASTINA; NOT FOUND; 10 MG 1 FRASCO-AMPOLA; PFZ
1238900460038; ADRIBLASTINA; ADRIBLASTINA; NOT FOUND; 50 MG 1 FRASCO-AMPOLA; PFZ
1021600870047; ACCUPRIL; ACCUPRIL; NOT FOUND; 10 MG COM REV CT BL AL\AL X 28; PFZ
1021600870071; ACCUPRIL; ACCUPRIL; NOT FOUND; 20 MG COM REV CT BL AL/AL X 28; PFZ
1021601760131; ALDACTONE; ALDACTONE; NOT FOUND; 100 MG COM CT  BL AL PLAS INC X 16; PFZ
1021601760075; ALDACTONE; ALDACTONE; NOT FOUND; 50 MG COM CT  BL AL PLAS INC X 30; PFZ
1021601760024; ALDACTONE; ALDACTONE; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; PFZ
1238900860028; ALDACTONE; ALDACTONE; NOT FOUND; 100 MG - 16 COMPRIMIDOS; PFZ
1238900860036; ALDACTONE; ALDACTONE; NOT FOUND; 25 MG - 30 COMPRIMIDOS; PFZ
1238900860052; ALDACTONE; ALDACTONE; NOT FOUND; 50 MG - 30 COMPRIMIDOS; PFZ
1021601700013; ALDAZIDA; ALDAZIDA; NOT FOUND; 50 MG + 50 MG COM CT 2 BL AL PLAS INC X 15; PFZ
1238900910017; ALDAZIDA; ALDAZIDA; NOT FOUND; 50 MG - 30 COMPRIMIDOS; PFZ
1021601410023; AROMASIN; AROMASIN; NOT FOUND; 25 MG DRG CT BL AL PLAS OPC X 30; PFZ
1038400010022; AROMASIN; AROMASIN; NOT FOUND; 25 MG CAIXA C/ 30 DRAGEAS; PFZ
1021601980016; AGAROL; AGAROL; NOT FOUND; 240 ML TRADICIONAL; PFZ
1021601980024; AGAROL; AGAROL; NOT FOUND; 240ML MORANGO; PFZ
