321, VITA E, VITA E 
322, ANDANTOL, ANDANTOL 
323, DECADRONAL, DECADRONAL 
324, DUO DECADRON, DUO DECADRON 
325, DUO DECADRON, DUO DECADRON 
326, FLUNARIN, FLUNARIN 
327, KATADOLON, KATADOLON 
328, LABEL, LABEL 
329, LABEL, LABEL 
330, LABEL, LABEL 
331, LABEL, LABEL 
332, MERACILINA, MERACILINA 
333, MERACILINA, MERACILINA 
334, MIRTAX, MIRTAX 
335, MIRTAX, MIRTAX 
336, MIRTAX, MIRTAX 
337, MIRTAX, MIRTAX 
338, MIRTAX, MIRTAX 
339, MIRTAX, MIRTAX 
340, PARAQUEIMOL, PARAQUEIMOL 
342, FLOGORAL, FLOGORAL 
343, FLOGORAL, FLOGORAL 
344, FLOGORAL, FLOGORAL 
345, FLOGORAL, FLOGORAL 
346, FLOGORAL, FLOGORAL 
347, FLOGORAL, FLOGORAL 
348, FLOGORAL, FLOGORAL 
349, FLOGORAL, FLOGORAL 
350, FLOGORAL, FLOGORAL 
351, FLOGORAL, FLOGORAL 
352, FLOGORAL, FLOGORAL 
353, FLOGORAL, FLOGORAL 
354, FLOGORAL, FLOGORAL 
355, FLOGORAL, FLOGORAL 
356, FLOGORAL, FLOGORAL 
357, FENTIZOL, FENTIZOL 
358, FENTIZOL, FENTIZOL 
359, FENTIZOL, FENTIZOL DERMA 
360, FENTIZOL, FENTIZOL DERMA 
361, FENTIZOL, FENTIZOL DERMA 
362, FENTIZOL, FENTIZOL 
363, TRICANGINE A, TRICANGINE A 
364, NISULID, NISULID 
365, NISULID, NISULID 
367, NISULID, NISULID 
368, NISULID, NISULID GEL 
369, NISULID, NISULID 
370, NISULID, NISULID 
371, NISULID, NISULID 
372, NISULID, NISULID 
373, PRELONE, PRELONE 
374, PRELONE, PRELONE 
375, PRELONE, PRELONE 
376, PRELONE, PRELONE 
377, PRELONE, PRELONE 
378, MAXICALC, MAXICALC D 
379, MAXICALC, MAXICALC D 
380, MITICOCAN, MITICOCAN 
381, MITICOCAN, MITICOCAN 
382, TIMASEN SR, TIMASEN 
383, TIMASEN SR, TIMASEN 
384, BENFLOGIN, BENFLOGIN 
385, BENFLOGIN, BENFLOGIN 
386, BENFLOGIN, BENFLOGIN 
387, FLOGO ROSA, FLOGO ROSA 
388, FLOGO ROSA, FLOGO ROSA 
389, OSSOPAN, OSSOPAN 
390, DECADRON, DECADRON 
391, DECADRON, DECADRON 
392, DECADRON, DECADRON 
393, DECADRON, DECADRON 
394, DECADRON, DECADRON 
395, DECADRON, DECADRON 
396, DECADRON, DECADRON 
397, AIRCLIN, AIRCLIN 
398, POSTINOR UNO, POSTINOR UNO 
399, SORINE H, SORINE 
400, GERIATON, GERIATON 
401, LEVOID, LEVOID 
402, LEVOID, LEVOID 
403, LEVOID, LEVOID 
404, LEVOID, LEVOID 
405, LEVOID, LEVOID 
406, LEVOID, LEVOID 
407, LEVOID, LEVOID 
408, LEVOID, LEVOID 
409, LEVOID, LEVOID 
410, LEVOID, LEVOID 
411, LEVOID, LEVOID 
413, FACTIVE, FACTIVE 
414, FACTIVE, FACTIVE 
415, BIOMAG, BIOMAG 
416, BIOMAG, BIOMAG 
417, DORALIV, DORALIV 
418, DORALIV, DORALIV 
419, ALPRAZOLAM, ALPRAZOLAM 
420, ALPRAZOLAM, ALPRAZOLAM 
421, BETADINE, BETADINE 
422, BETADINE, BETADINE 
423, BETADINE, BETADINE 
424, BETADINE, BETADINE 
425, BETADINE, BETADINE 
426, ALPRAZOLAM, ALPRAZOLAM 
427, CLORIDRATO TERBINAFINA, CLO TERBINAFINA 
428, CLORIDRATO TERBINAFINA, CLO TERBINAFINA 
429, CLORIDRATO RANITIDINA, CLOR RANITIDINA 
430, CLORIDRATO RANITIDINA, CLOR RANITIDINA 
432, EXODUS, EXODUS 
433, MONTELAIR, MONTELAIR 
434, MONTELAIR, MONTELAIR 
435, OSTEOBAN, OSTEOBAN 
437, ARISTAB, ARISTAB 
438, ARISTAB, ARISTAB 
439, ARISTAB, ARISTAB 
440, ARISTAB, ARISTAB 
441, ARISTAB, ARISTAB 
442, DICLORIDRATO BETAISTINA, DICL BETAISTINA 
443, DICLORIDRATO BETAISTINA, DICL BETAISTINA 
444, DICLORIDRATO BETAISTINA, DICL BETAISTINA 
445, TREZOR, TREZOR 
446, TREZOR, TREZOR 
447, TREZOR, TREZOR 
448, IBANDRONATO SODIO, IBANDRONA SODIO 
449, RISEDRONATO SODICO, RISEDRONATO SOD 
450, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, V BE SU G TO CL 
451, STABIL, STABIL 
452, STABIL, STABIL 
453, STABIL, STABIL 
454, BRAVAN, BRAVAN 
455, BRAVAN, BRAVAN 
456, BRAVAN, BRAVAN 
457, EXODUS, EXODUS 
458, AXONIUM, AXONIUM 
459, AXONIUM, AXONIUM 
460, AXONIUM, AXONIUM 
461, DICLORIDRATO PRAMIPEXOL, DICL PRAMIPEXOL 
462, DICLORIDRATO PRAMIPEXOL, DICL PRAMIPEXOL 
463, DICLORIDRATO PRAMIPEXOL, DICL PRAMIPEXOL 
464, MONTELUCASTE SODIO, MONTELUCASTE SO 
465, FLAGASS, FLAGASS 
466, CLORIDRATO VERAPAMIL, CLOR VERAPAMIL 
467, OXALATO ESCITALOPRAM, OX ESCITALOPRAM 
468, OLANZAPINA, OLANZAPINA 
469, OLANZAPINA, OLANZAPINA 
470, OLANZAPINA, OLANZAPINA 
472, MONTELUCASTE SODIO, MONTELUCASTE SO 
473, MONTELUCASTE SODIO, MONTELUCASTE SO 
474, COMBIRON, COMBIRON 
475, COMBIRON, COMBIRON 
478, ADINOS, ADINOS 
479, ADINOS, ADINOS 
480, MERITOR, MERITOR 
481, MERITOR, MERITOR 
482, MERITOR, MERITOR 
483, MERITOR, MERITOR 
484, OXALATO ESCITALOPRAM, OX ESCITALOPRAM 
485, OXALATO ESCITALOPRAM, OX ESCITALOPRAM 
486, DIOSMIN SDU, DIOSMIN 
488, DIOSMIN SDU, DIOSMIN 
489, DIOSMIN SDU, DIOSMIN 
490, AMOXICILINA TRIIDRATADA, AMOXICILINA 
491, AMOXICILINA TRIIDRATADA, AMOXICILINA 
492, GASTRIUM, GASTRIUM 
493, GASTRIUM, GASTRIUM 
494, DONILA, DONILA 
495, DONILA, DONILA 
496, EKSON, EKSON 
497, PANTOPRAZOL, PANTOPRAZOL 
498, PANTOPRAZOL, PANTOPRAZOL 
499, PANTOPRAZOL, PANTOPRAZOL 
500, PANTOPRAZOL, PANTOPRAZOL 
501, LABEL, LABEL 
502, ROSUVASTATINA CALCICA, ROSUVASTATI CAL 
503, ROSUVASTATINA CALCICA, ROSUVASTATI CAL 
504, CLORIDRATO TRAMADOL PARACETAMOL, CLO TRAMA PARAC 
505, CLORIDRATO TRAMADOL PARACETAMOL, CLO TRAMA PARAC 
506, LEVOFLOXACINO, LEVOFLOXACINO 
507, CLORIDRATO CICLOBENZAPRINA, CLOR CICLOBENZA 
508, CLORIDRATO CICLOBENZAPRINA, CLOR CICLOBENZA 
509, CLORIDRATO CICLOBENZAPRINA, CLOR CICLOBENZA 
510, CLORIDRATO CICLOBENZAPRINA, CLOR CICLOBENZA 
511, EXODUS, EXODUS 
512, EXODUS, EXODUS 
513, EXODUS, EXODUS 
514, EXODUS, EXODUS 
515, TOPIRAMATO, TOPIRAMATO 
516, TOPIRAMATO, TOPIRAMATO 
517, TOPIRAMATO, TOPIRAMATO 
518, RISPERIDONA, RISPERIDONA 
519, RISPERIDONA, RISPERIDONA 
520, RISPERIDONA, RISPERIDONA 
521, ACICLOVIR, ACICLOVIR 
522, ACICLOVIR, ACICLOVIR 
523, DORALIV GEL, DORALIV 
525, TALERC, TALERC 
526, CLORIDRATO VERAPAMIL, CLOR VERAPAMIL 
527, CETOCONAZOL, CETOCONAZOL CPR 
528, AMOXICILINA, AMOXICILINA 
529, AMOXICILINA, AMOXICILINA 
530, AMOXICILINA, AMOXICILINA 
531, AMOXICILINA, AMOXICILINA 
532, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, V BE SU G TO CL 
533, FEMME FOLICO, FEMME FOLICO 
534, CLOPIN, CLOPIN 
535, CLOPIN, CLOPIN 
536, FUMARATO QUETIAPINA, FUM QUETIAPINA 
537, FUMARATO QUETIAPINA, FUM QUETIAPINA 
538, MALEATO DEXCLORFENIRAMINA BETAMETASONA, MAL DEXCLO BETA 
539, ADINOS GEN, ADINOS GEN 
540, GLICOLIVE, GLICOLIVE 
541, QUETROS, QUETROS 
542, QUETROS, QUETROS 
543, QUETROS, QUETROS 
544, QUETROS, QUETROS 
547, TRACLEER, TRACLEER 
548, TRACLEER, TRACLEER 
549, ZAVESCA, ZAVESCA 
550, BOSENTANA, BOSENTANA 
551, BOSENTANA, BOSENTANA 
552, ACETATO PREDNISOLONA, ACET PREDNISOLO 
553, ANESTALCON, ANESTALCON 
554, AZOPT, AZOPT 
555, BETOPTIC, BETOPTIC 
556, BETOPTIC, BETOPTIC S 
557, CERUMIN, CERUMIN 
558, CILODEX, CILODEX 
559, CILODEX, CILODEX 
560, CILOXAN, CILOXAN 
561, CILOXAN, CILOXAN 
562, CILOXAN, CILOXAN 
563, CIPRO HC, CIPRO HC 
564, CLARIL, CLARIL 
565, CLAROFT, CLAROFT 
566, EMADINE, EMADINE 
567, FLORATE, FLORATE 
568, GLAUTIMOL, GLAUTIMOL 
569, LACRIMA PLUS, LACRIMA PLUS 
570, MALEATO TIMOLOL, MALEATO TIMOLOL 
571, MAXICROM, MAXICROM 
572, MAXICROM, MAXICROM 
573, MAXIDEX, MAXIDEX 
574, MAXIDEX, MAXIDEX 
575, MAXITROL, MAXITROL 
576, MAXITROL, MAXITROL 
577, MYDRIACYL, MYDRIACYL 
578, PATANOL, PATANOL 
579, TARTARATO BRIMONIDINA, TAR BRIMONIDINA 
580, TOBRADEX, TOBRADEX 
581, TOBRADEX, TOBRADEX 
582, TOBRAMICINA DEXAMETASONA, TOBRAMI DEXAMET 
583, TOBRAMICINA, TOBRAMICINA 
584, TOBREX, TOBREX 
585, TOBREX, TOBREX 
586, TRAVATAN, TRAVATAN 
587, TRISORB, TRISORB 
588, VIGAMOX, VIGAMOX 
589, PATANOL S, PATANOL S 
590, VIGADEXA, VIGADEXA 
591, NEVANAC, NEVANAC 
592, ACULAR, ACULAR 
593, ALPHAGAN, ALPHAGAN 
594, ALPHAGAN, ALPHAGAN 
595, ALPHAGAN P, ALPHAGAN P 
596, ANESTESICO OCULUM, ANESTESICO 
597, ARGIROL OCULUM, ARGIROL OCULUM 
598, ATROPINA, ATROPINA 
599, ATROPINA, ATROPINA 
600, BETAGAN, BETAGAN 
601, BETAGAN, BETAGAN 
602, BIAMOTIL, BIAMOTIL 
603, BIAMOTIL, BIAMOTIL 
604, BIAMOTIL D, BIAMOTIL D 
605, BIAMOTIL D, BIAMOTIL D 
606, BOTOX, BOTOX 
607, BOTOX, BOTOX 
608, CICLOPLEGICO, CICLOPLEGICO 
609, CLARVISOL, CLARVISOL 
610, CLORANFENICOL, CLORANFENICOL 
611, CROMOLERG OCULUM, CROMOLERG 
612, CROMOLERG OCULUM, CROMOLERG 
613, DEXAFENICOL, DEXAFENICOL 
614, DEXAFENICOL, DEXAFENICOL 
615, DINILL, DINILL 
616, EPITEZAN, EPITEZAN 
617, FENIDEX, FENIDEX 
619, FILMCEL, FILMCEL 
620, FLUMEX, FLUMEX 
621, FRESH TEARS, FRESH TEARS 
622, FRESH TEARS LIQUIGEL, FRESH TEARS LIQUIG 
623, FRESH TEARS, FRESH TEARS 
624, FRESH TEARS, FRESH TEARS 
625, GENTAMICINA, GENTAMICINA 
626, GENTAMICINA, GENTAMICINA 
627, LACRIL, LACRIL 
628, LERIN, LERIN 
629, LUMIGAN, LUMIGAN 
630, LUMIGAN, LUMIGAN 
631, MALEATO TIMOLOL, MALEATO TIMOLOL 
632, MALEATO TIMOLOL, MALEATO TIMOLOL 
633, MALEATO TIMOLOL, MALEATO TIMOLOL 
634, MIRABEL, MIRABEL 
635, NAAXIA, NAAXIA 
636, OCUFEN, OCUFEN 
637, OFLOX, OFLOX 
638, PILOCARPINA, PILOCARPINA 
639, PILOCARPINA, PILOCARPINA 
640, PILOCARPINA, PILOCARPINA 
641, POLIPRED, POLIPRED 
642, PRED MILD, PRED MILD 
643, PRED MILD, PRED MILD 
644, PRED FORT, PRED FORT 
645, REFRESH, REFRESH 
646, REFRESH GEL, REFRESH GEL 
647, RESTASIS, RESTASIS 
648, RESTASIS, RESTASIS 
649, STILL, STILL 
650, STILL, STILL 
651, TOBRAGAN, TOBRAGAN 
652, TOBRAMICINA DEXAMETASONA, TOBRAMI DEXAMET 
653, VISONEST, VISONEST 
654, ZINCOLOK, ZINCOLOK 
655, ZYMAR, ZYMAR 
656, RELESTAT, RELESTAT 
657, RELESTAT, RELESTAT 
658, ACULAR LS, ACULAR LS 
659, ACULAR LS, ACULAR LS 
660, GANFORT, GANFORT 
661, GANFORT, GANFORT 
662, ALPHAGAN Z, ALPHAGAN Z 
663, FRESH CLEAR, FRESH CLEAR 
664, LUMIGAN RC, LUMIGAN RC 
665, LUMIGAN RC, LUMIGAN RC 
666, ZYPRED, ZYPRED 
667, ZYPRED, ZYPRED 
668, LATISSE, LATISSE 
669, ZYMAR XD, ZYMAR XD 
670, ZYMAR XD, ZYMAR XD 
671, ACULAR CMC, ACULAR CMC 
672, ACULAR CMC, ACULAR CMC 
673, ACULAR CMC, ACULAR CMC 
675, LASTACAFT, LASTACAFT 
676, AD TIL, AD TIL 
677, ALBOCRESIL, ALBOCRESIL 
678, ALBOCRESIL, ALBOCRESIL 
679, ALBOCRESIL, ALBOCRESIL 
680, BRONCHO VAXOM, BRONCHO VAXOM 
681, BRONCHO VAXOM, BRONCHO VAXOM 
682, DRAMIN, DRAMIN 
683, DRAMIN B6, DRAMIN B6 
684, DRAMIN B6, DRAMIN B6 
685, DRAMIN B6, DRAMIN B6 
686, DRAMIN B6, DRAMIN B6 
688, FONTOL, FONTOL 650 
689, HIDRAFIX, HIDRAFIX 90 
690, HIDRAFIX, HIDRAFIX 
691, HIDRAFIX, HIDRAFIX 
692, MESACOL, MESACOL 
693, MESACOL, MESACOL 
694, MESACOL, MESACOL 
695, MESACOL, MESACOL 
696, MUCOLITIC, MUCOLITIC 
697, MUCOLITIC, MUCOLITIC 
698, MUCOLITIC, MUCOLITIC 
699, NEBACETIN, NEBACETIN 
700, NEBACETIN, NEBACETIN 
703, NORIPURUM, NORIPURUM 
704, NORIPURUM IM, NORIPURUM 
705, NORIPURUM EV, NORIPURUM 
706, NORIPURUM XAROPE, NORIPURUM 
707, PANTOZOL, PANTOZOL 
708, PANTOZOL, PANTOZOL 
709, PANTOZOL, PANTOZOL 
710, PANTOZOL, PANTOZOL 
711, PANTOZOL, PANTOZOL 
712, PANTOZOL, PANTOZOL 
713, PANTOZOL, PANTOZOL 
714, PROCTYL, PROCTYL 
715, PROCTYL, PROCTYL 
716, PROCTYL, PROCTYL 
717, RIOPAN PLUS, RIOPAN PLUS 
718, RIOPAN PLUS, RIOPAN PLUS 
719, RIOPAN PLUS, RIOPAN 
720, VENALOT, VENALOT 
721, VENALOT, VENALOT 
722, ALVESCO, ALVESCO 
723, ALVESCO, ALVESCO 
724, DOBUTREX, DOBUTREX 
725, KEFLIN NEUTRO, KEFLIN 
726, KEFORAL, KEFORAL 
727, KEFORAL, KEFORAL 
728, VANCOCINA CP, VANCOCINA CP 
729, VANCOCINA CP, VANCOCINA CP 
730, VANCOCINA CP, VANCOCINA CP 
731, VANCOCINA CP, VANCOCINA CP 
732, KEFTRON, KEFTRON 
734, KEFTRON, KEFTRON 
735, KEFADIM, KEFADIM 
736, KEFADIM, KEFADIM 
737, KEFOX, KEFOX 
740, CLORIDRATO CEFEPIMA, CLOR CEFEPIMA 
744, KEROXIME, KEROXIME 
745, ONCOVIN, ONCOVIN 
746, VELBAN, VELBAN 
747, CEFALEXINA, CEFALEXINA 
748, CEFALEXINA, CEFALEXINA 
749, CEFALOTINA SODICA, CEFALOTINA SODI 
