57408; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 30; M_S
59198; CLOR SOTALOL MG ; CLOR SOTALOL; CLORIDRATO SOTALOL; CPR 160 MG x 30; M_S
63695; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; SOLN ORAL 7.50 MG 50 ML x 1 (/M; M_S
72177; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAR. AD 30 MG 120 ML x 1 (/5ML); M_S
72176; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAR. PED. 15 MG 120 ML x 1 (/5ML; M_S
56278; CLOR. VERAPAMIL MG ; CLOR VERAPAMIL; CLORIDRATO VERAPAMIL; CPR RETARD 240 MG x 30; M_S
56279; CLOR. VERAPAMIL MG ; CLOR VERAPAMIL; CLORIDRATO VERAPAMIL; CPR REVES.AP 120 MG x 20; M_S
56280; CLOR. VERAPAMIL MG ; CLOR VERAPAMIL; CLORIDRATO VERAPAMIL; CPR REVEST 80 MG x 30; M_S
57049; CLOR.BIPERIDENO MG ; CLOR BIPERIDENO; CLORIDRATO BIPERIDENO; CPR 2 MG x 80; M_S
66978; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 14; M_S
66976; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 6; M_S
69599; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 20 MG x 30; M_S
58534; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR 500 MG x 30; M_S
58371; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR 850 MG x 30; M_S
63855; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 1 G x 30; M_S
63622; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 60; M_S
63623; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 850 MG x 60; M_S
68036; CLOR.PAROXETINA MG ; CLOR PAROXETINA; NOT FOUND; CPR REVEST 20 MG x 20; M_S
68037; CLOR.PAROXETINA MG ; CLOR PAROXETINA; NOT FOUND; CPR REVEST 20 MG x 30; M_S
57431; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR 150 MG x 20; M_S
57432; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR 300 MG x 20; M_S
69177; CLOR.SERTRALINA MG ; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 50 MG x 28; M_S
78551; CLOR.SERTRALINA MG ; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 50 MG x 30; M_S
58380; CONCOR ; CONCOR; NOT FOUND; CPR 1.25 MG x 14; M_S
64865; CONCOR ; CONCOR; NOT FOUND; CPR 1.25 MG x 28; M_S
58383; CONCOR ; CONCOR; NOT FOUND; CPR 10 MG x 14; M_S
64868; CONCOR ; CONCOR; NOT FOUND; CPR 10 MG x 28; M_S
58381; CONCOR ; CONCOR; NOT FOUND; CPR 2.50 MG x 14; M_S
64866; CONCOR ; CONCOR; NOT FOUND; CPR 2.50 MG x 28; M_S
58382; CONCOR ; CONCOR; NOT FOUND; CPR 5 MG x 14; M_S
64867; CONCOR ; CONCOR; NOT FOUND; CPR 5 MG x 28; M_S
88991; CONCOR HCT ; CONCOR HCT; NOT FOUND; CPR REVEST 10 MG x 30 (/25); M_S
88986; CONCOR HCT ; CONCOR HCT; NOT FOUND; CPR REVEST 5 MG x 30 (/12.); M_S
84645; CORABION HC ; CORABION HC; NOT FOUND; CAPS 1100 MG x 60; M_S
84647; CORABION HC ; CORABION HC; NOT FOUND; CAPS 550 MG x 60; M_S
52076; CR.UNIVERSAL ; CR UNIVERSAL; NOT FOUND; CREME 60 G x 1; M_S
54747; CR.UNIVERSAL ; CR UNIVERSAL; NOT FOUND; CREME C/FRAG 60 G x 1; M_S
72994; CR.UNIVERSAL ; CR UNIVERSAL; NOT FOUND; GEL CR.FPS20 45 G x 1; M_S
81174; CR.UNIVERSAL ; CR UNIVERSAL; NOT FOUND; GEL CR.FPS30 45 ML x 1; M_S
69419; CR.UNIVERSAL BABY ; CR UNIVERSAL BABY; NOT FOUND; CREME BABY 45 G x 1; M_S
57712; CRINONE ; CRINONE; NOT FOUND; G.V.P.EN15AP 1.12 G x 1; M_S
57711; CRINONE ; CRINONE; NOT FOUND; G.V.P.EN7APL 1.12 G x 1; M_S
