77104, MICOF.MOFETILA MG , MICOF MOFETILA, MICOFENOLATO MOFETILA, CPR REVEST 500 MG x 500, A1F
30857, MINIDEX , MINIDEX, NOT FOUND, SOLN OFTAL 0.50 MG 5 ML x 1 (/ML), ALC

6618, MAXITROL , MAXITROL, NOT FOUND, SOLN OFTAL 5 ML x 1, ALC

58965, MALEATO TIMOLOL MG , MALEATO TIMOLOL, MALEATO TIMOLOL, SOLN OFTAL 0.50 % 10 ML x 1, ALL

58748, MALEATO TIMOLOL MG , MALEATO TIMOLOL, MALEATO TIMOLOL, SOLN OFTAL 0.25 % 5 ML x 1, ALL

58749, MALEATO TIMOLOL MG , MALEATO TIMOLOL, MALEATO TIMOLOL, SOLN OFTAL 0.50 % 5 ML x 1, ALL

30443, MIRABEL , MIRABEL, NOT FOUND, COLIRIO 10 ML x 1, ALL

55540, MIOSAN , MIOSAN, NOT FOUND, CPR REVEST 10 MG x 30, APS

99990, MIOSAN CAF , MIOSAN CAF, NOT FOUND, CPR REVEST 5 MG x 4 (/30), APS

66365, MECLIN , MECLIN, NOT FOUND, CPR 50 MG x 15, APS

99989, MIOSAN CAF , MIOSAN CAF, NOT FOUND, CPR REVEST 10 MG x 4 (/60), APS

74002, MENTALIV , MENTALIV, NOT FOUND, CAPS GELATIN 200 MG x 60, APS

53264, MOMENT , MOMENT, NOT FOUND, CREME 0.025 % 50 G x 1, APS

50660, MIODRINA , MIODRINA, NOT FOUND, CPR 10 MG x 20, APS

76430, MIOSAN CAF , MIOSAN CAF, NOT FOUND, CPR REVEST 10 MG x 15 (/60), APS

52279, METENAN , METENAN, NOT FOUND, CPR 5 MG x 30, APS

54686, METENAN , METENAN, NOT FOUND, F.AMP 5 MG 1 ML x 6 (/ML), APS

63149, MOMENT , MOMENT, NOT FOUND, LOC. 0.025 % 60 ML x 1, APS

55541, MIOSAN , MIOSAN, NOT FOUND, CPR REVEST 5 MG x 30, APS

54687, METENAN , METENAN, NOT FOUND, CPR 25 MG x 30, APS

53265, MOMENT , MOMENT, NOT FOUND, CREME 0.075 % 50 G x 1, APS

99016, MIOSAN , MIOSAN, NOT FOUND, CPR REVEST 5 MG x 4, APS

76429, MIOSAN CAF , MIOSAN CAF, NOT FOUND, CPR REVEST 5 MG x 15 (/30), APS

66512, MIOSAN , MIOSAN, NOT FOUND, CPR REVEST 5 MG x 10, APS

66513, MIOSAN , MIOSAN, NOT FOUND, CPR REVEST 10 MG x 10, APS

77276, MENTALIV , MENTALIV, NOT FOUND, CAPS GELATIN 200 MG x 20, APS

103008, MENTALIV , MENTALIV, NOT FOUND, CAPS GELATIN 200 MG x 10, APS

62805, MECLIN , MECLIN, NOT FOUND, CPR 25 MG x 15, APS

52280, METENAN , METENAN, NOT FOUND, CPR 10 MG x 30, APS

6684, MEMORIOL B-6 200 , MEMORIOL B 6 200, NOT FOUND, DRAG x 20, BAL

74231, METADOXIL , METADOXIL, NOT FOUND, CPR 500 MG x 30, BAL

46132, MONOCORDIL , MONOCORDIL, NOT FOUND, CPR 40 MG x 20, BAL

50894, MONOCORDIL , MONOCORDIL, NOT FOUND, CAPS RETARD 50 MG x 24, BAL

46275, MONOCORDIL , MONOCORDIL, NOT FOUND, CPR 20 MG x 20, BAL

51837, MONOCORDIL , MONOCORDIL, NOT FOUND, CPR SUBLING. 5 MG x 30, BAL

72495, MONOCORDIL , MONOCORDIL, NOT FOUND, CAPS RETARD 50 MG x 30, BAL

48566, MONOCORDIL , MONOCORDIL, NOT FOUND, AMP.INFUSION 10 MG 1 ML x 50, BAL

58030, MONOCORDIL , MONOCORDIL, NOT FOUND, CPR 40 MG x 30, BAL

57766, MONOCORDIL , MONOCORDIL, NOT FOUND, CPR 20 MG x 30, BAL

72476, METRONIFLEX , METRONIFLEX, NOT FOUND, SOL INJ BOLS 500 MG 100 ML x 72, BAX

54269, MITEXAN , MITEXAN, NOT FOUND, CPR 400 MG x 20, BAX

47095, MITEXAN , MITEXAN, NOT FOUND, A.IV 400 MG 4 ML x 10, BAX

54270, MITEXAN , MITEXAN, NOT FOUND, CPR 600 MG x 20, BAX

62759, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, XAR. 2 MG 120 ML x 1 (/5ML), BF8

75040, MESI.DOXAZOSINA MG , MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 2 MG x 30, BF8

62757, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, CPR 2 MG x 20, BF8

64430, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 5 MG x 30, BF8

69183, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, XAROPE 120 ML x 1, BF8

64431, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 10 MG x 30, BF8

64432, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 20 MG x 30, BF8

63977, METFORDIN , METFORDIN, NOT FOUND, CPR 500 MG x 30, BFR

62715, METROTIX , METROTIX, NOT FOUND, GEL. VAG. 100 MG 50 G x 1 (/G), BFR

67955, MACROZOL , MACROZOL, NOT FOUND, CAPS 40 MG x 7, BFR

63978, METFORDIN , METFORDIN, NOT FOUND, CPR 850 MG x 30, BFR

64333, MICOSBEL , MICOSBEL, NOT FOUND, SABAO 50 MG 60 G x 1 (/G), BLF

42659, MICOSBEL , MICOSBEL, NOT FOUND, POM. 30 G x 1, BLF

77142, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, SUSP ORAL 20 MG 30 ML x 1 (/ML), BLF

64332, MICOSBEL , MICOSBEL, NOT FOUND, LOC. 50 MG 30 G x 1 (/ML), BLF

77676, METRONIDAZOL MG , METRONIDAZOL, METRONIDAZOL, GEL VAG+10AP 500 MG 50 G x 1 (/5G), BLF

75716, MICOSBEL , MICOSBEL, NOT FOUND, SABAO 50 MG 75 G x 1 (/G), BLF

64331, MICOSBEL , MICOSBEL, NOT FOUND, SUSP ORAL 250 MG 60 ML x 1 (/ML), BLF

54879, MEBENDAZOL , MEBENDAZOL, MEBENDAZOL, SUSP 100 MG 30 ML x 1 (/5ML), BLF

45282, MANITOL , MANITOL, MANITOL, SOLN INJ. 20 % 250 ML x 1, BME

74916, MANITOL , MANITOL, MANITOL, SOL INJ S/F 20 % 250 ML x 30, BME

30594, MITOCIN , MITOCIN, NOT FOUND, F AMP LIO IV 5 MG x 1, BMS

6861, MICOSTATIN , MICOSTATIN, NOT FOUND, CREME VAG. 100 K 60 G x 1, BMS

48476, MONOPRIL , MONOPRIL, NOT FOUND, CPR 10 MG x 16, BMS

98180, MICOSTATIN , MICOSTATIN, NOT FOUND, SUSP DOSES 100 K 60 ML x 1 (/ML), BMS

62259, MAXCEF , MAXCEF, NOT FOUND, SF FA+10BOLS 1 G 100 ML x 10, BMS

55389, MONOPRIL , MONOPRIL, NOT FOUND, CPR 20 MG x 30, BMS

57544, MONOPLUS , MONOPLUS, NOT FOUND, CPR 12.5 MG x 30 (/10), BMS

57543, MONOPLUS , MONOPLUS, NOT FOUND, CPR 12.5 MG x 16 (/10), BMS

55388, MONOPRIL , MONOPRIL, NOT FOUND, CPR 10 MG x 30, BMS

51138, MAXCEF , MAXCEF, NOT FOUND, F.IV 2 G x 1, BMS

29224, MICOSTATIN , MICOSTATIN, NOT FOUND, DRAG 500 K x 16, BMS

29046, MICOSTATIN , MICOSTATIN, NOT FOUND, SUSP DOSES 100 K 50 ML x 1, BMS

62260, MAXCEF , MAXCEF, NOT FOUND, SF FA+10BOLS 2 G 100 ML x 10, BMS

51140, MAXCEF , MAXCEF, NOT FOUND, F.AMP SOLV 1 G 3 ML x 1, BMS

46131, MEGESTAT , MEGESTAT, NOT FOUND, CPR 160 MG x 30, BMS

68853, MIODON , MIODON, NOT FOUND, CPR REVEST 200 MG x 30, BS2

93333, MP DRY , MP DRY, NOT FOUND, LOC A T M PE 60 ML x 1, BS2

74962, MATERSKIN PG , MATERSKIN PG, NOT FOUND, CREME GEL 120 G x 1, BS2

76611, MATERSKIN , MATERSKIN, NOT FOUND, LOC FOT FP30 150 ML x 1, BS2

73394, MIODON , MIODON, NOT FOUND, AMP. 50 MG 3 ML x 50, BS2

80442, MATERTABS , MATERTABS, NOT FOUND, CPR x 60, BS2

74961, MATERSKIN , MATERSKIN, NOT FOUND, LOC. 200 G x 1, BS2

73843, MATER CARE , MATER CARE, NOT FOUND, CREME 60 G x 1, BS2

62197, MATERSKIN , MATERSKIN, NOT FOUND, LOC. 120 G x 1, BS2

68852, MIODON , MIODON, NOT FOUND, CPR REVEST 100 MG x 30, BS2

69959, METREXATO , METREXATO, NOT FOUND, CPR 2.50 MG x 24, BU_

55074, MAGNOSTON , MAGNOSTON, NOT FOUND, AMP. 50 % 10 ML x 100, BU_

55073, MAGNOSTON , MAGNOSTON, NOT FOUND, AMP. 10 % 10 ML x 100, BU_

75950, MESNA MG , MESNA, MESNA, F.AMP 100 MG 4 ML x 50 (/ML), BU_

61267, METREXATO , METREXATO, NOT FOUND, CPR 2.50 MG x 25, BU_

33629, MINOTON , MINOTON, NOT FOUND, AMP. 240 MG 10 ML x 100, BU_

58430, MIRENA , MIRENA, NOT FOUND, DIU x 1, BYP

59510, MIRELLE , MIRELLE, NOT FOUND, CPR REVEST x 24, BYP

73724, MIRANOVA , MIRANOVA, NOT FOUND, DRAG x 21, BYP

72722, MAGNEVISTAN , MAGNEVISTAN, NOT FOUND, F.IV 469 MG 15 ML x 10 (/ML), BYP

28320, MICROVLAR , MICROVLAR, NOT FOUND, DRAG x 21, BYP

114405, MIRANOVA , MIRANOVA, NOT FOUND, DRAG x 63, BYP

72721, MAGNEVISTAN , MAGNEVISTAN, NOT FOUND, F.IV 469 MG 10 ML x 10 (/ML), BYP

52031, MESIGYNA , MESIGYNA, NOT FOUND, AMP SER PRE 1 ML x 1, BYP

61616, MICARDIS HCT , MICARDIS HCT, NOT FOUND, CPR 80 MG x 28 (/12), B_I

56196, MICARDIS , MICARDIS, NOT FOUND, CPR 80 MG x 14, B_I

61613, MICARDIS HCT , MICARDIS HCT, NOT FOUND, CPR 40 MG x 14 (/12), B_I

32976, MUCOSOLVAN , MUCOSOLVAN, NOT FOUND, GOTAS 7.50 MG 50 ML x 1 (/ML), B_I

48122, MUCOSOLVAN , MUCOSOLVAN, NOT FOUND, XAR. INF 15 MG 120 ML x 1 (/5ML), B_I

86894, MICARDIS HCT , MICARDIS HCT, NOT FOUND, CPR 80 MG x 30 (/12), B_I

49236, MEXITIL , MEXITIL, NOT FOUND, CPR 100 MG x 20, B_I

48123, MUCOSOLVAN , MUCOSOLVAN, NOT FOUND, XAR. AD 30 MG 120 ML x 1 (/5ML), B_I

82790, MICARDIS ANLO , MICARDIS ANLO, NOT FOUND, CPR 80 MG x 30 (/5), B_I

86889, MICARDIS , MICARDIS, NOT FOUND, CPR 80 MG x 30, B_I

52134, MOVATEC , MOVATEC, NOT FOUND, CPR 15 MG x 10, B_I

82794, MICARDIS ANLO , MICARDIS ANLO, NOT FOUND, CPR 80 MG x 30 (/10), B_I

52034, MOVATEC , MOVATEC, NOT FOUND, A.IM 15 MG 1.50 ML x 5, B_I

86892, MICARDIS HCT , MICARDIS HCT, NOT FOUND, CPR 40 MG x 30 (/12), B_I

86891, MICARDIS , MICARDIS, NOT FOUND, CPR 80 MG x 10, B_I

51437, MOVATEC , MOVATEC, NOT FOUND, CPR 7.50 MG x 10, B_I

86886, MICARDIS , MICARDIS, NOT FOUND, CPR 40 MG x 30, B_I

86887, MICARDIS , MICARDIS, NOT FOUND, CPR 40 MG x 10, B_I

61871, MICARDIS , MICARDIS, NOT FOUND, CPR 80 MG x 28, B_I

61615, MICARDIS HCT , MICARDIS HCT, NOT FOUND, CPR 80 MG x 14 (/12), B_I

75655, MUCOANGIN , MUCOANGIN, NOT FOUND, PASTILHAS 20 MG x 12, B_I

51258, MIDOTENS , MIDOTENS, NOT FOUND, CPR 4 MG x 14, B_I

32547, MEXITIL , MEXITIL, NOT FOUND, CPR 200 MG x 30, B_I

82785, MICARDIS ANLO , MICARDIS ANLO, NOT FOUND, CPR 40 MG x 30 (/10), B_I

86844, MICARDIS HCT , MICARDIS HCT, NOT FOUND, CPR 80 MG x 30 (/25), B_I

68342, METALYSE , METALYSE, NOT FOUND, F.AMP LIOF 50 MG 10 ML x 1, B_I

56194, MICARDIS , MICARDIS, NOT FOUND, CPR 40 MG x 14, B_I

61651, METALYSE , METALYSE, NOT FOUND, F.AMP LIOF 40 MG 8 ML x 1, B_I

75656, MUCOSOLVAN , MUCOSOLVAN, NOT FOUND, CAPS 24H 75 MG x 10, B_I

82783, MICARDIS ANLO , MICARDIS ANLO, NOT FOUND, CPR 40 MG x 30 (/5), B_I

76613, MICARDIS HCT , MICARDIS HCT, NOT FOUND, CPR 25 MG x 28 (/80), B_I

56195, MICARDIS , MICARDIS, NOT FOUND, CPR 40 MG x 28, B_I

76612, MICARDIS HCT , MICARDIS HCT, NOT FOUND, CPR 25 MG x 14 (/80), B_I

82616, MICARDIS ANLO , MICARDIS ANLO, NOT FOUND, CPR 40 MG x 10 (/5), B_I

82788, MICARDIS ANLO , MICARDIS ANLO, NOT FOUND, CPR 80 MG x 10 (/5), B_I

61614, MICARDIS HCT , MICARDIS HCT, NOT FOUND, CPR 40 MG x 28 (/12), B_I

74917, MINERILAX , MINERILAX, NOT FOUND, LIQD 100 ML x 1, C6R

48209, MICOTIAZOL , MICOTIAZOL, NOT FOUND, LIQD 50 ML x 1, CAZ

54268, MICLONAZOL , MICLONAZOL, NOT FOUND, CREME 20 G x 1, CAZ

55243, METRONIL , METRONIL, NOT FOUND, GEL VAG C/AP 50 G x 1, CAZ

46818, MICOPLEX , MICOPLEX, NOT FOUND, POM. 45 G x 1, CAZ

61310, MEPRAZAN , MEPRAZAN, NOT FOUND, CAPS GELATIN 20 MG x 14, CAZ

69956, MENOPRIN , MENOPRIN, NOT FOUND, DRAG 0.625 MG x 28, CF2

56745, MUCOLIX , MUCOLIX, NOT FOUND, XAR. PED. 100 MG 100 ML x 1 (/5ML), CF2

59083, MINEROVIT , MINEROVIT, NOT FOUND, CPR REVEST x 30, CF2

69955, MENOPRIN , MENOPRIN, NOT FOUND, DRAG 0.625 MG x 21, CF2

56615, MUCOLIX , MUCOLIX, NOT FOUND, GOTAS 50 MG 20 ML x 1 (/ML), CF2

56744, MUCOLIX , MUCOLIX, NOT FOUND, XAR. AD 100 ML x 1, CF2

77758, MALEA ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 10 MG x 30, CM5

69352, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, CPR 100 MG x 6, CM5

152925, MAX DAY AZ , MAX DAY AZ, NOT FOUND, CAPS POLI MI x 60, CM5

120298, MENTALOL , MENTALOL, NOT FOUND, DISPLAY 12 G x 12, CM5

69433, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, XAROPE 120 ML x 1, CM5

71999, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, SUSP 20 MG 30 ML x 1, CM5

55645, MEBENIX , MEBENIX, NOT FOUND, CPR MASC 400 MG x 1, CM5

67577, MENTALOL , MENTALOL, NOT FOUND, UNGT 30 G x 1, CM5

65165, MEME , MEME, NOT FOUND, CREME 50 G x 1, CM5

76758, METRONIDAZOL MG , METRONIDAZOL, METRONIDAZOL, GEL. VAG. 100 MG 50 G x 1 (/G), CM5

152928, MAX DAY SENIOR , MAX DAY SENIOR, NOT FOUND, CAPS x 60, CM5

155900, MAX DAY OMEGA 3 , MAX DAY OMEGA 3, NOT FOUND, CAPS x 60, CM5

61398, METFORMED , METFORMED, NOT FOUND, CPR 500 MG x 30, CM5

155899, MAX DAY CALCIO , MAX DAY CALCIO, NOT FOUND, CAPS x 60, CM5

61399, METFORMED , METFORMED, NOT FOUND, CPR 850 MG x 30, CM5

75754, MENTALOL , MENTALOL, NOT FOUND, DISPLAY 12 G x 24, CM5

159001, MAGNAZIA , MAGNAZIA, NOT FOUND, CPR MAST ABA x 30, CM5

49281, MEBENIX , MEBENIX, NOT FOUND, SUSP 4 % 10 ML x 1, CM5

77971, MALEA ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 20 MG x 30, CM5

70276, MAGNAZIA , MAGNAZIA, NOT FOUND, SUSP 240 ML x 1, CM5

76726, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, XAROPE 2 MG 120 ML x 1 (/5ML), CM5

59777, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, XAROPE 120 ML x 1, CT6

154080, MATERPLENA GEST , MATERPLENA GEST, NOT FOUND, CPR x 30, CT6

52284, MYTEDOM , MYTEDOM, NOT FOUND, AMP. 10 MG 1 ML x 10, CT6

59910, MIOCORON , MIOCORON, NOT FOUND, CPR 200 MG x 200, CT6

159924, MATERPLENA LACT , MATERPLENA LACT, NOT FOUND, CPR x 30, CT6

52286, MYTEDOM , MYTEDOM, NOT FOUND, CPR 10 MG x 20, CT6

53818, MINEROLEO , MINEROLEO, NOT FOUND, LIQD 100 % 100 ML x 1, CT6

58423, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, CPR 100 MG x 6, CT6

58964, MALEATO TIMOLOL MG , MALEATO TIMOLOL, MALEATO TIMOLOL, SOLN OFTAL 0.50 % 5 ML x 1, CT6

52285, MYTEDOM , MYTEDOM, NOT FOUND, CPR 5 MG x 20, CT6

58281, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, SOLN ORAL 0.40 MG 120 ML x 1 (, CT6

58282, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, SUSP ORAL 100 MG 30 ML x 1 (/5ML), CT6

