274484; VITELINATO DE PRATA; VITELINATO PRATA; VITELINATO PRATA; 1 %. SOLUCAO OFTALMICA; NO_ACR; FRASCO; 10.00 ML

278483; VITAMINAS DO COMPLEXO B; VITAMINAS DO COMPLEXO B; NOT FOUND; VITAMINAS: B1.B2.B6.B12 E PP. SOLUCAO ORAL; NO_ACR; COMPRIMIDO; 0

396109; VACINA HUMANA; VACINA HUMANA; NOT FOUND; CONTRA INFLUENZA. FRAGMENTADA E INATIVADA. CEPAS SIMILARES AO TIPO A (H1N1 + H3N2) E TIPO B. SUSPENSAO INJETAVEL; NO_ACR; SERINGA; 0

328529; VALPROATO DE SÃDIO; VALPROATO SODIO; VALPROATO SODIO; 250 MG; NO_ACR; COMPRIMIDO; 0

426091; VANDETANIBE; VANDETANIBE; VANDETANIBE; 300 MG; NO_ACR; COMPRIMIDO; 0

318725; VACINA HUMANA; VACINA HUMANA; NOT FOUND; ROTAVIRUS HUMANO. SUSPENSAO ORAL; NO_ACR; DOSE(S); 0

276041; VACINA HUMANA; VACINA HUMANA; NOT FOUND; ANTIGRIPAL. AQUOSA. 0.50 ML. INJETAVEL; NO_ACR; AMPOLA; 0.50 ML

306146; VALSARTANA; VALSARTANA; VALSARTANA; 320 MG; NO_ACR; COMPRIMIDO; 0

327275; VACINA HUMANA; VACINA HUMANA; NOT FOUND; VIRUS VIVO ATENUADO POLIOMIELITE TIPO I. II E III. SUSPENSAO ORAL; NO_ACR; FRASCO; 1656.00 ML

394770; VACINA HUMANA; VACINA HUMANA; NOT FOUND; CONTRA HPV ONCOGENICO (16 E 18). RECOMBINANTE. COM ADJUVANTE ASO4. 20 MCG. MONODOSE. SUSPENSAO INJETAVEL; NO_ACR; AMPOLA; 0.50 ML

272382; VENLAFAXINA; VENLAFAXINA; VENLAFAXINA; SAL CLORIDRATO. 75 MG; NO_ACR; CÃPSULA; 0

338297; VORICONAZOL; VORICONAZOL; VORICONAZOL; 200 MG; NO_ACR; COMPRIMIDO; 0

269569; VECURÃNIO BROMETO; VECURONIO BROMETO; NOT FOUND; 10 MG. INJETAVEL; NO_ACR; FRASCO-AMPOLA; 0

328535; VALPROATO DE SÃDIO; VALPROATO SODIO; VALPROATO SODIO; 200 MG/ML. SOLUCAO ORAL; NO_ACR; FRASCO; 100.00 ML

328530; VALPROATO DE SÃDIO; VALPROATO SODIO; VALPROATO SODIO; 500 MG; NO_ACR; FRASCO; 100.00 ML

272091; VITAMINAS DO COMPLEXO B; VITAMINAS DO COMPLEXO B; NOT FOUND; VITAMINAS: B1.B2.B6.B12 E PP. SOLUCAO INJETAVEL; NO_ACR; DRÃGEA; 0

274438; VALSARTANA; VALSARTANA; VALSARTANA; 80 MG; NO_ACR; COMPRIMIDO; 0

272380; VENLAFAXINA; VENLAFAXINA; VENLAFAXINA; SAL CLORIDRATO. 150 MG. LIBERACAO CONTROLADA; NO_ACR; COMPRIMIDO; 0

394769; VACINA HUMANA; VACINA HUMANA; NOT FOUND; CONTRA HEPATITE A. ADSORVIDA. INATIVADA. 720 U.EL / 0.5ML. SUSPENSAO INJETAVEL; NO_ACR; AMPOLA; 0.50 ML

276041; VACINA HUMANA; VACINA HUMANA; NOT FOUND; ANTIGRIPAL. AQUOSA. 0.50 ML. INJETAVEL; NO_ACR; FRASCO; 0.50 ML

425540; VACINA HUMANA; VACINA HUMANA; NOT FOUND; ACAROS MIX(D.PTERONYSSINUS.D.FARINAE.B.TROPICALIS). P/IMUNOTERAPIA. 1:100.000. DEPOT; NO_ACR; FRASCO-AMPOLA; 0

418793; VEMURAFENIBE; VEMURAFENIBE; VEMURAFENIBE; 240 MG; NO_ACR; COMPRIMIDO; 0

278483; VITAMINAS DO COMPLEXO B; VITAMINAS DO COMPLEXO B; NOT FOUND; VITAMINAS: B1.B2.B6.B12 E PP. SOLUCAO ORAL; NO_ACR; FRASCO; 20.00 ML

427485; VANDETANIBE; VANDETANIBE; VANDETANIBE; 100 MG; NO_ACR; COMPRIMIDO; 0

274567; VITAMINAS DO COMPLEXO B; VITAMINAS DO COMPLEXO B; NOT FOUND; B1 + B6 + B12. SOLUCAO INJETAVEL; NO_ACR; DRÃGEA; 0

393344; VACINA HUMANA; VACINA HUMANA; NOT FOUND; PARA IMUNOTERAPIA. MIX BACTERIANA. EM GEL DE HIDROXIDO DE ALUMINIO. 100.000 PNU/ML. DEPOT; NO_ACR; FRASCO; 6.00 ML

349269; VACINA HUMANA; VACINA HUMANA; NOT FOUND; CONTRA RAIVA EM CELULAS VERO. DOSE IMUNIZANTE EM 0.5 ML. PO LIOFILO P/ INJETAVEL + DILUENTE; NO_ACR; FRASCO; 25.00 DOSE(S)

394769; VACINA HUMANA; VACINA HUMANA; NOT FOUND; CONTRA HEPATITE A. ADSORVIDA. INATIVADA. 720 U.EL / 0.5ML. SUSPENSAO INJETAVEL; NO_ACR; SERINGA; 0

349269; VACINA HUMANA; VACINA HUMANA; NOT FOUND; CONTRA RAIVA EM CELULAS VERO. DOSE IMUNIZANTE EM 0.5 ML. PO LIOFILO P/ INJETAVEL + DILUENTE; NO_ACR; SERINGA; 0

272091; VITAMINAS DO COMPLEXO B; VITAMINAS DO COMPLEXO B; NOT FOUND; VITAMINAS: B1.B2.B6.B12 E PP. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 100.00 ML

394770; VACINA HUMANA; VACINA HUMANA; NOT FOUND; CONTRA HPV ONCOGENICO (16 E 18). RECOMBINANTE. COM ADJUVANTE ASO4. 20 MCG. MONODOSE. SUSPENSAO INJETAVEL; NO_ACR; SERINGA; 0

383790; VINORELBINA; VINORELBINA; VINORELBINA; SAL TARTARATO. 30 MG; NO_ACR; CÃPSULA; 0

268542; VIMBLASTINA; VIMBLASTINA; VIMBLASTINA; 10 MG. INJETAVEL; NO_ACR; FRASCO-AMPOLA; 0

276041; VACINA HUMANA; VACINA HUMANA; NOT FOUND; ANTIGRIPAL. AQUOSA. 0.50 ML. INJETAVEL; NO_ACR; SERINGA; 0.50 ML

340117; VARENICLINA TARTARATO; VARENICLINA TARTARATO; NOT FOUND; 0.5 MG; NO_ACR; COMPRIMIDO; 0

274568; VITAMINAS DO COMPLEXO B; VITAMINAS DO COMPLEXO B; NOT FOUND; B7 + B9 + B12. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 2.00 ML

368499; VITAMINAS DO COMPLEXO B; VITAMINAS DO COMPLEXO B; NOT FOUND; B1.B2.B3.B5.B6; NO_ACR; AMPOLA; 2.00 ML

340118; VARENICLINA TARTARATO; VARENICLINA TARTARATO; NOT FOUND; 1 MG; NO_ACR; COMPRIMIDO; 0

407033; VALPROATO DE SÃDIO; VALPROATO SODIO; VALPROATO SODIO; ASSOCIADO AO ACIDO VALPROICO. 199.8 MG + 87 MG; NO_ACR; COMPRIMIDO; 0

294729; VORICONAZOL; VORICONAZOL; VORICONAZOL; 50 MG; NO_ACR; COMPRIMIDO; 0

411872; VACINA HUMANA; VACINA HUMANA; NOT FOUND; PNEUMOCOCICA POLISSACARIDA. 23-VALENTE. MONODOSE. SOLUCAO INJETAVEL. C/ SISTEMA DE PREPARO E APLICACAO; NO_ACR; SERINGA; 0

274567; VITAMINAS DO COMPLEXO B; VITAMINAS DO COMPLEXO B; NOT FOUND; B1 + B6 + B12. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 2.00 ML

328532; VALPROATO DE SÃDIO; VALPROATO SODIO; VALPROATO SODIO; 50 MG/ML. XAROPE; NO_ACR; FRASCO; 5.00 ML

328529; VALPROATO DE SÃDIO; VALPROATO SODIO; VALPROATO SODIO; 250 MG; NO_ACR; CÃPSULA; 0

370525; VALSARTANA; VALSARTANA; VALSARTANA; ASSOCIADO A HIDROCLOROTIAZIDA. 160 MG + 25 MG; NO_ACR; COMPRIMIDO; 0

424391; VINFLUNINA; VINFLUNINA; VINFLUNINA; 25 MG/ML. SOLUCAO P/ INFUSAO INJETAVEL; NO_ACR; FRASCO; 2.00 ML

362802; VILDAGLIPTINA; VILDAGLIPTINA; VILDAGLIPTINA; 50 MG; NO_ACR; COMPRIMIDO; 0

272091; VITAMINAS DO COMPLEXO B; VITAMINAS DO COMPLEXO B; NOT FOUND; VITAMINAS: B1.B2.B6.B12 E PP. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 2.00 ML

332917; VASOPRESSINA; VASOPRESSINA; VASOPRESSINA; 20 UI/ML. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 1.00 ML

425538; VACINA HUMANA; VACINA HUMANA; NOT FOUND; ACAROS MIX(D.PTERONYSSINUS.D.FARINAE.B.TROPICALIS). P/IMUNOTERAPIA. DILUICAO 1/1.000.000. DEPOT; NO_ACR; FRASCO-AMPOLA; 0

361507; VACINA HUMANA; VACINA HUMANA; NOT FOUND; ANTI-HPV (PAPILOMA VIRUS). TETRAVALENTE. MONODOSE. SUSPENSAO INJETAVEL. SERINGA PREENCHIDA; NO_ACR; SERINGA; 0

267573; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 120 MG. ACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272381; VENLAFAXINA; VENLAFAXINA; VENLAFAXINA; SAL CLORIDRATO. 37.5 MG; NO_ACR; COMPRIMIDO; 0

273593; VIOLETA DE GENCIANA; VIOLETA GENCIANA; NOT FOUND; SOLUCAO A 1%. USO TOPICO; NO_ACR; FRASCO; 30.00 ML

328529; VALPROATO DE SÃDIO; VALPROATO SODIO; VALPROATO SODIO; 250 MG; NO_ACR; FRASCO; 5.00 ML

273593; VIOLETA DE GENCIANA; VIOLETA GENCIANA; NOT FOUND; SOLUCAO A 1%. USO TOPICO; NO_ACR; FRASCO; 1000.00 ML

406975; VALPROATO DE SÃDIO; VALPROATO SODIO; VALPROATO SODIO; 100 MG/ML. SOLUCAO INJETAVEL; NO_ACR; COMPRIMIDO; 0

338046; VACINA HUMANA; VACINA HUMANA; NOT FOUND; CONTRA VIRUS DA HEPATITE B. RECOMBINANTE. 20 MCG/ML. SUSPENSAO INJETAVEL; NO_ACR; DOSE(S); 0

268540; VANCOMICINA CLORIDRATO; VANCOMICINA CLORIDRATO; NOT FOUND; 500 MG. INJETAVEL; NO_ACR; CONJUNTO; 0

394772; VACINA HUMANA; VACINA HUMANA; NOT FOUND; CONTRA SARAMPO. CAXUMBA. RUBEOLA E VARICELA. TETRAVIRAL. MONODOSE. PO LIOFILO P/ INJETAVEL; NO_ACR; DOSE(S); 0

272092; VITAMINAS DO COMPLEXO B; VITAMINAS DO COMPLEXO B; NOT FOUND; VITAMINAS: B1.B2.B6.B12 E PP. SOLUCAO ORAL - GOTAS; NO_ACR; FRASCO; 100.00 ML

340122; VARENICLINA TARTARATO; VARENICLINA TARTARATO; NOT FOUND; 0.5 MG + 1 MG. 11 + 154 UNIDADES; NO_ACR; COMPRIMIDO; 0

383786; VINORELBINA; VINORELBINA; VINORELBINA; SAL TARTARATO. 10 MG/ML. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 1.00 ML

352226; VACINA HUMANA; VACINA HUMANA; NOT FOUND; PNEUMOCOCICA POLISSACARIDA. 23-VALENTE. MONODOSE. SUSPENSAO INJETAVEL. C/ SISTEMA DE PREPARO E APLICACAO; NO_ACR; SERINGA; 0.50 ML

276041; VACINA HUMANA; VACINA HUMANA; NOT FOUND; ANTIGRIPAL. AQUOSA. 0.50 ML. INJETAVEL; NO_ACR; FRASCO; 10.00 DOSE(S)

401225; VACINA HUMANA; VACINA HUMANA; NOT FOUND; ADSORVIDA. DTP (DIFTERIA. TETANO E PERTUSSIS). SUSPENSAO INJETAVEL; NO_ACR; AMPOLA; 0.50 ML

278483; VITAMINAS DO COMPLEXO B; VITAMINAS DO COMPLEXO B; NOT FOUND; VITAMINAS: B1.B2.B6.B12 E PP. SOLUCAO ORAL; NO_ACR; AMPOLA; 2.00 ML

272093; VITAMINAS DO COMPLEXO B; VITAMINAS DO COMPLEXO B; NOT FOUND; B1 - 5 MG. B2 - 2MG. B6 - 2MG. B5 - 3MG. PP - 20MG; NO_ACR; AMPOLA; 2.00 ML

368499; VITAMINAS DO COMPLEXO B; VITAMINAS DO COMPLEXO B; NOT FOUND; B1.B2.B3.B5.B6; NO_ACR; COMPRIMIDO; 0

363068; VACINA HUMANA; VACINA HUMANA; NOT FOUND; POLIOMIELITE TIPOS I.II E III. INATIVADA. 40 UD + 8 UD + 32 UD/DOSE. SUSPENSAO INJETAVEL; NO_ACR; FRASCO; 10.00 DOSE(S)

376357; VALSARTANA; VALSARTANA; VALSARTANA; 40 MG; NO_ACR; COMPRIMIDO; 0

292791; VALSARTANA; VALSARTANA; VALSARTANA; ASSOCIADO A HIDROCLOROTIAZIDA. 160 MG + 12.5 MG; NO_ACR; COMPRIMIDO; 0

272093; VITAMINAS DO COMPLEXO B; VITAMINAS DO COMPLEXO B; NOT FOUND; B1 - 5 MG. B2 - 2MG. B6 - 2MG. B5 - 3MG. PP - 20MG; NO_ACR; COMPRIMIDO; 0

327275; VACINA HUMANA; VACINA HUMANA; NOT FOUND; VIRUS VIVO ATENUADO POLIOMIELITE TIPO I. II E III. SUSPENSAO ORAL; NO_ACR; FRASCO; 20.00 DOSE(S)

272382; VENLAFAXINA; VENLAFAXINA; VENLAFAXINA; SAL CLORIDRATO. 75 MG; NO_ACR; COMPRIMIDO; 0

394768; VACINA HUMANA; VACINA HUMANA; NOT FOUND; CONTRA HEPATITE A. ADSORVIDA. INATIVADA. 1440 U.EL / 1ML. SUSPENSAO INJETAVEL; NO_ACR; SERINGA; 0

396695; VITAMINAS DO COMPLEXO B; VITAMINAS DO COMPLEXO B; NOT FOUND; COMPOSICAO MINIMA DE VITAMINAS: B1.B2.B3.B5 E B6. XAROPE; NO_ACR; FRASCO; 100.00 ML

406975; VALPROATO DE SÃDIO; VALPROATO SODIO; VALPROATO SODIO; 100 MG/ML. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 100.00 ML

268541; VANCOMICINA CLORIDRATO; VANCOMICINA CLORIDRATO; NOT FOUND; 1 G. INJETAVEL; NO_ACR; FRASCO-AMPOLA; 0

396109; VACINA HUMANA; VACINA HUMANA; NOT FOUND; CONTRA INFLUENZA. FRAGMENTADA E INATIVADA. CEPAS SIMILARES AO TIPO A (H1N1 + H3N2) E TIPO B. SUSPENSAO INJETAVEL; NO_ACR; SERINGA; 0.50 ML

394768; VACINA HUMANA; VACINA HUMANA; NOT FOUND; CONTRA HEPATITE A. ADSORVIDA. INATIVADA. 1440 U.EL / 1ML. SUSPENSAO INJETAVEL; NO_ACR; SERINGA; 1.00 ML

368254; VACINA HUMANA; VACINA HUMANA; NOT FOUND; BCG. MYCOBACTERIUM BOVIS - (BACILLUS CALMETTE-GUERIN). 81 MG. PO LIOFILO P/ INJETAVEL + DILUENTE; NO_ACR; FRASCO; 3.00 ML

318324; VACINA HUMANA; VACINA HUMANA; NOT FOUND; CONTRA MENINGITE MENINGOCOCICA. SOROGRUPOS (A + C) NEISSERIA MENINGITIDIS. 50 MCG + 50 MCG /DOSE DE 0.5ML. PO LIOFILO P/ INJETAVEL + DILUENTE; NO_ACR; FRASCO-AMPOLA; 0

423264; VACINA HUMANA; VACINA HUMANA; NOT FOUND; CONTRA HPV. CEPAS 6. 11. 16. 18 (QUADRIVALENTE). MONODOSE. SUSPENSAO INJETAVEL. RECOMBINANTE; NO_ACR; SERINGA; 0.50 ML

269568; VECURÃNIO BROMETO; VECURONIO BROMETO; NOT FOUND; 4 MG. INJETAVEL; NO_ACR; FRASCO-AMPOLA; 0

391484; VACINA HUMANA; VACINA HUMANA; NOT FOUND; PARA IMUNOTERAPIA. PROPIONIBACTERIUM PARVUM. 101o UFC/ML. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 6.00 ML

272380; VENLAFAXINA; VENLAFAXINA; VENLAFAXINA; SAL CLORIDRATO. 150 MG. LIBERACAO CONTROLADA; NO_ACR; CÃPSULA; 0

400436; VALPROATO DE SÃDIO; VALPROATO SODIO; VALPROATO SODIO; ASSOCIADO AO ACIDO VALPROICO. 333 MG + 145 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

276041; VACINA HUMANA; VACINA HUMANA; NOT FOUND; ANTIGRIPAL. AQUOSA. 0.50 ML. INJETAVEL; NO_ACR; SERINGA; 0

279271; VARFARINA SÃDICA; VARFARINA SODICA; VARFARINA SODICA; 1 MG; NO_ACR; COMPRIMIDO; 0

381294; VACINA HUMANA; VACINA HUMANA; NOT FOUND; PNEUMOCOCICA POLISSACARIDA 10-VALENTE CONJUGADA. POLISSACARIDEOS 1.4.5.6B.7F.9V.14.18C.19F E 23F. MONODOSE. SUSPENSAO INJETAVEL; NO_ACR; DOSE(S); 0

272093; VITAMINAS DO COMPLEXO B; VITAMINAS DO COMPLEXO B; NOT FOUND; B1 - 5 MG. B2 - 2MG. B6 - 2MG. B5 - 3MG. PP - 20MG; NO_ACR; DRÃGEA; 0

358969; VACINA HUMANA; VACINA HUMANA; NOT FOUND; PNEUMOCOCICA POLISSACARIDA 7-VALENTE CONJUGADA. SOROTIPOS 4.6B.9V.14.18C.19F E 23F DE S.PNEMONIAE. ASSOC. PROTEINA DIFTERICA CRM 197. 16MG DE POLISSACARIDES TOTAIS + 20MG CRM 197/0.5ML. SUSPENSAO INJETAVEL. COM SISTEMA DE APLICACAO. MO; NO_ACR; DOSE(S); 0

425539; VACINA HUMANA; VACINA HUMANA; NOT FOUND; ACAROS MIX(D.PTERONYSSINUS.D.FARINAE.B.TROPICALIS). P/IMUNOTERAPIA. 1:10.000. DEPOT; NO_ACR; FRASCO-AMPOLA; 0

333566; VACINA HUMANA; VACINA HUMANA; NOT FOUND; ACAROS E FUNGOS DO AR. 60% + 40%. NA DILUICAO 1/100. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 6.00 ML

272379; VENLAFAXINA; VENLAFAXINA; VENLAFAXINA; SAL CLORIDRATO. 75 MG. LIBERACAO CONTROLADA; NO_ACR; CÃPSULA; 0

272369; VALACICLOVIR; VALACICLOVIR; VALACICLOVIR; 500 MG; NO_ACR; COMPRIMIDO; 0

396557; VALSARTANA; VALSARTANA; VALSARTANA; ASSOCIADO A HIDROCLOROTIAZIDA. ANLODIPINO BESILATO. 160 MG + 12.5 MG + 5 MG; NO_ACR; COMPRIMIDO; 0

363088; VITAMINAS DO COMPLEXO B; VITAMINAS DO COMPLEXO B; NOT FOUND; B1. B2. B5. B6 E PP. SOLUCAO INJETAVEL; NO_ACR; DRÃGEA; 0

267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 2.00 ML

394768; VACINA HUMANA; VACINA HUMANA; NOT FOUND; CONTRA HEPATITE A. ADSORVIDA. INATIVADA. 1440 U.EL / 1ML. SUSPENSAO INJETAVEL; NO_ACR; FRASCO; 1.00 ML

328531; VALPROATO DE SÃDIO; VALPROATO SODIO; VALPROATO SODIO; 300 MG; NO_ACR; COMPRIMIDO; 0

383786; VINORELBINA; VINORELBINA; VINORELBINA; SAL TARTARATO. 10 MG/ML. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 5.00 ML

424391; VINFLUNINA; VINFLUNINA; VINFLUNINA; 25 MG/ML. SOLUCAO P/ INFUSAO INJETAVEL; NO_ACR; FRASCO; 10.00 ML

279270; VARFARINA SÃDICA; VARFARINA SODICA; VARFARINA SODICA; 2.5 MG; NO_ACR; COMPRIMIDO; 0

406975; VALPROATO DE SÃDIO; VALPROATO SODIO; VALPROATO SODIO; 100 MG/ML. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 5.00 ML

363088; VITAMINAS DO COMPLEXO B; VITAMINAS DO COMPLEXO B; NOT FOUND; B1. B2. B5. B6 E PP. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 2.00 ML

425537; VACINA HUMANA; VACINA HUMANA; NOT FOUND; ACAROS MIX(D.PTERONYSSINUS.D.FARINAE.B.TROPICALIS). P/IMUNOTERAPIA. DILUICAO 1/1.000. DEPOT; NO_ACR; FRASCO-AMPOLA; 0

267426; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 40 MG; NO_ACR; COMPRIMIDO; 0

286909; VACINA HUMANA; VACINA HUMANA; NOT FOUND; P/ IMUNOTERAPIA.DERMATOPHAGOIDES PTERONYSSINUS. 1.000 FTU/ML. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 6.00 ML

327275; VACINA HUMANA; VACINA HUMANA; NOT FOUND; VIRUS VIVO ATENUADO POLIOMIELITE TIPO I. II E III. SUSPENSAO ORAL; NO_ACR; FRASCO; 264.00 ML

