270591; BETAMETASONA; BETAMETASONA; BETAMETASONA; DIPROPIONATO. ASSOCIADA COM GENTAMICINA SULFATO. 0.5MG + 1MG/G. CREME; NO_ACR; BISNAGA; 10.00 G
396604; BIPERIDENO; BIPERIDENO; BIPERIDENO; CLORIDRATO. 5 MG/ML. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 1.00 ML

266706; BUDESONIDA; BUDESONIDA; BUDESONIDA; AEROSSOL NASAL. 32MCG/DOSE. FRASCO COM VaLVULA DOSIFICADORA; NO_ACR; FRASCO; 100.00 DOSE(S)

267590; BECLOMETASONA DIPROPIONATO; BECLOMETASONA DIPROPIONATO; NOT FOUND; SPRAY NASAL. 250MCG/DOSE. FRASCO DOSEADOR COM AEROGADOR NASAL; NO_ACR; CÃPSULA; 0

300253; BICARBONATO DE SÃDIO; BICARBONATO SODIO; BICARBONATO SODIO; ASSOCIADO COM ACIDO CITRICO E SULFATO DE MAGNESIO. 456 MG + 367 MG + 176.5 MG/G. PO EFERVESCENTE; NO_ACR; CÃPSULA; 0

270615; BENZILPENICILINA; BENZILPENICILINA; BENZILPENICILINA; POTASSICA. 1.000.000UI. INJETAVEL; NO_ACR; FRASCO; 2.00 ML

394088; BICARBONATO DE SÃDIO; BICARBONATO SODIO; BICARBONATO SODIO; 8.40%. SOLUCAO INJETAVEL. EM SISTEMA FECHADO; NO_ACR; FRASCO; 250.00 ML

272913; BENZOCAÃNA; BENZOCAINA; BENZOCAINA; 20%. GEL TOPICO; NO_ACR; FRASCO; 30.00 ML

407441; BECLOMETASONA DIPROPIONATO; BECLOMETASONA DIPROPIONATO; NOT FOUND; ASSOCIADA COM FORMOTEROL FUMARATO. 100 MCG + 6 MCG /DOSE. AEROSSOL ORAL; NO_ACR; FRASCO; 200.00 DOSE(S)

267589; BECLOMETASONA DIPROPIONATO; BECLOMETASONA DIPROPIONATO; NOT FOUND; PO PARA INALACAO ORAL. 400MCG/DOSE. FRASCO DOSEADOR COM BOCAL AEROGADOR; NO_ACR; FLACONETE; 2.00 ML

271774; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG; NO_ACR; COMPRIMIDO; 0

269822; BROMEXINA CLORIDRATO; BROMEXINA CLORIDRATO; NOT FOUND; 0.8 MG/ML. XAROPE; NO_ACR; FRASCO; 50.00 ML

298574; BAMBUTEROL CLORIDRATO; BAMBUTEROL CLORIDRATO; NOT FOUND; 1 MG/ML. SOLUCAO ORAL; NO_ACR; FRASCO; 100.00 ML

353418; BRINZOLAMIDA; BRINZOLAMIDA; BRINZOLAMIDA; 10 MG/ML. SUSPENSAO OFTALMICA; NO_ACR; FRASCO; 5.00 ML

391175; BETAEPOETINA; BETAEPOETINA; BETAEPOETINA; 120 MCG. SOLUCAO INJETAVEL. SERINGA PREENCHIDA COM 0.3ML; NO_ACR; SERINGA; 0

269823; BROMEXINA CLORIDRATO; BROMEXINA CLORIDRATO; NOT FOUND; 2 MG/ML. SOLUCAO ORAL - GOTAS; NO_ACR; FRASCO; 120.00 ML

276097; BICARBONATO DE SÃDIO; BICARBONATO SODIO; BICARBONATO SODIO; 10%. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 50.00 ML

269955; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 1 MG/ML. SOLUcaO ORAL; NO_ACR; AMPOLA; 2.00 ML

272172; BENZIDAMINA CLORIDRATO; BENZIDAMINA CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; FRASCO; 30.00 ML

268352; BRIMONIDINA TARTARATO; BRIMONIDINA TARTARATO; NOT FOUND; 2 MG/ML. COLIRIO; NO_ACR; FRASCO; 5.00 ML

284113; BETAMETASONA; BETAMETASONA; BETAMETASONA; DIPROPIONATO. ASSOCIADA COM CETOCONAZOL. 0.5MG + 20MG/G. CREME; NO_ACR; BISNAGA; 20.00 G

269572; BUPIVACAÃNA CLORIDRATO; BUPIVACAINA CLORIDRATO; NOT FOUND; 0.5%. ISOBARICA. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 20.00 ML

278429; BUPIVACAÃNA CLORIDRATO; BUPIVACAINA CLORIDRATO; NOT FOUND; ASSOCIADA A EPINEFRINA. 0.25% + 1/200.000UI. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 20.00 ML

271052; BICARBONATO DE SÃDIO; BICARBONATO SODIO; BICARBONATO SODIO; PO; NO_ACR; CÃPSULA; 0

279283; BENJOIM; BENJOIM; NOT FOUND; TINTURA A 10%; NO_ACR; FRASCO; 1000.00 ML

266704; BUDESONIDA; BUDESONIDA; BUDESONIDA; Po INALANTE. 200MCG/DOSE. FRASCO COM VaLVULA DOSIFICADORA; NO_ACR; CÃPSULA; 0

308729; BEZAFIBRATO; BEZAFIBRATO; BEZAFIBRATO; 400 MG. DESINTEGRACAO LENTA; NO_ACR; COMPRIMIDO; 0

352396; BUDESONIDA; BUDESONIDA; BUDESONIDA; 400 MCG. CAPSULA PO INALANTE. COM INALADOR; NO_ACR; FRASCO; 2.00 ML

270593; BETAMETASONA; BETAMETASONA; BETAMETASONA; DIPROPIONATO. ASSOCIADA COM CETOCONAZOL E NEOMICINA. 0.5MG + 20MG + 2.5MG/G. CREME; NO_ACR; BISNAGA; 10.00 G

272572; BUSPIRONA CLORIDRATO; BUSPIRONA CLORIDRATO; NOT FOUND; 5 MG; NO_ACR; COMPRIMIDO; 0

352179; BETAMETASONA; BETAMETASONA; BETAMETASONA; VALERATO. EQUIVALENTE AO SAL BASE BETAMETASONA 1 MG/G. CREME; NO_ACR; BISNAGA; 15.00 G

266707; BUDESONIDA; BUDESONIDA; BUDESONIDA; AEROSSOL NASAL. 64MCG/DOSE. FRASCO COM VaLVULA DOSIFICADORA; NO_ACR; FRASCO; 200.00 DOSE(S)

352179; BETAMETASONA; BETAMETASONA; BETAMETASONA; VALERATO. EQUIVALENTE AO SAL BASE BETAMETASONA 1 MG/G. CREME; NO_ACR; BISNAGA; 30.00 G

266705; BUDESONIDA; BUDESONIDA; BUDESONIDA; AEROSSOL NASAL. 100MCG/DOSE. FRASCO COM VaLVULA DOSIFICADORA; NO_ACR; FRASCO; 100.00 DOSE(S)

267589; BECLOMETASONA DIPROPIONATO; BECLOMETASONA DIPROPIONATO; NOT FOUND; PO PARA INALACAO ORAL. 400MCG/DOSE. FRASCO DOSEADOR COM BOCAL AEROGADOR; NO_ACR; CÃPSULA; 0

270596; BETAMETASONA; BETAMETASONA; BETAMETASONA; DIPROPIONATO. ASSOCIADA COM GENTAMICINA SULFATO. 0.5MG + 1MG/G. POMADA; NO_ACR; FRASCO; 15.00 ML

272176; BENZIDAMINA CLORIDRATO; BENZIDAMINA CLORIDRATO; NOT FOUND; 1.5MG/ML. COLUTORIO; NO_ACR; FRASCO; 100.00 ML

311390; BEVACIZUMABE; BEVACIZUMABE; BEVACIZUMABE; 25 MG/ML. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 16.00 ML

403131; BUDESONIDA; BUDESONIDA; BUDESONIDA; 50 MCG/DOSE. SUSPENSAO AQUOSA NASAL. FRASCO COM VALVULA DOSIFICADORA; NO_ACR; FRASCO; 200.00 DOSE(S)

266701; BUDESONIDA; BUDESONIDA; BUDESONIDA; AEROSSOL NASAL. 50MCG/DOSE. FRASCO COM VaLVULA DOSIFICADORA; NO_ACR; FRASCO; 120.00 DOSE(S)

270591; BETAMETASONA; BETAMETASONA; BETAMETASONA; DIPROPIONATO. ASSOCIADA COM GENTAMICINA SULFATO. 0.5MG + 1MG/G. CREME; NO_ACR; BISNAGA; 30.00 G

266699; BUDESONIDA; BUDESONIDA; BUDESONIDA; AEROSSOL BUCAL. 50MCG/DOSE. FRASCO COM VaLVULA DOSIFICADORA; NO_ACR; FRASCO; 115.00 ML

271848; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML. SOLUCAO OFTALMICA; NO_ACR; FRASCO; 3.00 ML

346586; BECLOMETASONA DIPROPIONATO; BECLOMETASONA DIPROPIONATO; NOT FOUND; 50 MCG/DOSE. AEROSSOL BUCAL. FRASCO DOSEADOR C/ BOCAL AEROGADOR; NO_ACR; FRASCO; 200.00 DOSE(S)

424199; BENZOCAÃNA; BENZOCAINA; BENZOCAINA; ASSOCIADA A TIROTRICINA. 5 MG + 1.035 MG; NO_ACR; PASTILHA; 0

270587; BETAMETASONA; BETAMETASONA; BETAMETASONA; DIPROPIONATO. 0.64MG/G. CREME; NO_ACR; BISNAGA; 10.00 G

284435; BETAXOLOL CLORIDRATO; BETAXOLOL CLORIDRATO; NOT FOUND; 0.5%. SOLUCAO OFTALMICA; NO_ACR; FRASCO; 5.00 ML

271848; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML. SOLUCAO OFTALMICA; NO_ACR; FRASCO; 5.00 ML

270140; BIPERIDENO; BIPERIDENO; BIPERIDENO; 2 MG; NO_ACR; AMPOLA; 1.00 ML

271052; BICARBONATO DE SÃDIO; BICARBONATO SODIO; BICARBONATO SODIO; PO; NO_ACR; FRASCO; 250.00 ML

267590; BECLOMETASONA DIPROPIONATO; BECLOMETASONA DIPROPIONATO; NOT FOUND; SPRAY NASAL. 250MCG/DOSE. FRASCO DOSEADOR COM AEROGADOR NASAL; NO_ACR; FRASCO; 200.00 DOSE(S)

282149; BETAMETASONA; BETAMETASONA; BETAMETASONA; FOSFATO. 4 MG/ML. INJETAVEL; NO_ACR; AMPOLA; 1.00 ML

293327; BENJOIM; BENJOIM; NOT FOUND; TINTURA A 20%; NO_ACR; FRASCO; 1000.00 ML

272913; BENZOCAÃNA; BENZOCAINA; BENZOCAINA; 20%. GEL TOPICO; NO_ACR; PASTILHA; 0

274813; BUPIVACAÃNA CLORIDRATO; BUPIVACAINA CLORIDRATO; NOT FOUND; ASSOCIADA A EPINEFRINA. 0.75% + 1/200.000UI. EMBALAGEM ESTERIL; NO_ACR; AMPOLA; 4.00 ML

269954; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 10 MG; NO_ACR; CÃPSULA; 0

270597; BETAMETASONA; BETAMETASONA; BETAMETASONA; ACETATO. ASSOCIADA COM BETAMETASONA FOSFATO. 3MG + 3MG/ML. INJETAVEL; NO_ACR; AMPOLA; 1.00 ML

396599; BETAMETASONA; BETAMETASONA; BETAMETASONA; FOSFATO DISSODICO. ASSOCIADA A GENTAMICINA SULFATO. EQUIVALENTE A 1MG + 3 MG/G. POMADA OFTALMICA; NO_ACR; BISNAGA; 10.00 G

394088; BICARBONATO DE SÃDIO; BICARBONATO SODIO; BICARBONATO SODIO; 8.40%. SOLUCAO INJETAVEL. EM SISTEMA FECHADO; NO_ACR; BOLSA; 250.00 ML

272027; BAMIFILINA CLORIDRATO; BAMIFILINA CLORIDRATO; NOT FOUND; 600 MG; NO_ACR; DRÃGEA; 0

266706; BUDESONIDA; BUDESONIDA; BUDESONIDA; AEROSSOL NASAL. 32MCG/DOSE. FRASCO COM VaLVULA DOSIFICADORA; NO_ACR; FRASCO; 115.00 ML

270612; BENZILPENICILINA; BENZILPENICILINA; BENZILPENICILINA; BENZATINA. 1.200.000UI. INJETAVEL; NO_ACR; FRASCO; 4.00 ML

352180; BETAMETASONA; BETAMETASONA; BETAMETASONA; VALERATO. EQUIVALENTE AO SAL BASE BETAMETASONA 1 MG/G. POMADA; NO_ACR; BISNAGA; 15.00 G

267581; BECLOMETASONA DIPROPIONATO; BECLOMETASONA DIPROPIONATO; NOT FOUND; SPRAY ORAL. 250MCG/DOSE. FRASCO DOSEADOR COM BOCAL AEROGADOR; NO_ACR; FRASCO; 120.00 DOSE(S)

284109; BENZBROMARONA; BENZBROMARONA; BENZBROMARONA; 100 MG; NO_ACR; COMPRIMIDO; 0

266707; BUDESONIDA; BUDESONIDA; BUDESONIDA; AEROSSOL NASAL. 64MCG/DOSE. FRASCO COM VaLVULA DOSIFICADORA; NO_ACR; FRASCO; 115.00 ML

270594; BETAMETASONA; BETAMETASONA; BETAMETASONA; DIPROPIONATO. ASSOCIADA COM CETOCONAZOL E NEOMICINA. 0.5MG + 20MG + 2.5MG/G. POMADA; NO_ACR; BISNAGA; 10.00 G

271052; BICARBONATO DE SÃDIO; BICARBONATO SODIO; BICARBONATO SODIO; PO; NO_ACR; FRASCO; 100.00 G

293327; BENJOIM; BENJOIM; NOT FOUND; TINTURA A 20%; NO_ACR; FRASCO; 60.00 ML

405997; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.1 MG/ML. SOLUCAO OFTALMICA; NO_ACR; FRASCO; 3.00 ML

270589; BETAMETASONA; BETAMETASONA; BETAMETASONA; DIPROPIONATO. 0.64MG/G. LOCAO; NO_ACR; FRASCO; 120.00 ML

274813; BUPIVACAÃNA CLORIDRATO; BUPIVACAINA CLORIDRATO; NOT FOUND; ASSOCIADA A EPINEFRINA. 0.75% + 1/200.000UI. EMBALAGEM ESTERIL; NO_ACR; TUBETE; 1.80 ML

266699; BUDESONIDA; BUDESONIDA; BUDESONIDA; AEROSSOL BUCAL. 50MCG/DOSE. FRASCO COM VaLVULA DOSIFICADORA; NO_ACR; FRASCO; 100.00 DOSE(S)

267907; BECLOMETASONA DIPROPIONATO; BECLOMETASONA DIPROPIONATO; NOT FOUND; 400MCG/ML. SUSPENSAO PARA INALACAO; NO_ACR; FRASCO; 100.00 DOSE(S)

269954; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 10 MG; NO_ACR; FRASCO; 20.00 ML

292409; BASILIXIMABE; BASILIXIMABE; BASILIXIMABE; 20 MG. INJETAVEL; NO_ACR; FRASCO-AMPOLA; 0

268222; BICARBONATO DE SÃDIO; BICARBONATO SODIO; BICARBONATO SODIO; 8.4%. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 10.00 ML

270590; BETAMETASONA; BETAMETASONA; BETAMETASONA; DIPROPIONATO. ASSOCIADA COM BETAMETASONA FOSFATO. 5MG + 2MG. INJETAVEL; NO_ACR; AMPOLA; 1.00 ML

327076; BUTAMBENO; BUTAMBENO; BUTAMBENO; SAL PICRATO. 10 MG/G. UNGUENTO; NO_ACR; BISNAGA; 15.00 G

266699; BUDESONIDA; BUDESONIDA; BUDESONIDA; AEROSSOL BUCAL. 50MCG/DOSE. FRASCO COM VaLVULA DOSIFICADORA; NO_ACR; FRASCO; 200.00 DOSE(S)

300253; BICARBONATO DE SÃDIO; BICARBONATO SODIO; BICARBONATO SODIO; ASSOCIADO COM ACIDO CITRICO E SULFATO DE MAGNESIO. 456 MG + 367 MG + 176.5 MG/G. PO EFERVESCENTE; NO_ACR; FRASCO; 100.00 G

271052; BICARBONATO DE SÃDIO; BICARBONATO SODIO; BICARBONATO SODIO; PO; NO_ACR; FRASCO; 250.00 G

270588; BETAMETASONA; BETAMETASONA; BETAMETASONA; DIPROPIONATO. 0.64MG/G. POMADA; NO_ACR; BISNAGA; 30.00 G

319000; BRIMONIDINA TARTARATO; BRIMONIDINA TARTARATO; NOT FOUND; ASSOCIADA COM TIMOLOL MALEATO. 2 MG + 5 MG/ML. SOLUCAO OFTALMICA; NO_ACR; FRASCO; 10.00 ML

394088; BICARBONATO DE SÃDIO; BICARBONATO SODIO; BICARBONATO SODIO; 8.40%. SOLUCAO INJETAVEL. EM SISTEMA FECHADO; NO_ACR; FRASCO; 250.00 G

272150; BENZOCAÃNA; BENZOCAINA; BENZOCAINA; ASSOCIADA COM BENZOXIQUINA.CL. BENZETONIO E MENTOL. 4.5% + 1.2% + 0.1% + 0.5%. AEROSSOL; NO_ACR; POTE; 12.00 G

266701; BUDESONIDA; BUDESONIDA; BUDESONIDA; AEROSSOL NASAL. 50MCG/DOSE. FRASCO COM VaLVULA DOSIFICADORA; NO_ACR; FRASCO; 2.00 ML

270587; BETAMETASONA; BETAMETASONA; BETAMETASONA; DIPROPIONATO. 0.64MG/G. CREME; NO_ACR; BISNAGA; 30.00 G

271746; BACLOFENO; BACLOFENO; BACLOFENO; 10 MG; NO_ACR; COMPRIMIDO; 0

270614; BENZILPENICILINA; BENZILPENICILINA; BENZILPENICILINA; POTASSICA. ASSOCIADA A PENICILINA PROCAINADA. 100.000UI + 300.000UI. INJETAVEL; NO_ACR; FRASCO; 4.00 ML

267588; BECLOMETASONA DIPROPIONATO; BECLOMETASONA DIPROPIONATO; NOT FOUND; PO PARA INALACAO ORAL. 100MCG/DOSE. FRASCO DOSEADOR COM BOCAL AEROGADOR; NO_ACR; FRASCO; 200.00 DOSE(S)

269574; BUPIVACAÃNA CLORIDRATO; BUPIVACAINA CLORIDRATO; NOT FOUND; 0.5%. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 4.00 ML

362719; BISOPROLOL FUMARATO; BISOPROLOL FUMARATO; NOT FOUND; 1.25 MG; NO_ACR; COMPRIMIDO; 0

404790; BOCEPREVIR; BOCEPREVIR; BOCEPREVIR; 200 MG; NO_ACR; CÃPSULA; 0

272896; BETAMETASONA; BETAMETASONA; BETAMETASONA; ASSOCIADA COM DEXCLORFENIRAMINA MALEATO. 0.05MG + 0.4MG/ML. XAROPE; NO_ACR; FRASCO; 100.00 ML

266705; BUDESONIDA; BUDESONIDA; BUDESONIDA; AEROSSOL NASAL. 100MCG/DOSE. FRASCO COM VaLVULA DOSIFICADORA; NO_ACR; FRASCO; 120.00 DOSE(S)

340347; BICARBONATO DE SÃDIO; BICARBONATO SODIO; BICARBONATO SODIO; ASSOCIADO COM ACIDO CITRICO E CARBONATO DE SODIO. 2.30 G + 2.20 G + 0.50 G. PO EFERVESCENTE; NO_ACR; FRASCO; 100.00 G

394856; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; 40 MG/ML. SUSPENSAO ORAL; NO_ACR; FRASCO; 120.00 ML

272148; BENZOCAÃNA; BENZOCAINA; BENZOCAINA; ASSOCIADA COM CETILPIRIDINIO. 4MG + 0.5MG/ML. AEROSSOL; NO_ACR; TUBO; 43.00 G

323096; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 2.5 MG/ML. SOLUCAO ORAL - GOTAS; NO_ACR; FRASCO; 20.00 ML

272913; BENZOCAÃNA; BENZOCAINA; BENZOCAINA; 20%. GEL TOPICO; NO_ACR; BISNAGA; 20.00 G

267585; BECLOMETASONA DIPROPIONATO; BECLOMETASONA DIPROPIONATO; NOT FOUND; 400 MCG. CAPSULAS INALATORIAS. COM INALADOR; NO_ACR; FLACONETE; 2.00 ML

396605; BIPERIDENO; BIPERIDENO; BIPERIDENO; 4 MG. RETARD; NO_ACR; COMPRIMIDO; 0

403131; BUDESONIDA; BUDESONIDA; BUDESONIDA; 50 MCG/DOSE. SUSPENSAO AQUOSA NASAL. FRASCO COM VALVULA DOSIFICADORA; NO_ACR; FRASCO; 120.00 DOSE(S)

308726; BENZOATO DE BENZILA; BENZOATO BENZILA; BENZOATO BENZILA; 25%. EMULSAO TOPICA; NO_ACR; FRASCO; 60.00 ML

272148; BENZOCAÃNA; BENZOCAINA; BENZOCAINA; ASSOCIADA COM CETILPIRIDINIO. 4MG + 0.5MG/ML. AEROSSOL; NO_ACR; PASTILHA; 0

296297; BUDESONIDA; BUDESONIDA; BUDESONIDA; 0.02 MG/ML. ENEMA; NO_ACR; FRASCO; 115.00 ML

406485; BETAEPOETINA; BETAEPOETINA; BETAEPOETINA; 50 MCG. SOLUCAO INJETAVEL. SERINGA PREENCHIDA COM 0.3ML; NO_ACR; SERINGA; 0

318309; BETAMETASONA; BETAMETASONA; BETAMETASONA; DIPROPIONATO. ASSOCIADA COM ACIDO SALICILICO. 0.5MG + 30MG/G. POMADA; NO_ACR; COMPRIMIDO; 0

279283; BENJOIM; BENJOIM; NOT FOUND; TINTURA A 10%; NO_ACR; FRASCO; 100.00 ML

279283; BENJOIM; BENJOIM; NOT FOUND; TINTURA A 10%; NO_ACR; FRASCO; 60.00 ML

