58701; DECONGEX PLUS NF ; DECONGEX PLUS NF; NOT FOUND; CPR.RE.LP x 12; A4H
49535; DIFEN ; DIFEN; NOT FOUND; COLIRIO 0.10 % 5 ML x 1; ALL

30850; DEXAFENICOL ; DEXAFENICOL; NOT FOUND; GOTAS OFTAL 5 ML x 1; ALL

41893; DEXAMINOR ; DEXAMINOR; NOT FOUND; POM. OFTAL 0.05 MG 3.50 G x 1 (/G); ALL

41892; DEXAMINOR ; DEXAMINOR; NOT FOUND; COLIRIO 0.05 MG 5 ML x 1 (/ML); ALL

103878; DESOL ; DESOL; NOT FOUND; GOTAS 20 ML x 1; APS

60990; DISERIM ; DISERIM; NOT FOUND; CPR REVEST x 10; APS

137029; DOBEVEN ; DOBEVEN; NOT FOUND; CAPS 500 MG x 5; APS

103875; DESOL ; DESOL; NOT FOUND; GOTAS 10 ML x 1; APS

135984; DOBEVEN ; DOBEVEN; NOT FOUND; CAPS 500 MG x 30; APS

64728; DONAREN ; DONAREN; NOT FOUND; CPR REVEST 100 MG x 20; APS

53471; DESTILBENOL ; DESTILBENOL; NOT FOUND; CPR REVEST 1 MG x 50; APS

75680; DONAREN RETARD ; DONAREN RETARD; NOT FOUND; CPR RETARD 150 MG x 20; APS

113355; DIGELIV ; DIGELIV; NOT FOUND; SAC 400FCC 2 G x 30; APS

75475; DONAREN ; DONAREN; NOT FOUND; CPR REVEST 100 MG x 30; APS

52740; DONAREN ; DONAREN; NOT FOUND; CPR REVEST 50 MG x 60; APS

58714; DISERIM ; DISERIM; NOT FOUND; CPR REVEST x 20; APS

93528; DICL PRAMIPEXOL MG ; DICL PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; CPR 0.25 MG x 30; ATV

93527; DICL PRAMIPEXOL MG ; DICL PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; CPR 0.125 MG x 30; ATV

93529; DICL PRAMIPEXOL MG ; DICL PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; CPR 1 MG x 30; ATV

62257; DIPRIVAN ; DIPRIVAN; NOT FOUND; F.AMP INFUS 2 % 50 ML x 1; AZN

48783; DIPRIVAN ; DIPRIVAN; NOT FOUND; A.IV 10 MG 20 ML x 5 (/ML); AZN

53990; DIPRIVAN ; DIPRIVAN; NOT FOUND; INFUS PFS 1 % 50 ML x 1; AZN

53988; DIPRIVAN ; DIPRIVAN; NOT FOUND; F.AMP 1 % 50 ML x 1; AZN

92421; DIVELOL ; DIVELOL; NOT FOUND; CPR 3.12 MG x 60; BAL

53677; DIVELOL ; DIVELOL; NOT FOUND; CPR 12.5 MG x 14; BAL

55376; DIVELOL ; DIVELOL; NOT FOUND; CPR 3.12 MG x 14; BAL

77733; DIVELOL ; DIVELOL; NOT FOUND; CPR 25 MG x 60; BAL

64234; DIGOBAL ; DIGOBAL; NOT FOUND; CPR BLISTER 0.25 MG x 30; BAL

77732; DIVELOL ; DIVELOL; NOT FOUND; CPR 12.5 MG x 60; BAL

55377; DIVELOL ; DIVELOL; NOT FOUND; CPR 3.12 MG x 28; BAL

92434; DIVELOL ; DIVELOL; NOT FOUND; CPR 6.25 MG x 60; BAL

64235; DIGOBAL ; DIGOBAL; NOT FOUND; CPR BLISTER 0.125 MG x 30; BAL

53676; DIVELOL ; DIVELOL; NOT FOUND; CPR 6.25 MG x 14; BAL

53232; DIVELOL ; DIVELOL; NOT FOUND; CPR 25 MG x 28; BAL

75291; DIVELOL ; DIVELOL; NOT FOUND; CPR 6.25 MG x 28; BAL

75292; DIVELOL ; DIVELOL; NOT FOUND; CPR 12.5 MG x 28; BAL

63631; DICLOFEN.POTASI MG ; DICLOFEN POTASI; NOT FOUND; DRAG 50 MG x 20; BF8

73437; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); BF8

74582; DICLOFEN.DIETIL.MG ; DICLOFEN DIETIL; DICLOFENACO DIETILAMONIO; GEL. 11.6 MG 60 G x 1 (/G); BF8

63630; DICLOFEN.POTASI MG ; DICLOFEN POTASI; NOT FOUND; DRAG 50 MG x 10; BF8

75640; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; CPR 500 MG x 100; BF8

62740; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; CPR 50 MG x 20; BF8

62738; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; CPR 50 MG x 10; BF8

62812; DEXMENE ; DEXMENE; NOT FOUND; ELIXIR 0.50 MG 120 ML x 1 (/5ML); BFR

62887; DERMOMICIN ; DERMOMICIN; NOT FOUND; POM. 3.50 MG 20 G x 1 (/G); BFR

56702; DERMOTRIZOL ; DERMOTRIZOL; NOT FOUND; SOLN TOP. 20 ML x 1; BLF

56570; DIPIGINA ; DIPIGINA; NOT FOUND; XAR. 60 ML x 1; BLF

58705; DELTAPIL ; DELTAPIL; NOT FOUND; SABAO 70 G x 1; BLF

58704; DELTAPIL ; DELTAPIL; NOT FOUND; LOC. 100 ML x 1; BLF

56707; DEXAGLOS ; DEXAGLOS; NOT FOUND; CPR x 20; BLF

92090; DERMOTRIZOL ; DERMOTRIZOL; NOT FOUND; SOLN TOP. 30 ML x 1; BLF

58713; DIPIGINA ; DIPIGINA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); BLF

69813; DERMOLIMP ; DERMOLIMP; NOT FOUND; CREME 30 G x 1; BLF

77969; DRENOGRIP ; DRENOGRIP; NOT FOUND; DRAG x 120; BLF

41959; DIPIGINA ; DIPIGINA; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); BLF

55996; DIPIGINA ; DIPIGINA; NOT FOUND; CPR 500 MG x 20; BLF

58706; DELTAPIL ; DELTAPIL; NOT FOUND; XAMP ANTI-CA 0.02 % 100 ML x 1; BLF

56579; DRENOGRIP ; DRENOGRIP; NOT FOUND; DRAG x 100; BLF

56701; DERMOTRIZOL ; DERMOTRIZOL; NOT FOUND; CREME 20 G x 1; BLF

64319; DEXAGLOS ; DEXAGLOS; NOT FOUND; CREME 15 G x 1; BLF

56706; DEXAGLOS ; DEXAGLOS; NOT FOUND; ELIXIR 100 ML x 1; BLF

74162; DIPIGINA ; DIPIGINA; NOT FOUND; CPR 500 MG x 10; BLF

32516; DRENISON N ; DRENISON N; NOT FOUND; POM. 30 G x 1; BS2

3616; DRENIFORMIO ; DRENIFORMIO; NOT FOUND; CREME 30 G x 1; BS2

98659; DISFOR ; DISFOR; NOT FOUND; SACHES 11 G x 30; BS2

137543; DOSS ; DOSS; NOT FOUND; CAPS 1000 IU x 30; BS2

46005; DRENISON OCLUSIVO ; DRENISON OCLUSIVO; NOT FOUND; RO 200CMX7.5 x 1; BS2

32515; DRENISON N ; DRENISON N; NOT FOUND; CREME 30 G x 1; BS2

33542; DRENISON OCLUSIVO ; DRENISON OCLUSIVO; NOT FOUND; RO 60CMX7.5C x 1; BS2

3618; DRENISON ; DRENISON; NOT FOUND; CREME 0.125 MG 30 G x 1 (/G); BS2

32854; DRENISON ; DRENISON; NOT FOUND; POM. 0.125 MG 30 G x 1 (/G); BS2

69670; DRENISON ; DRENISON; NOT FOUND; LOC. 0.50 MG 30 ML x 1 (/ML); BS2

96159; DEPOMES ; DEPOMES; NOT FOUND; AMP 1 ML x 1; BS2

75592; DTN FOL ; DTN FOL; NOT FOUND; CAPS 400 Y x 90 (/10); BS2

137545; DOSS ; DOSS; NOT FOUND; CAPS 1000 IU x 60; BS2

73388; DOCLAXIN ; DOCLAXIN; NOT FOUND; F.AMP 1 G 10 ML x 20 (/200); BU_

72707; DOCLAXIN ; DOCLAXIN; NOT FOUND; F.AMP 1 G 10 ML x 10 (/200); BU_

58392; DOPABANE ; DOPABANE; NOT FOUND; F.AMP 50 MG 10 ML x 10; BU_

55435; DNAREN ; DNAREN; NOT FOUND; AMP. 75 MG 3 ML x 50; BU_

57420; DOBUTARISTON ; DOBUTARISTON; NOT FOUND; AMP. 250 MG 20 ML x 20 (/2ML); BU_

33399; DRENALIN ; DRENALIN; NOT FOUND; AMP. 1 ML x 100; BU_

77461; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; AMP. 25 MG 3 ML x 50 (/ML); BU_

55011; DISOTRON ; DISOTRON; NOT FOUND; F.AMP 5000 IU 5 ML x 25; BU_

83718; DUOVENT N ; DUOVENT N; NOT FOUND; AERO DOSIS 10 ML x 200; B_I

47182; DUOVENT ; DUOVENT; NOT FOUND; AERO DOSIS 15 ML x 300; B_I

3649; DULCOLAX ; DULCOLAX; NOT FOUND; DRAG 5 MG x 20; B_I

74910; DOSATAXEL ; DOSATAXEL; NOT FOUND; F.AMP C/DILU 80 MG 2 ML x 1; C1T

74909; DOSATAXEL ; DOSATAXEL; NOT FOUND; F.AMP C/DILU 20 MG 0.50 ML x 1; C1T

67009; DERMICOSAN ; DERMICOSAN; NOT FOUND; SOLN 60 ML x 1; C6R

67082; DERMICASP ; DERMICASP; NOT FOUND; XAMP 20 MG 100 ML x 1 (/ML); C6R

3474; DIUREZIN ; DIUREZIN; NOT FOUND; CPR 25 MG x 20; CAZ

56001; DIUREZIN-A ; DIUREZIN A; NOT FOUND; CPR x 30; CAZ

64769; DORFEN ; DORFEN; NOT FOUND; SUSP 160 MG 60 ML x 1 (/5ML); CAZ

48979; DORGEN ; DORGEN; NOT FOUND; DRAG 50 MG x 20; CAZ

60304; DORFEN ; DORFEN; NOT FOUND; GOTAS 200 MG 15 ML x 1; CAZ

61305; DORFLAN ; DORFLAN; NOT FOUND; GOTAS 15 MG 20 ML x 1 (/ML); CAZ

64765; DERMOBAN ; DERMOBAN; NOT FOUND; CREME 2 % 15 G x 1; CAZ

61283; DEXLERG ; DEXLERG; NOT FOUND; CPR 2 MG x 20; CAZ

65615; DEXLERG ; DEXLERG; NOT FOUND; XAR. 2 MG 120 ML x 1 (/5ML); CAZ

66498; DOXSOL ; DOXSOL; NOT FOUND; CPR 2 MG x 10; CAZ

57351; DANTALIN ; DANTALIN; NOT FOUND; CPR 100 MG x 25; CAZ

78095; DERMEZIL ; DERMEZIL; NOT FOUND; POM. 100 MG 20 G x 1 (/G); CAZ

61306; DRENIDRA ; DRENIDRA; NOT FOUND; CPR 50 MG x 28; CAZ

64768; DIUREZIN-E ; DIUREZIN E; NOT FOUND; CPR x 30; CAZ

48978; DIUREZIN ; DIUREZIN; NOT FOUND; CPR 50 MG x 20; CAZ

61303; DORFLAN ; DORFLAN; NOT FOUND; CPR 50 MG x 20; CAZ

61304; DORFLAN GEL ; DORFLAN GEL; NOT FOUND; GEL. 60 G x 1; CAZ

71883; DIUREZIN-C ; DIUREZIN C; NOT FOUND; CPR 50 MG x 30 (/25); CAZ

65616; DRENIDRA ; DRENIDRA; NOT FOUND; CPR 25 MG x 42; CAZ

58226; DIFEBRIL ; DIFEBRIL; NOT FOUND; GOTAS 20 ML x 1; CF2

58225; DIFEBRIL ; DIFEBRIL; NOT FOUND; GOTAS 10 ML x 1; CF2

59477; DORCIFLEXIN ; DORCIFLEXIN; NOT FOUND; CPR x 144; CF2

59473; DIPROCORT ; DIPROCORT; NOT FOUND; A.IM 1 ML x 1; CF2

3444; DISPEPTRIN ; DISPEPTRIN; NOT FOUND; CPR 400 MG x 20 (/80); CF2

72339; DORCIFLEXIN ; DORCIFLEXIN; NOT FOUND; CPR x 240; CF2

63633; DEXADEN ; DEXADEN; NOT FOUND; ELIXIR 0.50 MG 100 ML x 1 (/5ML); CF2

101270; DROSPI+ETINILES MG ; DROSPI ETINILES; NOT FOUND; CPR 3 MG x 21 (/.03); CF2

61500; DIAMELLITS ; DIAMELLITS; NOT FOUND; CPR 1 MG x 30; CF2

60590; DEXADEN ; DEXADEN; NOT FOUND; CPR 0.50 MG x 20; CF2

58224; DIFEBRIL ; DIFEBRIL; NOT FOUND; CPR 500 MG x 100; CF2

58232; DORILESS ; DORILESS; NOT FOUND; CPR x 12; CF2

59470; DEXTAMINE ; DEXTAMINE; NOT FOUND; CPR 2 MG x 15 (/.25); CF2

58233; DORILESS ; DORILESS; NOT FOUND; CPR x 200; CF2

59471; DEXTAMINE ; DEXTAMINE; NOT FOUND; XAR. 120 ML x 1; CF2

55992; DEXADEN ; DEXADEN; NOT FOUND; CREME 0.10 % 10 G x 1; CF2

61502; DIAMELLITS ; DIAMELLITS; NOT FOUND; CPR 4 MG x 30; CF2

58234; DORILESS ; DORILESS; NOT FOUND; SOLN ORAL 15 ML x 1; CF2

58841; DERMODEN ; DERMODEN; NOT FOUND; POM. 45 G x 1; CF2

61501; DIAMELLITS ; DIAMELLITS; NOT FOUND; CPR 2 MG x 30; CF2

75747; DIMETICONA MG ; DIMETICONA; DIMETICONA; CPR 40 MG x 20; CF2

77377; DERMARA ; DERMARA; NOT FOUND; LIQD 200 ML x 1; CF2

158999; DEXTAMINE ; DEXTAMINE; NOT FOUND; CPR 2 MG x 20 (/.25); CF2

77552; DERMARA ; DERMARA; NOT FOUND; LIQD 100 ML x 1; CF2

74646; DERMAFEME ; DERMAFEME; NOT FOUND; GEL LUB-FIK 50 G x 1; CM5

75746; DERMAFEME ; DERMAFEME; NOT FOUND; LIQ TEEN 200 ML x 1; CM5

64631; DEXMINE ; DEXMINE; NOT FOUND; XAR. 120 ML x 1; CM5

63730; DIAD ; DIAD; NOT FOUND; CPR 0.75 MG x 2; CM5

64630; DEXMINE ; DEXMINE; NOT FOUND; CPR x 20; CM5

72110; DERMAFEME ; DERMAFEME; NOT FOUND; LIQD 200 ML x 1; CM5

50430; DILTIN ; DILTIN; NOT FOUND; GOTAS 7.50 MG 20 ML x 1 (/ML); CM5

55437; DIPIMAX ; DIPIMAX; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); CM5

131027; DICLOF.RESINATO MG ; DICLOF RESINATO; NOT FOUND; GOTAS 15 MG 20 ML x 1 (/ML); CM5

69944; DIPRONIL ; DIPRONIL; NOT FOUND; AMP. 1 ML x 1; CM5

82082; DUCODIL ; DUCODIL; NOT FOUND; CPR REVEST 5 MG x 20; CM5

67173; DERMAFEME ; DERMAFEME; NOT FOUND; LI HOT L-FIK 30 ML x 1; CM5

68664; DERMAFEME ; DERMAFEME; NOT FOUND; GEL LUB-FIK 25 G x 1; CM5

69934; DICLOFEN.DIETIL.MG ; DICLOFEN DIETIL; DICLOFENACO DIETILAMONIO; GEL. 1 % 60 G x 1; CM5

74651; DIPROZIL ; DIPROZIL; NOT FOUND; CREME 30 G x 1; CM5

112742; DERMAFEME ; DERMAFEME; NOT FOUND; KIT S I L2P1 400 ML x 2; CM5

75748; DIP.BET+SUL.GEN.MG ; DIP BET SUL GEN; NOT FOUND; CREME 30 G x 1; CM5

75745; DERMAFEME ; DERMAFEME; NOT FOUND; LIQ SENSITIV 200 ML x 1; CM5

