56094; ANTUX ; ANTUX; NOT FOUND; XAR. 30 MG 120 ML x 1 (/5ML); A4H
103445; ALOIS ; ALOIS; NOT FOUND; CPR REVEST 10 MG x 120; APS

98977; ARPADOL ; ARPADOL; NOT FOUND; CPR REVEST 400 MG x 10; APS

103444; ALOIS ; ALOIS; NOT FOUND; CPR REVEST 10 MG x 50; APS

73465; ARPADOL ; ARPADOL; NOT FOUND; CPR REVEST 400 MG x 30; APS

66643; ALOIS ; ALOIS; NOT FOUND; CPR REVEST 10 MG x 30; APS

58673; ARTANE ; ARTANE; NOT FOUND; CPR 5 MG x 30; APS

72576; ALOIS ; ALOIS; NOT FOUND; CPR REVEST 10 MG x 60; APS

72271; AGLICON-SOY ; AGLICON SOY; NOT FOUND; CAPS GELATIN 150 MG x 30; APS

68983; AC TR+S.N+GR+NI.MG ; AC TR S N GR NI; NOT FOUND; POM. 30 G x 1; ATV

68982; AC TR+S.N+GR+NI.MG ; AC TR S N GR NI; NOT FOUND; CREME 30 G x 1; ATV

66118; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 0.25 MG x 20; ATV

123865; ACNASE CLEAN ; ACNASE CLEAN; NOT FOUND; GEL CREME 50 G x 1; AV7

63806; AD MUC ; AD MUC; NOT FOUND; POM. 100 MG 10 G x 1 (/G); AV7

78154; ACNASE CLEAN ; ACNASE CLEAN; NOT FOUND; CREME 20 G x 1; AV7

164011; ACNASE CLEAN ; ACNASE CLEAN; NOT FOUND; SAB LIM PROF 80 G x 1; AV7

123863; ACNASE CLEAN ; ACNASE CLEAN; NOT FOUND; MOUSSE 150 ML x 1; AV7

162934; ACNASE CLEAN ; ACNASE CLEAN; NOT FOUND; SAB ANTIAC 80 G x 1; AV7

164623; ACNASE CLEAN ; ACNASE CLEAN; NOT FOUND; SAB ESFOLI 80 G x 1; AV7

78266; ATACAND COMB ; ATACAND COMB; NOT FOUND; COMB PACK 16 MG x 30 (/2.5); AZN

53599; ATACAND ; ATACAND; NOT FOUND; CPR 16 MG x 30; AZN

53064; ACCOLATE ; ACCOLATE; NOT FOUND; CPR REVEST 20 MG x 28; AZN

77731; ATACAND ; ATACAND; NOT FOUND; CPR 32 MG x 30; AZN

56672; ATACAND HCT ; ATACAND HCT; NOT FOUND; CPR 16 MG x 30 (/12); AZN

56252; ATACAND ; ATACAND; NOT FOUND; CPR 16 MG x 20; AZN

78269; ATACAND COMB ; ATACAND COMB; NOT FOUND; COMB PACK 16 MG x 10 (/5); AZN

56671; ATACAND HCT ; ATACAND HCT; NOT FOUND; CPR 16 MG x 20 (/12); AZN

53598; ATACAND ; ATACAND; NOT FOUND; CPR 8 MG x 30; AZN

53447; ATENOL ; ATENOL; NOT FOUND; CPR 25 MG x 28; AZN

78268; ATACAND COMB ; ATACAND COMB; NOT FOUND; COMB PACK 16 MG x 10 (/2.5); AZN

78267; ATACAND COMB ; ATACAND COMB; NOT FOUND; COMB PACK 16 MG x 30 (/5); AZN

57319; ACCOLATE ; ACCOLATE; NOT FOUND; CPR REVEST 10 MG x 28; AZN

56251; ATACAND ; ATACAND; NOT FOUND; CPR 8 MG x 20; AZN

61865; ATACAND HCT ; ATACAND HCT; NOT FOUND; CPR 8 MG x 20 (/12); AZN

61866; ATACAND HCT ; ATACAND HCT; NOT FOUND; CPR 8 MG x 30 (/12); AZN

46480; ATENOL ; ATENOL; NOT FOUND; CPR 50 MG x 28; AZN

51997; ARIMIDEX ; ARIMIDEX; NOT FOUND; CPR 1 MG x 28; AZN

47312; ATENOL ; ATENOL; NOT FOUND; CPR 100 MG x 28; AZN

101598; AC.ACETIL-SALIC MG ; AC ACETIL SALIC; NOT FOUND; CPR 100 MG x 20; B0B

101600; AC.ACETIL-SALIC MG ; AC ACETIL SALIC; NOT FOUND; CPR 100 MG x 500; B0B

101599; AC.ACETIL-SALIC MG ; AC ACETIL SALIC; NOT FOUND; CPR 100 MG x 200; B0B

101601; AC.ACETIL-SALIC MG ; AC ACETIL SALIC; NOT FOUND; CPR 500 MG x 20; B0B

101602; AC.ACETIL-SALIC MG ; AC ACETIL SALIC; NOT FOUND; CPR 500 MG x 200; B0B

101603; AC.ACETIL-SALIC MG ; AC ACETIL SALIC; NOT FOUND; CPR 500 MG x 500; B0B

59151; ANLODIBAL ; ANLODIBAL; NOT FOUND; CPR 10 MG x 30; BAL

60763; ATENOBAL ; ATENOBAL; NOT FOUND; CPR 25 MG x 30; BAL

59934; AMIOBAL ; AMIOBAL; NOT FOUND; CPR 200 MG x 30; BAL

59933; AMIOBAL ; AMIOBAL; NOT FOUND; CPR 100 MG x 30; BAL

59150; ANLODIBAL ; ANLODIBAL; NOT FOUND; CPR 5 MG x 30; BAL

60764; ATENOBAL ; ATENOBAL; NOT FOUND; CPR 100 MG x 30; BAL

60762; ATENOBAL ; ATENOBAL; NOT FOUND; CPR 50 MG x 30; BAL

64824; ALBUMINA HUMANA ; ALBUMINA HUMANA; NOT FOUND; SOLN INJ. 20 % 50 ML x 1; BAX

63813; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; CPR REVEST 500 MG x 18; BF8

73800; ACICLOVIR MG ; ACICLOVIR; ACICLOVIR; CPR 200 MG x 25; BF8

73799; ACICLOVIR MG ; ACICLOVIR; ACICLOVIR; CPR 200 MG x 10; BF8

63814; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; PO P/SUSP 250 MG 75 ML x 1 (/5M; BF8

63812; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; CPR REVEST 500 MG x 6; BF8

63867; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 21; BF8

73430; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; XPE 20 MG 100 ML x 1 (/ML); BF8

63868; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; PO P/SUSP 250 MG 150 ML x 1 (/5ML); BF8

63969; ACIBIO ; ACIBIO; NOT FOUND; CPR 200 MG x 25; BFR

60840; ALZOBEN ; ALZOBEN; NOT FOUND; CPR 400 MG x 1; BFR

63968; ACIBIO ; ACIBIO; NOT FOUND; CREME 50 MG 10 G x 1 (/G); BFR

75228; ACICLOFAR ; ACICLOFAR; NOT FOUND; CPR 200 MG x 25; BLF

164440; ACICLOVIR MG ; ACICLOVIR; ACICLOVIR; CREME DERM 50 MG 10 G x 1 (/G); BLF

58667; ACICLOFAR ; ACICLOFAR; NOT FOUND; CREME 50 MG 10 G x 1 (/G); BLF

47980; AZACTAM ; AZACTAM; NOT FOUND; F.AMP SOLV 1 G 3 ML x 1; BMS

32815; ALCA-LUFTAL ; ALCA LUFTAL; NOT FOUND; GEL. 120 ML x 1; BMS

79069; APETIPLUS ; APETIPLUS; NOT FOUND; XAR CEREJA 240 ML x 1; BRT

58475; ALBEZIN ; ALBEZIN; NOT FOUND; CPR MASC 400 MG x 1; BRT

67342; AORTEN ; AORTEN; NOT FOUND; CPR 25 MG x 500; BRT

88116; APETIPLUS ; APETIPLUS; NOT FOUND; XAR UVA 1 240 ML x 1; BRT

57451; AORTEN ; AORTEN; NOT FOUND; CPR 25 MG x 30; BRT

58476; ALBEZIN ; ALBEZIN; NOT FOUND; SUSP ORAL 400 MG 10 ML x 1; BRT

79068; APETIPLUS ; APETIPLUS; NOT FOUND; XAR ABACAXI 240 ML x 1; BRT

56792; ABLOK PLUS ; ABLOK PLUS; NOT FOUND; CPR 25 MG x 30 (/100); BS2

56789; ABLOK ; ABLOK; NOT FOUND; CPR 50 MG x 30; BS2

71812; ACNE CARE ; ACNE CARE; NOT FOUND; GEL PURIF 100 ML x 1; BS2

58986; ARADOIS H ; ARADOIS H; NOT FOUND; CPR REVEST 50 MG x 30 (/12); BS2

64556; ACINIC ; ACINIC; NOT FOUND; CPR RETARD 750 MG x 30; BS2

164076; ABLOK PLUS ; ABLOK PLUS; NOT FOUND; CPR 12.5 MG x 60 (/50); BS2

73649; ARADOIS H ; ARADOIS H; NOT FOUND; CPR REVEST 50 MG x 60 (/12); BS2

56788; ABLOK ; ABLOK; NOT FOUND; CPR 25 MG x 30; BS2

77127; ARADOIS H ; ARADOIS H; NOT FOUND; CPR REVEST 50 MG x 90 (/12); BS2

164078; ABLOK PLUS ; ABLOK PLUS; NOT FOUND; CPR 12.5 MG x 60 (/25); BS2

85676; ATEROGREL ; ATEROGREL; NOT FOUND; CPR REVEST 75 MG x 60; BS2

56791; ABLOK PLUS ; ABLOK PLUS; NOT FOUND; CPR 12.5 MG x 30 (/50); BS2

77126; ARADOIS H ; ARADOIS H; NOT FOUND; CPR REVEST 100 MG x 60 (/25); BS2

71811; ACNE CARE ; ACNE CARE; NOT FOUND; GEL NOITE 60 ML x 1; BS2

63779; ARADOIS H ; ARADOIS H; NOT FOUND; CPR REVEST 100 MG x 30 (/25); BS2

73044; ACNE CARE ; ACNE CARE; NOT FOUND; ROLLON 15 ML x 1; BS2

77125; ARADOIS ; ARADOIS; NOT FOUND; CPR REVEST 25 MG x 60; BS2

85675; ATEROGREL ; ATEROGREL; NOT FOUND; CPR REVEST 75 MG x 30; BS2

61026; ALERGOLON ; ALERGOLON; NOT FOUND; CPR 4 MG x 21; BS2

77123; ARADOIS ; ARADOIS; NOT FOUND; CPR REVEST 50 MG x 90; BS2

58813; ARADOIS ; ARADOIS; NOT FOUND; CPR REVEST 50 MG x 30; BS2

72308; ABLOK PLUS ; ABLOK PLUS; NOT FOUND; CPR 12.5 MG x 30 (/25); BS2

63177; ARADOIS ; ARADOIS; NOT FOUND; CPR REVEST 100 MG x 30; BS2

52400; AMIRETIC ; AMIRETIC; NOT FOUND; CPR 5 MG x 30 (/50M); BS2

64557; ACINIC ; ACINIC; NOT FOUND; CPR RETARD 500 MG x 30; BS2

80733; ARTROTABS ; ARTROTABS; NOT FOUND; CPR x 30; BS2

164077; ABLOK PLUS ; ABLOK PLUS; NOT FOUND; CPR 25 MG x 60 (/100); BS2

73043; ACNE CARE ; ACNE CARE; NOT FOUND; TONICO 130 ML x 1; BS2

73648; ARADOIS ; ARADOIS; NOT FOUND; CPR REVEST 50 MG x 60; BS2

62950; ARADOIS ; ARADOIS; NOT FOUND; CPR REVEST 25 MG x 30; BS2

77124; ARADOIS ; ARADOIS; NOT FOUND; CPR REVEST 100 MG x 60; BS2

56790; ABLOK ; ABLOK; NOT FOUND; CPR 100 MG x 30; BS2

67012; ALBUMINA HUMANA ; ALBUMINA HUMANA; NOT FOUND; SOLN INJ. 20 % 50 ML x 1; BU_

33423; ATROPION ; ATROPION; NOT FOUND; AMP. 0.25 MG 1 ML x 100; BU_

68707; ALFAEPOETINA HU.RE ; ALFAEPOETINA HU RE; NOT FOUND; SER.PRELL 40 K 1 ML x 1; BU_

49942; ARIFENICOL ; ARIFENICOL; NOT FOUND; F.AMP LIOF 1 G x 1; BU_

51073; AMICILON ; AMICILON; NOT FOUND; F.AMP 250 MG 2 ML x 50; BU_

53627; ARIFENICOL ; ARIFENICOL; NOT FOUND; F.AMP S/DILU 1 G x 100; BU_

48565; ARISTOPRAMIDA ; ARISTOPRAMIDA; NOT FOUND; AMP. 10 MG 2 ML x 100; BU_

86227; ARISCORTEN ; ARISCORTEN; NOT FOUND; F.AMP S/DILU 100 MG x 50; BU_

51074; AMICILON ; AMICILON; NOT FOUND; F.AMP 500 MG 2 ML x 1; BU_

51072; AMICILON ; AMICILON; NOT FOUND; F.AMP 250 MG 2 ML x 1; BU_

72659; ALFAEPOETINA HU.RE ; ALFAEPOETINA HU RE; NOT FOUND; F.AMP 10 K 1 ML x 12; BU_

72670; ALFAEPOETINA HU.RE ; ALFAEPOETINA HU RE; NOT FOUND; F.AMP 2000 IU 1 ML x 1; BU_

77363; ARISCORTEN ; ARISCORTEN; NOT FOUND; F.AMP S/DILU 500 MG 5 ML x 50; BU_

72679; ALFAEPOETINA HU.RE ; ALFAEPOETINA HU RE; NOT FOUND; F.AMP 4000 IU 1 ML x 1; BU_

165435; ALFAEPOETINA HU.RE ; ALFAEPOETINA HU RE; NOT FOUND; SE PRE S/SE 40 K 1 ML x 1; BU_

76822; ALFAEPOETINA HU.RE ; ALFAEPOETINA HU RE; NOT FOUND; F.AMP 3000 IU 1 ML x 1; BU_

68709; ALFAEPOETINA HU.RE ; ALFAEPOETINA HU RE; NOT FOUND; AMP. 40 K 1 ML x 1; BU_

51071; AMICILON ; AMICILON; NOT FOUND; F.AMP 100 MG 2 ML x 1; BU_

72663; ALFAEPOETINA HU.RE ; ALFAEPOETINA HU RE; NOT FOUND; F.AMP 1000 IU 1 ML x 12; BU_

53837; ARICILINA ; ARICILINA; NOT FOUND; F.IM LIOF 5 M x 50; BU_

49638; ARIFENICOL ; ARIFENICOL; NOT FOUND; F.AMP C/DILU 1 G x 50; BU_

68686; ALFAEPOETINA HU.RE ; ALFAEPOETINA HU RE; NOT FOUND; AMP. 10 K 1 ML x 1; BU_

72661; ALFAEPOETINA HU.RE ; ALFAEPOETINA HU RE; NOT FOUND; F.AMP C/DILU 10 K 1 ML x 1; BU_

72680; ALFAEPOETINA HU.RE ; ALFAEPOETINA HU RE; NOT FOUND; F.AMP C/DILU 4000 IU 1 ML x 1; BU_

67337; ALFA INTERFERON A ; ALFA INTERFERON A; NOT FOUND; F.AMP LIOF 9 M 1 ML x 1; BU_

72665; ALFAEPOETINA HU.RE ; ALFAEPOETINA HU RE; NOT FOUND; F.AMP 1000 IU 1 ML x 1; BU_

72667; ALFAEPOETINA HU.RE ; ALFAEPOETINA HU RE; NOT FOUND; F.AMP 2000 IU 1 ML x 12; BU_

68713; ALFAEPOETINA HU.RE ; ALFAEPOETINA HU RE; NOT FOUND; AMP. 4000 IU 1 ML x 1; BU_

