273257; OXCARBAZEPINA; OXCARBAZEPINA; OXCARBAZEPINA; 300 MG; NO_ACR; COMPRIMIDO; 0
379902; OSELTAMIVIR FOSFATO; OSELTAMIVIR FOSFATO; NOT FOUND; 30 MG; NO_ACR; CÃPSULA; 0

393731; OXICODONA CLORIDRATO; OXICODONA CLORIDRATO; NOT FOUND; 40 MG. LIBERACAO CONTROLADA; NO_ACR; COMPRIMIDO; 0

367929; ÃXIDO DE ZINCO; OXIDO ZINCO; OXIDO ZINCO; ASSOCIADO AO ENXOFRE. 250 MG + 20 MG/G. POMADA. ESPECIALEMENTE MANIPULADA; NO_ACR; POTE; 40.00 G

393729; OXICODONA CLORIDRATO; OXICODONA CLORIDRATO; NOT FOUND; 10 MG. LIBERACAO CONTROLADA; NO_ACR; COMPRIMIDO; 0

278916; OLIGOELEMENTOS; OLIGOELEMENTOS; NOT FOUND; CR. CU. MN. ZN. ADULTO. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 4.00 ML

267711; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 10 MG; NO_ACR; FRASCO-AMPOLA; 0

336431; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG. PO LIOFILO P/ INJETAVEL; NO_ACR; FRASCO-AMPOLA; 0

305727; OCTREOTIDA; OCTREOTIDA; OCTREOTIDA; 0.05 MG/ML. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 1.00 ML

271646; OXIMETAZOLINA CLORIDRATO; OXIMETAZOLINA CLORIDRATO; NOT FOUND; 0.50 MG/ML. SOLUCAO NASAL ADULTO. FRASCO NEBULIZADOR; NO_ACR; FRASCO; 10.00 ML

268160; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 40 MG. INJETAVEL; NO_ACR; NAO; INFORMADO

267713; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 40 MG; NO_ACR; COMPRIMIDO; 0

397391; ÃLEO DE SILICONE; OLEO SILICONE; NOT FOUND; 1.000 CPS. P/ USO INTRAOCULAR. C/ SERINGA APLICADORA; NO_ACR; FRASCO; 8.00 ML

308654; OMALIZUMABE; OMALIZUMABE; OMALIZUMABE; 150 MG. PO LIOFILO P/ INJETAVEL; NO_ACR; FRASCO-AMPOLA; 0

279493; ÃXIDO DE ZINCO; OXIDO ZINCO; OXIDO ZINCO; ASSOCIADO COM VITAMINA A + VITAMINA D. 150MG + 5.000UI + 900UI /G. POMADA; NO_ACR; BISNAGA; 45.00 G

270415; OXALIPLATINA; OXALIPLATINA; OXALIPLATINA; 50 MG. INJETAVEL; NO_ACR; FRASCO; 10.00 ML

267712; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG; NO_ACR; BLISTER; 56.00 UN

268297; OFLOXACINO; OFLOXACINO; OFLOXACINO; 400 MG; NO_ACR; COMPRIMIDO; 0

283157; ORFENADRINA CITRATO; ORFENADRINA CITRATO; NOT FOUND; ASSOCIADA COM DIPIRONA E CAFEINA. 35MG + 300MG + 50MG/ML. SOLUCAO ORAL/GOTAS; NO_ACR; FRASCO; 20.00 ML

272328; OXIBUTININA CLORIDRATO; OXIBUTININA CLORIDRATO; NOT FOUND; 1 MG/ML. XAROPE; NO_ACR; COMPRIMIDO; 0

273931; ORLISTATE; ORLISTATE; ORLISTATE; 120 MG; NO_ACR; CÃPSULA; 0

283156; ORFENADRINA CITRATO; ORFENADRINA CITRATO; NOT FOUND; ASSOCIADA COM DIPIRONA E CAFEINA. 35MG + 300MG + 50MG; NO_ACR; COMPRIMIDO; 0

397392; ÃLEO DE SILICONE; OLEO SILICONE; NOT FOUND; 5.000 CPS. P/ USO INTRAOCULAR. C/ SERINGA APLICADORA; NO_ACR; FRASCO; 8.00 ML

279493; ÃXIDO DE ZINCO; OXIDO ZINCO; OXIDO ZINCO; ASSOCIADO COM VITAMINA A + VITAMINA D. 150MG + 5.000UI + 900UI /G. POMADA; NO_ACR; BISNAGA; 60.00 G

287469; OXICONAZOL; OXICONAZOL; OXICONAZOL; NITRATO. 10 MG/G. CREME; NO_ACR; BISNAGA; 20.00 G

392714; ÃXIDO DE ZINCO; OXIDO ZINCO; OXIDO ZINCO; 200 MG/G. CREME; NO_ACR; BISNAGA; 60.00 G

401527; ÃXIDO DE ZINCO; OXIDO ZINCO; OXIDO ZINCO; 100 MG/G. POMADA; NO_ACR; POTE; 30.00 G

419015; ONDANSETRONA CLORIDRATO; ONDANSETRONA CLORIDRATO; NOT FOUND; 8 MG. COMPRIMIDO ORODISPERSIVEL; NO_ACR; COMPRIMIDO; 0

267712; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG; NO_ACR; COMPRIMIDO; 0

278895; OLIGOELEMENTOS; OLIGOELEMENTOS; NOT FOUND; CR. CU. MN. ZN. PEDIATRICO. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 2.00 ML

271648; OXIMETAZOLINA CLORIDRATO; OXIMETAZOLINA CLORIDRATO; NOT FOUND; 25 MG/ML. SOLUCAO OFTALMICA; NO_ACR; FRASCO; 30.00 ML

271637; ÃLEO DE RÃCINO; OLEO RICINO; OLEO RICINO; PURO; NO_ACR; FRASCO; 60.00 ML

342980; OCTREOTIDA; OCTREOTIDA; OCTREOTIDA; SAL ACETATO. 20 MG. PO LIOFILO P/ INJETAVEL. C/ SISTEMA DE APLICACAO; NO_ACR; FRASCO-AMPOLA; 0

365441; OXIBUTININA CLORIDRATO; OXIBUTININA CLORIDRATO; NOT FOUND; 10 MG. LIBERACAO CONTROLADA; NO_ACR; COMPRIMIDO; 0

280947; OFLOXACINO; OFLOXACINO; OFLOXACINO; 200 MG; NO_ACR; COMPRIMIDO; 0

271621; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG; NO_ACR; COMPRIMIDO; 0

279493; ÃXIDO DE ZINCO; OXIDO ZINCO; OXIDO ZINCO; ASSOCIADO COM VITAMINA A + VITAMINA D. 150MG + 5.000UI + 900UI /G. POMADA; NO_ACR; POTE; 30.00 G

268277; OCITOCINA; OCITOCINA; OCITOCINA; 5 UI/ML. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 1.00 ML

273256; OXCARBAZEPINA; OXCARBAZEPINA; OXCARBAZEPINA; 600 MG; NO_ACR; COMPRIMIDO; 0

401527; ÃXIDO DE ZINCO; OXIDO ZINCO; OXIDO ZINCO; 100 MG/G. POMADA; NO_ACR; BISNAGA; 45.00 G

279493; ÃXIDO DE ZINCO; OXIDO ZINCO; OXIDO ZINCO; ASSOCIADO COM VITAMINA A + VITAMINA D. 150MG + 5.000UI + 900UI /G. POMADA; NO_ACR; POTE; 40.00 G

273257; OXCARBAZEPINA; OXCARBAZEPINA; OXCARBAZEPINA; 300 MG; NO_ACR; FRASCO; 250.00 ML

388555; ORNITINA; ORNITINA; ORNITINA; SAL ASPARTATO. 500 MG/ML. SOLUCAO INJETAVEL; NO_ACR; ENVELOPE; 0

342980; OCTREOTIDA; OCTREOTIDA; OCTREOTIDA; SAL ACETATO. 20 MG. PO LIOFILO P/ INJETAVEL. C/ SISTEMA DE APLICACAO; NO_ACR; AMPOLA; 1.00 ML

271645; OXIMETAZOLINA CLORIDRATO; OXIMETAZOLINA CLORIDRATO; NOT FOUND; 0.50 MG/ML. SOLUCAO NASAL ADULTO. GOTAS; NO_ACR; FRASCO; 30.00 ML

393730; OXICODONA CLORIDRATO; OXICODONA CLORIDRATO; NOT FOUND; 20 MG. LIBERACAO CONTROLADA; NO_ACR; COMPRIMIDO; 0

381879; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL MAGNESICO. 10.3 MG; NO_ACR; COMPRIMIDO; 0

401527; ÃXIDO DE ZINCO; OXIDO ZINCO; OXIDO ZINCO; 100 MG/G. POMADA; NO_ACR; POTE; 40.00 G

271646; OXIMETAZOLINA CLORIDRATO; OXIMETAZOLINA CLORIDRATO; NOT FOUND; 0.50 MG/ML. SOLUCAO NASAL ADULTO. FRASCO NEBULIZADOR; NO_ACR; FRASCO; 30.00 ML

271620; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG; NO_ACR; FRASCO-AMPOLA; 0

305725; OCTREOTIDA; OCTREOTIDA; OCTREOTIDA; 0.1 MG/ML. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 1.00 ML

273902; ÃLEO DE AMÃNDOAS; OLEO AMENDOAS; OLEO AMENDOAS; DOCE. USO TOPICO; NO_ACR; FRASCO; 100.00 ML

268506; ONDANSETRONA CLORIDRATO; ONDANSETRONA CLORIDRATO; NOT FOUND; 4 MG; NO_ACR; AMPOLA; 4.00 ML

296741; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; 20 MG; NO_ACR; COMPRIMIDO; 0

267712; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG; NO_ACR; CÃPSULA; 0

397333; OTILÃNIO BROMETO; OTILONIO BROMETO; NOT FOUND; 40 MG; NO_ACR; COMPRIMIDO; 0

267711; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 10 MG; NO_ACR; FRASCO; 50.00 ML

268277; OCITOCINA; OCITOCINA; OCITOCINA; 5 UI/ML. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 5.00 ML

267713; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 40 MG; NO_ACR; CÃPSULA; 0

348352; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 2 MG/ML. SUSPENSAO ORAL. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; FRASCO; 50.00 ML

388401; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; ASSOCIADA COM ANLODIPINO. 40 MG + 5 MG; NO_ACR; COMPRIMIDO; 0

268505; ONDANSETRONA CLORIDRATO; ONDANSETRONA CLORIDRATO; NOT FOUND; 8 MG; NO_ACR; AMPOLA; 4.00 ML

268505; ONDANSETRONA CLORIDRATO; ONDANSETRONA CLORIDRATO; NOT FOUND; 8 MG; NO_ACR; COMPRIMIDO; 0

401527; ÃXIDO DE ZINCO; OXIDO ZINCO; OXIDO ZINCO; 100 MG/G. POMADA; NO_ACR; BISNAGA; 90.00 G

268160; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 40 MG. INJETAVEL; NO_ACR; FRASCO; 50.00 ML

305751; ONDANSETRONA CLORIDRATO; ONDANSETRONA CLORIDRATO; NOT FOUND; 8 MG/ML. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 2.00 ML

278895; OLIGOELEMENTOS; OLIGOELEMENTOS; NOT FOUND; CR. CU. MN. ZN. PEDIATRICO. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 4.00 ML

282827; ÃLEO VEGETAL COMPOSTO; OLEO VEGETAL COMPOSTO; NOT FOUND; ACIDO ERUCICO + ACIDO OLEICO. NA PROPORCAO DE 4:1. USO ORAL; NO_ACR; FRASCO; 500.00 ML

290891; OXAMNIQUINA; OXAMNIQUINA; OXAMNIQUINA; 50 MG/ML. SUSPENSAO ORAL; NO_ACR; FRASCO; 12.00 ML

342979; OCTREOTIDA; OCTREOTIDA; OCTREOTIDA; SAL ACETATO. 10 MG. PO LIOFILO P/ INJETAVEL. C/ SISTEMA DE APLICACAO; NO_ACR; AMPOLA; 1.00 ML

305751; ONDANSETRONA CLORIDRATO; ONDANSETRONA CLORIDRATO; NOT FOUND; 8 MG/ML. SOLUCAO INJETAVEL; NO_ACR; COMPRIMIDO; 0

268160; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 40 MG. INJETAVEL; NO_ACR; FRASCO-AMPOLA; 0

270416; OXALIPLATINA; OXALIPLATINA; OXALIPLATINA; 100 MG. INJETAVEL; NO_ACR; FRASCO-AMPOLA; 0

273902; ÃLEO DE AMÃNDOAS; OLEO AMENDOAS; OLEO AMENDOAS; DOCE. USO TOPICO; NO_ACR; FRASCO; 1000.00 ML

273902; ÃLEO DE AMÃNDOAS; OLEO AMENDOAS; OLEO AMENDOAS; DOCE. USO TOPICO; NO_ACR; FRASCO; 60.00 ML

267713; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 40 MG; NO_ACR; FRASCO; 50.00 ML

305726; OCTREOTIDA; OCTREOTIDA; OCTREOTIDA; 0.5 MG/ML. SOLUCAO INJETAVEL; NO_ACR; FRASCO-AMPOLA; 0

401411; ÃXIDO DE ZINCO; OXIDO ZINCO; OXIDO ZINCO; ASSOCIADO COM VITAMINA A + VITAMINA D. 100 MG + 1.000 UI + 400 UI/G. POMADA; NO_ACR; BISNAGA; 60.00 G

422474; OXANDROLONA; OXANDROLONA; OXANDROLONA; 10 MG. P/ USO ORAL. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; CÃPSULA; 0

271645; OXIMETAZOLINA CLORIDRATO; OXIMETAZOLINA CLORIDRATO; NOT FOUND; 0.50 MG/ML. SOLUCAO NASAL ADULTO. GOTAS; NO_ACR; FRASCO; 20.00 ML

268506; ONDANSETRONA CLORIDRATO; ONDANSETRONA CLORIDRATO; NOT FOUND; 4 MG; NO_ACR; AMPOLA; 2.00 ML

271645; OXIMETAZOLINA CLORIDRATO; OXIMETAZOLINA CLORIDRATO; NOT FOUND; 0.50 MG/ML. SOLUCAO NASAL ADULTO. GOTAS; NO_ACR; FRASCO; 10.00 ML

267713; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 40 MG; NO_ACR; FRASCO-AMPOLA; 0

367929; ÃXIDO DE ZINCO; OXIDO ZINCO; OXIDO ZINCO; ASSOCIADO AO ENXOFRE. 250 MG + 20 MG/G. POMADA. ESPECIALEMENTE MANIPULADA; NO_ACR; BISNAGA; 90.00 G

388556; ORNITINA; ORNITINA; ORNITINA; SAL ASPARTATO. 3 G. PO GRANULADO; NO_ACR; ENVELOPE; 0

270415; OXALIPLATINA; OXALIPLATINA; OXALIPLATINA; 50 MG. INJETAVEL; NO_ACR; FRASCO-AMPOLA; 0

272328; OXIBUTININA CLORIDRATO; OXIBUTININA CLORIDRATO; NOT FOUND; 1 MG/ML. XAROPE; NO_ACR; FRASCO; 60.00 ML

275477; OFLOXACINO; OFLOXACINO; OFLOXACINO; 3 MG/ML. SOLUCAO OFTALMICA; NO_ACR; FRASCO; 5.00 ML

343212; OCITOCINA; OCITOCINA; OCITOCINA; 40 UI/ML. SOLUCAO NASAL - SPRAY; NO_ACR; FRASCO; 5.00 ML

271620; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG; NO_ACR; COMPRIMIDO; 0

388399; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; ASSOCIADA COM ANLODIPINO. 20 MG + 5 MG; NO_ACR; COMPRIMIDO; 0

296743; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; ASSOCIADA COM HIDROCLOROTIAZIDA. 40 MG + 12.5 MG; NO_ACR; COMPRIMIDO; 0

342981; OCTREOTIDA; OCTREOTIDA; OCTREOTIDA; SAL ACETATO. 30 MG. PO LIOFILO P/ INJETAVEL. C/ SISTEMA DE APLICACAO; NO_ACR; AMPOLA; 1.00 ML

271648; OXIMETAZOLINA CLORIDRATO; OXIMETAZOLINA CLORIDRATO; NOT FOUND; 25 MG/ML. SOLUCAO OFTALMICA; NO_ACR; FRASCO; 20.00 ML

271647; OXIMETAZOLINA CLORIDRATO; OXIMETAZOLINA CLORIDRATO; NOT FOUND; 0.25 MG/ML. SOLUCAO NASAL PEDIATRICA. GOTAS; NO_ACR; FRASCO; 10.00 ML

392714; ÃXIDO DE ZINCO; OXIDO ZINCO; OXIDO ZINCO; 200 MG/G. CREME; NO_ACR; POTE; 40.00 G

342979; OCTREOTIDA; OCTREOTIDA; OCTREOTIDA; SAL ACETATO. 10 MG. PO LIOFILO P/ INJETAVEL. C/ SISTEMA DE APLICACAO; NO_ACR; FRASCO-AMPOLA; 0

401411; ÃXIDO DE ZINCO; OXIDO ZINCO; OXIDO ZINCO; ASSOCIADO COM VITAMINA A + VITAMINA D. 100 MG + 1.000 UI + 400 UI/G. POMADA; NO_ACR; BISNAGA; 90.00 G

271644; OXIMETOLONA; OXIMETOLONA; OXIMETOLONA; 50 MG; NO_ACR; COMPRIMIDO; 0

296120; OXIBUPROCAÃNA; OXIBUPROCAINA; OXIBUPROCAINA; 4 MG/ML. SOLUCAO OFTALMICA; NO_ACR; FRASCO; 10.00 ML

268504; ONDANSETRONA CLORIDRATO; ONDANSETRONA CLORIDRATO; NOT FOUND; 2 MG/ML. INJETAVEL; NO_ACR; AMPOLA; 2.00 ML

367929; ÃXIDO DE ZINCO; OXIDO ZINCO; OXIDO ZINCO; ASSOCIADO AO ENXOFRE. 250 MG + 20 MG/G. POMADA. ESPECIALEMENTE MANIPULADA; NO_ACR; POTE; 30.00 G

305726; OCTREOTIDA; OCTREOTIDA; OCTREOTIDA; 0.5 MG/ML. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 1.00 ML

296742; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; 40 MG; NO_ACR; COMPRIMIDO; 0

306947; OSELTAMIVIR FOSFATO; OSELTAMIVIR FOSFATO; NOT FOUND; 75 MG; NO_ACR; CÃPSULA; 0

419016; ONDANSETRONA CLORIDRATO; ONDANSETRONA CLORIDRATO; NOT FOUND; 4 MG. COMPRIMIDO ORODISPERSIVEL; NO_ACR; COMPRIMIDO; 0

305725; OCTREOTIDA; OCTREOTIDA; OCTREOTIDA; 0.1 MG/ML. SOLUCAO INJETAVEL; NO_ACR; FRASCO-AMPOLA; 0

267711; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 10 MG; NO_ACR; COMPRIMIDO; 0

392714; ÃXIDO DE ZINCO; OXIDO ZINCO; OXIDO ZINCO; 200 MG/G. CREME; NO_ACR; BISNAGA; 45.00 G

273257; OXCARBAZEPINA; OXCARBAZEPINA; OXCARBAZEPINA; 300 MG; NO_ACR; COMPRIMIDO; 0

267712; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG; NO_ACR; FRASCO-AMPOLA; 0

354633; OLOPATADINA CLORIDRATO; OLOPATADINA CLORIDRATO; NOT FOUND; 2 MG/ML. SOLUCAO OFTALMICA; NO_ACR; FRASCO; 5.00 ML

268507; ONDANSETRONA CLORIDRATO; ONDANSETRONA CLORIDRATO; NOT FOUND; 4 MG/ML. INJETAVEL; NO_ACR; AMPOLA; 2.00 ML

273255; OXCARBAZEPINA; OXCARBAZEPINA; OXCARBAZEPINA; 60 MG/ML. SUSPENSAO ORAL; NO_ACR; FRASCO; 100.00 ML

379962; OSELTAMIVIR FOSFATO; OSELTAMIVIR FOSFATO; NOT FOUND; 45 MG; NO_ACR; CÃPSULA; 0

388402; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; ASSOCIADA COM ANLODIPINO. 40 MG + 10 MG; NO_ACR; COMPRIMIDO; 0

305751; ONDANSETRONA CLORIDRATO; ONDANSETRONA CLORIDRATO; NOT FOUND; 8 MG/ML. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 4.00 ML

342981; OCTREOTIDA; OCTREOTIDA; OCTREOTIDA; SAL ACETATO. 30 MG. PO LIOFILO P/ INJETAVEL. C/ SISTEMA DE APLICACAO; NO_ACR; FRASCO-AMPOLA; 0

270416; OXALIPLATINA; OXALIPLATINA; OXALIPLATINA; 100 MG. INJETAVEL; NO_ACR; FRASCO; 10.00 ML

268507; ONDANSETRONA CLORIDRATO; ONDANSETRONA CLORIDRATO; NOT FOUND; 4 MG/ML. INJETAVEL; NO_ACR; AMPOLA; 4.00 ML

268504; ONDANSETRONA CLORIDRATO; ONDANSETRONA CLORIDRATO; NOT FOUND; 2 MG/ML. INJETAVEL; NO_ACR; AMPOLA; 4.00 ML

268505; ONDANSETRONA CLORIDRATO; ONDANSETRONA CLORIDRATO; NOT FOUND; 8 MG; NO_ACR; AMPOLA; 2.00 ML

381880; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL MAGNESICO. 20.6 MG; NO_ACR; COMPRIMIDO; 0

365440; OXIBUTININA CLORIDRATO; OXIBUTININA CLORIDRATO; NOT FOUND; 5 MG. LIBERACAO CONTROLADA; NO_ACR; COMPRIMIDO; 0

268504; ONDANSETRONA CLORIDRATO; ONDANSETRONA CLORIDRATO; NOT FOUND; 2 MG/ML. INJETAVEL; NO_ACR; FRASCO; 50.00 ML

278916; OLIGOELEMENTOS; OLIGOELEMENTOS; NOT FOUND; CR. CU. MN. ZN. ADULTO. SOLUCAO INJETAVEL; NO_ACR; AMPOLA; 2.00 ML

271621; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG; NO_ACR; FRASCO-AMPOLA; 0

279493; ÃXIDO DE ZINCO; OXIDO ZINCO; OXIDO ZINCO; ASSOCIADO COM VITAMINA A + VITAMINA D. 150MG + 5.000UI + 900UI /G. POMADA; NO_ACR; BISNAGA; 90.00 G

272328; OXIBUTININA CLORIDRATO; OXIBUTININA CLORIDRATO; NOT FOUND; 1 MG/ML. XAROPE; NO_ACR; FRASCO; 120.00 ML

267711; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 10 MG; NO_ACR; CÃPSULA; 0

401411; ÃXIDO DE ZINCO; OXIDO ZINCO; OXIDO ZINCO; ASSOCIADO COM VITAMINA A + VITAMINA D. 100 MG + 1.000 UI + 400 UI/G. POMADA; NO_ACR; BISNAGA; 45.00 G

272327; OXIBUTININA CLORIDRATO; OXIBUTININA CLORIDRATO; NOT FOUND; 5 MG; NO_ACR; COMPRIMIDO; 0

270416; OXALIPLATINA; OXALIPLATINA; OXALIPLATINA; 100 MG. INJETAVEL; NO_ACR; FRASCO; 20.00 ML

273810; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG; NO_ACR; COMPRIMIDO; 0

268506; ONDANSETRONA CLORIDRATO; ONDANSETRONA CLORIDRATO; NOT FOUND; 4 MG; NO_ACR; COMPRIMIDO; 0

