81082; HIDRADEEP ; HIDRADEEP; NOT FOUND; BAST LAB F30 5.50 G x 1; A4H

59362; HALO DECANOATO ; HALO DECANOATO; NOT FOUND; A.IM 50 MG 1 ML x 3 (/ML); CT6

53728; HALO ; HALO; NOT FOUND; GOTAS 2 MG 20 ML x 10 (/ML); CT6

84957; HYSEAC ; HYSEAC; NOT FOUND; GEL LIMPEZA 150 ML x 1; CT6

53724; HALO ; HALO; NOT FOUND; CPR 5 MG x 200; CT6

58948; HALO ; HALO; NOT FOUND; CPR BLISTER 1 MG x 200; CT6

52510; HALO ; HALO; NOT FOUND; GOTAS 2 MG 20 ML x 1 (/ML); CT6

51824; HALO ; HALO; NOT FOUND; AMP. 5 MG 1 ML x 50; CT6

51825; HEPARIN ; HEPARIN; NOT FOUND; F.AMP 5000 IU 5 ML x 25 (/ML); CT6

78336; HEMOFOL ; HEMOFOL; NOT FOUND; F.AMP S.C 5 K 5 ML x 25; CT6

78335; HEMOFOL ; HEMOFOL; NOT FOUND; F.AMP S.C 5 K 0.25 ML x 25; CT6

53729; HALOTHANO ; HALOTHANO; NOT FOUND; LIQD 100 ML x 1; CT6

53730; HALOTHANO ; HALOTHANO; NOT FOUND; LIQD 250 ML x 1; CT6

84956; HYSEAC ; HYSEAC; NOT FOUND; EMULS 40 ML x 1; CT6

84954; HYSEAC ; HYSEAC; NOT FOUND; FLUIDO FPS50 50 ML x 1; CT6

51826; HEPARIN ; HEPARIN; NOT FOUND; F.AMP SUCC 5000 IU 5 ML x 25 (/ML); CT6

63796; HEPTAR ; HEPTAR; NOT FOUND; F.AMP 5000 IU 5 ML x 50; EUF

159932; HOLMES H ; HOLMES H; NOT FOUND; CPR REVEST 40 MG x 10 (/25); EUF

48821; HYDROPLUS ; HYDROPLUS; NOT FOUND; LIQD SOB.FRA 25 ML x 2; EUF

159928; HOLMES H ; HOLMES H; NOT FOUND; CPR REVEST 40 MG x 30 (/12.); EUF

82337; HEIMER ; HEIMER; NOT FOUND; CPR 10 MG x 30; EUF

159929; HOLMES H ; HOLMES H; NOT FOUND; CPR REVEST 40 MG x 30 (/25); EUF

82344; HEIMER ; HEIMER; NOT FOUND; CPR 10 MG x 15; EUF

159927; HOLMES H ; HOLMES H; NOT FOUND; CPR REVEST 20 MG x 30 (/12.); EUF

82343; HEIMER ; HEIMER; NOT FOUND; CPR 10 MG x 60; EUF

75418; HISOCEL ; HISOCEL; NOT FOUND; BOLSA. 500 ML x 20; FRS

45674; HISOCEL ; HISOCEL; NOT FOUND; SOLN INJ EQU 3.50 % 500 ML x 1; FRS

69558; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 25 MG x 30; GM2

91050; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 4.50 MG x 30; GM2

69746; HIDROCORTISONA MG ; HIDROCORTISONA; HIDROCORTISONA; SOLN CAPIL 10 MG 60 ML x 1 (/ML); GM2

70001; HIDROCORTISONA MG ; HIDROCORTISONA; HIDROCORTISONA; POM. 10 MG 30 G x 1 (/G); GM2

91049; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 3 MG x 30; GM2

76135; HORMOSKIN ; HORMOSKIN; NOT FOUND; CREME DERMAT 15 G x 1; GM2

76987; HIDR+TRE+AC FLU MG ; HIDR TRE AC FLU; NOT FOUND; CREME DERMAT 15 G x 1; GM2

69557; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 50 MG x 20; GM2

91047; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 1.50 MG x 30; GM2

80679; HERPSTAL ; HERPSTAL; NOT FOUND; CPR REVEST 500 MG x 10; GM2

77023; HIDROQUINONA MG ; HIDROQUINONA; HIDROQUINONA; CREME 40 MG 30 G x 1 (/G); GM2

80448; HIFFILS ; HIFFILS; NOT FOUND; CREME. 50 ML x 1; GM2

95123; HEM ZOLPIDEM MG ; HEM ZOLPIDEM; NOT FOUND; CPR REVEST 10 MG x 20; GM2

75460; HIDROQUINONA MG ; HIDROQUINONA; HIDROQUINONA; GEL. 40 MG 30 G x 1 (/G); GM2

91051; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 6 MG x 30; GM2

98556; HYDRACELL ; HYDRACELL; NOT FOUND; LOC CREMOSA 200 ML x 1; GM2

98554; HYDRACELL ; HYDRACELL; NOT FOUND; LOC CREMOSA 120 ML x 1; GM2

76136; HORMOSKIN ; HORMOSKIN; NOT FOUND; CREME DERMAT 30 G x 1; GM2

111995; HIALYTOPIC ; HIALYTOPIC; NOT FOUND; CREME 45+ 30 G x 1; GMK

111992; HIALYTOPIC ; HIALYTOPIC; NOT FOUND; CREME 30+ 30 G x 1; GMK

111999; HIALYTOPIC ; HIALYTOPIC; NOT FOUND; CREME 60+ 30 G x 1; GMK

67105; HPVIR ; HPVIR; NOT FOUND; CPR 200 MG x 500; GOB

71907; HYSTIN ; HYSTIN; NOT FOUND; CPR 2 MG x 500; GOB

63744; HYSTIN ; HYSTIN; NOT FOUND; CPR 2 MG x 20; GOB

69284; HPVIR ; HPVIR; NOT FOUND; CREME 50 MG 10 G x 1 (/G); GOB

69854; HIDROLAN ; HIDROLAN; NOT FOUND; CPR 50 MG x 500; GOB

63743; HIDROLAN ; HIDROLAN; NOT FOUND; CPR 50 MG x 20; GOB

64917; HPVIR ; HPVIR; NOT FOUND; CPR 200 MG x 25; GOB

67823; HPVIR ; HPVIR; NOT FOUND; CPR 200 MG x 10; GOB

70315; HYSTIN ; HYSTIN; NOT FOUND; XAR. 2 MG 120 ML x 1 (/5ML); GOB

73069; HYDROLIPIDIQUE ; HYDROLIPIDIQUE; NOT FOUND; LOC. 40 ML x 1; GRO

67270; HYDRACRISTAL ; HYDRACRISTAL; NOT FOUND; FLUIDO 40 ML x 1; GRO

5379; HIDRION ; HIDRION; NOT FOUND; CPR x 20; GRO

57869; HIDRION ; HIDRION; NOT FOUND; CPR x 30; GRO

5238; HEMATIASE B12 ; HEMATIASE B12; NOT FOUND; LIQD 150 ML x 1; GRO

52646; HENETIX ; HENETIX; NOT FOUND; F.IV 350 MG 50 ML x 1 (/ML); GUE

52645; HENETIX ; HENETIX; NOT FOUND; F.IV 300 MG 100 ML x 1 (/ML); GUE

52647; HENETIX ; HENETIX; NOT FOUND; F.IV 350 MG 100 ML x 1 (/ML); GUE

52644; HENETIX ; HENETIX; NOT FOUND; F.IV 300 MG 50 ML x 1 (/ML); GUE

76847; HIPOFOL ; HIPOFOL; NOT FOUND; CPR 5 MG x 40; HPO

76023; HIPOFOL ; HIPOFOL; NOT FOUND; CPR 5 MG x 500; HPO

67724; HYPOCAINA ; HYPOCAINA; NOT FOUND; F.AMP S/VAS 2 % 5 ML x 100; HYP

67238; HYPONOR ; HYPONOR; NOT FOUND; AMP.INFUSION 8 MG 4 ML x 10; HYP

65095; HYVIT ; HYVIT; NOT FOUND; AMP. 500 MG 5 ML x 100; HYP

65085; HYDREN ; HYDREN; NOT FOUND; AMP. 1 ML x 100; HYP

65096; HYVIT ; HYVIT; NOT FOUND; AMP. 1 G 5 ML x 100; HYP

67723; HYPOCAINA ; HYPOCAINA; NOT FOUND; F.AMP C/VAS 2 % 20 ML x 25; HYP

44196; HYFILINA ; HYFILINA; NOT FOUND; AMP. 240 MG 10 ML x 100; HYP

43897; HYPOCALCIO ; HYPOCALCIO; NOT FOUND; AMP. 10 % 10 ML x 100; HYP

67824; HYPOCAINA HIPERB. ; HYPOCAINA HIPERB; NOT FOUND; AMP. 2 ML x 50; HYP

65093; HYTROPIN ; HYTROPIN; NOT FOUND; AMP. 0.25 MG 1 ML x 100; HYP

56137; HYPLEX B ; HYPLEX B; NOT FOUND; AMP. 2 ML x 100; HYP

65089; HYNALGIN ; HYNALGIN; NOT FOUND; AMP. 50 % 2 ML x 100; HYP

73197; HYTAMICINA ; HYTAMICINA; NOT FOUND; AMP. 80 MG 2 ML x 100; HYP

65094; HYTROPIN ; HYTROPIN; NOT FOUND; AMP. 0.50 MG 1 ML x 100; HYP

65092; HYPOSIL ; HYPOSIL; NOT FOUND; AMP. 10 MG 2 ML x 100; HYP

70547; HYLINC ; HYLINC; NOT FOUND; AMP. 600 MG 2 ML x 50; HYP

65090; HYPOCINA ; HYPOCINA; NOT FOUND; AMP. 20 MG 1 ML x 100 (/ML); HYP

69883; HYPOCINA COMPOSTA ; HYPOCINA COMPOSTA; NOT FOUND; A.IV 5 ML x 50; HYP

73011; HYPOMAGNE ; HYPOMAGNE; NOT FOUND; AMP. 50 % 10 ML x 100; HYP

65087; HYNALGIN ; HYNALGIN; NOT FOUND; AMP. 50 % 5 ML x 100; HYP

77388; HYCLIN ; HYCLIN; NOT FOUND; AMP. 600 MG 4 ML x 50; HYP

65084; HYCIMET ; HYCIMET; NOT FOUND; AMP. 300 MG 2 ML x 100; HYP

67722; HYPOCAINA ; HYPOCAINA; NOT FOUND; F.AMP S/VAS 1 % 20 ML x 25; HYP

62598; HYPOVERIN ; HYPOVERIN; NOT FOUND; AMP. 2 ML x 10; HYP

67239; HYPONOR ; HYPONOR; NOT FOUND; AMP.INFUSION 8 MG 4 ML x 50; HYP

77648; HIDAZOL ; HIDAZOL; NOT FOUND; SOL INJ BOLS 5 MG 100 ML x 60 (/ML); H_I

61362; HICONAZOL ; HICONAZOL; NOT FOUND; F.IV INFUSAO 2 MG 100 ML x 1 (/ML); H_I

61364; HIFLOXAN ; HIFLOXAN; NOT FOUND; F.IV INFUSAO 400 MG 200 ML x 1; H_I

51643; HIDAZOL ; HIDAZOL; NOT FOUND; SOLN INJ. 0.50 % 100 ML x 1; H_I

61363; HIFLOXAN ; HIFLOXAN; NOT FOUND; F.IV INFUSAO 200 MG 100 ML x 1; H_I

67473; HIDAZOL ; HIDAZOL; NOT FOUND; SOL INJ BOLS 5 % 100 ML x 1; H_I

28226; HALDOL ; HALDOL; NOT FOUND; GOTAS 2 MG 20 ML x 1 (/ML); J_C

64657; HALDOL ; HALDOL; NOT FOUND; GOTAS 2 MG 30 ML x 1 (/ML); J_C

58125; HALDOL DECANOATO ; HALDOL DECANOATO; NOT FOUND; A.IM 50 MG 1 ML x 5; J_C

28225; HALDOL ; HALDOL; NOT FOUND; CPR 1 MG x 20; J_C

58124; HALDOL ; HALDOL; NOT FOUND; AMP. 5 MG 1 ML x 5; J_C

28623; HALDOL ; HALDOL; NOT FOUND; CPR 5 MG x 20; J_C

58267; HYPNOMIDATE ; HYPNOMIDATE; NOT FOUND; A.IV 2 MG 10 ML x 5 (/ML); J_C

75942; HIDROQUINONA MG ; HIDROQUINONA; HIDROQUINONA; GEL DERMAT. 40 MG 30 G x 1 (/G); LG6

69535; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 50 MG x 20; LG6

69772; HIDROCORTISONA MG ; HIDROCORTISONA; HIDROCORTISONA; SOLN CAPIL 10 MG 60 ML x 1 (/ML); LG6

68772; HALOPERIDOL MG ; HALOPERIDOL; HALOPERIDOL; GOTAS 2 MG 20 ML x 1 (/ML); LG6

49004; HIDROCORTE ; HIDROCORTE; NOT FOUND; CREME 20 G x 1; LG6

77436; HIDR+TRE+AC FLU MG ; HIDR TRE AC FLU; NOT FOUND; CREME DERMAT 15 G x 1; LG6

53375; HIDRABENE ; HIDRABENE; NOT FOUND; POLVO ENVELO 27.9 G x 4; LG6

70313; HIDROCORTISONA MG ; HIDROCORTISONA; HIDROCORTISONA; POM. 10 MG 30 G x 1 (/G); LG6

69536; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 25 MG x 30; LG6

104608; HEDRA EXPEC ; HEDRA EXPEC; NOT FOUND; XAROPE 7 MG 200 ML x 1 (/ML); LG6

77310; HIDROQUINONA MG ; HIDROQUINONA; HIDROQUINONA; CREME DERMAT 40 MG 30 G x 1 (/G); LG6

77437; HIDR+TRE+AC FLU MG ; HIDR TRE AC FLU; NOT FOUND; CREME DERMAT 30 G x 1; LG6

104607; HEDRA EXPEC ; HEDRA EXPEC; NOT FOUND; XAROPE 7 MG 100 ML x 1 (/ML); LG6

96200; HEM ZOLPIDEM MG ; HEM ZOLPIDEM; NOT FOUND; CPR REVEST 10 MG x 20; LG6

56022; HIDRAPLUS ; HIDRAPLUS; NOT FOUND; SOLN FRAMBOE 25 ML x 2; LR3

56024; HIDRAPLUS ; HIDRAPLUS; NOT FOUND; SOLN NATURAL 25 ML x 2; LR3

56023; HIDRAPLUS ; HIDRAPLUS; NOT FOUND; SOLN LARANJA 25 ML x 2; LR3

74515; HIDROMAX ; HIDROMAX; NOT FOUND; PO ENV.FRAMB 7.33 G x 4; MB9

70542; HIDROMAX ; HIDROMAX; NOT FOUND; PO ENVELOPE 7.33 G x 4; MB9

70546; HIDROMAX ; HIDROMAX; NOT FOUND; PO ENV.LARAN 7.33 G x 50; MB9

70543; HIDROMAX ; HIDROMAX; NOT FOUND; PO ENVELOPE 7.33 G x 50; MB9

70250; HIDRAZIM ; HIDRAZIM; NOT FOUND; CPR 25 MG x 20; MB9

70545; HIDROMAX ; HIDROMAX; NOT FOUND; PO ENV.FRAMB 7.33 G x 50; MB9

74516; HIDROMAX ; HIDROMAX; NOT FOUND; PO ENV.LARAN 7.33 G x 4; MB9

70544; HIDROMAX ; HIDROMAX; NOT FOUND; PO ENV.COCO 7.33 G x 50; MB9

70249; HIDRAZIM ; HIDRAZIM; NOT FOUND; CPR 50 MG x 20; MB9

74514; HIDROMAX ; HIDROMAX; NOT FOUND; PO ENV.COCO 7.33 G x 4; MB9

75025; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 25 MG x 30; MD7

82369; HIDR+TRE+AC FLU MG ; HIDR TRE AC FLU; NOT FOUND; CREME 15 G x 1; MD7

82377; HIDR+TRE+AC FLU MG ; HIDR TRE AC FLU; NOT FOUND; CREME 30 G x 1; MD7

75183; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 50 MG x 20; MD7

85662; HIDROFLUX ; HIDROFLUX; NOT FOUND; CPR 25 MG x 60; MDQ

75563; HIDROXIMED ; HIDROXIMED; NOT FOUND; SUSP 61.5 MG 240 ML x 1 (/ML); MDQ

150185; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 25 MG x 60; MDQ

150184; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 25 MG x 30; MDQ

82739; HIDROFLUX ; HIDROFLUX; NOT FOUND; CPR 25 MG x 30; MDQ

64213; HIDROFLUX ; HIDROFLUX; NOT FOUND; CPR 50 MG x 20; MDQ

86864; HORA H UNO ; HORA H UNO; NOT FOUND; CPR 1.50 MG x 1; ME4

78051; HIDRAPLEX ; HIDRAPLEX; NOT FOUND; PO ENV GUARA 28.8 G x 4; NAU

91405; HIDRALYTE ; HIDRALYTE; NOT FOUND; LIQ 45 T FRU 500 ML x 1; NAU

78552; HIDRAPLEX ; HIDRAPLEX; NOT FOUND; PO ENV NATU 2.79 G x 50; NAU

77468; HIDRAPLEX ; HIDRAPLEX; NOT FOUND; PO ENV NATU 27.9 G x 4; NAU

91404; HIDRALYTE ; HIDRALYTE; NOT FOUND; LIQ 45 GUARA 500 ML x 1; NAU

78053; HIDRAPLEX ; HIDRAPLEX; NOT FOUND; PO ENV T FRU 28.8 G x 4; NAU

78050; HIDRAPLEX ; HIDRAPLEX; NOT FOUND; PO ENV COCO 28.8 G x 4; NAU

92512; HIDRALYTE ; HIDRALYTE; NOT FOUND; LIQ 45 LARA 500 ML x 1; NAU

77022; HELMILAB ; HELMILAB; NOT FOUND; SUSP 20 MG 30 ML x 1 (/ML); NAU

92514; HIDRALYTE ; HIDRALYTE; NOT FOUND; LIQ 45 UVA 500 ML x 1; NAU

91406; HIDRALYTE ; HIDRALYTE; NOT FOUND; LIQ 45 A COC 500 ML x 1; NAU

78052; HIDRAPLEX ; HIDRAPLEX; NOT FOUND; PO ENV LARAN 28.8 G x 4; NAU

78118; HIDRAPLEX ; HIDRAPLEX; NOT FOUND; PO ENV UVA 27.9 G x 4; NAU

96971; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 1.50 MG x 30; NQA

96981; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 6 MG x 30; NQA

114527; HIDROQUINONA MG ; HIDROQUINONA; HIDROQUINONA; CREME 40 MG 30 G x 1 (/G); NQA

140529; HIDR+TRE+AC FLU MG ; HIDR TRE AC FLU; NOT FOUND; CREME DERM 15 G x 1; NQA

96378; HEM ZOLPIDEM MG ; HEM ZOLPIDEM; NOT FOUND; CPR REVEST 10 MG x 20; NQA

96979; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 4.50 MG x 30; NQA

140530; HIDR+TRE+AC FLU MG ; HIDR TRE AC FLU; NOT FOUND; CREME DERM 30 G x 1; NQA

97187; HEM ZOLPIDEM MG ; HEM ZOLPIDEM; NOT FOUND; CPR REVEST 10 MG x 10; NQA

96976; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 3 MG x 30; NQA

78211; HEMORROYDINA ; HEMORROYDINA; NOT FOUND; POM. 25 G x 1; NV7

89072; HIGROTON ; HIGROTON; NOT FOUND; CPR 25 MG x 14; NVR

31668; HYDERGINE ; HYDERGINE; NOT FOUND; CPR 4.50 MG x 14; NVR

47398; HIGROTON ; HIGROTON; NOT FOUND; CPR 50 MG x 28; NVR

51696; HYDERGINE SRO ; HYDERGINE SRO; NOT FOUND; CAPS L.P. 6 MG x 14; NVR

95751; HIGROTON ; HIGROTON; NOT FOUND; CPR 12.5 MG x 14; NVR

46435; HIGROTON ; HIGROTON; NOT FOUND; CPR 25 MG x 42; NVR

28626; HYDERGINE ; HYDERGINE; NOT FOUND; CAPS 1 MG x 36; NVR

5502; HYDERGINE ; HYDERGINE; NOT FOUND; GOTAS 1 MG 30 ML x 1 (/ML); NVR

32129; HYDERGINE ; HYDERGINE; NOT FOUND; GOTAS 4.50 MG 15 ML x 1 (/ML); NVR

54601; HYPOTEARS PLUS DU ; HYPOTEARS PLUS DU; NOT FOUND; FLACONETES 50 MG 0.40 ML x 20 (/; NVR

27923; HIGROTON RES. ; HIGROTON RES; NOT FOUND; CPR 50 MG x 20; NVR

49594; HIGROTON ; HIGROTON; NOT FOUND; CPR 12.5 MG x 42; NVR

52981; HYDERGINE SRO ; HYDERGINE SRO; NOT FOUND; CAPS L.P. 6 MG x 28; NVR

5499; HYDERGINE ; HYDERGINE; NOT FOUND; AMP. 1 MG 1 ML x 50; NVR

64788; HIDRATIL 45 ; HIDRATIL 45; NOT FOUND; PO ENV.FRAMB 15.1 G x 12; N_Q

53435; HECLIVIR ; HECLIVIR; NOT FOUND; CREME 0.50 % 10 G x 1; N_Q

62500; HIDRATIL 90 ; HIDRATIL 90; NOT FOUND; PO ENVELOPE 14.1 G x 50; N_Q

92863; HISTAMIN ; HISTAMIN; NOT FOUND; CREME 10 MG 30 G x 1 (/G); N_Q

61665; HIDRATIL 90 ; HIDRATIL 90; NOT FOUND; PO ENVELOPE 14.1 G x 12; N_Q

52769; HIPERNOLOL ; HIPERNOLOL; NOT FOUND; CPR 40 MG x 40; N_Q

63013; HIDRATIL 45 ; HIDRATIL 45; NOT FOUND; PO ENV.LARAN 15.1 G x 12; N_Q

50984; HISTAMIN ; HISTAMIN; NOT FOUND; CPR 2 MG x 20; N_Q

50985; HISTAMIN ; HISTAMIN; NOT FOUND; LIQD 2 MG 100 ML x 1; N_Q

50983; HIPODERMON ; HIPODERMON; NOT FOUND; POM. 45 G x 1; N_Q

78119; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 25 MG x 30; N_Q

55782; HIPERNOLOL ; HIPERNOLOL; NOT FOUND; CPR 80 MG x 20; N_Q

85245; HISTAMIN EXPECTO ; HISTAMIN EXPECTO; NOT FOUND; SOL ORAL. 120 ML x 1; N_Q

63014; HIDRATIL 45 ; HIDRATIL 45; NOT FOUND; PO ENV.LARAN 15.1 G x 50; N_Q

63757; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 50 MG x 20; N_Q

53434; HECLIVIR ; HECLIVIR; NOT FOUND; CPR 200 MG x 25; N_Q

75302; HIPERTONIC ; HIPERTONIC; NOT FOUND; SOLN OFTAL 5 % 10 ML x 1; OHL

80488; HERVIRAX ; HERVIRAX; NOT FOUND; POM. OFTAL 30 MG 4.50 G x 1 (/G); P7B

63264; HERVIRAX ; HERVIRAX; NOT FOUND; CREME 50 MG 10 G x 1 (/G); P7B

75205; HIDROLESS ; HIDROLESS; NOT FOUND; CPR 25 MG x 30; P7B

63263; HERVIRAX ; HERVIRAX; NOT FOUND; CPR 200 MG x 25; P7B

67551; HIDROLESS ; HIDROLESS; NOT FOUND; CPR 25 MG x 500; P7B

62241; HIDROLESS ; HIDROLESS; NOT FOUND; CPR 50 MG x 20; P7B

75301; HIDROLESS ; HIDROLESS; NOT FOUND; CPR 50 MG x 30; P7B

62240; HIDROLESS ; HIDROLESS; NOT FOUND; CPR 25 MG x 20; P7B

71085; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; POM. 135 G x 1; PRG

66568; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; POM. 90 G x 1; PRG

140532; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; K 4AHA+1CSBG 40 G x 1; PRG

140533; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; K 4AHA+1CSBM 40 G x 1; PRG

80244; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; K 135+45G+NE 180 G x 1; PRG

74761; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; KIT 45G+90G 135 G x 1; PRG

75789; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; CREME AME 80 G x 1; PRG

80246; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; K 80+40G+BI 120 G x 1; PRG

64097; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; POM. 100 G x 1; PRG

120343; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; K AM L4P3 40 G x 1; PRG

80245; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; K 40+80G+NE 120 G x 1; PRG

58017; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; POM. 45 G x 1; PRG

