123834; PREDNISOLONA MG ; PREDNISOLONA; PREDNISOLONA; CPR 20 MG x 10; A4H
72653; PROTHROMPLEX-T ; PROTHROMPLEX T; NOT FOUND; F.AMP 600 IU 20 ML x 1; BAX

8087; PARTOGAMA ; PARTOGAMA; NOT FOUND; F.AMP 0.25 MG 2 ML x 1; BAX

62750; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 5 MG x 20; BF8

62752; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 20 MG x 10; BF8

66855; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 200; BF8

66279; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 20; BF8

56740; PLABEL ; PLABEL; NOT FOUND; CPR 10 MG x 20; BLF

44349; POMICINA ; POMICINA; NOT FOUND; POM. 20 G x 1; BLF

47277; PLABEL ; PLABEL; NOT FOUND; GOTAS 1 MG 10 ML x 1 (/ML); BLF

64334; PIOSAN ; PIOSAN; NOT FOUND; LIQD 1 % 60 ML x 1; BLF

56044; PARAMOL ; PARAMOL; NOT FOUND; GOTAS 200 MG 15 ML x 1 (/ML); BLF

64336; PROMERGAN ; PROMERGAN; NOT FOUND; CREME 20 MG 30 G x 1 (/G); BLF

90882; PASTA AGUA ; PASTA AGUA; NOT FOUND; POM MENTOLAD 80 G x 1; BLF

58037; PARAMOL ; PARAMOL; NOT FOUND; CPR 750 MG x 200; BLF

58038; PARAMOL ; PARAMOL; NOT FOUND; CPR 750 MG x 12; BLF

64335; PIROFLAM ; PIROFLAM; NOT FOUND; CAPS 20 MG x 10; BLF

47199; PARAPLATIN ; PARAPLATIN; NOT FOUND; F.IV LIOF 450 MG x 1; BMS

8486; POLIPLEX ; POLIPLEX; NOT FOUND; LIQD 200 ML x 1; BMS

47198; PARAPLATIN ; PARAPLATIN; NOT FOUND; F.IV LIOF 150 MG x 1; BMS

58629; PROPANOLON ; PROPANOLON; NOT FOUND; CPR 40 MG x 40; BRT

98534; PHITOSS ; PHITOSS; NOT FOUND; XAR FRAMB 7 MG 240 ML x 1 (/ML); BRT

76197; PHITOSS ; PHITOSS; NOT FOUND; XPE 35 MG 100 ML x 1 (/5ML); BRT

76618; PHOTOPROT ; PHOTOPROT; NOT FOUND; LOC FL FP100 40 ML x 1; BS2

70505; PRESS PLUS ; PRESS PLUS; NOT FOUND; CAPS 20 MG x 30 (/5); BS2

73852; PLURIMEC ; PLURIMEC; NOT FOUND; CPR 6 MG x 4; BS2

95433; PHOTOPROT ; PHOTOPROT; NOT FOUND; GEL CR FPS45 120 ML x 1; BS2

85498; PHOTOPROT ; PHOTOPROT; NOT FOUND; L C CLA F100 40 ML x 1; BS2

62308; PLAKETAR ; PLAKETAR; NOT FOUND; CPR REVEST 250 MG x 30; BS2

58441; PRESSAT ; PRESSAT; NOT FOUND; CPR 5 MG x 30; BS2

53156; PRESSAT ; PRESSAT; NOT FOUND; CPR 5 MG x 20; BS2

71636; PRESSAT ; PRESSAT; NOT FOUND; CPR 2.50 MG x 30; BS2

76992; PANTOHAIR ; PANTOHAIR; NOT FOUND; XAMP A/Q. 200 ML x 1; BS2

71281; PANTOGAR ; PANTOGAR; NOT FOUND; CAPS x 90; BS2

85496; PHOTOPROT ; PHOTOPROT; NOT FOUND; L C ESC F100 40 ML x 1; BS2

53157; PRESSAT ; PRESSAT; NOT FOUND; CPR 10 MG x 20; BS2

75599; PLURIMEC ; PLURIMEC; NOT FOUND; CPR 6 MG x 8; BS2

70504; PRESS PLUS ; PRESS PLUS; NOT FOUND; CAPS 10 MG x 30 (/5); BS2

54788; PROPILRACIL ; PROPILRACIL; NOT FOUND; CPR 100 MG x 30; BS2

75595; PANTOHAIR ; PANTOHAIR; NOT FOUND; LOC.CAPILAR 95 ML x 1; BS2

159918; PRESSAT ; PRESSAT; NOT FOUND; CPR 2.50 MG x 60; BS2

76802; PRESSAT ; PRESSAT; NOT FOUND; CPR 5 MG x 60; BS2

164079; PRESS PLUS ; PRESS PLUS; NOT FOUND; CAPS 10 MG x 60 (/5); BS2

73705; PRESS PLUS ; PRESS PLUS; NOT FOUND; CAPS 2.50 MG x 30 (/10); BS2

76803; PRESSAT ; PRESSAT; NOT FOUND; CPR 10 MG x 60; BS2

58442; PRESSAT ; PRESSAT; NOT FOUND; CPR 10 MG x 30; BS2

57905; PLAKETAR ; PLAKETAR; NOT FOUND; CPR REVEST 250 MG x 20; BS2

78833; PREVELIP ; PREVELIP; NOT FOUND; CAPS x 60; BS2

95432; PHOTOPROT ; PHOTOPROT; NOT FOUND; LOC FLU F45 150 ML x 1; BS2

71280; PANTOGAR ; PANTOGAR; NOT FOUND; CAPS x 30; BS2

73851; PLURIMEC ; PLURIMEC; NOT FOUND; CPR 6 MG x 2; BS2

66859; PRESERV ; PRESERV; NOT FOUND; GEL LUBRIC. 5 G x 5; BU_

72726; PENKARON ; PENKARON; NOT FOUND; F.AMP S/DILU 400 K x 100; BU_

77855; PRESERV ; PRESERV; NOT FOUND; GEL NONOX 2 % 5 G x 5; BU_

141997; PANTOPRAP.SO SE MG ; PANTOPRAP SO SE; NOT FOUND; F.A IV C/DIL 40 MG 10 ML x 20; BU_

51971; PENKARON ; PENKARON; NOT FOUND; F.AMP LIOF 400 K 2 ML x 50; BU_

66858; PRESERV ; PRESERV; NOT FOUND; GEL LUBRIC. 40 G x 1; BU_

72335; PRESERV ; PRESERV; NOT FOUND; GEL NONOX 40 G x 1; BU_

155027; PACLITAXEL MG ; PACLITAXEL; PACLITAXEL; F.AMP 6 MG 16.7 ML x 1 (/ML); BU_

51972; PENKARON ; PENKARON; NOT FOUND; F.AMP LIOF 400 K 2 ML x 100; BU_

81159; PROMIRA ; PROMIRA; NOT FOUND; CPR 400 MG x 7; BYP

86884; PRIMOGYNA ; PRIMOGYNA; NOT FOUND; DRAG 2 MG x 28; BYP

8771; PROVIRON ; PROVIRON; NOT FOUND; CPR 25 MG x 20; BYP

8635; PRIMOSISTON ; PRIMOSISTON; NOT FOUND; CPR x 30; BYP

81161; PROMIRA ; PROMIRA; NOT FOUND; CPR 400 MG x 5; BYP

58777; PRIMOGYNA ; PRIMOGYNA; NOT FOUND; DRAG 1 MG x 28; BYP

8629; PRIMOLUT NOR ; PRIMOLUT NOR; NOT FOUND; CPR 10 MG x 30; BYP

77677; PHARMATON KIDDI ; PHARMATON KIDDI; NOT FOUND; XAROPE 200 ML x 1; B_I

8279; PERSANTIN 75 ; PERSANTIN 75; NOT FOUND; DRAG 75 MG x 200; B_I

139543; PARADOR DUOCF ; PARADOR DUOCF; NOT FOUND; CPR x 20; B_I

75422; PRADAXA ; PRADAXA; NOT FOUND; CAPS 110 MG x 10; B_I

31245; PERSANTIN 75 ; PERSANTIN 75; NOT FOUND; DRAG 75 MG x 40; B_I

75421; PRADAXA ; PRADAXA; NOT FOUND; CAPS 75 MG x 30; B_I

51854; PHARMATON ; PHARMATON; NOT FOUND; CAPS x 30; B_I

75423; PRADAXA ; PRADAXA; NOT FOUND; CAPS 110 MG x 30; B_I

75663; PHARMATON ; PHARMATON; NOT FOUND; CAPS x 60; B_I

44000; PERLUTAN ; PERLUTAN; NOT FOUND; AMP. 1 ML x 1; B_I

83480; PRADAXA ; PRADAXA; NOT FOUND; CAPS 110 MG x 60; B_I

83482; PRADAXA ; PRADAXA; NOT FOUND; CAPS 150 MG x 60; B_I

83487; PRADAXA ; PRADAXA; NOT FOUND; CAPS 150 MG x 30; B_I

75420; PRADAXA ; PRADAXA; NOT FOUND; CAPS 75 MG x 10; B_I

56856; PHARMATON KIDDI ; PHARMATON KIDDI; NOT FOUND; XPE C/DOSIFI 120 ML x 1; B_I

51855; PHARMATON ; PHARMATON; NOT FOUND; CAPS x 100; B_I

8274; PERSANTIN ; PERSANTIN; NOT FOUND; AMP. 10 MG 2 ML x 5; B_I

83483; PRADAXA ; PRADAXA; NOT FOUND; CAPS 150 MG x 10; B_I

46450; PERSANTIN 100 ; PERSANTIN 100; NOT FOUND; DRAG 100 MG x 50; B_I

55102; PARAZOL ; PARAZOL; NOT FOUND; SUSP 40 MG 10 ML x 1 (/ML); CAZ

49037; PARARTRIN ; PARARTRIN; NOT FOUND; CPR REVEST 600 MG x 30; CAZ

60197; PRURIDOL ; PRURIDOL; NOT FOUND; SOLN TOP. 25 % 100 ML x 1; CAZ

48414; PARARTRIN ; PARARTRIN; NOT FOUND; CPR REVEST 300 MG x 30; CAZ

61314; PRANOLAL ; PRANOLAL; NOT FOUND; CPR 80 MG x 20; CAZ

55101; PARAZOL ; PARAZOL; NOT FOUND; CPR 200 MG x 2; CAZ

61313; PRAMINAN ; PRAMINAN; NOT FOUND; CPR REVEST 25 MG x 20; CAZ

60193; PRANOLAL ; PRANOLAL; NOT FOUND; CPR 40 MG x 50; CAZ

61315; PRECORTIL ; PRECORTIL; NOT FOUND; CPR 20 MG x 20; CAZ

61316; PRECORTIL ; PRECORTIL; NOT FOUND; CPR 5 MG x 20; CAZ

60192; PRANOLAL ; PRANOLAL; NOT FOUND; CPR 10 MG x 50; CAZ

58881; PEN-V-CILIN ; PEN V CILIN; NOT FOUND; CPR 500 K x 12; CF2

46712; PEDIDERM ; PEDIDERM; NOT FOUND; XAMP 0.02 % 100 ML x 1; CF2

74922; PANTEC ; PANTEC; NOT FOUND; CAPS 150 MG x 2; CF2

61584; POSLOV ; POSLOV; NOT FOUND; CPR 0.75 MG x 2; CF2

59518; POLAREN ; POLAREN; NOT FOUND; XPE TUT/FRUT 2 MG 100 ML x 1 (/5ML); CF2

77179; PREGNOLAN ; PREGNOLAN; NOT FOUND; A.IM 150 MG 1 ML x 1; CF2

112493; PROMAN ; PROMAN; NOT FOUND; FL F15 R L 60 G x 1; CF2

59515; PANTRAT ; PANTRAT; NOT FOUND; CPR GASTROR 40 MG x 14; CF2

66631; PRONENEN ; PRONENEN; NOT FOUND; POM. 45 G x 1; CF2

58308; PANTEC ; PANTEC; NOT FOUND; CAPS 150 MG x 1; CF2

59517; POLAREN ; POLAREN; NOT FOUND; CPR 2 MG x 20; CF2

142649; PROBENTOL DERMA ; PROBENTOL DERMA; NOT FOUND; SPRAY HAIR 50 ML x 1; CF2

113628; PROBENTOL DERMA ; PROBENTOL DERMA; NOT FOUND; LOCAO TOP 50 ML x 1; CF2

112494; PROMAN ; PROMAN; NOT FOUND; SA LIQ I MAS 150 ML x 1; CF2

58299; PREXSULID ; PREXSULID; NOT FOUND; CPR 100 MG x 12; CF2

100194; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 20; CF2

58312; PIROXIN ; PIROXIN; NOT FOUND; CAPS 20 MG x 15; CF2

73526; POLARATUSS ; POLARATUSS; NOT FOUND; LIQD EXPT 120 ML x 1; CF2

59516; PEN-V-CILIN ; PEN V CILIN; NOT FOUND; PO P/SUSP 400 K 60 ML x 1 (/5ML); CF2

58300; PREXSULID ; PREXSULID; NOT FOUND; GOTAS 50 MG 15 ML x 1 (/ML); CF2

59514; PANTRAT ; PANTRAT; NOT FOUND; CPR GASTROR 40 MG x 7; CF2

46711; PEDIDERM LOC ; PEDIDERM LOC; NOT FOUND; LOC. 0.02 % 100 ML x 1; CF2

154079; PROBENTOL BABY ; PROBENTOL BABY; NOT FOUND; CREME 30 G x 1; CF2

58320; PYVERM ; PYVERM; NOT FOUND; CPR 100 MG x 6; CF2

111951; PROBENTOL DERMA ; PROBENTOL DERMA; NOT FOUND; CREME 20 G x 1; CF2

58321; PYVERM ; PYVERM; NOT FOUND; SUSP ORAL 40 ML x 1; CF2

30790; PRIDECIL ; PRIDECIL; NOT FOUND; CAPS 10 MG x 20; CHS

30791; PRIDECIL ; PRIDECIL; NOT FOUND; GOTAS 4 MG 10 ML x 1 (/ML); CHS

67256; PROVIVE ; PROVIVE; NOT FOUND; F.AMP 1 % 20 ML x 1; CL9

59766; PROBENXIL ; PROBENXIL; NOT FOUND; GOTAS 20 ML x 1; CM5

103506; POWER VITA ; POWER VITA; NOT FOUND; DRAG x 70; CM5

111586; POWER VITA ; POWER VITA; NOT FOUND; CPR NUT CAPI x 30; CM5

55520; PROBENXIL ; PROBENXIL; NOT FOUND; CPR 50 MG x 20; CM5

75760; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 200; CM5

52849; PARASIMED ; PARASIMED; NOT FOUND; SABAO 10 % 60 G x 1; CM5

78217; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 100 MG 15 ML x 1 (/ML); CM5

55289; PEDILETAN ; PEDILETAN; NOT FOUND; SUSP.PERMETR 1 % 60 ML x 1; CM5

78570; PIROXICAM MG ; PIROXICAM; PIROXICAM; CAPS 20 MG x 15; CM5

52848; PARASIMED ; PARASIMED; NOT FOUND; EMULS 25 % 60 ML x 1; CM5

87498; POWER CALCIO ; POWER CALCIO; NOT FOUND; CAPS D 500 MG x 60; CM5

87500; POWER VITA ; POWER VITA; NOT FOUND; DRAG x 60; CM5

144369; POWER VITA ; POWER VITA; NOT FOUND; DRAG ESP COP x 70; CM5

50505; PROBENXIL ; PROBENXIL; NOT FOUND; DRAG 50 MG x 10; CM5

97432; PROBENXIL ; PROBENXIL; NOT FOUND; DRAG 50 MG x 500; CM5

154326; POWER VITA ; POWER VITA; NOT FOUND; DRAG SPORT x 60; CM5

128844; POWER VITA ; POWER VITA; NOT FOUND; GOTAS 10 ML x 1; CM5

111582; POWER VITA ; POWER VITA; NOT FOUND; CPR SENIOR x 60; CM5

82085; PLAVOM ; PLAVOM; NOT FOUND; GOTAS 4 MG 10 ML x 1 (/ML); CM5

75759; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 20; CM5

103507; POWER VITA ; POWER VITA; NOT FOUND; DRAG MULHER x 70; CM5

59765; PROBENXIL GEL ; PROBENXIL GEL; NOT FOUND; EMULGEL 60 G x 1; CM5

87501; POWER VITA ; POWER VITA; NOT FOUND; DRAG MULHER x 60; CM5

87502; POWER VITA ; POWER VITA; NOT FOUND; DRAG KIDS x 60; CM5

61407; PROPRAMED ; PROPRAMED; NOT FOUND; CPR 40 MG x 40; CM5

71787; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); CM5

74189; PROBENXIL ; PROBENXIL; NOT FOUND; DRAG 50 MG x 1000; CM5

84959; PEPTILYS ; PEPTILYS; NOT FOUND; CREME EYE 15 ML x 1; CT6

99729; PINAZAN ; PINAZAN; NOT FOUND; CPR 100 MG x 30; CT6

66182; PAMIDRON ; PAMIDRON; NOT FOUND; F.AMP C/DILU 60 MG 10 ML x 5; CT6

63884; PASIC ; PASIC; NOT FOUND; CPR REVEST 100 MG x 20; CT6

49660; PANCURON ; PANCURON; NOT FOUND; AMP. 4 MG 2 ML x 50; CT6

53824; PAMERGAN ; PAMERGAN; NOT FOUND; AMP. 25 MG 2 ML x 50 (/ML); CT6

53822; PAMERGAN ; PAMERGAN; NOT FOUND; CPR 25 MG x 200; CT6

78962; PARKIDOPA ; PARKIDOPA; NOT FOUND; CPR 250 MG x 200 (/25); CT6

63885; PASIC ; PASIC; NOT FOUND; SOLN ORAL 250 MG 100 ML x 1 (/5ML); CT6

53843; PROPOVAN ; PROPOVAN; NOT FOUND; A.IV 10 MG 20 ML x 5 (/ML); CT6

95514; PINAZAN ; PINAZAN; NOT FOUND; CPR 100 MG x 450; CT6

66280; PLASBUMIN ; PLASBUMIN; NOT FOUND; SOLN INJ. 20 % 50 ML x 1; CT6

53828; PARKIDOPA ; PARKIDOPA; NOT FOUND; CPR 250 MG x 30 (/25); CT6

59522; PROPOVAN ; PROPOVAN; NOT FOUND; A.IV 10 MG 10 ML x 5; CT6

99730; PINAZAN ; PINAZAN; NOT FOUND; CPR 25 MG x 30; CT6

66142; PAMIDRON ; PAMIDRON; NOT FOUND; F.AMP C/DILU 90 MG 10 ML x 5; CT6

84960; PEPTILYS ; PEPTILYS; NOT FOUND; CREME VISAGE 40 ML x 1; CT6

52146; POSDRINK ; POSDRINK; NOT FOUND; CPR DISPLAY x 100; C_S

82108; PHYTOVEIN ; PHYTOVEIN; NOT FOUND; CREME 110 G x 1; C_S

62813; PHYTOVEIN ; PHYTOVEIN; NOT FOUND; CAPS 300 MG x 45; C_S

59668; PHYTOCALM ; PHYTOCALM; NOT FOUND; LIQD 150 ML x 1; C_S

55902; PYRIMEL ; PYRIMEL; NOT FOUND; PO ENV.MA/CA 5 G x 50; C_S

54299; PYRIMEL ; PYRIMEL; NOT FOUND; PO ENV.ME/LI 5 G x 50; C_S

66037; PIOLETAL ; PIOLETAL; NOT FOUND; SABAO 100 G x 1; DLT

32258; PIOLETAL ; PIOLETAL; NOT FOUND; LOC. 1 % 60 ML x 1; DLT

49783; PLEX B ; PLEX B; NOT FOUND; DRAG x 50; DLT

