390007; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0
267767; QUINIDINA SULFATO; QUINIDINA SULFATO; NOT FOUND; 200 MG; NO_ACR; COMPRIMIDO; 0

272832; QUETIAPINA; QUETIAPINA; QUETIAPINA; 100 MG; NO_ACR; COMPRIMIDO; 0

390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

428149; QUELATO DE COBRE; QUELATO COBRE; NOT FOUND; 1 MG/ML. SOLUCAO ORAL; NO_ACR; FRASCO; 30.00 ML

390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272833; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG; NO_ACR; COMPRIMIDO; 0

272831; QUETIAPINA; QUETIAPINA; QUETIAPINA; 25 MG; NO_ACR; COMPRIMIDO; 0

390007; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272131; QUININA; QUININA; QUININA; SAL SULFATO. 500 MG; NO_ACR; COMPRIMIDO; 0

267767; QUINIDINA SULFATO; QUINIDINA SULFATO; NOT FOUND; 200 MG; NO_ACR; COMPRIMIDO; 0

272832; QUETIAPINA; QUETIAPINA; QUETIAPINA; 100 MG; NO_ACR; COMPRIMIDO; 0

390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

428149; QUELATO DE COBRE; QUELATO COBRE; NOT FOUND; 1 MG/ML. SOLUCAO ORAL; NO_ACR; FRASCO; 30.00 ML

390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272833; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG; NO_ACR; COMPRIMIDO; 0

272831; QUETIAPINA; QUETIAPINA; QUETIAPINA; 25 MG; NO_ACR; COMPRIMIDO; 0

390007; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272131; QUININA; QUININA; QUININA; SAL SULFATO. 500 MG; NO_ACR; COMPRIMIDO; 0

267767; QUINIDINA SULFATO; QUINIDINA SULFATO; NOT FOUND; 200 MG; NO_ACR; COMPRIMIDO; 0

272832; QUETIAPINA; QUETIAPINA; QUETIAPINA; 100 MG; NO_ACR; COMPRIMIDO; 0

390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

428149; QUELATO DE COBRE; QUELATO COBRE; NOT FOUND; 1 MG/ML. SOLUCAO ORAL; NO_ACR; FRASCO; 30.00 ML

390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272833; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG; NO_ACR; COMPRIMIDO; 0

272831; QUETIAPINA; QUETIAPINA; QUETIAPINA; 25 MG; NO_ACR; COMPRIMIDO; 0

390007; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272131; QUININA; QUININA; QUININA; SAL SULFATO. 500 MG; NO_ACR; COMPRIMIDO; 0

267767; QUINIDINA SULFATO; QUINIDINA SULFATO; NOT FOUND; 200 MG; NO_ACR; COMPRIMIDO; 0

272832; QUETIAPINA; QUETIAPINA; QUETIAPINA; 100 MG; NO_ACR; COMPRIMIDO; 0

390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

428149; QUELATO DE COBRE; QUELATO COBRE; NOT FOUND; 1 MG/ML. SOLUCAO ORAL; NO_ACR; FRASCO; 30.00 ML

390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272833; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG; NO_ACR; COMPRIMIDO; 0

272831; QUETIAPINA; QUETIAPINA; QUETIAPINA; 25 MG; NO_ACR; COMPRIMIDO; 0

390007; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272131; QUININA; QUININA; QUININA; SAL SULFATO. 500 MG; NO_ACR; COMPRIMIDO; 0

267767; QUINIDINA SULFATO; QUINIDINA SULFATO; NOT FOUND; 200 MG; NO_ACR; COMPRIMIDO; 0

272832; QUETIAPINA; QUETIAPINA; QUETIAPINA; 100 MG; NO_ACR; COMPRIMIDO; 0

390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

428149; QUELATO DE COBRE; QUELATO COBRE; NOT FOUND; 1 MG/ML. SOLUCAO ORAL; NO_ACR; FRASCO; 30.00 ML

390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272833; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG; NO_ACR; COMPRIMIDO; 0

272831; QUETIAPINA; QUETIAPINA; QUETIAPINA; 25 MG; NO_ACR; COMPRIMIDO; 0

390007; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272131; QUININA; QUININA; QUININA; SAL SULFATO. 500 MG; NO_ACR; COMPRIMIDO; 0

267767; QUINIDINA SULFATO; QUINIDINA SULFATO; NOT FOUND; 200 MG; NO_ACR; COMPRIMIDO; 0

272832; QUETIAPINA; QUETIAPINA; QUETIAPINA; 100 MG; NO_ACR; COMPRIMIDO; 0

390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

428149; QUELATO DE COBRE; QUELATO COBRE; NOT FOUND; 1 MG/ML. SOLUCAO ORAL; NO_ACR; FRASCO; 30.00 ML

390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272833; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG; NO_ACR; COMPRIMIDO; 0

272831; QUETIAPINA; QUETIAPINA; QUETIAPINA; 25 MG; NO_ACR; COMPRIMIDO; 0

390007; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272131; QUININA; QUININA; QUININA; SAL SULFATO. 500 MG; NO_ACR; COMPRIMIDO; 0

267767; QUINIDINA SULFATO; QUINIDINA SULFATO; NOT FOUND; 200 MG; NO_ACR; COMPRIMIDO; 0

272832; QUETIAPINA; QUETIAPINA; QUETIAPINA; 100 MG; NO_ACR; COMPRIMIDO; 0

390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

428149; QUELATO DE COBRE; QUELATO COBRE; NOT FOUND; 1 MG/ML. SOLUCAO ORAL; NO_ACR; FRASCO; 30.00 ML

390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272833; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG; NO_ACR; COMPRIMIDO; 0

272831; QUETIAPINA; QUETIAPINA; QUETIAPINA; 25 MG; NO_ACR; COMPRIMIDO; 0

390007; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272131; QUININA; QUININA; QUININA; SAL SULFATO. 500 MG; NO_ACR; COMPRIMIDO; 0

267767; QUINIDINA SULFATO; QUINIDINA SULFATO; NOT FOUND; 200 MG; NO_ACR; COMPRIMIDO; 0

272832; QUETIAPINA; QUETIAPINA; QUETIAPINA; 100 MG; NO_ACR; COMPRIMIDO; 0

390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

428149; QUELATO DE COBRE; QUELATO COBRE; NOT FOUND; 1 MG/ML. SOLUCAO ORAL; NO_ACR; FRASCO; 30.00 ML

390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272833; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG; NO_ACR; COMPRIMIDO; 0

272831; QUETIAPINA; QUETIAPINA; QUETIAPINA; 25 MG; NO_ACR; COMPRIMIDO; 0

390007; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272131; QUININA; QUININA; QUININA; SAL SULFATO. 500 MG; NO_ACR; COMPRIMIDO; 0

267767; QUINIDINA SULFATO; QUINIDINA SULFATO; NOT FOUND; 200 MG; NO_ACR; COMPRIMIDO; 0

272832; QUETIAPINA; QUETIAPINA; QUETIAPINA; 100 MG; NO_ACR; COMPRIMIDO; 0

390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

428149; QUELATO DE COBRE; QUELATO COBRE; NOT FOUND; 1 MG/ML. SOLUCAO ORAL; NO_ACR; FRASCO; 30.00 ML

390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272833; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG; NO_ACR; COMPRIMIDO; 0

272831; QUETIAPINA; QUETIAPINA; QUETIAPINA; 25 MG; NO_ACR; COMPRIMIDO; 0

390007; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272131; QUININA; QUININA; QUININA; SAL SULFATO. 500 MG; NO_ACR; COMPRIMIDO; 0

267767; QUINIDINA SULFATO; QUINIDINA SULFATO; NOT FOUND; 200 MG; NO_ACR; COMPRIMIDO; 0

272832; QUETIAPINA; QUETIAPINA; QUETIAPINA; 100 MG; NO_ACR; COMPRIMIDO; 0

390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

428149; QUELATO DE COBRE; QUELATO COBRE; NOT FOUND; 1 MG/ML. SOLUCAO ORAL; NO_ACR; FRASCO; 30.00 ML

390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272833; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG; NO_ACR; COMPRIMIDO; 0

272831; QUETIAPINA; QUETIAPINA; QUETIAPINA; 25 MG; NO_ACR; COMPRIMIDO; 0

390007; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272131; QUININA; QUININA; QUININA; SAL SULFATO. 500 MG; NO_ACR; COMPRIMIDO; 0

267767; QUINIDINA SULFATO; QUINIDINA SULFATO; NOT FOUND; 200 MG; NO_ACR; COMPRIMIDO; 0

272832; QUETIAPINA; QUETIAPINA; QUETIAPINA; 100 MG; NO_ACR; COMPRIMIDO; 0

390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

428149; QUELATO DE COBRE; QUELATO COBRE; NOT FOUND; 1 MG/ML. SOLUCAO ORAL; NO_ACR; FRASCO; 30.00 ML

390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272833; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG; NO_ACR; COMPRIMIDO; 0

272831; QUETIAPINA; QUETIAPINA; QUETIAPINA; 25 MG; NO_ACR; COMPRIMIDO; 0

390007; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272131; QUININA; QUININA; QUININA; SAL SULFATO. 500 MG; NO_ACR; COMPRIMIDO; 0

267767; QUINIDINA SULFATO; QUINIDINA SULFATO; NOT FOUND; 200 MG; NO_ACR; COMPRIMIDO; 0

272832; QUETIAPINA; QUETIAPINA; QUETIAPINA; 100 MG; NO_ACR; COMPRIMIDO; 0

390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

428149; QUELATO DE COBRE; QUELATO COBRE; NOT FOUND; 1 MG/ML. SOLUCAO ORAL; NO_ACR; FRASCO; 30.00 ML

390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272833; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG; NO_ACR; COMPRIMIDO; 0

272831; QUETIAPINA; QUETIAPINA; QUETIAPINA; 25 MG; NO_ACR; COMPRIMIDO; 0

390007; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272131; QUININA; QUININA; QUININA; SAL SULFATO. 500 MG; NO_ACR; COMPRIMIDO; 0

267767; QUINIDINA SULFATO; QUINIDINA SULFATO; NOT FOUND; 200 MG; NO_ACR; COMPRIMIDO; 0

272832; QUETIAPINA; QUETIAPINA; QUETIAPINA; 100 MG; NO_ACR; COMPRIMIDO; 0

390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

428149; QUELATO DE COBRE; QUELATO COBRE; NOT FOUND; 1 MG/ML. SOLUCAO ORAL; NO_ACR; FRASCO; 30.00 ML

390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272833; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG; NO_ACR; COMPRIMIDO; 0

272831; QUETIAPINA; QUETIAPINA; QUETIAPINA; 25 MG; NO_ACR; COMPRIMIDO; 0

390007; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272131; QUININA; QUININA; QUININA; SAL SULFATO. 500 MG; NO_ACR; COMPRIMIDO; 0

267767; QUINIDINA SULFATO; QUINIDINA SULFATO; NOT FOUND; 200 MG; NO_ACR; COMPRIMIDO; 0

272832; QUETIAPINA; QUETIAPINA; QUETIAPINA; 100 MG; NO_ACR; COMPRIMIDO; 0

390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

428149; QUELATO DE COBRE; QUELATO COBRE; NOT FOUND; 1 MG/ML. SOLUCAO ORAL; NO_ACR; FRASCO; 30.00 ML

390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272833; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG; NO_ACR; COMPRIMIDO; 0

272831; QUETIAPINA; QUETIAPINA; QUETIAPINA; 25 MG; NO_ACR; COMPRIMIDO; 0

390007; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272131; QUININA; QUININA; QUININA; SAL SULFATO. 500 MG; NO_ACR; COMPRIMIDO; 0

267767; QUINIDINA SULFATO; QUINIDINA SULFATO; NOT FOUND; 200 MG; NO_ACR; COMPRIMIDO; 0

272832; QUETIAPINA; QUETIAPINA; QUETIAPINA; 100 MG; NO_ACR; COMPRIMIDO; 0

390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

428149; QUELATO DE COBRE; QUELATO COBRE; NOT FOUND; 1 MG/ML. SOLUCAO ORAL; NO_ACR; FRASCO; 30.00 ML

390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272833; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG; NO_ACR; COMPRIMIDO; 0

272831; QUETIAPINA; QUETIAPINA; QUETIAPINA; 25 MG; NO_ACR; COMPRIMIDO; 0

390007; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272131; QUININA; QUININA; QUININA; SAL SULFATO. 500 MG; NO_ACR; COMPRIMIDO; 0

267767; QUINIDINA SULFATO; QUINIDINA SULFATO; NOT FOUND; 200 MG; NO_ACR; COMPRIMIDO; 0

272832; QUETIAPINA; QUETIAPINA; QUETIAPINA; 100 MG; NO_ACR; COMPRIMIDO; 0

390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

428149; QUELATO DE COBRE; QUELATO COBRE; NOT FOUND; 1 MG/ML. SOLUCAO ORAL; NO_ACR; FRASCO; 30.00 ML

390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272833; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG; NO_ACR; COMPRIMIDO; 0

272831; QUETIAPINA; QUETIAPINA; QUETIAPINA; 25 MG; NO_ACR; COMPRIMIDO; 0

390007; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272131; QUININA; QUININA; QUININA; SAL SULFATO. 500 MG; NO_ACR; COMPRIMIDO; 0

267767; QUINIDINA SULFATO; QUINIDINA SULFATO; NOT FOUND; 200 MG; NO_ACR; COMPRIMIDO; 0

272832; QUETIAPINA; QUETIAPINA; QUETIAPINA; 100 MG; NO_ACR; COMPRIMIDO; 0

390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

428149; QUELATO DE COBRE; QUELATO COBRE; NOT FOUND; 1 MG/ML. SOLUCAO ORAL; NO_ACR; FRASCO; 30.00 ML

390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA; NO_ACR; COMPRIMIDO; 0

272833; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG; NO_ACR; COMPRIMIDO; 0

272831; QUETIAPINA; QUETIAPINA; QUETIAPINA; 25 MG; NO_ACR; COMPRIMIDO; 0

