85757; INELLARE ; INELLARE; NOT FOUND; TAB MAST CHO x 30; A4H
83318; IRESSA ; IRESSA; NOT FOUND; CPR REVEST 250 MG x 30; AZN

32619; INDERAL ; INDERAL; NOT FOUND; CPR 80 MG x 20; AZN

5594; INDERAL ; INDERAL; NOT FOUND; CPR 40 MG x 20; AZN

57629; INCORIL ; INCORIL; NOT FOUND; CPR REVES.AP 240 MG x 30; BAG

57627; INCORIL ; INCORIL; NOT FOUND; CPR REVES.AP 120 MG x 30; BAG

57628; INCORIL ; INCORIL; NOT FOUND; CPR REVES.AP 180 MG x 30; BAG

57626; INCORIL ; INCORIL; NOT FOUND; CPR REVES.AP 90 MG x 30; BAG

70070; ISOTHANE ; ISOTHANE; NOT FOUND; SOLN INALT 100 ML x 6; BAX

77312; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; CPR REVEST 400 MG x 10; BF8

66264; ITRACONAZOL MG ; ITRACONAZOL; ITRACONAZOL; CAPS 100 MG x 4; BF8

66265; ITRACONAZOL MG ; ITRACONAZOL; ITRACONAZOL; CAPS 100 MG x 10; BF8

66266; ITRACONAZOL MG ; ITRACONAZOL; ITRACONAZOL; CAPS 100 MG x 15; BF8

159354; INIPARET ; INIPARET; NOT FOUND; CPR REVEST 20 MG x 28; BS2

159355; INIPARET ; INIPARET; NOT FOUND; CPR REVEST 20 MG x 14; BS2

159356; INIPARET ; INIPARET; NOT FOUND; CPR REVEST 10 MG x 14; BS2

62951; IMUNOGLOBULIN ; IMUNOGLOBULIN; NOT FOUND; F.AMP 0.50 G 10 ML x 1; BU_

62310; IMUNOGLOBULIN ; IMUNOGLOBULIN; NOT FOUND; F.AMP C/DILU 2.50 G 50 ML x 1; BU_

61264; IMUNOGLOBULIN ; IMUNOGLOBULIN; NOT FOUND; F.AMP 5 G 100 ML x 1; BU_

51303; IOPAMIRON ; IOPAMIRON; NOT FOUND; A.IV 370 MG 50 ML x 1; BYP

51300; IOPAMIRON ; IOPAMIRON; NOT FOUND; A.IV 300 MG 20 ML x 1; BYP

51301; IOPAMIRON ; IOPAMIRON; NOT FOUND; A.IV 300 MG 50 ML x 1; BYP

54230; IOPAMIRON ; IOPAMIRON; NOT FOUND; A.IV 370 MG 100 ML x 1; BYP

70772; IOPAMIRON ; IOPAMIRON; NOT FOUND; A.IV 370 MG 100 ML x 10; BYP

71911; IOPAMIRON ; IOPAMIRON; NOT FOUND; A.IV 300 MG 100 ML x 10; BYP

5607; INFECTRIN ; INFECTRIN; NOT FOUND; CPR 400 MG x 20 (/80); B_I

5604; INFECTRIN ; INFECTRIN; NOT FOUND; XAR. 240 MG 50 ML x 1 (/5ML); B_I

32581; INFECTRIN F ; INFECTRIN F; NOT FOUND; CPR 160 MG x 10 (/800); B_I

48115; INFECTRIN ; INFECTRIN; NOT FOUND; XAR. 240 MG 120 ML x 1 (/5ML); B_I

76532; INTELLIGENDER ; INTELLIGENDER; NOT FOUND; TEST x 1; CM5

53737; IMUNEM ; IMUNEM; NOT FOUND; CPR 50 MG x 200; CT6

53736; IMIPRA ; IMIPRA; NOT FOUND; CPR 25 MG x 200; CT6

53741; ISOFORINE ; ISOFORINE; NOT FOUND; SOLN INALT 100 % 240 ML x 1; CT6

53740; ISOFORINE ; ISOFORINE; NOT FOUND; SOLN INALT 100 % 100 ML x 1; CT6

67267; ISOVALE ; ISOVALE; NOT FOUND; LOC. 50 ML x 1; CT6

101271; IRBESAR+HIDROCL MG ; IRBESAR HIDROCL; NOT FOUND; CPR 300 MG x 30 (/12.); EUF

101273; IRBESAR+HIDROCL MG ; IRBESAR HIDROCL; NOT FOUND; CPR 150 MG x 30 (/12.); EUF

70603; IFOSFAMIDA MG ; IFOSFAMIDA; IFOSFAMIDA; F.AMP IV 2 G x 10; EUF

65658; IFOSFAMIDA MG ; IFOSFAMIDA; IFOSFAMIDA; F.AMP IV 1 G x 10; EUF

63100; INICOX ; INICOX; NOT FOUND; A.IM 15 MG 1.50 ML x 5; FQM

58269; INICOX ; INICOX; NOT FOUND; CPR DP 15 MG x 5; FQM

54683; INICOX ; INICOX; NOT FOUND; CPR 15 MG x 10; FQM

75332; IXIUM ; IXIUM; NOT FOUND; SACHETS 50 MG 0.25 G x 12 (/G); FQM

140521; INTHOS ; INTHOS; NOT FOUND; CAPS 250 MG x 60; FQM

65101; ITRAMICOS ; ITRAMICOS; NOT FOUND; CAPS 100 MG x 15; GLO

65100; ITRAMICOS ; ITRAMICOS; NOT FOUND; CAPS 100 MG x 10; GLO

65102; ITRAMICOS ; ITRAMICOS; NOT FOUND; CAPS 100 MG x 4; GLO

154103; IMUNOBIL ; IMUNOBIL; NOT FOUND; FLAC 10 ML x 60; GLO

76786; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; GOTAS 50 MG 30 ML x 1 (/ML); GM2

103028; ISOTRETINOINA MG ; ISOTRETINOINA; ISOTRETINOINA; CAPS 20 MG x 30; GM2

71674; IMUSSUPREX ; IMUSSUPREX; NOT FOUND; CPR REVEST 50 MG x 50; GM2

86432; INDAPAMIDA MG ; INDAPAMIDA; INDAPAMIDA; CPR REVEST 1.50 MG x 30; GM2

112605; INIP ; INIP; NOT FOUND; CPR REV L L 150 MG x 10; GM2

69856; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; CPR REVEST 200 MG x 20; GM2

85987; INIP ; INIP; NOT FOUND; CPR REV L L 150 MG x 30; GM2

76787; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; GOTAS 100 MG 20 ML x 1 (/ML); GM2

103027; ISOTRETINOINA MG ; ISOTRETINOINA; ISOTRETINOINA; CAPS 10 MG x 30; GM2

78496; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; SUSP ORAL 20 MG 100 ML x 1 (/ML); GM2

76788; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; CPR REVEST 400 MG x 10; GM2

90254; IBUVIX ; IBUVIX; NOT FOUND; CPR 300 MG x 30; GOB

90256; IBUVIX ; IBUVIX; NOT FOUND; CPR 300 MG x 200; GOB

90253; IBUVIX ; IBUVIX; NOT FOUND; CPR 400 MG x 10; GOB

166123; IBUVIX ; IBUVIX; NOT FOUND; CPR REV 600 MG x 30; GOB

93218; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; GOTAS 100 MG 20 ML x 1 (/ML); GOB

75564; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; GOTAS 50 MG 30 ML x 1 (/ML); GOB

165690; IBUVIX ; IBUVIX; NOT FOUND; CPR REVEST 300 MG x 500; GOB

75565; IBUVIX ; IBUVIX; NOT FOUND; GOTAS 50 MG 30 ML x 1 (/ML); GOB

93119; IBUVIX ; IBUVIX; NOT FOUND; CPR 300 MG x 20; GOB

93123; IBUVIX ; IBUVIX; NOT FOUND; GOTAS 100 MG 20 ML x 1 (/ML); GOB

166124; IBUVIX ; IBUVIX; NOT FOUND; CPR REV 600 MG x 20; GOB

74409; ISOFLURANO MG ; ISOFLURANO; ISOFLURANO; LIQD 100 ML x 1; I_B

71994; ISORAN ; ISORAN; NOT FOUND; LIQD INALT 100 ML x 1; I_B

74410; ISOFLURANO MG ; ISOFLURANO; ISOFLURANO; LIQD 240 ML x 1; I_B

163263; INVOKANA ; INVOKANA; NOT FOUND; CPR REVEST 100 MG x 30; J_C

5573; IMOSEC ; IMOSEC; NOT FOUND; CPR 2 MG x 12; J_C

86911; INVEGA SUSTENNA ; INVEGA SUSTENNA; NOT FOUND; SER PREENCH 75 MG 0.75 ML x 1; J_C

89026; INCIVO ; INCIVO; NOT FOUND; CPR REVEST 375 MG x 168; J_C

163264; INVOKANA ; INVOKANA; NOT FOUND; CPR REVEST 300 MG x 10; J_C

42337; IMOSEC ; IMOSEC; NOT FOUND; CPR 2 MG x 200; J_C

73563; INVEGA ; INVEGA; NOT FOUND; CPR REVES.LP 3 MG x 28; J_C

73564; INVEGA ; INVEGA; NOT FOUND; CPR REVES.LP 6 MG x 28; J_C

78530; INVEGA ; INVEGA; NOT FOUND; CPR REVES.LP 3 MG x 7; J_C

163262; INVOKANA ; INVOKANA; NOT FOUND; CPR REVEST 100 MG x 10; J_C

73565; INVEGA ; INVEGA; NOT FOUND; CPR REVES.LP 9 MG x 28; J_C

86913; INVEGA SUSTENNA ; INVEGA SUSTENNA; NOT FOUND; SER PREENCH 150 MG 1.50 ML x 1; J_C

78531; INVEGA ; INVEGA; NOT FOUND; CPR REVES.LP 6 MG x 7; J_C

86912; INVEGA SUSTENNA ; INVEGA SUSTENNA; NOT FOUND; SER PREENCH 100 MG 1 ML x 1; J_C

86910; INVEGA SUSTENNA ; INVEGA SUSTENNA; NOT FOUND; SER PREENCH 50 MG 0.50 ML x 1; J_C

76255; INTELENCE ; INTELENCE; NOT FOUND; CPR 100 MG x 120; J_C

163265; INVOKANA ; INVOKANA; NOT FOUND; CPR REVEST 300 MG x 30; J_C

102997; IBUFLEX ; IBUFLEX; NOT FOUND; CAPS GEL 400 MG x 8; LG6

93008; INDATRAT ; INDATRAT; NOT FOUND; CPR REV L.S 1.50 MG x 30; LG6

76789; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; GOTAS 50 MG 30 ML x 1 (/ML); LG6

53268; INFLALID ; INFLALID; NOT FOUND; GOTAS 50 MG 15 ML x 1 (/ML); LG6

53267; INFLALID ; INFLALID; NOT FOUND; CPR 100 MG x 12; LG6

77335; INFLADEX ; INFLADEX; NOT FOUND; CPR REVEST 100 MG x 20; LG6

77334; INFLADEX ; INFLADEX; NOT FOUND; CPR REVEST 100 MG x 10; LG6

113358; IBUFLEX ; IBUFLEX; NOT FOUND; CAPS GEL 400 MG x 40; LG6

69163; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; CPR REVEST 200 MG x 20; LG6

77243; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; GOTAS 100 MG 20 ML x 1 (/ML); LG6

84734; IBUFLEX ; IBUFLEX; NOT FOUND; GOTAS 100 MG 30 ML x 1 (/ML); LG6

100157; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; CPR REVEST 400 MG x 10; MD7

50288; INIBEX S ; INIBEX S; NOT FOUND; CPR RETARD 75 MG x 20; MD7

50287; INIBEX S ; INIBEX S; NOT FOUND; CPR REVEST 25 MG x 20; MD7

79980; IMIQUIMODE MG ; IMIQUIMODE; IMIQUIMODE; SACHE. 50 MG 0.25 G x 6 (/G); MD7

79981; IMIQUIMODE MG ; IMIQUIMODE; IMIQUIMODE; SACHE. 50 MG 0.25 G x 12 (/G); MD7

78596; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; GOTAS 100 MG 20 ML x 1 (/ML); MD7

78999; IMOXY ; IMOXY; NOT FOUND; SACHETS 5 % 1 G x 6; MD7

78598; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; GOTAS 50 MG 30 ML x 1 (/ML); MD7

51697; INIBEX S ; INIBEX S; NOT FOUND; CPR RETARD 50 MG x 20; MD7

78998; IMOXY ; IMOXY; NOT FOUND; SACHETS 5 % 1 G x 12; MD7

125014; IBUPROMED ; IBUPROMED; NOT FOUND; CPR REVEST 400 MG x 30; MDQ

78854; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; CPR REVEST 400 MG x 20; MDQ

125013; IBUPROMED ; IBUPROMED; NOT FOUND; CPR REVEST 400 MG x 100; MDQ

77607; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; GOTAS 50 MG 30 ML x 1 (/ML); MDQ

77601; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; GOTAS 100 MG 20 ML x 1 (/ML); MDQ

47603; IODOFLUX ; IODOFLUX; NOT FOUND; XAROPE 100 MG 100 ML x 1 (/5ML); MDQ

77604; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; CPR REVEST 200 MG x 20; MDQ

125012; IBUPROMED ; IBUPROMED; NOT FOUND; GOTAS 100 MG 20 ML x 1 (/ML); MDQ

77606; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; CPR REVEST 400 MG x 100; MDQ

125011; IBUPROMED ; IBUPROMED; NOT FOUND; GOTAS 50 MG 30 ML x 1 (/ML); MDQ

64214; INFLAMEX ; INFLAMEX; NOT FOUND; CPR REVEST 50 MG x 20; MDQ

76137; IODENAX ; IODENAX; NOT FOUND; XAROPE 150 ML x 1; NAU

75030; IODENAX ; IODENAX; NOT FOUND; XAROPE 100 ML x 1; NAU

133362; INDAFIX ; INDAFIX; NOT FOUND; CPR REVEST 1.50 MG x 10; NQA

78922; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; GOTAS 100 MG 20 ML x 1 (/ML); NQA

62739; ITRACONAZOL MG ; ITRACONAZOL; ITRACONAZOL; CAPS 100 MG x 10; NQA

87525; ISOTRETINOINA MG ; ISOTRETINOINA; ISOTRETINOINA; CAPS 20 MG x 30; NQA

87524; ISOTRETINOINA MG ; ISOTRETINOINA; ISOTRETINOINA; CAPS 10 MG x 30; NQA

136013; INDAFIX ; INDAFIX; NOT FOUND; CPR REVEST 1.50 MG x 60; NQA

62737; ITRACONAZOL MG ; ITRACONAZOL; ITRACONAZOL; CAPS 100 MG x 4; NQA

63124; ITRACONAZOL MG ; ITRACONAZOL; ITRACONAZOL; CAPS 100 MG x 15; NQA

89018; ISOTRAT ; ISOTRAT; NOT FOUND; CAPS 10 MG x 30; NQA

83743; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; GOTAS 50 MG 30 ML x 1 (/ML); NQA

155048; IPRAVENT ; IPRAVENT; NOT FOUND; SOL INAL 0.25 MG 20 ML x 1 (/ML); NQA

89021; ISOTRAT ; ISOTRAT; NOT FOUND; CAPS 20 MG x 30; NQA

77621; IMIPENEM+CILAST.MG ; IMIPENEM CILAST; NOT FOUND; F.AMP 500 MG 20 ML x 10; NVA

77547; IMIPENEM+CILAST.MG ; IMIPENEM CILAST; NOT FOUND; F.AMP BOLSA 500 MG 20 ML x 10; NVA

86219; IVERNEO ; IVERNEO; NOT FOUND; CPR 6 MG x 4; N_Q

73183; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; GOTAS 50 MG 30 ML x 1 (/ML); N_Q

85410; IVERMECTINA MG ; IVERMECTINA; IVERMECTINA; CPR 6 MG x 2; N_Q

84350; IBUFRAN ; IBUFRAN; NOT FOUND; GOTAS 50 MG 30 ML x 1 (/ML); N_Q

33829; IODETOSS ; IODETOSS; NOT FOUND; XAROPE 100 ML x 1; N_Q

50986; IBUFRAN ; IBUFRAN; NOT FOUND; DRAG 600 MG x 30; N_Q

100158; IBUFRAN ; IBUFRAN; NOT FOUND; DRAG 400 MG x 10; N_Q

76721; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; GOTAS 100 MG 20 ML x 1 (/ML); N_Q

100159; IBUFRAN ; IBUFRAN; NOT FOUND; DRAG 300 MG x 20; N_Q

77511; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; CPR 400 MG x 10; N_Q

58734; IPRANEO ; IPRANEO; NOT FOUND; SOLN INALT 25 MG 20 ML x 1 (/ML); N_Q

86217; IVERNEO ; IVERNEO; NOT FOUND; CPR 6 MG x 2; N_Q

85411; IVERMECTINA MG ; IVERMECTINA; IVERMECTINA; CPR 6 MG x 4; N_Q

84456; IZONAX SHAMPOO ; IZONAX SHAMPOO; NOT FOUND; SHAMPOO 20 MG 100 ML x 1 (/ML); P7B

75129; ITRACONAZOL MG ; ITRACONAZOL; ITRACONAZOL; CAPS 100 MG x 400; PZ8

73895; ITRACONAZOL MG ; ITRACONAZOL; ITRACONAZOL; CAPS 100 MG x 4; PZ8

75028; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; CPR REVEST 600 MG x 20; PZ8

75710; IONCLOR ; IONCLOR; NOT FOUND; XAR. 60 MG 100 ML x 1 (/ML); PZ8

75711; IONCLOR ; IONCLOR; NOT FOUND; XAR. 60 MG 150 ML x 1 (/ML); PZ8

84665; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; GOTAS 50 MG 30 ML x 1 (/ML); PZ8

89270; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; CPR REVEST 600 MG x 280; PZ8

79797; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; CPR REVEST 200 MG x 20; PZ8

75029; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; CPR REVEST 600 MG x 500; PZ8

86498; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; CPR REVEST 200 MG x 400; PZ8

73893; ITRACONAZOL MG ; ITRACONAZOL; ITRACONAZOL; CAPS 100 MG x 10; PZ8

73894; ITRACONAZOL MG ; ITRACONAZOL; ITRACONAZOL; CAPS 100 MG x 15; PZ8

89285; ITRACONAZOL MG ; ITRACONAZOL; ITRACONAZOL; CAPS 100 MG x 80; PZ8

74558; IODETO POTASIO ; IODETO POTASIO; NOT FOUND; XAR. 2 % 100 ML x 1; PZ8

82905; IRBESARTANA MG ; IRBESARTANA; IRBESARTANA; CPR REVEST 300 MG x 15; RBY

59010; ISOTRETINOINA MG ; ISOTRETINOINA; ISOTRETINOINA; CPR 20 MG x 30; RBY

82907; IRBESARTANA MG ; IRBESARTANA; IRBESARTANA; CPR REVEST 300 MG x 30; RBY

61952; ITRACONAZOL MG ; ITRACONAZOL; ITRACONAZOL; CAPS 100 MG x 4; RBY

61951; ITRACONAZOL MG ; ITRACONAZOL; ITRACONAZOL; CAPS 100 MG x 15; RBY

74360; IMIPENEM+CILAST.MG ; IMIPENEM CILAST; NOT FOUND; F.AMP S/F 500 MG 22 ML x 25; RBY

61950; ITRACONAZOL MG ; ITRACONAZOL; ITRACONAZOL; CAPS 100 MG x 10; RBY

80113; IRBESARTANA MG ; IRBESARTANA; IRBESARTANA; CPR REVEST 150 MG x 15; RBY

59009; ISOTRETINOINA MG ; ISOTRETINOINA; ISOTRETINOINA; CPR 10 MG x 30; RBY

74914; ISOTRETINOINA MG ; ISOTRETINOINA; ISOTRETINOINA; GEL. 0.05 % 30 G x 1; RBY

82904; IRBESARTANA MG ; IRBESARTANA; IRBESARTANA; CPR REVEST 150 MG x 30; RBY

73498; ITRAHEXAL ; ITRAHEXAL; NOT FOUND; CAPS 100 MG x 10; SDZ

62287; IRENAX ; IRENAX; NOT FOUND; F.AMP INFUS 100 MG 5 ML x 1; SDZ

62587; ITRAHEXAL ; ITRAHEXAL; NOT FOUND; CAPS 100 MG x 4; SDZ

63669; ITRAHEXAL ; ITRAHEXAL; NOT FOUND; CAPS 100 MG x 28; SDZ

62588; ITRAHEXAL ; ITRAHEXAL; NOT FOUND; CAPS 100 MG x 15; SDZ

73892; INTRA ; INTRA; NOT FOUND; GEL LUBRIC. 50 G x 1; SP0

64690; INTRA ; INTRA; NOT FOUND; GEL LUBRIC. 65 G x 1; SP0

64691; INTRA ; INTRA; NOT FOUND; GEL LUBRIC. 120 G x 1; SP0

57747; ISOTREXOL ; ISOTREXOL; NOT FOUND; CREME 30 G x 1; STF

59239; ISOTREXIN ; ISOTREXIN; NOT FOUND; GEL. 30 G x 1; STF

56732; INSUMAN 75N/25R ; INSUMAN 75N 25R; NOT FOUND; F.AMP 500 IU 5 ML x 1; S_A

59415; INHALANTE YATROPAN ; INHALANTE YATROPAN; NOT FOUND; LIQD 100 ML x 1; S_A

47681; IMOVANE ; IMOVANE; NOT FOUND; CPR 7.50 MG x 20; S_A

49234; INTAL ; INTAL; NOT FOUND; SOLN NAS DOS 4 % 13 ML x 112; S_A

47086; INTAL ; INTAL; NOT FOUND; AERO DOSIS 5 MG 15.9 G x 112 (/DOS); S_A

47996; INTAL ; INTAL; NOT FOUND; AMP/NEBU 10 MG 2 ML x 24 (/ML); S_A

75243; IBUPRIL ; IBUPRIL; NOT FOUND; CPR 300 MG x 100; TTB

75241; IBUPRIL 600 ; IBUPRIL 600; NOT FOUND; CPR 600 MG x 200; TTB

164081; IBUPRIL ; IBUPRIL; NOT FOUND; CPR REVEST 400 MG x 10; TTB

50286; IBUPRIL ; IBUPRIL; NOT FOUND; CPR 300 MG x 20; TTB

78170; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; GOTAS 50 MG 30 ML x 50 (/ML); TTB

150801; IBUPRIL ; IBUPRIL; NOT FOUND; GOTAS 50 MG 30 ML x 1 (/ML); TTB

80439; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; CPR 400 MG x 10; TTB

89907; IBUPRIL FEMME PATC ; IBUPRIL FEMME PATC; NOT FOUND; SACHE ADES x 12; TTB

78169; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; GOTAS 50 MG 30 ML x 1 (/ML); TTB

49995; IBUPRIL 600 ; IBUPRIL 600; NOT FOUND; CPR 600 MG x 20; TTB

52522; ITRAZOL ; ITRAZOL; NOT FOUND; CAPS 100 MG x 4; U_Q

54428; ITRAZOL ; ITRAZOL; NOT FOUND; CAPS 100 MG x 15; U_Q

84367; ILOSONE ANT.ACNE ; ILOSONE ANT ACNE; NOT FOUND; GEL . 20 MG 60 MG x 1 (/G); VLT

47188; ILOSONE ANT.ACNE ; ILOSONE ANT ACNE; NOT FOUND; SOLN TOP. 20 MG 120 ML x 1 (/ML); VLT

81188; ISOTRETINOINA MG ; ISOTRETINOINA; ISOTRETINOINA; CAPS 20 MG x 30; VLT

