104561; CORUS ; CORUS; NOT FOUND; CPR REVEST 25 MG x 30; A4H
84945; CLOPIN ; CLOPIN; NOT FOUND; CPR REVEST 75 MG x 15; A4H

73775; CLOR. VERAPAMIL MG ; CLOR VERAPAMIL; CLORIDRATO VERAPAMIL; CPR REVEST 80 MG x 30; A4H

57458; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; CPR 200 MG x 30; A4H

69140; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 1 G x 30; A4H

69138; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 60; A4H

104560; CORUS ; CORUS; NOT FOUND; CPR REVEST 50 MG x 30; A4H

76968; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 3.12 MG x 30; A4H

65019; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 25 MG x 15; A4H

51928; CORUS ; CORUS; NOT FOUND; CPR REVEST 50 MG x 28; A4H

64024; CLOR.SERTRALINA MG ; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 50 MG x 20; A4H

70758; CEFADROXILA MG ; CEFADROXILA; CEFADROXILA; PO P/SUSP 500 MG 100 ML x 1 (/5ML); A4H

49142; CEFALIUM ; CEFALIUM; NOT FOUND; CPR x 12; A4H

2096; CARNABOL KIDS ; CARNABOL KIDS; NOT FOUND; SUSP 120 ML x 1; A4H

67217; CLOR.PAROXETINA MG ; CLOR PAROXETINA; NOT FOUND; CPR REVEST 20 MG x 30; A4H

64494; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; XAR. PED. 100 MG 100 ML x 1 (/5ML; A4H

104562; CORUS H ; CORUS H; NOT FOUND; CPR REVEST 25 MG x 30 (/100); A4H

52322; COMBIRON ; COMBIRON; NOT FOUND; GOTAS 30 ML x 1; A4H

72444; CLO SIBUTRAMINA MG ; CLO SIBUTRAMINA; NOT FOUND; CAPS 10 MG x 30; A4H

57852; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 30; A4H

53977; CORUS ; CORUS; NOT FOUND; CPR REVEST 25 MG x 28; A4H

50652; CORDAREX ; CORDAREX; NOT FOUND; CPR 5 MG x 20; A4H

104564; CORUS H ; CORUS H; NOT FOUND; CPR REVEST 12.5 MG x 30 (/50); A4H

65016; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 3.12 MG x 15; A4H

62056; CELLTRIAXON ; CELLTRIAXON; NOT FOUND; F.AMP IV DIL 1 G 10 ML x 100; AA0

72338; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; AMP. 50 MG 2 ML x 50; AA0

62048; CEFLEN ; CEFLEN; NOT FOUND; F.AMP C/DILU 1 G 5 ML x 50; AA0

75174; CLAVICIN ; CLAVICIN; NOT FOUND; F.AMP S/DILU 500 MG x 50; AA0

62047; CEFLEN ; CEFLEN; NOT FOUND; F.AMP 1 G x 50; AA0

62051; CELLOZINA ; CELLOZINA; NOT FOUND; F.AMP 1 G x 1; AA0

62052; CELLOZINA ; CELLOZINA; NOT FOUND; F.AMP 1 G x 25; AA0

62108; CLAVICIN ; CLAVICIN; NOT FOUND; F.AMP IV DIL 500 MG 10 ML x 1; AA0

69840; CLAVICIN ; CLAVICIN; NOT FOUND; F.AMP S/DILU 1 G x 50; AA0

71867; CELLTRIAXON ; CELLTRIAXON; NOT FOUND; F.AMP IV S/D 1 G x 100; AA0

62205; CLINDACIN ; CLINDACIN; NOT FOUND; AMP. 600 MG 4 ML x 50; AA0

103458; COREDIOL ; COREDIOL; NOT FOUND; CPR 6.25 MG x 30; ABT

59565; CLOR.TERAZOSINA MG ; CLOR TERAZOSINA; CLORIDRATO TERAZOSINA; CPR 5 MG x 15; ABT

103451; CORASTORVA ; CORASTORVA; NOT FOUND; CPR REV 40 MG x 30; ABT

103455; COREDIOL ; COREDIOL; NOT FOUND; CPR 3.12 MG x 15; ABT

61242; CREON ; CREON; NOT FOUND; CAPS ENTERIC 10 K x 100; ABT

103460; COREDIOL ; COREDIOL; NOT FOUND; CPR 12.5 MG x 15; ABT

103463; COREDIOL ; COREDIOL; NOT FOUND; CPR 25 MG x 30; ABT

59562; CLARITROMICINA MG ; CLARITROMICINA; CLARITROMICINA; CPR REVEST 500 MG x 10; ABT

51688; CYNT ; CYNT; NOT FOUND; DRAG 0.40 MG x 30; ABT

103456; COREDIOL ; COREDIOL; NOT FOUND; CPR 3.12 MG x 30; ABT

61241; CREON ; CREON; NOT FOUND; CAPS ENTERIC 10 K x 30; ABT

51235; CETRIZIN ; CETRIZIN; NOT FOUND; GOTAS 10 MG 7 ML x 1 (/ML); ABT

103452; CORASTORVA ; CORASTORVA; NOT FOUND; CPR REV 20 MG x 30; ABT

103462; COREDIOL ; COREDIOL; NOT FOUND; CPR 25 MG x 15; ABT

61243; CREON ; CREON; NOT FOUND; CAPS ENTERIC 25 K x 30; ABT

103457; COREDIOL ; COREDIOL; NOT FOUND; CPR 6.25 MG x 15; ABT

103461; COREDIOL ; COREDIOL; NOT FOUND; CPR 12.5 MG x 30; ABT

27732; COBAVITAL ; COBAVITAL; NOT FOUND; MICROCOMPRID x 16; ABT

48618; COBAVITAL ; COBAVITAL; NOT FOUND; GRAN P/XPE 100 ML x 1; ABT

103449; CORASTORVA ; CORASTORVA; NOT FOUND; CPR REV 80 MG x 30; ABT

103453; CORASTORVA ; CORASTORVA; NOT FOUND; CPR REV 10 MG x 30; ABT

50788; CETRIZIN ; CETRIZIN; NOT FOUND; CPR REVEST 10 MG x 6; ABT

51687; CYNT ; CYNT; NOT FOUND; DRAG 0.20 MG x 30; ABT

47368; CARDALIN RETARD ; CARDALIN RETARD; NOT FOUND; CPR 20 MG x 30; ABT

58689; CEFADROXILA MG ; CEFADROXILA; CEFADROXILA; CAPS 500 MG x 8; ABT

162465; CANDESA C+HIDRO MG ; CANDESA C HIDRO; NOT FOUND; CPR 16 MG x 30 (/12.); AH_

108165; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 2; AH_

108166; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 4; AH_

162466; CANDESA C+HIDRO MG ; CANDESA C HIDRO; NOT FOUND; CPR 8 MG x 30 (/12.); AH_

108162; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 1; AH_

57475; CILODEX ; CILODEX; NOT FOUND; GOTAS OFTAL 5 ML x 1; ALC

50584; CILOXAN ; CILOXAN; NOT FOUND; POM. OFTAL 0.30 % 3.50 G x 1; ALC

49308; CILOXAN ; CILOXAN; NOT FOUND; SOLN OFTAL 0.30 % 5 ML x 1; ALC

58993; CLAROFT ; CLAROFT; NOT FOUND; SOLN OFTAL 0.12 MG 15 ML x 1 (/ML); ALC

59185; CLENS 100 ; CLENS 100; NOT FOUND; SOLN OFTAL 15 ML x 1; ALC

32764; CLARIL ; CLARIL; NOT FOUND; SOLN OFTAL 15 ML x 1; ALC

56401; CILOXAN ; CILOXAN; NOT FOUND; SOLN OTO. 3 MG 5 ML x 1 (/ML); ALC

59560; CILODEX ; CILODEX; NOT FOUND; POM. OFTAL 3.50 G x 1; ALC

58216; CROMO.DISSODICO MG ; CROMO DISSODICO; NOT FOUND; SOLN OFTAL 4 % 5 ML x 1; ALC

58208; CLOR BETAXOLOL MG ; CLOR BETAXOLOL; CLORIDRATO BETAXOLOL; SOLN OFTAL 0.50 % 5 ML x 1; ALC

55518; CIPRO HC ; CIPRO HC; NOT FOUND; SUSP 10 ML x 1; ALC

2254; CERUMIN ; CERUMIN; NOT FOUND; GOTAS OTO. 8 ML x 1; ALC

72854; COMBIGAN ; COMBIGAN; NOT FOUND; SOLN OFTAL 10 ML x 1; ALL

2464; CLORANFENICOL ; CLORANFENICOL; CLORANFENICOL; COLIRIO 0.40 % 10 ML x 1; ALL

45492; CROMOLERG ; CROMOLERG; NOT FOUND; COLIRIO 4 % 5 ML x 1; ALL

48397; CORCICLEN ; CORCICLEN; NOT FOUND; POM. OFTAL 3.50 G x 1; ALL

48265; CICLOPLEGICO ; CICLOPLEGICO; NOT FOUND; COLIRIO 1 % 5 ML x 1; ALL

45491; CROMOLERG ; CROMOLERG; NOT FOUND; COLIRIO 2 % 5 ML x 1; ALL

64762; COMBIGAN ; COMBIGAN; NOT FOUND; SOLN OFTAL 5 ML x 1; ALL

55143; CELLUFRESH ; CELLUFRESH; NOT FOUND; FLACONETES 0.50 % x 30; ALL

30282; CLARVISOL ; CLARVISOL; NOT FOUND; COLIRIO+ CPR 15 ML x 1; ALL

68032; CEFTAZIDIMA MG ; CEFTAZIDIMA; CEFTAZIDIMA; F.AMP S/DILU 1 G x 50; AOB

66560; CEFUROXIMA SOD.MG ; CEFUROXIMA SOD; CEFUROXIMA SODICA; F.AMP 750 MG 6 ML x 1; AOB

68999; CEFALOTINA SODI.MG ; CEFALOTINA SODI; CEFALOTINA SODICA; F.AMP S/DILU 1 G x 50; AOB

69734; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 850 MG x 30; AOB

73544; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 1 G x 30; AOB

68997; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CPR 500 MG x 10; AOB

64756; CEFTRIAXONA SOD.MG ; CEFTRIAXONA SOD; CEFTRIAXONA SODICA; F.AMP IV DIL 1 G 10 ML x 1; AOB

71553; CITALOPRAM MG ; CITALOPRAM; CITALOPRAM; CPR REVEST 20 MG x 14; AOB

71554; CITALOPRAM MG ; CITALOPRAM; CITALOPRAM; CPR REVEST 20 MG x 28; AOB

109647; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 30; AOB

75816; CLOR.CEFEPIMA MG ; CLOR CEFEPIMA; CLORIDRATO CEFEPIMA; F.AMP S/DILU 2 G x 1; AOB

64600; CEFAZOLINA SODI MG ; CEFAZOLINA SODI; CEFAZOLINA SODICA; F.AMP C/DILU 1 G 10 ML x 1; AOB

66464; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 20; AOB

66603; CLOR.CEFEPIMA MG ; CLOR CEFEPIMA; CLORIDRATO CEFEPIMA; F.AMP S/DILU 1 G x 1; AOB

68998; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CPR 500 MG x 8; AOB

66953; CEFTAZIDIMA MG ; CEFTAZIDIMA; CEFTAZIDIMA; F.AMP C/DILU 1 G 10 ML x 50; AOB

72694; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CAPS 500 MG x 100; AOB

66559; CEFTRIAXONA SOD.MG ; CEFTRIAXONA SOD; CEFTRIAXONA SODICA; F.AMP 1 G x 50; AOB

69917; CEFOTAXIMA SODI.MG ; CEFOTAXIMA SODI; CEFOTAXIMA SODICA; F.AMP S/DILU 1 G x 50; AOB

74321; CEFADROXILA MG ; CEFADROXILA; CEFADROXILA; CAPS 500 MG x 8; AOB

64565; CEFALOTINA SODI.MG ; CEFALOTINA SODI; CEFALOTINA SODICA; F.AMP C/DILU 1 G 10 ML x 50; AOB

67531; CEFTRIAXONA SOD.MG ; CEFTRIAXONA SOD; CEFTRIAXONA SODICA; F.AMP IV DIL 1 G 10 ML x 25; AOB

66561; CEFUROXIMA SOD.MG ; CEFUROXIMA SOD; CEFUROXIMA SODICA; F.AMP S/DILU 750 MG x 25; AOB

66465; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 14; AOB

64564; CEFALOTINA SODI.MG ; CEFALOTINA SODI; CEFALOTINA SODICA; F.AMP C/DILU 1 G 10 ML x 1; AOB

66461; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 10; AOB

67847; CEFAZOLINA SODI MG ; CEFAZOLINA SODI; CEFAZOLINA SODICA; F.AMP S/DILU 1 G 10 ML x 50; AOB

77237; CLOR.PAROXETINA MG ; CLOR PAROXETINA; NOT FOUND; CPR REVEST 20 MG x 20; AOB

70430; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 30; AOB

99501; CEFADROXILA MG ; CEFADROXILA; CEFADROXILA; SUSP ORAL 500 MG 100 ML x 1 (/ML); AOB

74214; CLOR.SERTRALINA MG ; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 50 MG x 28; AOB

67961; CEFOTAXIMA SODI.MG ; CEFOTAXIMA SODI; CEFOTAXIMA SODICA; F.IV LIOF 1 G 5 ML x 1; AOB

60982; CIPROSTAT ; CIPROSTAT; NOT FOUND; CPR 50 MG x 20; APS

60988; COLCHIS ; COLCHIS; NOT FOUND; CPR 1 MG x 20; APS

57244; COLCHIS ; COLCHIS; NOT FOUND; CPR 0.50 MG x 20; APS

73957; COLCHIS ; COLCHIS; NOT FOUND; CPR 1 MG x 30; APS

74948; COLCHIS ; COLCHIS; NOT FOUND; CPR 0.50 MG x 30; APS

72791; CLOR.MEMANTINA MG ; CLOR MEMANTINA; CLORIDRATO MEMANTINA; CPR REVEST 10 MG x 60; APS

70036; CARBONATO LITIO MG ; CARBONATO LITIO; NOT FOUND; CPR 300 MG x 50; ATV

113623; CLOPIDOGREL MG ; CLOPIDOGREL; CLOPIDOGREL; CPR REVEST 75 MG x 100; ATV

150165; CLOPIDOGREL MG ; CLOPIDOGREL; CLOPIDOGREL; CPR REVEST 75 MG x 28; ATV

70037; CARBONATO LITIO MG ; CARBONATO LITIO; NOT FOUND; CPR 300 MG x 500; ATV

75473; CEFELIC ; CEFELIC; NOT FOUND; CPR 100 MG x 14; ATV

160459; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 3.12 MG x 30; ATV

146374; CLO TERBINAFINA MG ; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; CPR 250 MG x 14; ATV

150164; CLOPIDOGREL MG ; CLOPIDOGREL; CLOPIDOGREL; CPR REVEST 75 MG x 14; ATV

46164; CRONOGERON ; CRONOGERON; NOT FOUND; CPR 25 MG x 30; ATV

158987; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 6.25 MG x 30; ATV

46165; CRONOGERON ; CRONOGERON; NOT FOUND; CPR 75 MG x 30; ATV

128814; CLO TERBINAFINA MG ; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; CPR 250 MG x 28; ATV

69928; CLOR.PAROXETINA MG ; CLOR PAROXETINA; NOT FOUND; CPR 20 MG x 30; ATV

75472; CEFELIC ; CEFELIC; NOT FOUND; CPR 50 MG x 30; ATV

80832; CLOR.MEMANTINA MG ; CLOR MEMANTINA; CLORIDRATO MEMANTINA; CPR REVEST 10 MG x 30; ATV

70035; CARBONATO LITIO MG ; CARBONATO LITIO; NOT FOUND; CPR 300 MG x 200; ATV

75471; CEFELIC ; CEFELIC; NOT FOUND; CPR 50 MG x 20; ATV

143758; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 12.5 MG x 30; ATV

84721; CLOPIDOGREL MG ; CLOPIDOGREL; CLOPIDOGREL; CPR REVEST 75 MG x 30; ATV

85419; CLOR.MEMANTINA MG ; CLOR MEMANTINA; CLORIDRATO MEMANTINA; CPR REVEST 10 MG x 60; ATV

75278; CASTANHA DA INDIA ; CASTANHA INDIA; NOT FOUND; CPR x 30; AV7

75013; CRESTOR ; CRESTOR; NOT FOUND; CPR REVEST 40 MG x 30; AZN

80117; CRESTOR ; CRESTOR; NOT FOUND; CPR REVEST 5 MG x 10; AZN

51540; CASODEX ; CASODEX; NOT FOUND; CPR REVEST 50 MG x 28; AZN

112490; CRESTOR ; CRESTOR; NOT FOUND; CPR REVEST 5 MG x 60; AZN

112489; CAPRELSA ; CAPRELSA; NOT FOUND; CPR REVEST 300 MG x 30; AZN

64171; CRESTOR ; CRESTOR; NOT FOUND; CPR REVEST 10 MG x 30; AZN

112488; CAPRELSA ; CAPRELSA; NOT FOUND; CPR REVEST 100 MG x 30; AZN

64173; CRESTOR ; CRESTOR; NOT FOUND; CPR REVEST 20 MG x 30; AZN

80116; CRESTOR ; CRESTOR; NOT FOUND; CPR REVEST 5 MG x 30; AZN

64172; CRESTOR ; CRESTOR; NOT FOUND; CPR REVEST 20 MG x 10; AZN

64170; CRESTOR ; CRESTOR; NOT FOUND; CPR REVEST 10 MG x 10; AZN

160363; CORENE 3 ; CORENE 3; NOT FOUND; CAPS 550 MG x 60; BAL

81193; CAPILAREMA ; CAPILAREMA; NOT FOUND; CPR 75 MG x 60; BAL

64629; CAPOBAL ; CAPOBAL; NOT FOUND; CPR 50 MG x 30; BAL

