528525101138111, MALEATO DE DEXCLOFERINAMINA + BETAMETASONA, MALEATO DEXCLOFERINAMINA BETAMETASONA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR PLAS OPC X 120 ML, PZ8
528526612111111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT BL AL/AL X 1000 (EMB HOSP), PZ8
528526618118116, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT BL AL/AL X 30, PZ8
528526617111118, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT BL AL/AL X 300 (EMB HOSP), PZ8
528526609119113, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL PLAS INC X 300 (EMB HOSP) , PZ8
528526613116115, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL/AL X 1000 (EMB HOSP), PZ8
528526611113119, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL/AL X 30, PZ8
528526610117110, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL/AL X 300(EMB HOSP), PZ8
528526614112113, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT BL AL/AL X 1000 (EMB HOSP), PZ8
528526615119111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT BL AL/AL X 30, PZ8
528526616115111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT BL AL/AL X 300 (EMB HOSP), PZ8
528503701116118, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 100 MG COM CT 50 BL AL PLAS INC X 6 (EMBL HOSP), PZ8
528503707114117, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 100 MG COM CT BL AL PLAS INC X 120 (EMB MULT), PZ8
528503702112116, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 100MG COM BL AL PLAS INC X 6, PZ8
528503709133119, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CT FR PLAS OPC X 30 ML + CP MED, PZ8
528503706134114, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CX 200 FR PLAS OPC X 30 ML (EMB HOSP), PZ8
528503711138114, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CX 200 FR PLAS OPC X 30 ML + 200 CP MED (EMB HOSP), PZ8
528503804136111, MEBENDAZOL+TIABENDAZOL, MEBENDAZOL TIABENDAZOL, NOT FOUND, 20 MG/ML+ 33.2 MG/ML SUS OR CT FR VD AMB X 30ML, PZ8
528503802117111, MEBENDAZOL+TIABENDAZOL, MEBENDAZOL TIABENDAZOL, NOT FOUND, 200MG+332MG COM MAST CT BL AL PLAS INC X 6, PZ8
528527901115112, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PLAS INC X 10, PZ8
528527906117113, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), PZ8
528527907113111, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), PZ8
528527908111112, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PLAS INC X 600 (EMB HOSP), PZ8
528527902111110, MELOXICAM, MELOXICAM, MELOXICAM, 7.5 MG COM CT BL AL PLAS INC X 10, PZ8
528527903118119, MELOXICAM, MELOXICAM, MELOXICAM, 7.5 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), PZ8
528527905110115, MELOXICAM, MELOXICAM, MELOXICAM, 7.5 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), PZ8
528527904114117, MELOXICAM, MELOXICAM, MELOXICAM, 7.5 MG COM CT BL AL PLAS INC X 600 (EMB HOSP), PZ8
528503902162117, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 100 MG/G GEL VAG CX 50 BG AL X 50 G + APLIC (EMB HOSP), PZ8
528503901166119, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 100MG/G GEL VAG CT BG AL X 50G + APLIC, PZ8
528503903118111, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 250 MG COM REV CT BL AL PLAS OPC X 1000 (EMB HOSP) , PZ8
528503904114111, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 250 MG COM REV CT BL AL PLAS OPC X 20, PZ8
528503905110118, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 250 MG COM REV CT BL AL PLAS OPC X 200 (EMB HOSP) , PZ8
528503906117116, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 250 MG COM REV CT BL AL PLAS OPC X 600 (EMB HOSP) , PZ8
528504004168114, METRONIDAZOL+NISTATINA, METRONIDAZOL NISTATINA, NOT FOUND, 100 MG/G + 20.000 UI/G CREM VAG CT BG AL X 50 G + 10 APLIC , PZ8
528504003161116, METRONIDAZOL+NISTATINA, METRONIDAZOL NISTATINA, NOT FOUND, 100 MG/G + 20.000 UI/G CREM VAG CX 50 BG AL X 50 G + 500 APLIC (EMB HOSP), PZ8
528504101112411, MULTIGRAN, MULTIGRAN, NOT FOUND, 500MG CAP GEL DURA CT 25 BL AL PLAS INC X 12, PZ8
528525901169119, MUPIROCINA, MUPIROCINA, MUPIROCINA, 20 MG/G POM DERM CT BG AL X 15 G, PZ8
528525101138111, MALEATO DE DEXCLOFERINAMINA + BETAMETASONA, MALEATO DEXCLOFERINAMINA BETAMETASONA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR PLAS OPC X 120 ML, PZ8
528503604137114, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR PLAS OPC X 120 ML + CP MED, PZ8
528503605133112, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 50 FR PLAS OPC X 100 ML + CP MED (EMB HOSP), PZ8
528503606131113, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 50 FR PLAS OPC X 120 ML + CP MED (EMB HOSP), PZ8
528526612111111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT BL AL/AL X 1000 (EMB HOSP), PZ8
528526618118116, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT BL AL/AL X 30, PZ8
528526617111118, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT BL AL/AL X 300 (EMB HOSP), PZ8
528526609119113, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL PLAS INC X 300 (EMB HOSP) , PZ8
528526613116115, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL/AL X 1000 (EMB HOSP), PZ8
528526611113119, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL/AL X 30, PZ8
528526610117110, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL/AL X 300(EMB HOSP), PZ8
528526614112113, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT BL AL/AL X 1000 (EMB HOSP), PZ8
528526615119111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT BL AL/AL X 30, PZ8
528526616115111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT BL AL/AL X 300 (EMB HOSP), PZ8
528503701116118, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 100 MG COM CT 50 BL AL PLAS INC X 6 (EMBL HOSP), PZ8
528503707114117, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 100 MG COM CT BL AL PLAS INC X 120 (EMB MULT), PZ8
528503702112116, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 100MG COM BL AL PLAS INC X 6, PZ8
528503709133119, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CT FR PLAS OPC X 30 ML + CP MED, PZ8
528503706134114, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CX 200 FR PLAS OPC X 30 ML (EMB HOSP), PZ8
528503711138114, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CX 200 FR PLAS OPC X 30 ML + 200 CP MED (EMB HOSP), PZ8
528503804136111, MEBENDAZOL+TIABENDAZOL, MEBENDAZOL TIABENDAZOL, NOT FOUND, 20 MG/ML+ 33.2 MG/ML SUS OR CT FR VD AMB X 30ML, PZ8
528503802117111, MEBENDAZOL+TIABENDAZOL, MEBENDAZOL TIABENDAZOL, NOT FOUND, 200MG+332MG COM MAST CT BL AL PLAS INC X 6, PZ8
528527901115112, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PLAS INC X 10, PZ8
528527906117113, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), PZ8
528527907113111, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), PZ8
528527908111112, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PLAS INC X 600 (EMB HOSP), PZ8
528527902111110, MELOXICAM, MELOXICAM, MELOXICAM, 7.5 MG COM CT BL AL PLAS INC X 10, PZ8
528527903118119, MELOXICAM, MELOXICAM, MELOXICAM, 7.5 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), PZ8
528527905110115, MELOXICAM, MELOXICAM, MELOXICAM, 7.5 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), PZ8
528527904114117, MELOXICAM, MELOXICAM, MELOXICAM, 7.5 MG COM CT BL AL PLAS INC X 600 (EMB HOSP), PZ8
528503902162117, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 100 MG/G GEL VAG CX 50 BG AL X 50 G + APLIC (EMB HOSP), PZ8
528503901166119, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 100MG/G GEL VAG CT BG AL X 50G + APLIC, PZ8
528503903118111, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 250 MG COM REV CT BL AL PLAS OPC X 1000 (EMB HOSP) , PZ8
528503904114111, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 250 MG COM REV CT BL AL PLAS OPC X 20, PZ8
528503905110118, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 250 MG COM REV CT BL AL PLAS OPC X 200 (EMB HOSP) , PZ8
528503906117116, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 250 MG COM REV CT BL AL PLAS OPC X 600 (EMB HOSP) , PZ8
528504004168114, METRONIDAZOL+NISTATINA, METRONIDAZOL NISTATINA, NOT FOUND, 100 MG/G + 20.000 UI/G CREM VAG CT BG AL X 50 G + 10 APLIC , PZ8
528504003161116, METRONIDAZOL+NISTATINA, METRONIDAZOL NISTATINA, NOT FOUND, 100 MG/G + 20.000 UI/G CREM VAG CX 50 BG AL X 50 G + 500 APLIC (EMB HOSP), PZ8
528504101112411, MULTIGRAN, MULTIGRAN, NOT FOUND, 500MG CAP GEL DURA CT 25 BL AL PLAS INC X 12, PZ8
528525901169119, MUPIROCINA, MUPIROCINA, MUPIROCINA, 20 MG/G POM DERM CT BG AL X 15 G, PZ8
528525101138111, MALEATO DE DEXCLOFERINAMINA + BETAMETASONA, MALEATO DEXCLOFERINAMINA BETAMETASONA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR PLAS OPC X 120 ML, PZ8
528503604137114, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR PLAS OPC X 120 ML + CP MED, PZ8
528503605133112, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 50 FR PLAS OPC X 100 ML + CP MED (EMB HOSP), PZ8
528503606131113, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 50 FR PLAS OPC X 120 ML + CP MED (EMB HOSP), PZ8
528526612111111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT BL AL/AL X 1000 (EMB HOSP), PZ8
528526618118116, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT BL AL/AL X 30, PZ8
528526617111118, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT BL AL/AL X 300 (EMB HOSP), PZ8
528526609119113, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL PLAS INC X 300 (EMB HOSP) , PZ8
528526613116115, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL/AL X 1000 (EMB HOSP), PZ8
528526611113119, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL/AL X 30, PZ8
528526610117110, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL/AL X 300(EMB HOSP), PZ8
528526614112113, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT BL AL/AL X 1000 (EMB HOSP), PZ8
528526615119111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT BL AL/AL X 30, PZ8
528526616115111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT BL AL/AL X 300 (EMB HOSP), PZ8
528503701116118, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 100 MG COM CT 50 BL AL PLAS INC X 6 (EMBL HOSP), PZ8
528503707114117, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 100 MG COM CT BL AL PLAS INC X 120 (EMB MULT), PZ8
528503702112116, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 100MG COM BL AL PLAS INC X 6, PZ8
528503709133119, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CT FR PLAS OPC X 30 ML + CP MED, PZ8
528503706134114, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CX 200 FR PLAS OPC X 30 ML (EMB HOSP), PZ8
528503711138114, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CX 200 FR PLAS OPC X 30 ML + 200 CP MED (EMB HOSP), PZ8
528503804136111, MEBENDAZOL+TIABENDAZOL, MEBENDAZOL TIABENDAZOL, NOT FOUND, 20 MG/ML+ 33.2 MG/ML SUS OR CT FR VD AMB X 30ML, PZ8
528503802117111, MEBENDAZOL+TIABENDAZOL, MEBENDAZOL TIABENDAZOL, NOT FOUND, 200MG+332MG COM MAST CT BL AL PLAS INC X 6, PZ8
528527901115112, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PLAS INC X 10, PZ8
528527906117113, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), PZ8
528527907113111, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), PZ8
528527908111112, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PLAS INC X 600 (EMB HOSP), PZ8
528527902111110, MELOXICAM, MELOXICAM, MELOXICAM, 7.5 MG COM CT BL AL PLAS INC X 10, PZ8
528527903118119, MELOXICAM, MELOXICAM, MELOXICAM, 7.5 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), PZ8
528527905110115, MELOXICAM, MELOXICAM, MELOXICAM, 7.5 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), PZ8
528527904114117, MELOXICAM, MELOXICAM, MELOXICAM, 7.5 MG COM CT BL AL PLAS INC X 600 (EMB HOSP), PZ8
528503902162117, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 100 MG/G GEL VAG CX 50 BG AL X 50 G + APLIC (EMB HOSP), PZ8
528503901166119, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 100MG/G GEL VAG CT BG AL X 50G + APLIC, PZ8
528503903118111, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 250 MG COM REV CT BL AL PLAS OPC X 1000 (EMB HOSP) , PZ8
528503904114111, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 250 MG COM REV CT BL AL PLAS OPC X 20, PZ8
528503905110118, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 250 MG COM REV CT BL AL PLAS OPC X 200 (EMB HOSP) , PZ8
528503906117116, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 250 MG COM REV CT BL AL PLAS OPC X 600 (EMB HOSP) , PZ8
528504004168114, METRONIDAZOL+NISTATINA, METRONIDAZOL NISTATINA, NOT FOUND, 100 MG/G + 20.000 UI/G CREM VAG CT BG AL X 50 G + 10 APLIC , PZ8
528504003161116, METRONIDAZOL+NISTATINA, METRONIDAZOL NISTATINA, NOT FOUND, 100 MG/G + 20.000 UI/G CREM VAG CX 50 BG AL X 50 G + 500 APLIC (EMB HOSP), PZ8
528504101112411, MULTIGRAN, MULTIGRAN, NOT FOUND, 500MG CAP GEL DURA CT 25 BL AL PLAS INC X 12, PZ8
528525901169119, MUPIROCINA, MUPIROCINA, MUPIROCINA, 20 MG/G POM DERM CT BG AL X 15 G, PZ8
528525101138111, MALEATO DE DEXCLOFERINAMINA + BETAMETASONA, MALEATO DEXCLOFERINAMINA BETAMETASONA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR PLAS OPC X 120 ML, PZ8
528503604137114, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR PLAS OPC X 120 ML + CP MED, PZ8
528503605133112, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 50 FR PLAS OPC X 100 ML + CP MED (EMB HOSP), PZ8
528503606131113, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 50 FR PLAS OPC X 120 ML + CP MED (EMB HOSP), PZ8
528526612111111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT BL AL/AL X 1000 (EMB HOSP), PZ8
528526618118116, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT BL AL/AL X 30, PZ8
528526617111118, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT BL AL/AL X 300 (EMB HOSP), PZ8
528526609119113, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL PLAS INC X 300 (EMB HOSP) , PZ8
528526613116115, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL/AL X 1000 (EMB HOSP), PZ8
