528512040113003; ESPAFIN COMPOSTO; ESPAFIN COMPOSTO; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS TRANS X 160 (EMB FRAC); PZ8
528530119139116; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 50 MG/ML SUS OR CX 50 FR PLAS OPC X 80 ML + 50 CP MED (EMB HOSP); PZ8
528530102112112; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS AMB X 14; PZ8
528530108110111; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS OPC X 14; PZ8
528530112118113; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS INC X 14; PZ8
528530103119110; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS AMB X 20; PZ8
528530107114113; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS OPC X 20; PZ8
528530111111115; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS INC X 20; PZ8
528530121117116; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS AMB X 280 (EMB FRAC); PZ8
528530122113114; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS INC X 280 (EMB FRAC); PZ8
528530123111115; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS OPC X 280 (EMB FRAC); PZ8
528530101116114; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS INC X 350 (EMB HOSP); PZ8
528530106118115; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS OPC X 350 (EMB HOSP); PZ8
528530115117118; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS AMB X 350 (EMB HOSP); PZ8
528530105111117; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS OPC X 420 (EMB HOSP); PZ8
528530110115117; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS INC X 420 (EMB HOSP); PZ8
528530114110111; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS AMB X 420 (EMB HOSP); PZ8
528530104115119; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS OPC X 560 (EMB HOSP); PZ8
528530109117111; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS INC X 560 (EMB HOSP); PZ8
528530113114111; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS AMB X 560 (EMB HOSP); PZ8
528530124116110; ESTOLATO DE ERITROMICINA; ESTOLATO ERITROMICINA; ESTOLATO ERITROMICINA; 500 MG COM CT BL AL PLAS TRANS X 80 (EMB FRAC); PZ8
528502808138412; ESPECTROPRIMA; ESPECTROPRIMA; NOT FOUND; 40 MG / ML + 8 MG / ML SUS OR CX 50 FR PLAS OPC X 50 ML (EMB HOSP); PZ8
528502809134410; ESPECTROPRIMA; ESPECTROPRIMA; NOT FOUND; 40 MG/ML + 8 MG/ML SUS OR CX 50 FR PLAS OPC X 60 ML (EMB HOSP); PZ8
528513120125404; ESPECTROPRIMA; ESPECTROPRIMA; NOT FOUND; 40 MG/ML + 8 MG/ML SUS OR CX 50 FR VD AMB X 100 ML (EMB HOSP) ; PZ8
528513120125503; ESPECTROPRIMA; ESPECTROPRIMA; NOT FOUND; 40 MG/ML + 8 MG/ML SUS OR CX 50 FR PLAS OPC X 100 ML (EMB HOSP); PZ8
528502802113418; ESPECTROPRIMA; ESPECTROPRIMA; NOT FOUND; 400 MG + 80 MG COM CT BL AL PLAS INC X 300 (EMB HOSP) ; PZ8
528502811112410; ESPECTROPRIMA; ESPECTROPRIMA; NOT FOUND; 400 MG + 80 MG COM CT BL AL PLAS INC X 500; PZ8
