528531601112418, NERVAMIN, NERVAMIN, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 30, PZ8
528504303165117, NITRATO DE MICONAZOL, NITRATO MICONAZOL, NITRATO MICONAZOL, 20 MG/G CREM VAG CX 50 BG AL X 80 G C/ 50 APLIC VAG (EMB HOSP), PZ8
528504302169119, NITRATO DE MICONAZOL, NITRATO MICONAZOL, NITRATO MICONAZOL, 20 MG/G CREM VAG CT BG AL X 80 G C/ APLIC VAG, PZ8
528504307160111, NITRATO DE MICONAZOL, NITRATO MICONAZOL, NITRATO MICONAZOL, 20 MG/G CREM DERM CT BG AL X 28 G, PZ8
528504311168111, NITRATO DE MICONAZOL, NITRATO MICONAZOL, NITRATO MICONAZOL, 20 MG/G CREM VAG CT BG AL X 80 G C/ 14 APLIC VAG, PZ8
528504312164111, NITRATO DE MICONAZOL, NITRATO MICONAZOL, NITRATO MICONAZOL, 20 MG/G CREM VAG CX 50 BG AL X 80 G C/ 700 APLIC VAG (EMB HOSP), PZ8
528504305176116, NITRATO DE MICONAZOL, NITRATO MICONAZOL, NITRATO MICONAZOL, 20 MG/G LOC CT FR PLAST X 30 G, PZ8
528522706160121, NITRATO DE OXICONAZOL, NITRATO OXICONAZOL, NITRATO OXICONAZOL, 10 MG/G CREM DERM CT BG AL X 20G , PZ8
528522704133125, NITRATO DE OXICONAZOL, NITRATO OXICONAZOL, NITRATO OXICONAZOL, 10 MG/ML SOL TOP CT FR PLAS OPC GOT X 20 ML , PZ8
528526402115119, NORFLOXACINO, NORFLOXACINO, NORFLOXACINO, 400 MG COM REV CT BL AL PLAS LEIT X 14, PZ8
528526401119110, NORFLOXACINO, NORFLOXACINO, NORFLOXACINO, 400 MG COM REV CT BL AL PLAS LEIT X 140, PZ8
528526406110111, NORFLOXACINO, NORFLOXACINO, NORFLOXACINO, 400 MG COM REV CT BL AL PLAS LEIT X 420 (EMB HOSP) , PZ8
528526404118115, NORFLOXACINO, NORFLOXACINO, NORFLOXACINO, 400 MG COM REV CT BL AL PLAS LEIT X 7 , PZ8
