528523102161110, CLOTRIMAZOL + ACETATO DE DEXAMETASONA, CLOTRIMAZOL ACETATO DEXAMETASONA, NOT FOUND, 10 MG/G + 0.4 MG/G CREM DERM CT BG AL X 40G, PZ8
528512040114806, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CT BL AL PLAS TRANS X 400 (EMB FRAC), PZ8
528526502111115, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CT BL AL PLAS INC X 600 (EMB HOSP), PZ8
528512040114606, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PLAS TRANS X 160 (EMB FRAC), PZ8
528512040114406, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PLAS TRANS X 200 (EMB FRAC), PZ8
528512040114506, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PLAS TRANS X 280 (EMB FRAC), PZ8
528526511119115, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PLAS INC X 30, PZ8
528512040114706, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PLAS TRANS X 400 (EMB FRAC), PZ8
528526512115113, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PLAS INC X 600 (EMB HOSP), PZ8
528501101138122, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, PZ8
528501107136113, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 20 MG/ML XPE CT FR PLAS OPC X 100 ML + CP MED, PZ8
528501111133115, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 20 MG/ML XPE CX 50 FR PLAS OPC X 100 ML + 50 CP MED, PZ8
528501114132111, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 20 MG/ML XPE CX 50 FR VD AMB X 100 ML + 50 CP MED, PZ8
528501108132111, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 20 MG/ML XPE CX 50 FR PLAS OPC X 80 ML + CP MED (EMB HOSP), PZ8
528501105133125, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 50 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, PZ8
528501109139111, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 50 MG/ML XPE CT FR PLAS OPC X 100 ML + CP MED, PZ8
528501112131116, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 50 MG/ML XPE CX 50 FR PLAS OPC X 100 ML + 50 CP MED, PZ8
528501110137117, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 50 MG/ML XPE CX 50 FR PLAS OPC X 80 ML + CP MED (EMB HOSP), PZ8
528501203161115, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 20 MG/G CREM CT BG AL X 30 G, PZ8
528501204166110, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 20 MG/G CREM CX 100 BG AL X 30 G (EMB HOSP), PZ8
528501205170111, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 20 MG/G SHAMP CT FR PLAS OPC X 100 ML , PZ8
528501207114111, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 200 MG COM CT BL AL PLAS INC X 10 , PZ8
528501208110111, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 200 MG COM CT BL AL PLAS INC X 20, PZ8
528501209117118, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 200 MG COM CT BL AL PLAS INC X 30, PZ8
528501210115115, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 200 MG COM CT BL AL PLAS INC X 400 (EMB HOSP), PZ8
528501211111113, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 200 MG COM CT BL AL PLAS INC X 450 (EMB HOSP), PZ8
528501212118111, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 200 MG COM CT BL AL PLAS TRANS X 80 (EMB FRAC), PZ8
528522601164117, CETOCONAZOL + DIPROPIONATO DE BETAMETASONA, CETOCONAZOL DIPROPIONATO BETAMETASONA, NOT FOUND, 20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30 G, PZ8
528522605161112, CETOCONAZOL + DIPROPIONATO DE BETAMETASONA, CETOCONAZOL DIPROPIONATO BETAMETASONA, NOT FOUND, 20 MG/G + 0.5 MG/G CREM DERM CT BG AL X 30 G  , PZ8
528524501167110, CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA, CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 20 MG/ G + 0.5 MG/ G + 2.5 MG/G POM DERM CT BG AL X 30 G , PZ8
528524503161111, CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA, CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G CR DERM CT BG AL X 30 G , PZ8
528501303164116, CICLOPIROX OLAMINA, CICLOPIROX OLAMINA, CICLOPIROX OLAMINA, 10 MG/G CREM DERM CT BG AL X 20 G, PZ8
528501302176110, CICLOPIROX OLAMINA, CICLOPIROX OLAMINA, CICLOPIROX OLAMINA, 10 MG/ML SOL TOP CT FR PLAS X 15 ML, PZ8
528528003110111, CIMETIDINA, CIMETIDINA, CIMETIDINA, 200 MG COM REV CT BL AL PLAS INC X 20, PZ8
528528005113116, CIMETIDINA, CIMETIDINA, CIMETIDINA, 200 MG COM REV CT BL AL PLAS INC X 40, PZ8
528528006111117, CIMETIDINA, CIMETIDINA, CIMETIDINA, 200 MG COM REV CT BL AL PLAS INC X 600 (EMB HOSP), PZ8
528512040116206, CLONAZEPAM (PORT. 344/98 – LISTA B1), CLONAZEPAM PORT 344 98 LISTA B1, NOT FOUND, 2.5 MG/ML SOL OR CT FR GOT VD AMB X 20 ML, PZ8
528512040116306, CLONAZEPAM (PORT. 344/98 – LISTA B1), CLONAZEPAM PORT 344 98 LISTA B1, NOT FOUND, 2.5 MG/ML SOL OR CX 50 FR GOT VD AMB X 20 ML (EMB HOSP), PZ8
528512040116406, CLONAZEPAM (PORT. 344/98 – LISTA B1), CLONAZEPAM PORT 344 98 LISTA B1, NOT FOUND, 2.5 MG/ML SOL OR CX 100 FR GOT VD AMB X 20 ML (EMB HOSP), PZ8
528512040116506, CLONAZEPAM (PORT. 344/98 – LISTA B1), CLONAZEPAM PORT 344 98 LISTA B1, NOT FOUND, 2.5 MG/ML SOL OR CX 200 FR GOT VD AMB X 20 ML (EMB HOSP), PZ8
528501614135118, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 3 MG/ML XPE CX 50 FR PLAS OPC X 100 ML C/ CP MED (EMB HOSP), PZ8
528501611136113, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 3 MG/ML XPE CT FR PLAS OPC X 120 ML C/ CP MED, PZ8
528501615131116, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 3 MG/ML XPE CX 50 FR PLAS OPC X 120 ML C/ CP MED (EMB HOSP), PZ8
528501620135116, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 6 MG/ML XPE CX 50 FR PLAS OPC X 100 ML C/50 CP MED (EMB HOSP), PZ8
528501604131128, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 6 MG/ML XPE CT FR VD AMB X 120 ML C/CP MED, PZ8
528501617134112, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 6 MG/ML XPE CT FR PLAS AMB X 120 ML C/CP MED, PZ8
528501618130110, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 6 MG/ML XPE CT FR PLAS OPC X 120 ML C/CP MED, PZ8
528501621131114, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 6 MG/ML XPE CX 50 FR PLAS OPC X 120 ML C/50 CP MED (EMB HOSP), PZ8
528501606132121, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 7.5 MG/ML SOL OR CT FR PLAS OPC GOT X 50 ML, PZ8
528501701135116, CLORIDRATO DE BROMEXINA, CLORIDRATO BROMEXINA, CLORIDRATO BROMEXINA, 0.8 MG/ML XPE CT FR VD AMB X 120 ML C/ CP MED X 10 ML, PZ8
528501705130119, CLORIDRATO DE BROMEXINA, CLORIDRATO BROMEXINA, CLORIDRATO BROMEXINA, 1.6 MG/ML XPE CT FR VD AMB X 120 ML C/ CP MED X 10 ML, PZ8
528526002117114, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 250 MG COM  REV CT BL AL PLAS INC X 14, PZ8
528526007119115, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 250 MG COM  REV CT BL AL PLAS INC X 300 (EMB HOSP), PZ8
528526001110116, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 250 MG COM  REV CT BL AL PLAS INC X 6 , PZ8
528526009111111, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS INC X 14, PZ8
528526008115113, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM  REV CT BL AL PLAS INC X 300 (EMB HOSP), PZ8
528526005116119, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS INC X 6, PZ8
528512040115106, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM  REV CT BL AL PLAS TRANS X 140 (EMB FRAC), PZ8
528512040115206, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS TRANS X 280 (EMB FRAC), PZ8
528512040114906, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM  REV CT BL AL PLAS TRANS X 70 (EMB FRAC) , PZ8
528512040115006, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM  REV CT BL AL PLAS TRANS X 84 (EMB FRAC) , PZ8
528523003139117, CLORIDRATO DE CLOBUTINOL + SUCCINATO DE DOXILAMINA, CLORIDRATO CLOBUTINOL SUCCINATO DOXILAMINA, NOT FOUND, 4 MG/ML + 0.75 MG/ML XPE CT FR VD AMB X 120 ML C/CP MED , PZ8
528512050118206, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 500 MG COM REV CT BL AL PLAS TRANS X 120 (EMB FRAC), PZ8
528530305110114, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 500 MG COM REV CT BL AL PLAS INC X 30, PZ8
528512050118406, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 500 MG COM REV CT BL AL PLAS TRANS X 320 (EMB FRAC), PZ8
528530304114116, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 500 MG COM REV CT BL AL PLAS INC X 400 (EMB HOSP), PZ8
528512050118106, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 500 MG COM REV CT BL AL PLAS TRANS X 80 (EMB FRAC), PZ8
528512050118606, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CT BL AL PLAS TRANS X 120 (EMB FRAC), PZ8
528530302111111, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CX BL AL PLAS INC X 200 (EMB HOSP), PZ8
528512050118706, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CT BL AL PLAS TRANS X 240 (EMB FRAC), PZ8
528530301115111, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CT BL AL PLAS INC X 30, PZ8
528512050118806, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CT BL AL PLAS TRANS X 320 (EMB FRAC), PZ8
528530303118118, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CX BL AL PLAS INC X 400 (EMB HOSP), PZ8
528512050118506, CLORIDRATO DE METFORMINA, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CT BL AL PLAS TRANS X 80 (EMB FRAC), PZ8
528527301177117, CLORIDRATO DE NAFAZOLINA, CLORIDRATO NAFAZOLINA, CLORIDRATO NAFAZOLINA, 0.5 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML, PZ8
528527302173115, CLORIDRATO DE NAFAZOLINA, CLORIDRATO NAFAZOLINA, CLORIDRATO NAFAZOLINA, 0.5 MG/ML SOL NAS CX 100 FR PLAS OPC GOT X 30 ML (EMB HOSP), PZ8
528531003118110, CLORIDRATO DE PROMETAZINA, CLORIDRATO PROMETAZINA, CLORIDRATO PROMETAZINA, 25 MG COM REV CT BL AL PLAS TRANS X 120 (EMB FRAC), PZ8
528531001115114, CLORIDRATO DE PROMETAZINA, CLORIDRATO PROMETAZINA, CLORIDRATO PROMETAZINA, 25 MG COM REV CT BL AL PLAS INC X 20, PZ8
528531002111112, CLORIDRATO DE PROMETAZINA, CLORIDRATO PROMETAZINA, CLORIDRATO PROMETAZINA, 25 MG COM REV CX BL AL PLAS INC X 500 (EMB HOSP), PZ8
528526703115118, CLORIDRATO DE PROPRANOLOL, CLORIDRATO PROPRANOLOL, CLORIDRATO PROPRANOLOL, 10 MG COM CT BL AL PLAS INC X 20, PZ8
528526706114112, CLORIDRATO DE PROPRANOLOL, CLORIDRATO PROPRANOLOL, CLORIDRATO PROPRANOLOL, 10 MG COM CT BL AL PLAS INC X 600 (EMB HOSP), PZ8
528526708117119, CLORIDRATO DE PROPRANOLOL, CLORIDRATO PROPRANOLOL, CLORIDRATO PROPRANOLOL, 40 MG COM CT BL AL PLAS INC X 20, PZ8
528526710111114, CLORIDRATO DE PROPRANOLOL, CLORIDRATO PROPRANOLOL, CLORIDRATO PROPRANOLOL, 40 MG COM CT BL AL PLAS LEIT X 20, PZ8
528526711118112, CLORIDRATO DE PROPRANOLOL, CLORIDRATO PROPRANOLOL, CLORIDRATO PROPRANOLOL, 40 MG COM CT BL AL PLAS LEIT X 270 (EMB FRAC), PZ8
528513070122806, CLORIDRATO DE PROPRANOLOL, CLORIDRATO PROPRANOLOL, CLORIDRATO PROPRANOLOL, 40 MG COM CT BL AL PLAS TRANS X 30, PZ8
528513070122906, CLORIDRATO DE PROPRANOLOL, CLORIDRATO PROPRANOLOL, CLORIDRATO PROPRANOLOL, 40 MG COM CT BL AL PLAS OPC X 30, PZ8
528526709113117, CLORIDRATO DE PROPRANOLOL, CLORIDRATO PROPRANOLOL, CLORIDRATO PROPRANOLOL, 40 MG COM CT BL AL PLAS INC X 600 (EMB HOSP), PZ8
528526702119111, CLORIDRATO DE PROPRANOLOL, CLORIDRATO PROPRANOLOL, CLORIDRATO PROPRANOLOL, 80 MG COM CT BL AL PLAS INC X 20, PZ8
528526701112111, CLORIDRATO DE PROPRANOLOL, CLORIDRATO PROPRANOLOL, CLORIDRATO PROPRANOLOL, 80 MG COM CT BL AL PLAS INC X 600 (EMB HOSP), PZ8
528501901169111, CLORIDRATO DE TERBINAFINA, CLORIDRATO TERBINAFINA, CLORIDRATO TERBINAFINA, 10 MG/G CREM CT BG AL X 20 G, PZ8
528501903171113, CLORIDRATO DE TERBINAFINA, CLORIDRATO TERBINAFINA, CLORIDRATO TERBINAFINA, 10 MG/G SOL TOP CT FR PLAS X 30 ML, PZ8
528501905113110, CLORIDRATO DE TERBINAFINA, CLORIDRATO TERBINAFINA, CLORIDRATO TERBINAFINA, 250 MG COM CT BL AL PLAS INC X 14, PZ8
528501906111111, CLORIDRATO DE TERBINAFINA, CLORIDRATO TERBINAFINA, CLORIDRATO TERBINAFINA, 250 MG COM CT BL AL PLAS INC X 140, PZ8
528501907116117, CLORIDRATO DE TERBINAFINA, CLORIDRATO TERBINAFINA, CLORIDRATO TERBINAFINA, 250 MG COM CT BL AL PLAS INC X 28, PZ8
528501908112115, CLORIDRATO DE TERBINAFINA, CLORIDRATO TERBINAFINA, CLORIDRATO TERBINAFINA, 250 MG COM CT BL AL PLAS INC X 420 (EMB HOSP), PZ8
528501909119113, CLORIDRATO DE TERBINAFINA, CLORIDRATO TERBINAFINA, CLORIDRATO TERBINAFINA, 250 MG COM CT BL AL PLAS INC X 7 , PZ8
528526901111119, CLORIDRATO DE TETRACICLINA, CLORIDRATO TETRACICLINA, CLORIDRATO TETRACICLINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 100 (EMB HOSP), PZ8
528526902118117, CLORIDRATO DE TETRACICLINA, CLORIDRATO TETRACICLINA, CLORIDRATO TETRACICLINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 12, PZ8
528526906113111, CLORIDRATO DE TETRACICLINA, CLORIDRATO TETRACICLINA, CLORIDRATO TETRACICLINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 140 (EMB FRAC), PZ8
528526903114115, CLORIDRATO DE TETRACICLINA, CLORIDRATO TETRACICLINA, CLORIDRATO TETRACICLINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 300 (EMB HOSP), PZ8
528528801114112, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80MG COM REV CT BL AL PLAS OPC X 30 , PZ8
528528802110110, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CT BL AL PLAS OPC X 300 (EMB HOSP), PZ8
528528803117119, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CT BL AL PLAS OPC X 800 (EMB HOSP), PZ8
528523401169113, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM DERM CT BG AL X 20 G, PZ8
528523409161111, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM VAG CT BG AL X 35 G + 6 APLIC, PZ8
528523410168116, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 10 MG/G CREM VAG CX 50 BG AL X 35 G + 300 APLIC (EMB HOSP), PZ8
528523411164114, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 20 MG/G CREM VAG CT BG AL X 20 G + 3 APLIC, PZ8
528523412160112, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, 20 MG/G CREM VAG CX 50 BG AL X 20 G + 150 APLIC (EMB HOSP), PZ8
528501405161418, CLEANBAC, CLEANBAC, NOT FOUND, 2 MG/G POM DERM CT BG AL X 50 G, PZ8
528501402162413, CLEANBAC, CLEANBAC, NOT FOUND, 2 MG/G POM CX 24 PT X 500 G, PZ8
