528525701135113; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP); PZ8
528500201112119; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 400 MG COM MAST CT BL AL PLAS INC X 1; PZ8
528500208117116; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 400 MG COM MAST CT BL AL PLAS INC X 100 (EMB FRAC); PZ8
528500207110118; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 400 MG COM MAST CT BL AL PLAS INC X 80 (EMB HOSP); PZ8
528530007111112; ALOPURINOL; ALOPURINOL; ALOPURINOL; 100 MG COM CT BL AL PLAS TRANS X 120 (EMB FRAC); PZ8
528530001111110; ALOPURINOL; ALOPURINOL; ALOPURINOL; 100 MG COM CT BL AL PLAS INC X 30 ; PZ8
528530002118119; ALOPURINOL; ALOPURINOL; ALOPURINOL; 100 MG COM CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
528530003114117; ALOPURINOL; ALOPURINOL; ALOPURINOL; 100 MG COM CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
528512060120706; ALOPURINOL; ALOPURINOL; ALOPURINOL; 100 MG COM CT BL AL PLAS TRANS X 80 (EMB FRAC); PZ8
528530008116118; ALOPURINOL; ALOPURINOL; ALOPURINOL; 300 MG COM CT BL AL PLAS TRANS X 120 (EMB FRAC); PZ8
528530005117113; ALOPURINOL; ALOPURINOL; ALOPURINOL; 300 MG COM CT BL AL PLAS INC X 30 ; PZ8
528530006113111; ALOPURINOL; ALOPURINOL; ALOPURINOL; 300 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); PZ8
528512060120806; ALOPURINOL; ALOPURINOL; ALOPURINOL; 300 MG COM CT BL AL PLAS TRANS X 80 (EMB FRAC); PZ8
528528601131110; AMOXICILINA; AMOXICILINA; AMOXICILINA; 100 MG/ML PO P/ SUSP OR CT FR VD AMB X 150 ML + CP MED; PZ8
528528605137113; AMOXICILINA; AMOXICILINA; AMOXICILINA; 100 MG/ML PO P/ SUSP OR CX 50 FR VD AMB X 150 ML + 50 CP MED (EMB HOSP); PZ8
528528604130115; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO P/ SUSP OR CX 50 FR VD AMB X 150 ML + 50 CP MED (EMB HOSP); PZ8
528528608136118; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO P/ SUSP OR CT FR VD AMB X 150 ML + CP MED; PZ8
528528609132116; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO P/ SUSP OR CT FR VD AMB X 60 ML + CP MED; PZ8
528528612133111; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO P/ SUSP OR CX 50 FR VD AMB X 60 ML + 50 CP MED (EMB HOSP); PZ8
528528613113112; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 12 ; PZ8
528528614111113; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 120 (EMB HOSP); PZ8
528528615116119; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; PZ8
528528616112117; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 210 (EMB HOSP); PZ8
528528619111111; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 280 (EMB FRAC); PZ8
528528617119115; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 480 (EMB HOSP); PZ8
528528618115113; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 840 (EMB HOSP); PZ8
528512030112606; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ML SUS OR CX 50 FR PLAS OPC X 150 ML + 50 CP MED (EMB HOSP); PZ8
528512030112906; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ ML SUS OR CT FR PLAS OPC X 150 ML + CP MED 11; PZ8
528528704135119; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ ML SUS OR CX 50 FR PLAS AMB X 150 ML + CP MED (EMB HOSP); PZ8
528528705131117; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ ML SUS OR CT FR VD AMB X 150 ML +CP MED; PZ8
528528707134113; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ ML SUS OR CX 50 FR VD AMB X 150 ML + CP MED (EMB HOSP); PZ8
528528714130111; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ ML SUS OR CT FR PLAS AMB X 150 ML + CP MED; PZ8
528512030112706; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ ML SUS OR CT FR PLAS OPC X 60 ML + CP MED ; PZ8
528512030112806; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ ML SUS OR CX 50 FR PLAS OPC X 60 ML + 50 CP MED (EMB HOSP); PZ8
528528701136114; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ ML SUS OR CX 50 FR VD AMB X 60 ML + CP MED (EMB HOSP); PZ8
528528702132112; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ ML SUS OR CT FR PLAS AMB X 60 ML + CP MED; PZ8
528528703139110; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ ML SUS OR CT FR VD AMB X 60 ML + CP MED; PZ8
528528706138115; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ ML SUS OR CX 50 FR PLAS AMB X 60 ML + CP MED (EMB HOSP); PZ8
528528708114116; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 12; PZ8
528528709110114; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 120 (EMB HOSP); PZ8
528512040115906; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS TRANS X 140 (EMB FRAC); PZ8
528528710119111; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; PZ8
528528711115111; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 210 (EMB HOSP); PZ8
528512040116006; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS TRANS X 280 (EMB FRAC); PZ8
528512040116106; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS TRANS X 350 (EMB FRAC); PZ8
528528712111118; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 480 (EMB HOSP); PZ8
528512040115806; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS TRANS X 70 (EMB FRAC); PZ8
528528713118116; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 840 (EMB HOSP); PZ8
528512040117406; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS TRANS X 160 (EMB FRAC); PZ8
528512040117506; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS TRANS X 200 (EMB FRAC); PZ8
528512040117606; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS TRANS X 280 (EMB FRAC); PZ8
528526308119114; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 30  ; PZ8
528512040117706; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS TRANS X 400 (EMB FRAC); PZ8
528526306116118; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
528512040116606; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS TRANS X 160 (EMB FRAC); PZ8
528512040116706; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS TRANS X 200 (EMB FRAC); PZ8
528512040116806; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS TRANS X 280 (EMB FRAC); PZ8
528526311111110; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 30  ; PZ8
528512040116906; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS TRANS X 400 (EMB FRAC); PZ8
528526309115112; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
528512040117006; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS TRANS X 160 (EMB FRAC); PZ8
528512040117106; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS TRANS X 200 (EMB FRAC); PZ8
528512040117206; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS TRANS X 280 (EMB FRAC); PZ8
528526303117113; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 30   ; PZ8
528513070123506; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
528512040117306; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS TRANS X 400 (EMB FRAC); PZ8
528526304113111; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
528514110126506; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS TRANS X 5; PZ8
528531501118112; AZITROMICINA DIIDRATADA; AZITROMICINA DIIDRATADA; NOT FOUND; 1 G COM REV CT BL AL PLAS LEIT X 150 (EMB FRAC); PZ8
528512030112306; AZITROMICINA; AZITROMICINA; AZITROMICINA; 40 MG/ML PO SUS OR CT FR PLAS OPC X 15 ML + DIL FR PLAS OPC X 9.2 ML + SER DOSAD; PZ8
528512030112506; AZITROMICINA; AZITROMICINA; AZITROMICINA; 40 MG/ML PO SUS OR CX 50 FR PLAS OPC X 15 ML + 50 DIL FR PLAS OPC X 9.2 ML + 50 SER DOSAD (EMB HOSP); PZ8
528512030112206; AZITROMICINA; AZITROMICINA; AZITROMICINA; 40 MG/ML PO SUS OR CT FR PLAS OPC X 22.5 ML + DIL FR PLAS OPC X 13.8 ML + SER DOSAD; PZ8
528512030112406; AZITROMICINA; AZITROMICINA; AZITROMICINA; 40 MG/ML PO SUS OR CX 50 FR PLAS OPC X 22.5 ML + 50 DIL FR PLAS OPC X 13.8 ML + 50 SER DOSAD (EMB HOSP); PZ8
528528511116112; AZITROMICINA; AZITROMICINA; AZITROMICINA; 1 G COM REV CT BL AL PLAS LEIT X 1; PZ8
528528519117118; AZITROMICINA; AZITROMICINA; AZITROMICINA; 1 G COM REV CT BL AL PLAS LEIT X 50 (EMB FRAC); PZ8
528528501137117; AZITROMICINA; AZITROMICINA; AZITROMICINA; 40 MG/ML PO SUS OR CT FR PLAS OPC X 15 ML + DIL FR PLAS OPC X 8 ML + SER DOSAD ; PZ8
528528509138112; AZITROMICINA; AZITROMICINA; AZITROMICINA; 40 MG/ML PO SUS OR CX 50 FR PLAS OPC X 15 ML +  50 DIL FR PLAS OPC X 8 ML + 50 SER DOSAD (EMB HOSP); PZ8
528528502133115; AZITROMICINA; AZITROMICINA; AZITROMICINA; 40 MG/ML PO SUS OR CT FR PLAS OPC X 22.5 ML + DIL FR PLAS OPC X 12 ML + SER DOSAD; PZ8
528528503131116; AZITROMICINA; AZITROMICINA; AZITROMICINA; 40 MG/ML PO SUS OR CX 50 FR PLAS OPC X 22.5 ML + 50 DIL FR PLAS OPC X 12 ML + 50 SER DOSAD (EMB HOSP); PZ8
528528517114111; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 300 (EMB FRAC); PZ8
528528518110111; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 150 (EMB FRAC); PZ8
528528510111117; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 120 (EMB HOSP); PZ8
528528504111119; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 2; PZ8
528528505116114; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 3; PZ8
528528507119110; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 450 (EMB HOSP); PZ8
528528508115119; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 80 (EMB HOSP); PZ8
528524101169116; ACETONIDO DE TRIANCINOLONA; ACETONIDO TRIANCINOLONA; NOT FOUND; 1 MG/G POM BUCAL CT BG AL X 10 G; PZ8
528513100123906; ÁCIDO FUSÍDICO; ACIDO FUSIDICO; ACIDO FUSIDICO; 20 MG/G CREM DERM CT BG AL X 15 G; PZ8
